Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2013,1455.585,396.095,200.058,196.037,137.981,137.981,0,0,0,0,0,0,77.396,,1.05,18.072,52.298,611.472,54.601,,,219.865,,219.865,569.647,554.137,502.015,52.122,14.46,844.113,,102.998,9.153,12.006,,81.839,64.633,24.633,,,,40.0,73.668,,,31.251,241.299,320,320,,,,42.327,,,,,8.064,34.263,362.327,603.626,0,573.616,0.144,573.472,-42.407,325.725,-4.975,851.959,0.0,851.959,1455.585,
09/30/2013,1448.153,432.355,276.358,155.997,111.138,111.138,0,0,0,0,0,0,104.259,,4.218,10.187,88.277,647.752,64.551,,,163.525,,163.525,572.325,551.693,500.686,51.007,16.414,800.401,,117.791,11.985,10.798,,95.008,66.177,26.177,,,,40.0,72.843,,,28.596,256.811,310,310,,,,52.536,,,,,10.261,42.275,362.536,619.347,0,590.829,0.144,590.685,-142.322,381.607,-1.308,828.806,0.0,828.806,1448.153,
12/31/2013,1473.0,482.0,351.0,131.0,113.0,113.0,0,0,0,0,0,0,35.0,0.0,,,35.0,630.0,82.0,130.0,-48.0,188.0,,188.0,573.0,554.0,502.0,52.0,19.0,843.0,,96.0,10.0,5.0,0.0,81.0,68.0,28.0,0.0,0.0,,40.0,79.0,0.0,0.0,30.0,243.0,300,300,0.0,0.0,,65.0,0.0,0.0,0.0,0.0,13.0,52.0,365.0,608.0,0,608.0,,,-145.0,402.0,0.0,865.0,0.0,865.0,1473.0,
03/31/2014,1615.0,461.0,319.0,142.0,151.0,151.0,0,0,0,0,0,0,33.0,,1.0,12.0,11.0,645.0,114.0,172.0,-58.0,284.0,,284.0,572.0,552.0,502.0,50.0,19.0,970.0,,101.0,11.0,9.0,,81.0,71.0,31.0,,,,40.0,121.0,,,0.0,293.0,290,290,,,,88.0,,,,,15.0,73.0,378.0,671.0,0,618.0,0.144772,617.855228,-145.0,470.0,1.0,944.0,0.0,944.0,1615.0,
06/30/2014,1831.0,638.0,587.0,51.0,185.0,185.0,0,0,0,0,0,0,32.0,,,,32.0,855.0,141.0,209.0,-68.0,83.0,,83.0,752.0,720.0,607.0,113.0,32.0,976.0,,137.0,27.0,11.0,,99.0,73.0,33.0,,,,40.0,176.0,,,109.0,386.0,280,280,,,,139.0,,,,,28.0,111.0,419.0,805.0,0,633.0,,,-145.0,538.0,,1026.0,0.0,1026.0,1831.0,
09/30/2014,1956.0,576.0,491.0,85.0,180.0,180.0,0,0,0,0,0,0,36.0,,,,36.0,792.0,161.0,240.0,-79.0,38.0,,38.0,965.0,928.0,728.0,200.0,37.0,1164.0,,161.0,18.0,14.0,,129.0,76.0,36.0,,,,40.0,180.0,,,115.0,417.0,270,270,,,,183.0,,,,,49.0,134.0,453.0,870.0,0,653.0,,,-145.0,592.0,-14.0,1086.0,0.0,1086.0,1956.0,
12/31/2014,1948.0,563.0,455.0,108.0,151.0,151.0,0,0,0,0,0,0,23.0,0.0,,,23.0,737.0,195.0,272.0,-77.0,31.0,,31.0,985.0,948.0,734.0,214.0,37.0,1211.0,,133.0,19.0,20.0,0.0,94.0,78.0,0.0,0.0,0.0,,78.0,170.0,0.0,,93.0,381.0,259,259,0.0,0.0,,183.0,0.0,0.0,0.0,0.0,29.0,154.0,442.0,823.0,0,673.0,0.145115,672.854885,-145.0,628.0,-31.0,1125.0,0.0,1125.0,1948.0,
03/31/2015,2094.0,623.0,505.0,118.0,229.0,229.0,0,0,0,0,0,0,42.0,,,,41.0,894.0,226.0,317.0,-91.0,19.0,,19.0,955.0,916.0,720.0,196.0,39.0,1200.0,,147.0,26.0,6.0,,115.0,80.0,40.0,,,,40.0,225.0,,,148.0,452.0,250,250,,,,213.0,,,,,39.0,174.0,463.0,915.0,0,692.0,0.145698,691.854302,-145.0,691.0,-59.0,1179.0,0.0,1179.0,2094.0,
06/30/2015,2277.0,711.0,583.0,128.0,243.0,243.0,0,0,0,0,0,0,58.0,,,24.0,34.0,1012.0,247.0,330.0,-83.0,35.0,,35.0,983.0,942.0,743.0,199.0,41.0,1265.0,,190.0,38.0,5.0,,147.0,1.0,0.0,,,,1.0,331.0,,,242.0,522.0,287,287,,,,227.0,,,,,49.0,178.0,514.0,1036.0,0,687.0,,,-145.0,749.0,-50.0,1241.0,0.0,1241.0,2277.0,
09/30/2015,2198.0,686.0,567.0,119.0,224.0,224.0,0,0,0,0,0,0,33.0,,,,33.0,943.0,247.0,336.0,-89.0,44.0,,44.0,964.0,921.0,735.0,186.0,43.0,1255.0,,146.0,17.0,0.0,,129.0,1.0,0.0,,,,1.0,209.0,,,142.0,356.0,287,287,,,,229.0,,,,,42.0,187.0,516.0,872.0,0,707.0,0.146362,706.853638,-145.0,823.0,-59.0,1326.0,0.0,1326.0,2198.0,
12/31/2015,2128.0,661.0,614.0,47.0,180.0,180.0,0,0,0,0,0,0,24.0,0.0,25.0,,24.0,865.0,247.0,335.0,-88.0,37.0,,37.0,979.0,908.0,732.0,176.0,46.0,1263.0,,142.0,10.0,9.0,,123.0,1.0,0.0,0.0,0.0,,1.0,169.0,0.0,0.0,105.0,312.0,200,200,0.0,0.0,,204.0,0.0,0.0,0.0,0.0,15.0,189.0,404.0,716.0,0,741.0,,,-92.0,826.0,-63.0,1412.0,0.0,1412.0,2128.0,
03/31/2016,2214.0,692.0,653.0,39.0,244.0,244.0,0,0,0,0,0,0,28.0,,,,28.0,964.0,252.0,356.0,-104.0,17.0,,17.0,981.0,909.0,737.0,172.0,72.0,1250.0,,158.0,15.0,10.0,,133.0,1.0,0.0,,,,1.0,273.0,,,179.0,432.0,110,110,,,,208.0,,,,,16.0,192.0,318.0,750.0,0,758.0,0.147095,757.852905,-93.0,853.0,-54.0,1464.0,0.0,1464.0,2214.0,
06/30/2016,2385.0,853.0,766.0,87.0,230.0,230.0,0,0,0,0,0,0,24.0,,,,23.0,1107.0,256.0,376.0,-120.0,38.0,,38.0,984.0,902.0,733.0,169.0,82.0,1278.0,,189.0,25.0,11.0,,153.0,1.0,0.0,,,,1.0,385.0,,,288.0,575.0,91,91,,,,214.0,,,,,18.0,196.0,305.0,880.0,0,783.0,,,-104.0,888.0,-62.0,1505.0,0.0,1505.0,2385.0,
09/30/2016,2277.0,727.0,611.0,116.0,221.0,221.0,0,0,0,0,0,0,18.0,,44.0,,11.0,966.0,262.0,399.0,-137.0,29.0,,29.0,1020.0,922.0,744.0,178.0,54.0,1311.0,,153.0,11.0,16.0,,126.0,76.0,0.0,,,,76.0,221.0,,,152.0,450.0,20,20,,,,227.0,,,,,20.0,207.0,247.0,697.0,0,808.0,,,-113.0,944.0,-59.0,1580.0,0.0,1580.0,2277.0,
12/31/2016,2238.0,730.0,612.0,118.0,189.0,189.0,0,0,0,0,0,0,31.0,,42.0,,25.0,950.0,260.0,371.0,-111.0,16.0,,16.0,1012.0,903.0,736.0,167.0,67.0,1288.0,,151.0,14.0,10.0,,127.0,80.0,0.0,0.0,0.0,,80.0,192.0,,,128.0,423.0,91,91,0.0,0.0,,222.0,,,,,12.0,210.0,313.0,736.0,0,831.0,0.147506,830.852494,-197.0,945.0,-77.0,1502.0,0.0,1502.0,2238.0,
03/31/2017,2274.0,746.0,731.0,15.0,232.0,232.0,0,0,0,0,0,0,25.0,,37.0,,25.0,1003.0,262.0,390.0,-128.0,3.0,,3.0,1006.0,902.0,741.0,161.0,67.0,1271.0,,140.0,12.0,6.0,,122.0,7.0,0.0,,,,7.0,305.0,,,218.0,452.0,210,210,,,,228.0,,,,,13.0,215.0,438.0,890.0,0,843.0,0.148118,842.851882,-347.0,958.0,-70.0,1384.0,0.0,1384.0,2274.0,
06/30/2017,2472.0,904.0,887.0,17.0,252.0,252.0,0,0,0,0,0,0,24.0,,47.0,,19.0,1180.0,266.0,413.0,-147.0,4.0,,4.0,1022.0,906.0,750.0,156.0,69.0,1292.0,,180.0,7.0,8.0,,165.0,7.0,0.0,,,,7.0,434.0,,,344.0,621.0,260,260,,,,237.0,,,,,15.0,222.0,497.0,1118.0,0,873.0,,,-447.0,985.0,-57.0,1354.0,0.0,1354.0,2472.0,
09/30/2017,2348.0,763.0,750.0,13.0,254.0,254.0,0,0,0,0,0,0,25.0,,58.0,,25.0,1042.0,266.0,318.0,-52.0,6.0,,6.0,1034.0,906.0,756.0,150.0,70.0,1306.0,,147.0,15.0,4.0,,128.0,7.0,0.0,,,,7.0,268.0,,,203.0,422.0,265,265,,,,244.0,,,,,16.0,228.0,509.0,931.0,0,901.0,,,-447.0,1010.0,-47.0,1417.0,0.0,1417.0,2348.0,
12/31/2017,2272.0,708.0,673.0,35.0,230.0,230.0,0,0,0,0,0,0,55.0,,16.0,30.0,25.0,993.0,263.0,440.0,-177.0,27.0,,27.0,989.0,900.0,758.0,142.0,73.0,1279.0,,149.0,8.0,5.0,,136.0,7.0,0.0,0.0,0.0,,7.0,216.0,,,156.0,372.0,230,230,0.0,0.0,,307.0,,,,,14.0,293.0,537.0,909.0,0,926.0,,,-447.0,926.0,-42.0,1363.0,0.0,1363.0,2272.0,
03/31/2018,2240.0,650.0,635.0,15.0,281.0,281.0,0,0,0,0,0,0,52.0,,18.0,,52.0,983.0,261.0,459.0,-198.0,5.0,,5.0,991.0,899.0,763.0,136.0,74.0,1257.0,,157.0,7.0,,,150.0,7.0,0.0,,,,7.0,370.0,,,269.0,534.0,0,0,,,,316.0,,,,,16.0,300.0,316.0,850.0,0,946.0,0.149197,945.850803,-457.0,935.0,-34.0,1390.0,0.0,1390.0,2240.0,
06/30/2018,2304.0,678.0,666.0,12.0,300.0,300.0,0,0,0,0,0,0,62.0,,21.0,,62.0,1040.0,258.0,474.0,-216.0,2.0,,2.0,1004.0,901.0,763.0,138.0,82.0,1264.0,,173.0,10.0,,,163.0,0.0,0.0,,,,0.0,458.0,,,354.0,631.0,0,0,,,,326.0,,,,,19.0,307.0,326.0,957.0,0,979.0,,,-547.0,966.0,-51.0,1347.0,0.0,1347.0,2304.0,
09/30/2018,2192.0,663.0,663.0,0.0,237.0,237.0,0,0,0,0,0,0,26.0,,28.0,0.0,26.0,926.0,256.0,483.0,-227.0,,,,1010.0,889.0,760.0,129.0,93.0,1266.0,,176.0,22.0,,,154.0,0.0,0.0,,,,0.0,277.0,,,204.0,453.0,0,0,,,,297.0,,,,,20.0,277.0,297.0,750.0,0,1010.0,0.14967,1009.85033,-547.0,1035.0,-56.0,1442.0,0.0,1442.0,2192.0,
12/31/2018,2167.0,670.0,655.0,15.0,212.0,212.0,0,0,0,0,0,0,33.0,0.0,27.0,,33.0,915.0,253.0,493.0,-240.0,12.0,12.0,,987.0,874.0,756.0,118.0,86.0,1252.0,,166.0,15.0,,,151.0,0.0,0.0,0.0,0.0,,,227.0,0.0,0.0,164.0,393.0,0,0,0.0,0.0,,303.0,0.0,0.0,0.0,0.0,21.0,282.0,303.0,696.0,0,1037.0,0.149958,1036.850042,-547.0,1043.0,-62.0,1471.0,0.0,1471.0,2167.0,
03/31/2019,2395.0,811.0,771.0,40.0,236.0,236.0,0,0,0,0,0,0,35.0,,20.0,,35.0,1082.0,330.0,582.0,-252.0,0.0,,,983.0,863.0,754.0,109.0,100.0,1313.0,,166.0,11.0,,,155.0,23.0,0.0,23.0,5.0,18.0,,341.0,,,240.0,530.0,149,0,149.0,82.0,67.0,209.0,,,,,22.0,187.0,358.0,888.0,0,1046.0,0.151057,1045.848943,-547.0,1072.0,-64.0,1507.0,0.0,1507.0,2395.0,
06/30/2019,2566.0,966.0,901.0,65.0,270.0,270.0,0,0,0,0,0,0,35.0,,1.0,,35.0,1271.0,337.0,612.0,-275.0,0.0,,,958.0,856.0,754.0,102.0,101.0,1295.0,,194.0,13.0,,,181.0,23.0,0.0,23.0,5.0,18.0,,421.0,,,323.0,638.0,147,0,147.0,80.0,67.0,206.0,,,,,12.0,194.0,353.0,991.0,0,1081.0,,,-547.0,1106.0,-65.0,1575.0,0.0,1575.0,2566.0,
09/30/2019,2468.0,933.0,838.0,95.0,218.0,218.0,0,0,0,0,0,0,30.0,,2.0,0.0,30.0,1181.0,341.0,637.0,-296.0,0.0,,,946.0,838.0,746.0,92.0,106.0,1287.0,,200.0,16.0,,,184.0,24.0,0.0,24.0,5.0,19.0,,244.0,,,172.0,468.0,145,0,145.0,79.0,66.0,207.0,,,,,8.0,199.0,352.0,820.0,0,1114.0,0.0,1114.0,-547.0,1156.0,-75.0,1648.0,0.0,1648.0,2468.0,
12/31/2019,1984.0,319.0,319.0,0.0,183.0,183.0,0,0,0,0,0,0,31.0,0.0,7.0,,31.0,533.0,344.0,663.0,-319.0,55.0,55.0,,1052.0,950.0,840.0,110.0,95.0,1451.0,,204.0,11.0,,,193.0,25.0,0.0,25.0,5.0,20.0,,206.0,0.0,0.0,134.0,435.0,142,0,142.0,78.0,64.0,246.0,0.0,0.0,0.0,0.0,8.0,238.0,388.0,823.0,0,1150.0,0.151498,1149.848502,-607.0,681.0,-63.0,1161.0,0.0,1161.0,1984.0,
03/31/2020,2427.0,798.0,798.0,0.0,159.0,159.0,0,0,0,0,0,0,55.0,,7.0,26.0,29.0,1012.0,335.0,673.0,-338.0,54.0,54.0,,1026.0,927.0,826.0,101.0,92.0,1415.0,,135.0,34.0,,,101.0,25.0,0.0,25.0,5.0,20.0,,151.0,,,71.0,311.0,700,700,,,,389.0,,,,,16.0,373.0,1089.0,1400.0,0,1167.0,0.15291,1166.84709,-722.0,662.0,-80.0,1027.0,0.0,1027.0,2427.0,
06/30/2020,2249.0,698.0,698.0,0.0,74.0,74.0,0,0,0,0,0,0,81.0,,6.0,55.0,26.0,853.0,322.0,669.0,-347.0,41.0,41.0,,1033.0,932.0,837.0,95.0,95.0,1396.0,,129.0,13.0,,,116.0,25.0,0.0,25.0,5.0,20.0,,95.0,,,57.0,249.0,700,700,,,,388.0,,,,,13.0,375.0,1088.0,1337.0,0,1193.0,0.153212,1192.846788,-722.0,509.0,-68.0,912.0,0.0,912.0,2249.0,
