Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2002,8109.7,,-7624.4,,,485.3,,-245.0,,,,,240.3,-91.1,80.9,80.9,,0.0,10.2,149.2,-56.5,92.7,0.0,,,92.7,-3.7,89.0,0.0,0.0,89.0,89.0,,426.4,0.2075,0.2075,0.2075,439.6,0.2025,0.2025,0.2025,
03/31/2003,9693.1,,-9089.0,,,604.1,,-246.0,,,,,358.1,-80.8,75.1,75.1,,0.0,5.7,277.3,-104.5,172.8,0.0,,,172.8,-2.4,170.4,0.0,0.0,170.4,170.4,,430.8,0.395,0.395,0.395,451.2,0.3775,0.3775,0.3775,
06/30/2003,8843.797,,-8326.297,,,517.5,,-243.1,,,,,274.4,-67.4,63.2,63.2,,0.0,4.2,207.0,-78.6,128.4,0.0,,,128.4,0.0,128.4,0.0,0.0,128.4,128.4,,457.2,0.28,0.28,0.28,474.8,0.27,0.27,0.27,
09/30/2003,9922.3,,-9312.6,,,609.7,,-252.3,,,,,357.4,-55.5,64.9,64.9,,0.0,-9.4,301.9,-110.8,191.1,0.0,,,191.1,0.0,191.1,-1.3,0.0,189.8,189.8,,467.6,0.405,0.405,0.405,510.4,0.375,0.375,0.375,
12/31/2003,9509.4,,-9025.7,,,483.7,,-251.6,,,,,232.1,-29.3,59.9,59.9,,0.0,-30.6,202.8,-71.2,131.6,0.0,,,131.6,0.0,131.6,-3.0,0.0,128.6,128.6,,482.0,0.2675,0.2675,0.2785,522.0,0.2525,0.2525,0.2625,
03/31/2004,11081.5,,-10396.0,,,685.5,,-248.3,,,,,437.2,-52.1,61.8,61.8,,0.0,-9.7,385.1,-137.0,248.1,0.0,,,248.1,0.0,248.1,-3.1,0.0,245.0,245.0,,503.2,0.4875,0.4875,0.4875,544.4,0.455,0.455,0.455,
06/30/2004,13807.6,,-12504.8,,,1302.8,,-269.2,,,,,1033.6,-63.5,70.3,70.3,,0.0,-6.8,970.1,-337.4,632.7,0.0,,,632.7,0.0,632.7,-3.1,0.0,629.6,629.6,,513.6,1.225,1.225,1.225,554.4,1.14,1.14,1.14,
09/30/2004,14339.3,,-13375.9,,,963.4,,-263.9,,,,,699.5001,-46.6,63.5,63.5,,0.0,-16.9,652.9001,-218.4,434.5,0.0,,,434.5001,0.0,434.5,-3.2,0.0,431.3,431.3,,511.4,0.845,0.845,0.845,552.6,0.785,0.785,0.785,
12/31/2004,15390.6,,-14279.3,,,1111.3,,-302.6,,,,,808.6999,-64.4,,64.4,,0.0,42.3999,701.9,-213.2,488.7,0.0,,,488.7,0.0,488.7,-3.6,0.0,485.1,485.1,,513.0,0.95,0.95,0.95,555.4,0.88,0.88,0.88,
03/31/2005,14953.0,,-13849.0,,,1104.0,,-258.0,,,,,846.0,-56.0,63.0,63.0,,0.0,-7.0,790.0,-256.0,534.0,0.0,,,534.0,0.0,534.0,-4.0,0.0,530.0,530.0,,512.0,1.035,1.035,1.035,556.0,0.96,0.96,0.96,
06/30/2005,18032.0,,-16451.0,,,1581.0,,-276.0,,,,,1305.0,-64.0,61.0,61.0,,0.0,3.0,1241.0,-394.0,847.0,0.0,,,847.0,0.0,847.0,-4.0,0.0,843.0,843.0,,514.0,1.64,1.64,1.64,554.0,1.53,1.53,1.53,
09/30/2005,23283.0,,-21642.0,,,1641.0,,-330.0,,,,,1311.0,-43.0,67.0,67.0,,0.0,-24.0,1268.0,-406.0,862.0,0.0,,,862.0,0.0,862.0,-4.0,0.0,858.0,858.0,,552.0,1.555,1.555,2.325,588.0,1.47,1.47,2.185,
12/31/2005,25894.0,,-22657.0,,,3237.0,,-365.0,,,,,1997.0,-75.0,75.0,75.0,,0.0,-66.0,1988.0,-641.0,1347.0,0.0,,,1347.0,0.0,1347.0,-1.0,0.0,1346.0,1346.0,,620.0,2.17,2.17,2.1,654.0,2.06,2.06,2.0,
03/31/2006,20733.0,,-19077.0,,,1656.0,,-323.0,,,,,1333.0,-47.0,59.0,59.0,,0.0,-12.0,1286.0,-437.0,849.0,0.0,,,849.0,0.0,849.0,-1.0,0.0,848.0,848.0,,619.0,1.37,1.37,1.37,644.0,1.32,1.32,1.32,
06/30/2006,25396.0,,-22305.0,,,3091.0,,-353.0,,,,,2738.0,-43.0,48.0,48.0,,0.0,-5.0,2695.0,-876.0,1819.0,-78.0,,,1897.0,0.0,1897.0,-1.0,0.0,1896.0,1896.0,,611.0,3.1,2.97,2.97,636.0,2.98,2.86,2.86,
09/30/2006,23041.0,,-20459.0,,,2582.0,,-321.0,,,,,2261.0,110.0,46.0,46.0,,0.0,-156.0,2371.0,-808.0,1563.0,-44.0,,,1607.0,-4.0,1603.0,0.0,0.0,1603.0,1603.0,,609.0,2.63,2.56,2.43,628.0,2.55,2.48,2.35,
12/31/2006,18445.0,,-16701.0,,,1744.0,,-320.0,,,,,1424.0,163.0,,59.0,,0.0,-222.0,1587.0,-504.0,1081.0,-33.0,,,1116.0,-3.0,1114.0,0.0,0.0,1114.0,1114.0,,603.0,1.85,1.79,1.58,620.0,1.8,1.74,1.53,
03/31/2007,18559.0,,-16570.0,,,1989.0,,-316.0,,,,,1673.0,-53.0,58.0,58.0,,0.0,-5.0,1620.0,-532.0,1088.0,-56.0,,,1144.0,0.0,1144.0,0.0,0.0,1144.0,1144.0,,599.0,1.91,1.82,1.82,615.0,1.86,1.77,1.77,
06/30/2007,23999.0,,-20429.0,,,3570.0,,-377.0,,,,,3193.0,-76.0,83.0,83.0,,0.0,-7.0,3117.0,-1055.0,2062.0,-187.0,,,2249.0,0.0,2249.0,0.0,0.0,2249.0,2249.0,,563.0,3.99,3.66,3.66,578.0,3.89,3.57,3.57,
09/30/2007,23492.0,,-21982.0,,,1510.0,,-342.0,,,,,1168.0,22.0,123.0,123.0,,0.0,-145.0,1190.0,-342.0,848.0,-426.0,,,1274.0,0.0,1274.0,0.0,0.0,1274.0,1274.0,,551.0,2.31,1.54,1.6,564.0,2.09,1.34,1.4,
12/31/2007,28476.0,,-27239.0,,,1237.0,,-353.0,,,,,884.0,-85.0,95.0,95.0,,0.0,-10.0,799.0,-232.0,567.0,0.0,,,567.0,0.0,567.0,0.0,0.0,567.0,567.0,,545.0,1.04,1.04,1.04,555.0,1.02,1.02,1.02,
03/31/2008,27751.0,,-26956.0,,,795.0,,-323.0,,,,,472.0,-77.0,97.0,97.0,,0.0,-20.0,395.0,-134.0,261.0,0.0,,,261.0,0.0,261.0,0.0,0.0,261.0,261.0,,532.0,0.49,0.49,0.37,541.0,0.48,0.48,0.36,
06/30/2008,36436.0,,-34971.0,,,1465.0,,-307.0,,,,,1158.0,-68.0,83.0,83.0,,0.0,-15.0,1090.0,-356.0,734.0,0.0,,,734.0,0.0,734.0,0.0,0.0,734.0,734.0,,526.0,1.4,1.4,1.4,534.0,1.37,1.37,1.37,
09/30/2008,35753.0,,-33848.0,,,1905.0,0.0,-65.0,370.0,201.0,,-305.0,1840.0,-45.0,,81.0,,,-36.0,1795.0,-643.0,1152.0,0.0,,,1152.0,0.0,1152.0,0.0,0.0,1152.0,1152.0,-198.3,522.0,2.2,2.1969,1.8108,529.0,2.18,2.17,1.8029,
12/31/2008,18358.0,,-16869.0,,,1489.0,0.0,-327.0,327.0,189.0,,0.0,1162.0,-4106.0,,79.0,,,4027.0,-2944.0,-334.0,-3278.0,,,,-3278.0,,-3278.0,,,-3278.0,-3278.0,2644.9,515.0,-6.36,-6.36,-1.229,520.0,-6.36,-6.36,-6.36,
03/31/2009,13124.0,13124.0,-11000.0,11000.0,350.0,2124.0,0.0,-1531.0,314.0,169.0,145.0,867.0,593.0,-81.0,,80.0,,,1.0,512.0,-148.0,364.0,55.0,55.0,0.0,309.0,0.0,309.0,0.0,0.0,309.0,255.45,-108.55,514.0,0.6,0.7,0.496984,519.0,0.59,0.7,0.490848,
06/30/2009,17147.0,17147.0,-15785.0,15785.0,361.0,1362.0,0.0,-1554.0,293.0,171.0,122.0,900.0,-192.0,-107.0,,84.0,,,23.0,-299.0,108.0,-191.0,63.0,63.0,0.0,-254.0,0.0,-254.0,0.0,0.0,-254.0,-55.8,135.2,525.0,-0.48,-0.36,-0.106286,525.0,-0.48,-0.36,-0.106286,
09/30/2009,18347.0,18347.0,-16986.0,16986.0,361.0,1361.0,0.0,-1599.0,349.0,182.0,167.0,889.0,-238.0,-123.0,,131.0,,,-8.0,-361.0,18.0,-343.0,286.0,286.0,0.0,-629.0,0.0,-629.0,0.0,0.0,-629.0,-258.5,84.5,561.0,-1.12,-0.61,-0.460784,561.0,-1.12,-0.61,-0.460784,
12/31/2009,17670.0,17670.0,-16359.0,16359.0,338.0,1311.0,0.0,-1446.0,297.0,159.0,138.0,811.0,-135.0,-82.0,,115.0,,,-33.0,-217.0,86.0,-131.0,1277.0,1277.0,0.0,-1408.0,0.0,-1408.0,0.0,0.0,-1408.0,-161.05,-30.05,562.0,-2.51,-0.23,-0.286566,562.0,-2.51,-0.23,-0.286566,
03/31/2010,18285.0,18285.0,-16848.0,16848.0,340.0,1437.0,0.0,-1433.0,97.0,,97.0,996.0,4.0,-116.0,,127.0,,,-11.0,-112.0,32.0,-80.0,33.0,33.0,0.0,-113.0,0.0,-113.0,0.0,0.0,-113.0,-68.25,11.75,562.0,-0.2,-0.14,-0.121441,562.0,-0.2,-0.14,-0.121441,
06/30/2010,20336.0,20336.0,-18002.0,18002.0,350.0,2334.0,0.0,-1430.0,294.0,163.0,131.0,786.0,904.0,-116.0,,117.0,,,-1.0,788.0,-268.0,520.0,-63.0,-63.0,0.0,583.0,0.0,583.0,0.0,0.0,583.0,555.1,35.1,563.0,1.03,0.92,0.985968,567.0,1.03,0.92,0.981905,
09/30/2010,20781.0,20781.0,-18681.0,18681.0,353.0,2100.0,0.0,-1510.0,308.0,169.0,139.0,849.0,590.0,-102.0,,119.0,,,-17.0,488.0,-185.0,303.0,11.0,11.0,0.0,292.0,0.0,292.0,0.0,0.0,292.0,290.65,-12.35,564.0,0.52,0.54,0.515337,568.0,0.51,0.53,0.508257,
12/31/2010,21940.0,21940.0,-20036.0,20036.0,362.0,1904.0,0.0,-1526.0,334.0,170.0,164.0,830.0,378.0,-44.0,,121.0,,,-77.0,334.0,-154.0,180.0,618.0,618.0,0.0,-438.0,0.0,-438.0,0.0,0.0,-438.0,269.7,89.7,564.0,-0.77,0.32,0.478191,569.0,-0.77,0.32,0.477645,
03/31/2011,26094.0,26094.0,-24354.0,24354.0,365.0,1740.0,0.0,-1496.0,292.0,162.0,130.0,839.0,244.0,-100.0,,117.0,,,-17.0,144.0,-40.0,104.0,6.0,6.0,0.0,98.0,,98.0,0.0,0.0,98.0,303.55,199.55,566.0,0.17,0.18,0.536307,573.0,0.17,0.18,0.528255,
06/30/2011,31066.0,31066.0,-28153.0,28153.0,386.0,2913.0,0.0,-1623.0,320.0,169.0,151.0,917.0,1290.0,-97.0,,107.0,,,-10.0,1193.0,-449.0,744.0,1.0,1.0,0.0,743.0,1.0,744.0,0.0,0.0,744.0,783.35,38.35,567.0,1.31,1.3,1.38157,574.0,1.3,1.3,1.366812,
09/30/2011,33484.0,33484.0,-29804.0,29804.0,390.0,3680.0,0.0,-1701.0,338.0,177.0,161.0,973.0,1979.0,-87.0,,88.0,,,-1.0,1892.0,-689.0,1203.0,0.0,0.0,0.0,1203.0,,1203.0,0.0,0.0,1203.0,1149.7,-53.3,564.0,2.12,2.12,2.038475,569.0,2.11,2.11,2.016327,
12/31/2011,34451.0,34451.0,-32516.0,32516.0,393.0,1935.0,0.0,-1768.0,299.0,170.0,129.0,1076.0,167.0,-74.0,89.0,89.0,0.0,,-15.0,93.0,-48.0,45.0,0.0,0.0,0.0,45.0,,45.0,0.0,0.0,45.0,41.75,-3.25,555.0,0.08,0.08,0.075225,560.0,0.08,0.08,0.074196,
03/31/2012,34933.0,34933.0,-32801.0,32801.0,384.0,2132.0,0.0,-2376.0,330.0,166.0,164.0,1662.0,-244.0,-93.0,,99.0,,,-6.0,-337.0,-95.0,-432.0,0.0,0.0,0.0,-432.0,0.0,-432.0,0.0,0.0,-432.0,80.85,512.85,551.0,-0.78,-0.78,0.146733,551.0,-0.78,-0.78,0.146733,
06/30/2012,34421.0,34421.0,-31380.0,31380.0,386.0,3041.0,0.0,-1680.0,341.0,170.0,171.0,953.0,1361.0,-79.0,,74.0,,,5.0,1282.0,-452.0,830.0,0.0,0.0,0.0,830.0,1.0,831.0,0.0,0.0,831.0,452.05,-378.95,550.0,1.5,1.5,0.821909,555.0,1.5,1.5,0.817207,
09/30/2012,34726.0,34726.0,-31312.0,31312.0,402.0,3414.0,0.0,-2105.0,352.0,178.0,174.0,1351.0,1309.0,-72.0,,70.0,,,2.0,1237.0,-564.0,673.0,0.0,0.0,0.0,673.0,1.0,674.0,0.0,0.0,674.0,1177.8,503.8,549.0,1.22,1.22,2.145355,556.0,1.21,1.21,2.116115,
12/31/2012,34454.0,34454.0,-31059.0,31059.0,402.0,3395.0,0.0,-1811.0,361.0,172.0,189.0,1048.0,1584.0,-60.0,70.0,70.0,0.0,,-10.0,1524.0,-515.0,1009.0,0.0,0.0,0.0,1009.0,1.0,1010.0,0.0,0.0,1010.0,1106.85,96.85,551.0,1.83,1.83,2.008802,556.0,1.82,1.82,1.994191,
03/31/2013,33238.0,33238.0,-30449.0,30449.0,430.0,2789.0,0.0,-1728.0,345.0,169.0,176.0,953.0,1061.0,-69.0,,83.0,,,-14.0,992.0,-340.0,652.0,0.0,0.0,0.0,652.0,2.0,654.0,0.0,0.0,654.0,622.15,-31.85,550.0,1.18,1.18,1.131182,556.0,1.18,1.18,1.122716,
06/30/2013,34034.0,34034.0,-31523.0,31523.0,405.0,2511.0,0.0,-1706.0,290.0,57.0,233.0,1011.0,805.0,-67.0,,78.0,,,-11.0,738.0,-276.0,462.0,-3.0,-3.0,0.0,465.0,1.0,466.0,0.0,0.0,466.0,463.0,0.0,543.0,0.86,0.85,0.85,548.0,0.85,0.84,0.84,
09/30/2013,36137.0,36137.0,-33931.0,33931.0,448.0,2206.0,0.0,-1674.0,170.0,0.0,170.0,1056.0,532.0,-85.0,,102.0,,,-17.0,447.0,-123.0,324.0,0.0,0.0,0.0,324.0,-12.0,312.0,0.0,0.0,312.0,425.1,113.1,540.0,0.58,0.58,0.787222,545.0,0.57,0.57,0.777523,
12/31/2013,34429.0,34429.0,-31177.0,31177.0,437.0,3252.0,0.0,-1690.0,179.0,0.0,179.0,1074.0,1562.0,240.0,,102.0,,,-342.0,1802.0,-515.0,1287.0,0.0,0.0,0.0,1287.0,1.0,1288.0,0.0,0.0,1288.0,967.55,-320.45,536.0,2.39,2.39,1.805131,542.0,2.38,2.38,1.788764,
03/31/2014,33663.0,33663.0,-30630.0,30630.0,421.0,3033.0,0.0,-1682.0,160.0,,160.0,1101.0,1351.0,-85.0,,100.0,,,-15.0,1266.0,-429.0,837.0,1.0,1.0,0.0,836.0,-8.0,828.0,0.0,0.0,828.0,829.0,0.0,531.0,1.55,1.55,1.55,536.0,1.54,1.54,1.54,
06/30/2014,34914.0,34914.0,-32167.0,32167.0,414.0,2747.0,0.0,-1662.0,170.0,,170.0,1078.0,1085.0,-86.0,,98.0,,,-12.0,999.0,-343.0,656.0,63.0,63.0,0.0,593.0,-5.0,588.0,0.0,0.0,588.0,757.6,106.6,529.0,1.11,1.23,1.432136,534.0,1.1,1.22,1.419625,
09/30/2014,34408.0,34408.0,-31023.0,31023.0,430.0,3385.0,0.0,-1715.0,180.0,0.0,180.0,1105.0,1670.0,-87.0,,98.0,,,-11.0,1583.0,-521.0,1062.0,0.0,0.0,0.0,1062.0,-3.0,1059.0,0.0,0.0,1059.0,793.8,-265.2,526.0,2.01,2.01,1.509125,530.0,2.0,2.0,1.499623,
12/31/2014,27859.0,27859.0,-25424.0,25424.0,425.0,2435.0,0.0,-639.0,214.0,0.0,214.0,0.0,1796.0,-92.0,101.0,101.0,0.0,,-9.0,1704.0,-484.0,1220.0,0.0,0.0,0.0,1220.0,-65.0,1155.0,0.0,0.0,1155.0,768.25,-386.75,517.0,2.22,2.22,1.485977,521.0,2.22,2.22,1.477678,
03/31/2015,19904.0,19904.0,-16737.0,16737.0,441.0,3167.0,0.0,-1672.0,147.0,,147.0,1084.0,1495.0,-77.0,,101.0,,,-24.0,1418.0,-450.0,968.0,0.0,0.0,0.0,968.0,-4.0,964.0,0.0,0.0,964.0,964.0,0.0,513.0,1.87,1.87,1.87,516.0,1.87,1.87,1.87,
06/30/2015,23605.0,23605.0,-19881.0,19881.0,425.0,3724.0,0.0,-1646.0,178.0,,178.0,1043.0,2078.0,-105.0,,113.0,,,-8.0,1973.0,-608.0,1365.0,0.0,0.0,0.0,1365.0,-14.0,1351.0,0.0,0.0,1351.0,1351.0,0.0,505.0,2.67,2.67,2.67,508.0,2.66,2.66,2.66,
09/30/2015,21041.0,21041.0,-18241.0,18241.0,482.0,2800.0,0.0,-661.0,179.0,,179.0,0.0,2139.0,-109.0,,112.0,,,-3.0,2030.0,-657.0,1373.0,0.0,0.0,0.0,1373.0,4.0,1377.0,0.0,0.0,1377.0,1377.0,0.0,491.0,2.79,2.79,2.79,494.0,2.79,2.79,2.79,
12/31/2015,17274.0,17274.0,-15138.0,15138.0,494.0,2136.0,0.0,-1490.0,206.0,,206.0,790.0,646.0,-96.0,107.0,107.0,0.0,,-11.0,550.0,-155.0,395.0,0.0,0.0,0.0,395.0,-97.0,298.0,0.0,0.0,298.0,298.0,0.0,479.0,0.62,0.62,0.62,481.0,0.62,0.62,0.62,
03/31/2016,14319.0,14319.0,-13142.0,13142.0,485.0,1177.0,293.0,-641.0,156.0,,156.0,0.0,829.0,-99.0,,108.0,,,-9.0,730.0,-217.0,513.0,0.0,0.0,0.0,513.0,-18.0,495.0,0.0,0.0,495.0,495.0,0.0,469.0,1.05,1.05,1.05,471.0,1.05,1.05,1.05,
06/30/2016,18114.0,18114.0,-16651.0,16651.0,471.0,1463.0,454.0,-686.0,159.0,,159.0,56.0,1231.0,-97.0,,111.0,,,-14.0,1134.0,-291.0,843.0,0.0,0.0,0.0,843.0,-29.0,814.0,0.0,0.0,814.0,870.0,56.0,467.0,1.74,1.74,1.862955,470.0,1.73,1.73,1.849149,
09/30/2016,18251.0,18251.0,-15635.0,15635.0,470.0,2616.0,0.0,-1724.0,192.0,,192.0,1062.0,892.0,-103.0,115.0,129.0,-14.0,,-12.0,789.0,-144.0,645.0,0.0,0.0,0.0,645.0,-32.0,613.0,0.0,0.0,613.0,613.0,0.0,458.0,1.33,1.33,1.33,460.0,1.33,1.33,1.33,
12/31/2016,19482.0,19482.0,-21323.0,21323.0,468.0,-1841.0,0.0,2423.0,202.0,,202.0,-3093.0,582.0,-53.0,112.0,112.0,0.0,,-59.0,529.0,-113.0,416.0,0.0,0.0,0.0,416.0,-49.0,367.0,0.0,0.0,367.0,339.335,0.0,449.0,0.817372,0.817372,0.817372,455.0,0.806593,0.806593,0.806593,
