Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2010,12486.9,671.2,671.2,0,920.3,920.3,0.0,2109.8,0.0,0,520.6,1589.2,469.1,,51.0,,,458.5,4170.4,1403.0,3109.2,-1706.2,0.0,6913.5,6653.0,3590.0,3063.0,,,209.5,8316.5,,491.4,491.4,,,,614.2,23.6,,,590.6,915.1,,0.5,656.2,900.7,2020.7,3662.9,3662.9,,,1241.8,,345.9,239.2,4904.7,6925.4,5.0,1538.2,734.0,804.2,-3242.7,7416.1,-172.8,5543.8,17.7,5561.5,12486.9,
12/31/2010,12674.0,811.5,811.5,0,400.9,400.9,0.0,1523.1,0.0,0,158.9,1364.2,1607.5,,36.7,44.6,603.6,230.1,4343.0,668.2,1158.3,-490.1,0.0,7662.8,4364.3,2137.5,2226.8,2.4,51.9,42.1,8331.0,,149.7,149.7,0.0,0.0,0.0,611.4,611.4,0.0,0.0,,1345.8,0.0,0.0,393.1,542.7,2106.9,3620.6,3620.6,0.0,0.0,1258.5,0.0,93.1,168.7,4879.1,6986.0,4.9,1554.2,734.0,820.2,-3215.3,7499.3,-172.0,5671.1,16.9,5688.0,12674.0,
03/31/2011,12523.0,269.2,269.2,0,1078.9,1078.9,0.0,2171.4,0.0,0,503.1,1668.3,457.3,,31.5,,,450.8,3976.8,1437.2,3216.8,-1779.6,0.0,7109.0,6793.0,3685.2,3107.8,,,284.5,8546.2,,486.8,486.8,,,,337.4,337.4,,,0.0,851.7,,1.2,674.6,819.3,1675.9,3671.3,3671.3,,,1273.2,,335.5,261.9,4944.5,6620.4,4.9,1563.9,734.0,829.9,-3188.4,7550.4,-46.2,5884.6,18.0,5902.6,12523.0,
06/30/2011,12898.6,287.4,287.4,0,887.1,887.1,0.0,1973.8,0.0,0,348.6,1625.2,1197.7,,34.4,,116.8,617.2,4346.0,1253.0,2717.2,-1464.2,0.0,7299.6,6787.0,3677.7,3109.3,,,219.2,8552.6,,426.2,426.2,,,,584.2,180.8,,,403.4,994.4,,,710.7,707.1,2004.8,3290.1,3290.1,,,1325.5,,228.2,269.8,4615.6,6620.4,4.8,1577.3,734.0,843.3,-3172.1,7849.3,-0.7,6258.6,19.6,6278.2,12898.6,
09/30/2011,11575.2,475.9,475.9,0,743.7,743.7,0.0,1949.3,0.0,0,384.2,1565.1,452.8,,0.0,,0.0,438.7,3621.7,1240.2,2706.0,-1465.8,0.0,6713.3,6521.1,3572.7,2948.4,,,192.2,7953.5,,399.5,399.5,,,,419.5,419.5,,,,827.0,,,645.1,809.4,1646.0,2320.6,2320.6,,,1290.1,,320.4,324.6,3610.7,5256.7,4.8,1606.7,734.0,872.7,-3144.9,8202.2,-353.9,6314.9,3.6,6318.5,11575.2,
12/31/2011,7491.8,218.3,218.3,0,364.8,364.8,0.0,1551.5,0.0,0,167.3,1384.2,299.8,,0.0,32.0,,218.2,2434.4,729.7,1255.9,-526.2,0.0,4327.7,4202.9,2103.9,2099.0,0.0,42.2,50.6,5057.4,,134.1,134.1,0.0,0.0,0.0,28.4,28.4,0.0,0.0,,596.2,0.0,0.0,375.1,583.1,758.7,1902.1,1902.1,0.0,0.0,731.3,0.0,118.7,237.5,2633.4,3392.1,4.7,1616.4,734.0,882.4,-3109.9,5892.6,-304.1,4099.7,0.0,4099.7,7491.8,
03/31/2012,7639.3,88.5,88.5,0,373.2,373.2,0.0,1683.1,0.0,0,189.0,1494.1,257.8,,,,,256.0,2402.6,754.4,,,0.0,4482.3,4344.2,2160.0,2184.2,,45.8,92.3,5236.7,,133.5,133.5,,,,332.4,0.0,,,332.4,500.8,,,408.5,497.6,966.7,1612.2,1612.2,,,745.8,,120.6,216.7,2358.0,3324.7,4.6,1605.8,734.0,871.8,-3047.0,5935.6,-184.4,4314.6,,4314.6,7639.3,
06/30/2012,8200.4,109.3,109.3,0,411.6,411.6,0.0,1688.3,0.0,0,201.8,1486.5,275.5,,1.5,,,271.4,2484.7,758.1,,,0.0,4957.6,4823.9,2544.7,2279.2,,45.8,86.4,5715.7,,110.5,110.5,,,,299.8,299.8,,,,508.7,,,409.4,504.1,919.0,2213.4,2213.4,,,739.7,,117.1,213.2,2953.1,3872.1,4.5,1619.0,734.0,885.0,-3016.9,6002.9,-281.2,4328.3,0.0,4328.3,8200.4,
09/30/2012,8404.7,147.5,147.5,0,442.7,442.7,0.0,1733.7,0.0,0,218.3,1515.4,304.0,,3.7,,,299.3,2627.9,769.7,,,0.0,5007.1,4874.8,2561.3,2313.5,,48.6,80.0,5776.8,,132.9,132.9,,,,289.2,0.0,,,289.2,486.4,,,462.7,483.1,908.5,2225.2,2225.2,,,795.6,8.6,116.3,208.0,3020.8,3929.3,3.6,1618.3,734.0,884.3,-2995.8,6046.2,-196.9,4475.4,0.0,4475.4,8404.7,
12/31/2012,8676.1,365.7,365.7,0,411.0,411.0,0.0,1763.0,0.0,0,179.6,1583.4,362.9,,3.2,25.4,,258.0,2902.6,787.9,1353.8,-565.9,0.0,4985.6,4879.1,2571.0,2308.1,0.9,51.5,25.5,5773.5,,213.6,213.6,0.0,0.0,0.0,480.1,10.8,0.0,0.0,469.3,557.0,0.0,0.0,453.0,553.0,1250.7,2024.9,2024.9,0.0,0.0,791.3,0.0,142.8,195.5,2816.2,4066.9,0.0,1607.7,734.0,873.7,-2949.3,6136.8,-186.0,4609.2,0.0,4609.2,8676.1,
03/31/2013,8261.2,65.1,65.1,0,447.0,447.0,0.0,1764.3,0.0,0,190.0,1574.3,282.1,,6.1,,,277.3,2558.5,781.4,,,0.0,4921.3,4807.4,2539.2,2268.2,,53.0,54.8,5702.7,,161.9,161.9,,,,192.0,0.0,,,192.0,424.3,,,440.7,421.2,778.2,2022.8,2022.8,,,782.0,,141.4,199.9,2804.8,3583.0,0.0,1619.5,734.0,885.5,-2920.0,6217.8,-239.1,4678.2,0.0,4678.2,8261.2,
06/30/2013,8563.7,313.1,313.1,0,460.4,460.4,0.0,1819.1,0.0,0,213.8,1605.3,323.1,,,,,308.8,2915.7,790.6,,,0.0,4857.4,4762.6,2524.7,2237.9,,50.6,44.2,5648.0,,164.8,164.8,,,,443.7,15.2,,,428.5,437.2,,0.4,441.9,434.8,1045.7,2032.6,2032.6,,,770.4,,139.5,188.6,2803.0,3848.7,0.0,1646.1,734.0,912.1,-2879.4,6237.7,-289.4,4715.0,0.0,4715.0,8563.7,
09/30/2013,8510.0,171.2,171.2,0,451.8,451.8,0.0,1871.3,0.0,0,136.7,1734.6,292.5,,2.4,,,287.5,2786.8,808.3,,,0.0,4914.9,4813.7,2549.8,2263.9,,53.2,45.6,5723.2,,162.0,162.0,,,,190.5,10.0,,,180.5,471.5,,,452.3,466.9,824.0,2034.6,2034.6,,,776.0,,139.5,184.2,2810.6,3634.6,0.0,1666.8,734.0,932.8,-2834.2,6249.1,-206.3,4875.4,0.0,4875.4,8510.0,
12/31/2013,8584.7,277.2,277.2,0,403.8,403.8,0.0,1843.3,0.0,0,192.3,1651.0,365.8,,0.0,17.1,,257.2,2890.1,815.7,1408.6,-592.9,0.0,4878.9,4782.2,2557.8,2224.4,2.0,57.3,20.3,5694.6,,199.8,199.8,0.0,0.0,0.0,12.8,12.8,0.0,0.0,0.0,494.0,0.0,4.7,526.7,490.2,706.6,2024.5,2024.5,0.0,0.0,779.5,0.0,92.1,156.0,2804.0,3510.6,0.0,1680.2,734.0,946.2,-2811.9,6352.6,-146.8,5074.1,0.0,5074.1,8584.7,
