Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2008,14959.581,286.941,283.522,3.419,81.248,81.248,,0.0,0.0,0.0,0.0,0.0,12184.399,,,,,12552.588,88.952,198.989,-110.037,138.464,,2179.577,2163.671,1434.816,728.855,15.906,2406.993,,49.663,49.663,,,46.875,46.875,0.0,0.0,,,12215.104,,,,12215.104,12311.642,332.5,332.5,0.0,0.0,,303.259,,,,,303.259,635.759,12947.401,0.0,1609.109,,,-355.52,732.752,19.89,2006.231,5.949,2012.18,14959.581,
03/31/2009,15624.906,232.682,229.596,3.086,110.647,110.647,0.0,0.0,0.0,0.0,0.0,0.0,12794.556,,,,12794.556,13137.885,86.905,,,29.161,29.161,2370.955,2229.707,1497.921,731.786,141.248,2487.021,,96.652,,33.308,63.344,90.0,0.0,,,,90.0,12724.564,,,192.763,12724.564,12911.216,280.0,280.0,,,,307.588,,,,,114.825,587.588,13498.804,0.0,1612.378,0.768,1611.61,-345.264,805.359,18.03,2090.503,35.599,2126.102,15624.906,
06/30/2009,20864.021,305.247,300.459,4.788,119.613,119.613,0.0,0.0,0.0,0.0,0.0,0.0,17959.888,0.587,,,17959.888,18384.748,87.08,,,47.734,47.734,2344.459,2208.976,1476.162,732.814,134.896,2479.273,,94.22,,8.926,85.294,93.0,0.0,,,,93.0,17889.229,,,194.507,17889.229,18076.449,259.5,259.5,,,,297.182,,,,,102.675,556.682,18633.131,0.0,1634.243,0.772,1633.471,-345.224,877.417,28.705,2195.141,35.749,2230.89,20864.021,
09/30/2009,19561.738,393.633,391.629,2.004,132.559,132.559,0.0,0.0,0.0,0.0,0.0,0.0,16568.398,,,37.419,16530.979,17094.59,86.59,,,45.711,45.711,2334.847,2195.075,1476.81,718.265,139.772,2467.148,,127.993,,34.85,93.143,96.0,0.0,,,,96.0,16463.393,,1.871,208.76,16463.393,16687.386,234.0,234.0,,,,302.891,,,,,92.26,536.891,17224.277,0.0,1654.05,0.773,1653.277,-345.958,964.871,29.321,2302.284,35.177,2337.461,19561.738,
12/31/2009,21884.875,554.47,552.465,2.005,109.068,109.068,0.0,0.0,0.0,0.0,0.0,0.0,18796.313,,,,18796.313,19459.851,91.735,246.455,-154.72,30.993,30.993,2302.296,2168.291,1465.831,702.46,134.005,2425.024,,132.8,,23.327,109.473,99.0,0.0,0.0,0.0,,99.0,18736.032,0.0,,181.102,18736.032,18967.832,208.5,208.5,0.0,0.0,,274.896,0.0,0.0,0.0,0.0,93.794,483.396,19451.228,0.0,1675.695,0.776,1674.919,-349.646,1049.125,24.558,2399.732,33.915,2433.647,21884.875,
03/31/2010,23813.791,614.299,612.294,2.005,140.578,140.578,0.0,0.0,0.0,0.0,0.0,0.0,20663.263,,,,20663.263,21418.14,91.091,,,24.747,24.747,2279.813,2140.513,1452.972,687.541,139.3,2395.651,,113.121,,37.754,75.367,102.0,0.0,,,,102.0,20614.041,,,167.062,20614.041,20829.162,183.0,183.0,,,,256.727,,,,,89.665,439.727,21268.889,0.0,1697.573,0.781,1696.792,-356.803,1150.288,18.468,2509.526,35.376,2544.902,23813.791,
06/30/2010,27449.881,309.113,307.108,2.005,135.942,135.942,0.0,0.0,0.0,0.0,0.0,0.0,24616.861,,,,24616.861,25061.916,93.549,,,33.0,33.0,2261.416,2123.002,1452.004,670.998,138.414,2387.965,,106.176,,12.009,94.167,112.25,0.0,,,,112.25,23940.318,,,161.476,23940.318,24158.744,367.25,367.25,,,,249.7,,,,,88.224,616.95,24775.694,0.0,1718.63,0.782,1717.848,-357.612,1251.976,24.978,2637.972,36.215,2674.187,27449.881,
09/30/2010,28218.225,541.196,539.198,1.998,134.507,134.507,0.0,0.0,0.0,0.0,0.0,0.0,24476.331,,,31.925,24444.406,25152.034,95.341,,,,,2970.85,2812.637,1896.565,916.072,158.213,3066.191,,149.843,,36.866,112.977,242.5,0.0,,,,242.5,24387.302,,,236.951,24387.302,24779.645,391.5,391.5,,,,325.923,,,,,88.972,717.423,25497.068,0.0,1730.723,0.783,1729.94,-448.735,1348.291,54.34,2684.619,36.538,2721.157,28218.225,
12/31/2010,26642.259,621.792,621.792,0.0,114.456,114.456,0.0,0.0,0.0,0.0,0.0,0.0,22839.53,,0.0,,22839.53,23575.778,94.503,297.551,-203.048,0.0,0.0,2971.978,2806.873,1916.055,890.818,165.105,3066.481,,125.238,,6.307,118.931,252.75,0.0,0.0,0.0,,252.75,22749.396,0.0,,268.249,22749.396,23127.384,325.75,325.75,0.0,0.0,,372.36,0.0,0.0,0.0,0.0,104.111,698.11,23825.494,0.0,1746.209,0.785,1745.424,-453.822,1447.423,37.74,2777.55,39.215,2816.765,26642.259,
03/31/2011,28622.491,694.257,694.257,0.0,165.244,165.244,0.0,0.0,0.0,0.0,0.0,0.0,24647.421,,,,24647.421,25506.922,94.782,,,0.0,,3020.787,2847.899,1929.218,918.681,172.888,3115.569,,141.491,,48.741,92.75,263.0,0.0,,,,263.0,24581.17,,,271.537,24581.17,24985.661,260.0,260.0,,,,405.129,,,,,133.592,665.129,25650.79,0.0,1764.001,0.787,1763.214,-463.221,1576.327,60.274,2937.381,34.32,2971.701,28622.491,
06/30/2011,31040.873,756.674,756.674,0.0,165.758,165.758,0.0,0.0,0.0,0.0,0.0,0.0,27009.122,,,,27009.122,27931.554,99.458,,,0.0,,3009.861,2838.571,1938.854,899.717,171.29,3109.319,,147.289,,26.767,120.522,267.25,0.0,,,,267.25,26958.496,,,265.217,26958.496,27373.035,190.0,190.0,,,,391.308,,,,,126.091,581.308,27954.343,0.0,1782.578,0.789,1781.789,-489.145,1697.692,58.078,3049.203,37.327,3086.53,31040.873,
09/30/2011,38666.73,497.303,497.303,0.0,159.219,159.219,0.0,0.0,0.0,0.0,0.0,0.0,34566.427,,,,34566.427,35222.949,99.114,,,400.217,400.217,2944.45,2774.278,1901.88,872.398,170.172,3443.781,,173.907,,49.481,124.426,231.5,0.0,,,,231.5,34523.293,,,240.669,34523.293,34928.7,370.0,370.0,,,,356.898,,,,,116.229,726.898,35655.598,0.0,1811.72,0.791,1810.929,-593.562,1830.323,-74.671,2973.81,37.322,3011.132,38666.73,
12/31/2011,36147.864,822.949,822.949,0.0,136.331,136.331,0.0,0.0,0.0,0.0,0.0,0.0,31646.111,,1.658,,31646.111,32605.391,130.962,344.793,-213.831,451.136,451.136,2960.375,2757.358,1902.984,854.374,201.359,3542.473,,146.826,,22.614,124.212,50.0,0.0,0.0,0.0,,50.0,31603.488,0.0,,235.889,31603.488,31800.314,837.5,837.5,0.0,0.0,,347.709,0.0,0.0,0.0,0.0,111.82,1185.209,32985.523,0.0,1829.973,0.792,1829.181,-644.291,1957.096,-21.253,3121.525,40.816,3162.341,36147.864,
03/31/2012,36124.101,968.385,968.385,0.0,178.844,178.844,0.0,0.0,0.0,0.0,0.0,0.0,31359.555,,,,31359.555,32506.784,133.247,,,523.262,523.262,2960.808,2761.131,1916.483,844.648,199.677,3617.317,,166.992,,65.515,101.477,50.0,0.0,,,,50.0,31333.509,,,232.434,31333.509,31550.501,825.0,825.0,,,,340.703,,,,,108.269,1165.703,32716.204,0.0,1855.037,0.797,1854.24,-658.31,2104.961,70.948,3372.636,35.261,3407.897,36124.101,
06/30/2012,39504.768,1082.018,1082.018,0.0,175.186,175.186,0.0,0.0,0.0,0.0,0.0,0.0,34801.25,,,,34801.25,36058.454,137.678,,,381.17,381.17,2927.466,2729.785,1907.338,822.447,197.681,3446.314,,147.725,,36.139,111.586,50.0,0.0,,,,50.0,34757.824,,,220.451,34757.824,34955.549,812.5,812.5,,,,329.392,,,,,108.941,1141.892,36097.441,0.0,1871.933,0.797,1871.136,-662.822,2248.118,-81.481,3375.748,31.579,3407.327,39504.768,
09/30/2012,37540.084,1241.176,1241.176,0.0,148.897,148.897,0.0,0.0,0.0,0.0,0.0,0.0,32644.422,,,,32644.422,34034.495,140.926,,,414.529,414.529,2950.134,2753.422,1936.796,816.626,196.712,3505.589,,167.623,,36.878,130.745,50.0,0.0,,,,50.0,32592.719,,,216.028,32592.719,32810.342,800.0,800.0,,,,323.783,,,,,107.755,1123.783,33934.125,0.0,1888.152,0.798,1887.354,-664.389,2379.2,-27.104,3575.859,30.1,3605.959,37540.084,
12/31/2012,37215.0,1612.0,1612.0,0.0,127.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,32011.0,0.0,,,32004.0,33750.0,144.0,387.0,-243.0,391.0,391.0,2930.0,2737.0,1938.0,799.0,193.0,3465.0,,125.0,,,125.0,163.0,163.0,0.0,0.0,,,31958.0,0.0,0.0,216.0,31958.0,32246.0,969.0,969.0,0.0,0.0,,323.0,0.0,0.0,0.0,0.0,107.0,1292.0,33538.0,0.0,1904.0,1.0,1903.0,-717.0,2509.0,-52.0,3644.0,33.0,3677.0,37215.0,
03/31/2013,38858.537,1390.836,1390.836,0.0,186.955,186.955,0.0,0.0,0.0,0.0,0.0,0.0,33797.39,,,,33797.39,35375.181,154.824,,,375.678,375.678,2952.854,2754.443,1933.76,820.683,198.411,3483.356,,165.141,,49.727,115.414,48.824,0.0,,,,48.824,33695.665,,,214.438,33695.665,33909.63,861.676,861.676,,,,339.717,,,,,125.279,1201.393,35111.023,0.0,1923.167,0.803,1922.364,-736.437,2644.114,-110.439,3720.405,27.109,3747.514,38858.537,
06/30/2013,40613.727,1493.577,1457.048,36.529,185.784,185.784,0.0,0.0,0.0,0.0,0.0,0.0,35505.845,,,,35505.845,37185.206,164.901,,,329.547,329.547,2934.073,2737.117,1932.929,804.188,196.956,3428.521,,196.221,,51.007,145.214,48.824,0.0,,,,48.824,35399.753,,,205.406,35399.753,35644.798,753.971,753.971,,,,336.083,,,,,130.677,1090.054,36734.852,0.0,1946.085,0.804,1945.281,-737.846,2797.437,-158.448,3847.228,31.647,3878.875,40613.727,
09/30/2013,48884.91,1573.79,1537.266,36.524,175.826,175.826,0.0,0.0,0.0,0.0,0.0,0.0,43639.991,,,,43639.991,45389.607,201.673,,,329.962,329.962,2963.668,2765.521,1961.606,803.915,198.147,3495.303,,198.462,,61.294,137.168,448.824,0.0,,,,448.824,43498.523,,,192.398,43498.523,44145.809,341.765,341.765,,,,311.278,,,,,118.88,653.043,44798.852,0.0,1960.934,0.804,1960.13,-740.365,2938.752,-117.452,4041.869,44.189,4086.058,48884.91,
12/31/2013,64422.0,1035.0,961.0,74.0,546.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,42688.0,,2.0,,42638.0,44269.0,889.0,1175.0,-286.0,324.0,324.0,18940.0,18512.0,9189.0,9323.0,426.0,20153.0,,696.0,,,696.0,1135.0,1135.0,0.0,0.0,,0.0,42490.0,0.0,,2594.0,42418.0,44321.0,3923.0,3923.0,0.0,0.0,,3475.0,412.0,0.0,0.0,0.0,469.0,7398.0,51719.0,0.0,9795.0,1.0,9794.0,-53.0,2482.0,125.0,12349.0,354.0,12703.0,64422.0,
03/31/2014,65921.0,1021.0,964.0,57.0,544.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,43689.0,,,,43689.0,45254.0,898.0,,,384.0,384.0,19385.0,18892.0,9482.0,9410.0,493.0,20667.0,,549.0,,,549.0,1297.0,1297.0,,,,,43557.0,,,2809.0,43209.0,45403.0,3584.0,3584.0,,,,3698.0,392.0,,,,497.0,7282.0,52685.0,0.0,9836.0,1.0,9835.0,-89.0,2704.0,464.0,12915.0,321.0,13236.0,65921.0,
06/30/2014,68482.0,2083.0,2057.0,26.0,432.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,47676.0,,,,47676.0,50191.0,845.0,,,557.0,557.0,16889.0,16540.0,8583.0,7957.0,349.0,18291.0,,447.0,,,447.0,1683.0,0.0,,,,1683.0,47540.0,,,2197.0,47269.0,49670.0,2248.0,2248.0,,,,3024.0,367.0,,,,460.0,5272.0,54942.0,0.0,9873.0,1.0,9872.0,-90.0,2878.0,582.0,13243.0,297.0,13540.0,68482.0,
09/30/2014,67286.0,1879.0,638.0,1241.0,446.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,47053.0,,,,47053.0,49378.0,839.0,,,496.0,496.0,16573.0,16225.0,8471.0,7754.0,348.0,17908.0,,467.0,,,467.0,1889.0,0.0,,,,1889.0,46981.0,,,2137.0,46842.0,49337.0,2247.0,2247.0,,,,2915.0,320.0,,,,458.0,5162.0,54499.0,0.0,9910.0,1.0,9909.0,-540.0,3000.0,244.0,12614.0,173.0,12787.0,67286.0,
12/31/2014,68254.0,1852.0,652.0,1200.0,508.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,47872.0,0.0,15.0,,47872.0,50232.0,874.0,1301.0,-427.0,379.0,379.0,16769.0,16315.0,8535.0,7780.0,439.0,18022.0,,614.0,,,614.0,2042.0,2042.0,0.0,0.0,,,47780.0,,0.0,2028.0,47711.0,50436.0,2235.0,2235.0,0.0,0.0,,3026.0,516.0,198.0,,,284.0,5261.0,55697.0,0.0,9939.0,1.0,9938.0,-743.0,3210.0,-46.0,12360.0,197.0,12557.0,68254.0,
03/31/2015,66428.0,1825.0,752.0,1073.0,608.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,46053.0,,,,46053.0,48486.0,879.0,,,309.0,309.0,16754.0,16228.0,8504.0,7724.0,526.0,17942.0,,504.0,,,504.0,1946.0,1946.0,,,,,46348.0,,,1913.0,45981.0,48798.0,2247.0,2247.0,,,,2889.0,502.0,,,,474.0,5136.0,53934.0,0.0,9984.0,1.0,9983.0,-975.0,3441.0,-153.0,12297.0,197.0,12494.0,66428.0,
06/30/2015,63104.0,700.0,678.0,22.0,541.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0,43892.0,,,,43892.0,45133.0,911.0,,,341.0,341.0,16719.0,16232.0,8532.0,7700.0,487.0,17971.0,,445.0,,,445.0,1016.0,1016.0,,,,,44119.0,,,1902.0,43825.0,45580.0,2247.0,2247.0,,,,2794.0,499.0,,,,393.0,5041.0,50621.0,0.0,10018.0,1.0,10017.0,-1181.0,3641.0,-68.0,12410.0,73.0,12483.0,63104.0,
09/30/2015,65856.0,708.0,687.0,21.0,490.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,46854.0,,,,46854.0,48052.0,904.0,,,253.0,253.0,16647.0,16160.0,8507.0,7653.0,487.0,17804.0,,427.0,,,427.0,1253.0,1253.0,,,,,46778.0,,,1870.0,46592.0,48458.0,2247.0,2247.0,,,,2741.0,476.0,,,,395.0,4988.0,53446.0,0.0,10098.0,41.0,10057.0,-1390.0,3863.0,-191.0,12380.0,30.0,12410.0,65856.0,
12/31/2015,77987.0,656.0,627.0,29.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,51957.0,0.0,18.0,,51957.0,53313.0,1037.0,1623.0,-586.0,299.0,299.0,23338.0,22837.0,12079.0,10758.0,483.0,24674.0,,613.0,,,613.0,2591.0,2591.0,0.0,0.0,,,51539.0,0.0,0.0,2837.0,51441.0,54743.0,4717.0,4717.0,0.0,0.0,,3652.0,478.0,195.0,,,142.0,8369.0,63112.0,0.0,12296.0,6.0,12290.0,-1448.0,4148.0,-188.0,14808.0,67.0,14875.0,77987.0,
03/31/2016,79160.0,493.0,468.0,25.0,941.0,941.0,0.0,0.0,0.0,0.0,0.0,0.0,53120.0,,,,53120.0,54554.0,1018.0,,,352.0,352.0,23236.0,22734.0,12104.0,10630.0,502.0,24606.0,,506.0,,,506.0,2048.0,2048.0,,,,,53082.0,,,2893.0,52653.0,55636.0,4718.0,4718.0,,,,3692.0,470.0,,,,329.0,8410.0,64046.0,0.0,12335.0,1.0,12334.0,-1494.0,4415.0,-208.0,15048.0,66.0,15114.0,79160.0,
06/30/2016,75224.0,414.0,390.0,24.0,862.0,862.0,0.0,0.0,0.0,0.0,0.0,0.0,49354.0,,,,49354.0,50630.0,1048.0,,,427.0,427.0,23119.0,22539.0,12046.0,10493.0,580.0,24594.0,,499.0,,,499.0,1811.0,1811.0,,,,,49128.0,,,2903.0,48798.0,51438.0,4719.0,4719.0,,,,3704.0,470.0,,,,331.0,8423.0,59861.0,0.0,12377.0,1.0,12376.0,-1496.0,4669.0,-258.0,15292.0,71.0,15363.0,75224.0,
09/30/2016,76296.0,482.0,458.0,24.0,789.0,789.0,0.0,0.0,0.0,0.0,0.0,0.0,50573.0,,,,50573.0,51844.0,1080.0,,,416.0,416.0,22956.0,22368.0,12009.0,10359.0,588.0,24452.0,,565.0,,,565.0,1585.0,1585.0,,,,,50204.0,,,2841.0,49987.0,52354.0,4720.0,4720.0,,,,3644.0,454.0,,,,349.0,8364.0,60718.0,0.0,12416.0,1.0,12415.0,-1499.0,4911.0,-316.0,15512.0,66.0,15578.0,76296.0,
12/31/2016,82003.0,430.0,407.0,23.0,777.0,777.0,0.0,0.0,0.0,0.0,0.0,0.0,55926.0,0.0,4.0,,55926.0,57133.0,1129.0,1936.0,-807.0,432.0,432.0,23309.0,22711.0,12291.0,10420.0,594.0,24870.0,,618.0,,,618.0,2493.0,2493.0,0.0,0.0,,,55506.0,0.0,0.0,2958.0,55392.0,58617.0,3871.0,3871.0,0.0,0.0,,3725.0,430.0,172.0,,,165.0,7596.0,66213.0,0.0,11312.0,6.0,11306.0,-40.0,4789.0,-344.0,15717.0,73.0,15790.0,82003.0,
03/31/2017,79463.0,381.0,360.0,21.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,53693.0,,,,53693.0,55073.0,1132.0,,,0.0,0.0,23258.0,22658.0,12302.0,10356.0,600.0,24390.0,,555.0,,,555.0,2376.0,2376.0,,,,,53075.0,,,2985.0,52635.0,56006.0,3872.0,3872.0,,,,3761.0,415.0,,,,361.0,7633.0,63639.0,0.0,11357.0,6.0,11351.0,-346.0,5171.0,-427.0,15755.0,69.0,15824.0,79463.0,
06/30/2017,80324.0,415.0,398.0,17.0,912.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0,55121.0,,,,55121.0,56448.0,1161.0,,,0.0,0.0,22715.0,22104.0,12001.0,10103.0,611.0,23876.0,,555.0,,,555.0,2023.0,2023.0,,,,,54241.0,136.0,,2915.0,53903.0,56819.0,3874.0,3874.0,,,,3698.0,407.0,,,,240.0,7572.0,64391.0,0.0,11387.0,6.0,11381.0,-590.0,5468.0,-367.0,15898.0,35.0,15933.0,80324.0,
09/30/2017,79118.0,435.0,419.0,16.0,897.0,897.0,0.0,0.0,0.0,0.0,0.0,0.0,53907.0,,,,53907.0,55239.0,1192.0,,,0.0,0.0,22687.0,22072.0,12016.0,10056.0,615.0,23879.0,,611.0,,,611.0,1197.0,1197.0,,,,,52792.0,,,2989.0,52564.0,54600.0,4865.0,4865.0,,,,3634.0,264.0,,,,381.0,8499.0,63099.0,0.0,11429.0,6.0,11423.0,-833.0,5718.0,-322.0,15992.0,27.0,16019.0,79118.0,
12/31/2017,78264.0,535.0,535.0,0.0,903.0,903.0,0.0,0.0,0.0,0.0,0.0,0.0,52124.0,0.0,3.0,,52124.0,53562.0,1246.0,2276.0,-1030.0,0.0,,23456.0,22485.0,12216.0,10269.0,968.0,24702.0,,689.0,,,689.0,1833.0,1833.0,0.0,0.0,,,51653.0,0.0,0.0,2298.0,51528.0,54175.0,4267.0,4267.0,0.0,0.0,,2837.0,243.0,6.0,,,290.0,7104.0,61279.0,0.0,11398.0,6.0,11392.0,-1076.0,6858.0,-223.0,16957.0,28.0,16985.0,78264.0,
