Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2014,788.909,548.469,240.44,-518.62,518.62,270.289,0.0,-223.847,139.585,,84.262,0.0,46.442,-70.596,56.438,,,,,14.158,-24.154,-1.494,,,,-25.648,0.0,0.0,0.0,-25.648,0.039,-25.609,0.0,0.0,-25.609,23.048,48.657,212.698622,-0.12,-0.12,0.10836,212.698622,-0.12,-0.12,0.10836,
03/31/2015,938.182,670.483,267.699,-623.7,623.7,314.482,0.0,-254.133,154.157,,99.976,0.0,60.349,-81.128,50.989,,,,,30.139,-20.779,-0.677,,,,-21.456,0.0,0.0,0.0,-21.456,0.0,-21.456,0.0,0.0,-21.456,22.36965,43.82565,224.301117,-0.1,-0.1,0.09973,224.301117,-0.1,-0.1,0.095388,
06/30/2015,1085.433,787.991,297.442,-656.279,656.279,429.154,0.0,-211.771,107.164,,104.607,0.0,217.383,-56.163,52.446,,,,,3.717,161.22,-2.726,,,,158.494,0.0,0.0,0.0,158.494,0.0,158.494,0.0,0.0,158.494,150.8071,-7.6869,225.698078,0.7,0.7,0.668181,230.228144,0.69,0.69,0.656612,
09/30/2015,1284.91,948.059,336.851,-717.722,717.722,567.188,0.0,-260.356,150.558,,109.798,0.0,306.832,-51.517,49.784,,,,,1.733,255.315,-3.528,,,,251.787,0.0,0.0,0.0,251.787,0.0,251.787,0.0,0.0,251.787,272.895,21.108,227.384616,1.11,1.11,1.200147,230.274756,1.09,1.09,1.181664,
12/31/2015,1036.523,722.542,313.981,-657.748,657.748,378.775,0.0,-260.853,143.12,,117.733,0.0,117.922,-79.769,68.69,,,,,11.079,38.153,0.159,,,,38.312,0.0,0.0,0.0,38.312,,38.312,0.0,0.0,38.312,71.77,33.458,228.922432,0.17,0.17,0.313512,230.15351,0.17,0.17,0.313512,
03/31/2016,1077.632,740.112,337.52,-664.481,664.481,413.151,0.0,-281.869,180.574,,101.295,0.0,131.282,-56.949,59.754,,,,,-2.805,74.333,-1.104,,,,73.229,0.0,0.0,0.0,73.229,0.0,73.229,0.0,0.0,73.229,65.364,-7.865,227.239533,0.32,0.32,0.287644,228.112035,0.32,0.32,0.285521,
06/30/2016,1186.835,818.478,368.357,-705.9,705.9,480.935,0.0,-253.917,149.307,,104.61,0.0,227.018,-79.173,68.42,,,,,10.753,147.845,-2.599,,,,145.246,0.0,0.0,0.0,145.246,0.0,145.246,0.0,0.0,145.246,170.00585,24.75985,226.972076,0.64,0.64,0.749017,227.884704,0.64,0.64,0.748651,
09/30/2016,1484.736,1071.815,412.921,-784.734,784.734,700.002,0.0,-286.388,174.813,,111.575,0.0,413.614,-65.995,60.662,,,,,5.333,347.619,-5.241,,,,342.378,0.0,0.0,0.0,342.378,0.0,342.378,0.0,0.0,342.378,346.403,4.025,227.096142,1.51,1.51,1.525358,227.598607,1.5,1.5,1.517685,
12/31/2016,1125.137,758.549,366.588,-695.11,695.11,430.027,0.0,-276.477,161.462,,115.015,0.0,153.55,-83.044,88.023,,,,,-4.979,70.506,1.726,,,,72.232,0.0,0.0,0.0,72.232,0.0,72.232,0.0,0.0,72.232,107.25905,35.02705,227.1794,0.32,0.32,0.472134,227.821878,0.32,0.32,0.472134,
03/31/2017,1150.781,786.694,364.087,-719.798,719.798,430.983,0.0,-311.249,192.044,,119.205,0.0,119.734,-55.775,52.96,,,,,2.815,63.959,-2.049,,,,61.91,0.0,0.0,0.0,61.91,0.0,61.91,0.0,0.0,61.91,64.559,2.649,227.468526,0.27,0.27,0.283815,228.555952,0.27,0.27,0.28159,
06/30/2017,1344.103,938.014,406.089,-752.242,752.242,591.861,0.0,-316.79,193.649,,123.141,0.0,275.071,-69.805,64.196,,,,,5.609,205.266,-6.793,,,,198.473,0.0,0.0,0.0,198.473,0.0,198.473,0.0,0.0,198.473,200.329,1.856,227.931135,0.87,0.87,0.878901,229.090085,0.87,0.87,0.878102,
09/30/2017,1651.738,1192.023,459.715,-838.165,838.165,813.573,0.0,-336.753,202.221,,134.532,0.0,476.82,-69.601,66.339,,,,,3.262,407.219,-6.527,,,,400.692,0.0,0.0,0.0,400.692,0.0,400.692,0.0,0.0,400.692,396.676,-4.016,228.267307,1.76,1.76,1.73777,229.816956,1.74,1.74,1.722525,
12/31/2017,1249.553,833.299,416.254,-753.439,753.439,496.114,0.0,-318.92,185.841,,133.079,0.0,177.194,-83.024,84.309,,,0.0,,-1.285,94.17,4.627,,,,98.797,0.0,0.0,0.0,98.797,0.0,98.797,0.0,0.0,98.797,124.598,25.801,228.482697,0.43,0.43,0.545328,230.19668,0.43,0.43,0.542082,
03/31/2018,1293.403,889.866,403.537,-768.091,768.091,525.312,0.0,-358.259,227.015,,131.244,0.0,167.053,-61.364,59.698,,,,,1.666,105.689,-2.534,,,,103.155,0.0,0.0,0.0,103.155,0.0,103.155,0.0,0.0,103.155,102.163,-0.992,227.343577,0.45,0.45,0.449377,229.187628,0.45,0.45,0.445672,
06/30/2018,1522.174,1077.046,445.128,-862.783,862.783,659.391,0.0,-367.239,226.535,,140.704,0.0,292.152,-60.066,72.988,,,,,-12.922,232.086,-5.41,,,,226.676,0.0,0.0,0.0,226.676,0.0,226.676,0.0,0.0,226.676,233.102,6.426,223.30835,1.02,1.02,1.043857,224.390879,1.01,1.01,1.038638,
09/30/2018,1858.356,1334.46,523.896,-928.944,928.944,929.412,0.0,-379.136,235.436,,143.7,0.0,550.276,-69.442,69.54,,,,,-0.098,480.834,-10.456,,,,470.378,0.0,0.0,0.0,470.378,0.0,470.378,0.0,0.0,470.378,470.378,0.0,221.51163,2.12,2.12,2.12,222.752738,2.11,2.11,2.11,
12/31/2018,1381.193,958.443,422.75,-817.258,817.258,563.935,0.0,-354.355,208.943,0.0,145.412,0.0,209.58,-58.879,68.178,,,0.0,,-9.299,150.701,3.933,,,,154.634,0.0,0.0,0.0,154.634,0.0,154.634,0.0,0.0,154.634,155.134,0.5,219.94112,0.7,0.7,0.705343,221.443295,0.7,0.7,0.702258,
03/31/2019,1403.63,973.273,430.357,-826.651,826.651,576.979,0.0,-418.683,248.942,,169.741,0.0,158.296,-73.937,73.503,,,,,0.434,84.359,33.798,,,,118.157,0.0,0.0,0.0,118.157,0.0,118.157,0.0,0.0,118.157,149.278,31.121,217.241473,0.54,0.54,0.687152,218.873272,0.54,0.54,0.682187,
06/30/2019,1664.277,1179.404,484.873,-958.424,958.424,705.853,0.0,-397.172,240.901,,156.271,0.0,308.681,-62.353,65.969,,,,,-3.616,246.328,-6.138,,,,240.19,0.0,0.0,0.0,240.19,0.0,240.19,0.0,0.0,240.19,246.966,6.776,215.426441,1.11,1.11,1.146405,216.810766,1.11,1.11,1.141253,
09/30/2019,1913.851,1373.779,540.072,-990.764,990.764,923.087,0.0,-411.363,255.148,,156.215,0.0,511.724,-49.937,60.188,,,,,-10.251,461.787,-11.203,,,,450.584,0.0,0.0,0.0,450.584,0.0,450.584,0.0,0.0,450.584,450.584,0.0,214.207716,2.1,2.1,2.1,215.499462,2.09,2.09,2.09,
12/31/2019,1480.618,990.937,489.681,-887.422,887.422,593.196,0.0,-393.82,229.859,,163.961,0.0,199.376,-80.485,73.207,,,,,7.278,118.891,2.406,,,,121.297,0.0,0.0,0.0,121.297,0.0,121.297,0.0,0.0,121.297,137.219,15.922,212.899925,0.57,0.57,0.644523,214.77245,0.56,0.56,0.634134,
03/31/2020,1246.882,840.791,406.091,-994.26,994.26,252.622,0.0,-2076.683,270.689,,198.197,1607.797,-1824.061,-63.084,68.907,,,,,-5.823,-1887.145,6.173,,,,-1880.972,0.0,0.0,0.0,-1880.972,0.0,-1880.972,0.0,0.0,-1880.972,-1880.972,0.0,213.630798,-8.8,-8.8,-8.8,213.630798,-8.8,-8.8,-8.8,
06/30/2020,16.929,13.835,3.094,-301.652,301.652,-284.723,0.0,-310.688,131.436,,179.252,0.0,-595.411,-128.955,114.537,,,,,14.418,-724.366,9.123,,,,-715.243,0.0,0.0,0.0,-715.243,0.0,-715.243,0.0,0.0,-715.243,-692.565,22.678,239.342745,-2.99,-2.99,-2.893612,239.342745,-2.99,-2.99,-2.895249,
09/30/2020,52.707,,,,,52.707,,,,,,,-392.111,,,,,,,,-601.143,,,,,-622.286,,,,,,-622.286,,,-622.286,-488.364,,,-2.386,-2.386,-2.259,,-2.386,-2.386,-2.259,
12/31/2020,84.81,,,,,-430.7338761,,,,,,,-581.667,,,,,,,,-592.143,,,,,-605.857,,,,,,-605.857,,,-605.857,-531.818,,,-2.299,-2.299,-2.212,,-2.299,-2.299,-2.212,
