Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2011,1541.106,196.669,191.603,5.066,153.339,153.339,0.0,,0,0,0,0,0,103.646,21.905,0.0,,10.48,36.675,41.248,453.654,119.411,361.27,-241.859,0.0,968.041,936.368,709.944,226.424,,21.193,1087.452,,162.992,,,,162.992,5.554,5.554,,,,,181.104,0.0,0.0,4.262,349.65,1100.332,1100.332,,,,189.614,0.0,127.748,0.0,61.866,1289.946,1639.596,0,874.945,0.137,874.808,-1471.042,576.585,-78.978,-98.49,0,-98.49,1541.106,
03/31/2012,1892.043,119.898,114.93,4.968,194.54,194.54,0.0,,0,0,0,0,0,105.402,28.619,,,0.0,23.747,39.536,419.84,124.781,,,0.0,1347.422,1309.04,933.298,375.742,,38.382,1472.203,,144.974,,,,144.974,130.478,130.478,,,,,292.104,,,3.162,567.556,1099.285,1099.285,,,,235.46,,115.549,39.868,80.043,1334.745,1902.301,0,918.021,0.137,917.884,-1501.414,651.186,-78.051,-10.258,0,-10.258,1892.043,
06/30/2012,1853.343,101.98,97.198,4.782,173.607,173.607,0.0,,0,0,0,0,0,121.908,28.492,,,0.0,31.343,46.46,397.495,133.731,,,0.0,1322.117,1298.317,934.762,363.555,,23.8,1455.848,,153.684,,,,153.684,201.783,201.783,,,,,256.792,,,2.912,612.259,1054.395,1054.395,,,,140.007,,35.621,41.88,62.506,1194.402,1806.661,0,963.189,0.137,963.052,-1563.079,724.517,-77.945,46.682,0,46.682,1853.343,
09/30/2012,2303.433,102.665,97.77,4.895,175.52,175.52,0.0,,0,0,0,0,0,83.152,25.387,,,0.0,8.538,33.613,361.337,144.799,,,0.0,1797.297,1750.407,1220.384,530.023,,46.89,1942.096,,179.751,,3.287,,176.464,265.794,265.794,,,,,222.712,,,2.912,668.257,1301.683,1301.683,,,,191.445,,27.891,80.755,82.799,1493.128,2161.385,0,991.876,0.137,991.739,-1579.859,807.428,-77.397,142.048,0,142.048,2303.433,
12/31/2012,2360.336,94.702,89.819,4.883,178.43,178.43,0.0,,0,0,0,0,0,117.427,21.946,0.0,,,45.975,39.109,390.559,154.084,430.065,-275.981,0.0,1815.693,1768.394,1247.459,520.935,41.282,6.017,1969.777,,187.648,,,,187.648,195.263,0.0,5.263,5.263,,190.0,202.439,0.0,0.0,1.734,585.35,1266.162,1264.409,1.753,1.753,,253.233,0.0,41.282,133.761,78.19,1519.395,2104.745,0,1044.883,0.137,1044.746,-1605.376,905.727,-89.643,255.591,0,255.591,2360.336,
03/31/2013,2516.347,272.499,267.358,5.141,190.917,190.917,0.0,,0,0,0,0,0,89.127,31.955,,,,15.08,31.629,552.543,167.129,,,0.0,1796.675,1751.989,1248.261,503.728,,44.686,1963.804,,150.261,,,,150.261,183.979,183.979,,,,,316.182,,,1.734,650.422,1266.467,1266.467,,,,246.934,,37.951,134.499,74.484,1513.401,2163.823,0,1077.895,0.137,1077.758,-1622.24,986.238,-89.369,352.524,0,352.524,2516.347,
06/30/2013,2439.351,176.841,172.587,4.254,186.549,186.549,0.0,,0,0,0,0,0,130.219,31.048,,,,54.013,34.695,493.609,185.928,,,0.0,1759.814,1735.803,1249.271,486.532,,24.011,1945.742,,157.961,,,,157.961,137.87,137.87,,,,,289.305,,,1.734,585.136,1266.91,1266.91,,,,221.8,,34.405,135.257,52.138,1488.71,2073.846,0,1117.085,0.137,1116.948,-1733.283,1070.443,-88.74,365.505,0,365.505,2439.351,
09/30/2013,2429.872,184.717,180.203,4.514,167.767,167.767,0.0,,0,0,0,0,0,108.846,25.986,,,,42.191,28.709,461.33,219.116,,,0.0,1749.426,1722.027,1250.888,471.139,,27.399,1968.542,,171.285,,,,171.285,39.459,35.0,4.459,4.459,,,245.894,,,1.734,456.638,1271.17,1264.949,6.221,6.221,,219.062,,30.456,143.432,45.174,1490.232,1946.87,0,1156.312,0.137,1156.175,-1753.231,1166.884,-86.963,483.002,0,483.002,2429.872,
12/31/2013,2504.451,169.712,165.801,3.911,158.547,158.547,0.0,,0,0,0,0,0,146.586,25.657,0.0,,,67.346,48.506,474.845,233.373,542.572,-309.199,0.0,1796.233,1629.299,1181.681,447.618,76.023,90.911,2029.606,,188.264,,,,188.264,4.448,0.0,4.448,4.448,,,238.467,0.0,0.0,11.886,431.179,1271.439,1265.129,6.31,6.31,,254.244,0.0,15.068,198.604,40.572,1525.683,1956.862,0,1202.243,0.137,1202.106,-1864.967,1254.107,-43.794,547.589,0,547.589,2504.451,
03/31/2014,2640.004,431.294,427.376,3.918,173.451,173.451,0.0,,0,0,0,0,0,74.459,26.407,,,,7.499,35.478,679.204,251.731,,,0.0,1709.069,1619.342,1184.374,434.968,,89.727,1960.8,,165.059,,8.166,,156.893,4.317,0.0,4.317,4.317,,0.0,346.264,,,2.437,515.64,1270.992,1265.309,5.683,5.683,,253.846,,15.116,194.305,44.425,1524.838,2040.478,0,1224.259,0.137,1224.122,-1951.306,1369.665,-43.092,599.526,0,599.526,2640.004,
06/30/2014,2675.277,423.285,419.448,3.837,177.973,177.973,0.0,,0,0,0,0,0,103.305,37.183,,,,28.5,32.546,704.563,272.875,,,0.0,1697.839,1605.121,1184.374,420.747,68.659,24.059,1970.714,,157.35,,,,157.35,139.781,135.0,4.781,4.781,,,311.612,,,2.437,608.743,1135.645,1130.489,5.156,5.156,,254.604,,16.164,194.523,43.917,1390.249,1998.992,0,1240.999,0.137,1240.862,-1979.871,1457.764,-42.607,676.285,0,676.285,2675.277,
09/30/2014,2677.7,436.22,432.49,3.73,188.711,188.711,0.0,,0,0,0,0,0,80.721,31.15,,,,30.112,14.383,705.652,281.347,,,0.0,1690.701,1590.934,1184.374,406.56,,99.767,1972.048,,164.288,,,,164.288,140.455,135.0,5.455,5.455,,,256.597,,,2.437,561.34,1136.205,1130.668,5.537,5.537,,254.171,,16.012,194.871,43.288,1390.376,1951.716,0,1256.678,0.137,1256.541,-2044.415,1556.779,-43.058,725.984,0,725.984,2677.7,
12/31/2014,2345.33,43.16,39.359,3.801,197.344,197.344,0.0,23.324,0,0,0,0,0,120.655,31.496,0.0,,,65.512,18.875,384.483,302.273,679.835,-377.562,0.0,1658.574,1613.622,1207.146,406.476,18.589,26.363,1960.847,,180.726,,,,180.726,336.058,330.0,6.058,6.058,,,254.486,0.0,0.0,1.894,771.27,1100.874,1095.848,5.026,5.026,,262.143,0.0,16.215,202.54,43.388,1363.017,2134.287,0,1171.333,0.137,1171.196,-2533.764,1654.149,-80.675,211.043,0,211.043,2345.33,
03/31/2015,2404.499,156.702,152.847,3.855,226.637,226.637,0.0,,0,0,0,0,0,70.654,29.741,,,,12.793,23.35,453.993,303.829,,,0.0,1646.677,1599.479,1207.144,392.335,22.723,24.475,1950.506,,142.471,,0.0,,142.471,205.878,0.0,5.878,5.878,,200.0,361.421,,,1.894,709.77,1100.358,1096.029,4.329,4.329,,262.649,,16.171,203.383,43.095,1363.007,2072.777,0,1190.627,0.137,1190.49,-2531.547,1752.835,-80.193,331.722,0,331.722,2404.499,
06/30/2015,5775.663,149.216,145.491,3.725,267.379,267.379,0.0,,0,0,0,0,0,193.392,37.478,,,,65.182,85.962,609.987,386.093,,,0.0,4779.583,4713.207,3057.642,1655.565,27.026,39.35,5165.676,,246.361,,,,246.361,1025.797,1020.0,5.797,5.797,,,437.895,,,1.894,1710.053,2293.864,2290.241,3.623,3.623,,527.424,,15.878,463.561,47.985,2821.288,4531.341,0,1971.407,0.137,1971.27,-2559.263,1916.155,-83.977,1244.322,0,1244.322,5775.663,
09/30/2015,5619.097,172.455,168.825,3.63,266.0,266.0,0.0,,0,0,0,0,0,179.307,46.129,,,,45.209,83.2,617.762,391.625,,,0.0,4609.71,4535.051,3119.485,1415.566,31.245,43.414,5001.335,,266.467,,,,266.467,905.473,900.0,5.473,5.473,,,368.818,,,1.894,1540.758,2292.892,2290.552,2.34,2.34,,471.811,,15.888,401.422,54.501,2764.703,4305.461,0,1999.916,0.137,1999.779,-2554.832,2047.969,-179.417,1313.636,0,1313.636,5619.097,
12/31/2015,5593.7,141.9,138.3,3.6,213.4,213.4,0.0,37.6,0,0,0,0,0,211.7,34.1,0.0,76.1,0.0,48.6,52.9,604.6,350.3,752.3,-402.0,0.0,4638.8,3998.1,2753.0,1245.1,32.9,607.8,4989.1,,222.1,,,,222.1,874.8,0.0,4.8,4.8,,870.0,382.4,0.0,0.0,41.5,1479.3,2270.9,2268.583,2.317,2.317,,471.5,0.0,14.9,329.2,127.4,2742.4,4221.7,0,2023.5,0.1,2023.4,-2571.2,2161.7,-242.0,1372.0,0,1372.0,5593.7,
03/31/2016,5459.147,135.29,131.818,3.472,297.312,297.312,0.0,,0,0,0,0,0,154.181,30.828,,62.485,,8.561,52.307,586.783,341.989,,,0.0,4530.375,3895.384,2703.914,1191.47,36.188,598.803,4872.364,,187.589,,7.918,,179.671,709.143,705.0,4.143,4.143,,,520.147,,,33.596,1416.879,2271.879,2269.715,2.164,2.164,,479.924,,14.796,342.166,122.962,2751.803,4168.682,0,2038.884,0.137,2038.747,-2686.007,2254.365,-316.777,1290.465,0,1290.465,5459.147,
06/30/2016,4725.063,199.774,196.402,3.372,241.326,241.326,0.0,,0,0,0,0,0,55.817,30.87,,0.0,,5.748,19.199,496.917,334.631,,,0.0,3893.515,3734.203,2629.941,1104.262,39.534,119.778,4228.146,,179.908,,16.495,,163.413,2.256,0.0,2.256,2.256,,,433.002,,,1.831,615.166,2273.032,2271.059,1.973,1.973,,387.001,,14.566,314.705,57.73,2660.033,3275.199,0,2071.634,0.137,2071.497,-2680.728,2516.101,-457.143,1449.864,0,1449.864,4725.063,
09/30/2016,4685.051,168.244,164.787,3.457,229.939,229.939,,,0,0,0,0,0,66.118,28.616,,0.0,,11.236,26.266,464.301,355.867,,,,3864.883,3701.267,2632.178,1069.089,42.524,121.092,4220.75,,192.301,,,,192.301,6.899,0.0,6.899,6.899,,,357.29,,,1.831,556.49,2279.443,2272.111,7.332,7.332,,373.688,,13.933,305.694,54.061,2653.131,3209.621,0,2101.126,0.137,2100.989,-2750.44,2643.678,-518.934,1475.43,0,1475.43,4685.051,
12/31/2016,4631.2,138.5,135.1,3.4,213.0,213.0,0.0,50.9,0,0,0,0,0,98.5,28.9,0.0,0.0,15.6,49.3,20.3,500.9,380.3,865.6,-485.3,0.0,3750.0,3588.9,2578.1,1010.8,33.9,111.6,4130.3,,184.0,,,,184.0,106.8,0.0,6.8,6.8,,100.0,330.8,0.0,0.0,0.0,621.6,2280.2,2273.1,7.1,7.1,,397.0,0.0,,322.2,74.8,2677.2,3298.8,0,2121.7,0.1,2121.6,-2891.4,2752.9,-650.8,1332.4,0,1332.4,4631.2,
03/31/2017,4748.7,158.6,155.0,3.6,298.7,298.7,0.0,,0,0,0,0,0,56.5,25.0,,,15.8,3.3,28.2,513.8,377.8,,,0.0,3857.1,3680.5,2653.3,1027.2,,160.8,4234.9,,164.2,,2.1,,162.1,6.6,0.0,6.6,6.6,,,501.6,,,0.0,672.4,2281.0,2274.2,6.8,6.8,,409.7,,,329.4,80.3,2690.7,3363.1,0,2134.2,0.1,2134.1,-2993.4,2861.7,-616.9,1385.6,0,1385.6,4748.7,
06/30/2017,4898.7,144.3,140.7,3.6,266.4,266.4,0.0,,0,0,0,0,0,112.1,39.2,,0.0,16.4,52.1,20.8,522.8,403.5,,,0.0,3972.4,3785.8,2733.8,1052.0,,170.2,4375.9,,161.4,,,,161.4,126.8,120.0,6.8,6.8,,,449.0,,,0.0,737.2,2276.6,2274.7,1.9,1.9,,419.0,,,337.5,81.5,2695.6,3432.8,0,2153.9,0.1,2153.8,-3144.3,2982.7,-526.4,1465.9,0,1465.9,4898.7,
09/30/2017,5628.2,145.7,142.0,3.7,285.8,285.8,0.0,,0,0,0,0,0,113.2,42.4,,0.0,16.9,34.3,36.5,544.7,437.8,,,0.0,4645.7,4445.0,3188.8,1256.2,,183.8,5083.5,,210.2,,,,210.2,602.9,0.0,7.9,7.9,,595.0,390.0,,,0.0,1203.1,2278.8,2275.7,3.1,3.1,,473.7,,,384.1,89.6,2752.5,3955.6,0,2165.9,0.1,2165.8,-3153.4,3103.4,-443.3,1672.6,0,1672.6,5628.2,
12/31/2017,6020.3,142.3,142.3,0.0,286.8,286.8,0.0,58.7,0,0,0,0,0,109.8,38.1,0.0,0.0,15.9,28.8,42.9,597.6,478.3,1063.0,-584.7,0.0,4944.4,4714.0,3368.7,1345.3,59.3,155.2,5422.7,,228.5,,3.1,,225.4,724.4,0.0,9.4,9.4,,715.0,384.7,0.0,0.0,0.0,1337.6,2284.4,2276.8,7.6,7.6,,472.9,0.0,,337.8,135.1,2757.3,4094.9,0,2180.2,0.1,2180.1,-3150.5,3308.0,-412.3,1925.4,0,1925.4,6020.3,
03/31/2018,6246.9,153.6,149.8,3.8,424.1,424.1,0.0,,0,0,0,0,0,130.9,52.6,,,16.6,8.1,70.2,708.6,489.0,,,0.0,5049.3,4810.8,3454.2,1356.6,,221.9,5538.3,,230.6,,6.8,,223.8,740.9,0.0,11.4,11.4,,729.5,586.6,,,0.0,1558.1,2041.1,2028.3,12.8,12.8,,463.4,,,356.5,106.9,2504.5,4062.6,0,2202.0,0.1,2201.9,-3185.3,3476.9,-309.3,2184.3,0,2184.3,6246.9,
06/30/2018,6039.6,135.8,132.0,3.8,347.8,347.8,0.0,,0,0,0,0,0,141.5,61.1,,,15.7,22.4,58.0,625.1,501.9,,,0.0,4912.6,4662.2,3372.7,1289.5,,234.7,5414.5,,216.4,,0.0,,216.4,736.9,0.0,7.2,7.2,,729.7,513.0,,,0.0,1466.3,2044.2,2029.2,15.0,15.0,,455.5,,,349.6,105.9,2499.7,3966.0,0,2235.1,0.1,2235.0,-3317.7,3630.4,-474.2,2073.6,0,2073.6,6039.6,
09/30/2018,5851.1,151.6,147.6,4.0,324.2,324.2,0.0,,0,0,0,0,0,117.9,59.4,,0.0,15.4,11.9,46.6,593.7,518.5,,,0.0,4738.9,4593.4,3339.0,1254.4,,130.1,5257.4,,243.7,,0.0,,243.7,542.3,0.0,7.5,7.5,,534.8,433.2,,,0.0,1219.2,2044.9,2030.1,14.8,14.8,,445.8,,,341.6,104.2,2490.7,3709.9,0,2265.4,0.1,2265.3,-3411.0,3796.4,-509.6,2141.2,0,2141.2,5851.1,
12/31/2018,5900.3,139.5,139.5,0.0,294.0,294.0,0.0,62.4,0,0,0,0,0,148.6,63.9,0.0,0.0,11.1,34.0,50.7,644.5,555.9,1266.5,-710.6,0.0,4699.9,4589.3,3361.5,1227.8,36.1,63.4,5255.8,,97.1,74.7,5.2,17.2,,672.8,0.0,7.8,7.8,,665.0,554.7,,,171.6,1324.6,2050.5,2031.0,19.5,19.5,,454.6,0.0,,350.6,104.0,2505.1,3829.7,0,2283.1,0.1,2283.0,-3563.2,3942.6,-591.9,2070.6,0,2070.6,5900.3,
03/31/2019,6341.1,179.5,179.5,0.0,438.6,438.6,0.0,,0,0,0,0,0,116.8,59.8,,0.0,11.4,6.0,51.0,734.9,797.3,,,0.0,4808.9,4680.7,3431.7,1249.0,,116.8,5606.2,,238.8,,2.5,,236.3,217.5,170.0,47.5,10.5,37.0,,602.1,,,0.0,1058.4,2673.8,2425.9,247.9,17.4,230.5,438.4,,,354.2,84.2,3112.2,4170.6,0,2302.0,0.1,2301.9,-3635.2,4036.0,-532.3,2170.5,0,2170.5,6341.1,
06/30/2019,6234.0,153.3,153.3,0.0,442.6,442.6,0.0,,0,0,0,0,0,114.4,62.4,,,11.1,25.4,26.6,710.3,797.1,,,0.0,4726.6,4594.6,3400.7,1193.9,,120.9,5523.7,,240.9,,4.2,,236.7,120.0,0.0,50.0,11.7,38.3,70.0,559.9,,,0.0,920.8,2667.8,2426.7,241.1,20.5,220.6,434.7,,,351.0,83.7,3102.5,4023.3,0,2337.0,0.1,2336.9,-3679.4,4145.3,-592.2,2210.7,0,2210.7,6234.0,
09/30/2019,6289.1,311.8,311.8,0.0,405.5,405.5,0.0,,0,0,0,0,0,113.7,71.9,,,10.7,23.3,18.5,831.0,808.6,,,0.0,4649.5,4508.2,3367.0,1141.2,,130.6,5458.1,,367.6,,4.8,,362.8,64.3,0.0,54.3,14.9,39.4,10.0,541.7,,,81.3,973.6,2880.7,2647.6,233.1,20.8,212.3,371.1,,,322.2,48.9,3251.8,4225.4,0,2357.4,0.1,2357.3,-3751.9,4136.6,-678.4,2063.7,0,2063.7,6289.1,
12/31/2019,7055.2,184.6,184.6,0.0,361.0,361.0,0.0,80.6,0,0,0,0,0,118.7,60.9,0.0,14.1,9.8,25.9,17.8,744.9,766.7,1498.6,-731.9,0.0,5543.6,5263.2,3864.3,1398.9,70.3,200.3,6310.3,,105.8,80.0,6.8,19.0,0.0,540.0,0.0,45.0,4.4,40.6,495.0,846.0,0.0,0.0,405.9,1491.8,2859.7,2648.3,211.4,3.3,208.1,442.9,0.0,,356.0,86.9,3302.6,4794.4,0,2369.2,0.1,2369.1,-3849.9,4228.4,-486.9,2260.8,0,2260.8,7055.2,
03/31/2020,6928.1,204.4,204.4,0.0,523.3,523.3,0.0,,0,0,0,0,0,86.3,66.6,,0.0,9.1,0.0,19.7,814.0,757.9,,,0.0,5356.2,5049.2,3742.6,1306.6,,297.9,6114.1,,337.3,,21.7,,315.6,482.7,0.0,42.7,4.0,38.7,440.0,777.9,,,109.5,1597.9,2851.0,2648.6,202.4,3.8,198.6,398.7,,,349.6,49.1,3249.7,4847.6,0,2404.7,0.1,2404.6,-4018.9,4353.4,-658.7,2080.5,0,2080.5,6928.1,
06/30/2020,7007.9,309.4,309.4,0.0,454.5,454.5,0.0,,0,0,0,0,0,114.8,81.6,,0.0,9.1,0.0,33.2,878.7,802.4,,,0.0,5326.8,5008.4,3744.1,1264.3,,309.3,6129.2,,369.8,,47.4,,322.4,490.9,449.6,41.3,3.4,37.9,0.0,629.6,,,12.1,1490.3,2936.3,2688.6,247.7,2.1,245.6,405.2,,,348.2,57.0,3341.5,4831.8,0,2432.9,0.1,2432.8,-4088.4,4488.8,-657.2,2176.1,0,2176.1,7007.9,
