Date,Revenue,Sales & Services Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2011,492.6,492.6,,,0.0,-405.2,26.4,26.4,,19.5,,359.3,87.4,-35.7,26.3,26.3,0.0,,-3.1,12.5,51.7,-18.1,33.6,-34.7,-34.7,0.0,68.3,-11.3,57.0,-6.5,0.0,50.5,25.875,10.075,93.3,0.54,0.17,0.277331,109.2,0.54,0.17,0.262262,
12/31/2011,512.0,512.0,,,0.0,-410.6,29.8,29.8,,20.2,,360.6,101.4,-18.7,23.1,23.1,0.0,,-3.2,-1.2,82.7,-15.2,67.5,5.0,5.0,0.0,62.5,-12.5,50.0,-6.5,0.0,43.5,47.655,-0.845,93.3,0.47,0.52,0.510772,109.1,0.46,0.5,0.492255,
03/31/2012,532.3,532.3,,,0.0,-426.9,30.0,30.0,,19.5,,377.4,105.4,-19.1,,23.3,,,-3.3,-0.9,86.3,-29.1,57.2,0.4,0.4,0.0,56.8,-12.6,44.2,-6.9,0.0,37.3,38.22,0.52,94.5,0.39,0.4,0.404444,108.7,0.39,0.4,0.404444,
06/30/2012,526.9,526.9,,,0.0,-424.1,28.0,28.0,,20.0,,376.1,102.8,-19.5,23.0,23.0,0.0,,-3.1,-0.4,83.3,-26.9,56.4,-3.5,-3.5,0.0,59.9,-13.2,46.7,-6.3,0.0,40.4,37.29,0.39,94.6,0.43,0.39,0.394186,108.0,0.43,0.39,0.393611,
09/30/2012,530.0,530.0,,,0.0,-426.1,29.3,29.3,,21.3,,375.5,103.9,-15.4,23.5,23.5,0.0,,-3.3,-4.8,88.5,-28.1,60.4,0.5,0.5,0.0,59.9,-12.8,47.1,-5.7,0.0,41.4,41.51,-0.39,94.7,0.44,0.44,0.438332,108.1,0.44,0.44,0.436392,
12/31/2012,545.7,545.7,,,0.0,-440.9,30.6,30.6,,21.7,,388.6,104.8,-22.9,,24.3,,,-3.0,1.6,81.9,-24.5,57.4,-1.9,-1.9,0.0,59.3,-12.3,47.0,-5.8,0.0,41.2,41.965,2.665,94.7,0.44,0.42,0.443136,108.0,0.44,0.42,0.443136,
03/31/2013,565.2,565.2,,,0.0,-444.8,30.2,30.2,,22.1,,392.5,120.4,-20.6,24.2,24.2,0.0,,-2.9,-0.7,99.8,-33.5,66.3,0.4,0.4,0.0,65.9,-14.6,51.3,-5.7,0.0,45.6,46.065,0.065,94.0,0.49,0.49,0.490053,107.1,0.48,0.48,0.480607,
06/30/2013,557.5,557.5,,,0.0,-445.9,29.5,29.5,,23.1,,393.3,111.6,-19.2,24.4,24.4,0.0,,-3.3,-1.9,92.4,86.5,178.9,-0.1,-0.1,0.0,179.0,-13.8,165.2,-5.8,0.0,159.4,159.105,-0.195,86.1,1.82,1.850174,1.847909,99.8,1.66,1.658998,1.657044,
09/30/2013,556.0,556.0,,,0.0,-424.9,28.8,28.8,,24.3,,371.8,131.1,-22.7,25.3,25.3,0.0,,-2.0,-0.6,108.4,-35.2,73.2,0.9,0.9,0.0,72.3,-14.1,58.2,-5.7,0.0,52.5,41.18,-12.22,86.2,0.6,0.61,0.477726,100.4,0.58,0.59,0.468287,
12/31/2013,568.5,568.5,,,0.0,-449.3,30.6,30.6,,25.2,,393.5,119.2,-24.6,,26.5,,,-3.0,1.1,94.6,-30.5,64.1,-0.1,-0.1,0.0,64.2,-15.3,48.9,-3.8,-71.6,-26.5,-24.13,2.47,86.4,-0.31,-0.31,-0.279282,100.8,-0.31,-0.31,-0.285496,
03/31/2014,583.7,583.7,,,0.0,-467.4,30.7,30.7,,26.4,,410.3,116.3,-21.9,,27.9,,,-4.3,-1.7,94.4,-32.8,61.6,0.1,0.1,0.0,61.5,-14.8,46.7,-1.6,0.0,45.1,46.045,0.845,87.3,0.51,0.51,0.527434,100.9,0.48,0.48,0.488375,
06/30/2014,595.1,595.1,,,0.0,-467.5,30.2,30.2,,26.4,,410.9,127.6,3.0,27.8,27.8,0.0,,-2.6,-28.2,130.6,-36.5,94.1,-3.8,-3.8,0.0,97.9,-14.8,83.1,-1.5,0.0,81.6,78.385,0.585,86.7,0.93,0.89,0.904095,100.6,0.85,0.81,0.815815,
09/30/2014,588.7,588.7,,,0.0,-475.2,27.5,27.5,,27.4,,420.3,113.5,-25.7,27.8,27.8,0.0,,-1.9,-0.2,87.8,-22.1,65.7,0.9,0.9,0.0,64.8,-14.7,50.1,-1.6,0.0,48.5,51.155,1.755,86.5,0.55,0.56,0.591387,100.5,0.52,0.53,0.547463,
12/31/2014,606.8,606.8,,,0.0,-496.8,36.4,36.4,0.0,27.5,,432.9,110.0,-35.9,25.7,25.7,0.0,0.0,-1.9,12.1,74.1,-19.3,54.8,-2.7,-2.7,0.0,57.5,-15.4,42.1,-1.6,0.0,40.5,52.49,14.69,86.6,0.46,0.43,0.60612,100.8,0.44,0.41,0.555734,
03/31/2015,729.0,729.0,,,0.0,-608.5,34.6,34.6,,31.9,,542.0,120.5,-30.9,,31.8,,,-1.6,0.7,89.6,-30.3,59.3,0.3,0.3,0.0,59.0,-16.5,42.5,-1.6,0.0,40.9,46.205,5.005,87.1,0.47,0.47,0.530482,101.1,0.44,0.44,0.489505,
06/30/2015,753.5,753.5,,,0.0,-615.1,32.1,32.1,,32.7,,550.3,138.4,-44.4,,30.9,,,-2.3,15.8,94.0,-32.2,61.8,1.6,1.6,0.0,60.2,-17.3,42.9,0.0,0.0,42.9,56.185,11.685,89.8,0.47,0.49,0.625668,101.5,0.45,0.47,0.585123,
09/30/2015,767.9,767.9,,,0.0,-632.0,30.6,30.6,,33.7,,567.7,135.9,-32.5,,35.6,,,-2.4,-0.7,103.4,-35.9,67.5,-0.3,-0.3,0.0,67.8,-17.1,50.7,0.0,0.0,50.7,52.48,2.08,90.6,0.56,0.56,0.579249,101.5,0.52,0.52,0.540493,
12/31/2015,865.3,865.3,,,0.0,-713.4,36.0,36.0,,41.4,,636.0,151.9,-43.3,,44.6,,,-2.4,1.1,108.6,-43.5,65.1,-0.7,-0.7,0.0,65.8,-18.8,47.0,0.0,0.0,47.0,53.45,7.15,90.1,0.52,0.51,0.59323,100.6,0.49,0.48,0.551074,
03/31/2016,893.3,893.3,,,0.0,-732.8,31.9,31.9,,42.4,,658.5,160.5,-44.0,,44.6,,,-2.4,1.8,116.5,-39.7,76.8,0.1,0.1,0.0,76.7,-18.7,58.0,0.0,0.0,58.0,58.36,0.26,89.5,0.65,0.65,0.652067,99.4,0.61,0.61,0.612616,
06/30/2016,905.3,905.3,,,0.0,-738.9,34.4,34.4,,42.9,,661.6,166.4,-42.7,,43.4,,,-2.4,1.7,123.7,-42.4,81.3,0.1,0.1,0.0,81.2,-18.6,62.6,0.0,0.0,62.6,64.73,2.03,89.3,0.7,0.7,0.72486,99.4,0.65,0.65,0.670423,
09/30/2016,912.0,912.0,,,0.0,-749.9,30.3,30.3,,43.5,,676.1,162.1,-41.8,42.5,42.5,0.0,,-2.5,1.8,120.3,-42.1,78.2,0.1,0.1,0.0,78.1,-16.4,61.7,0.0,0.0,61.7,63.834,2.034,89.1,0.69,0.69,0.716431,99.4,0.64,0.64,0.660463,
12/31/2016,935.4,935.4,,,0.0,-775.6,36.8,36.8,,43.8,,695.0,159.8,-38.3,41.6,41.6,0.0,,-2.5,-0.8,121.5,-39.7,81.8,-0.3,-0.3,0.0,82.1,-16.8,65.3,0.0,0.0,65.3,64.155,-0.845,88.6,0.73,0.73,0.724097,99.2,0.68,0.68,0.671482,
03/31/2017,957.1,957.1,,,0.0,-794.5,36.5,36.5,,45.2,,712.8,162.6,-38.2,41.3,41.3,0.0,,-2.1,-1.0,124.4,-39.7,84.7,0.3,0.3,0.0,84.4,-17.6,66.8,0.0,0.0,66.8,66.775,-0.325,88.8,0.75,0.75,0.751971,99.0,0.7,0.7,0.696717,
06/30/2017,966.4,966.4,,,0.0,-810.7,52.4,52.4,,45.8,,712.5,155.7,-47.9,40.4,40.4,0.0,,-2.0,9.5,107.8,-28.6,79.2,-0.2,-0.2,0.0,79.4,-16.4,63.0,0.0,0.0,63.0,70.08,7.28,90.3,0.7,0.7,0.77608,98.9,0.7,0.7,0.77361,
09/30/2017,981.6,981.6,,,0.0,-819.3,39.7,39.7,,46.2,,733.4,162.3,-34.0,36.8,36.8,0.0,,-2.1,-0.7,128.3,-43.1,85.2,0.1,0.1,0.0,85.1,-19.2,65.9,0.0,0.0,65.9,67.155,1.155,97.8,0.67,0.67,0.686656,99.0,0.67,0.67,0.681667,
12/31/2017,1008.8,1008.8,,,0.0,-840.0,43.1,43.1,,46.6,,750.3,168.8,-32.9,35.9,35.9,0.0,,-1.8,-1.2,135.9,-49.2,86.7,0.2,0.2,0.0,86.5,-25.9,60.6,0.0,0.0,60.6,61.645,0.845,97.6,0.62,0.62,0.631609,99.2,0.61,0.61,0.618518,
03/31/2018,1029.6,1029.6,,,0.0,-860.5,61.1,61.1,,45.9,,753.5,169.1,-33.4,35.6,35.6,0.0,,-2.3,0.1,135.7,-30.0,105.7,0.5,0.5,0.0,105.2,-21.4,83.8,0.0,0.0,83.8,84.932,0.632,97.8,0.85,0.86,0.868425,99.4,0.84,0.85,0.856358,
06/30/2018,1067.7,1067.7,,,0.0,-891.0,54.9,54.9,,49.7,,786.4,176.7,-34.4,37.7,37.7,0.0,,-2.0,-1.3,142.3,-29.3,113.0,-0.2,-0.2,0.0,113.2,-21.4,91.8,0.0,0.0,91.8,99.077,7.477,97.9,0.93,0.93,1.012022,99.6,0.92,0.92,0.99507,
09/30/2018,1067.6,1067.6,,,0.0,-894.5,49.9,49.9,,51.2,,793.4,173.1,-33.5,37.3,37.3,0.0,,-2.1,-1.7,139.6,-30.2,109.4,0.1,0.1,0.0,109.3,-20.7,88.6,0.0,0.0,88.6,89.752,1.052,98.0,0.9,0.9,0.915837,100.0,0.89,0.89,0.90052,
12/31/2018,1096.0,1096.0,,,0.0,-985.3,54.3,54.3,,52.9,,878.1,110.7,-35.1,36.7,36.7,0.0,,-2.3,0.7,75.6,-29.4,46.2,-1.5,-1.5,0.0,47.7,-19.6,28.1,0.0,0.0,28.1,71.129,44.529,98.0,0.29,0.27,0.725806,100.0,0.28,0.26,0.70529,
03/31/2019,1124.0,1124.0,,,0.0,-936.5,53.4,53.4,,52.5,,830.6,187.5,-31.0,37.2,37.2,0.0,,-2.5,-3.7,156.5,-30.8,125.7,0.5,0.5,0.0,125.2,-22.9,102.3,0.0,0.0,102.3,98.369,-4.431,98.4,1.04,1.05,0.999685,99.7,1.03,1.04,0.995557,
06/30/2019,1135.0,1135.0,,,0.0,-964.5,77.1,77.1,,52.7,,834.7,170.5,-36.0,37.7,37.7,0.0,,-1.8,0.1,134.5,-23.5,111.0,0.1,0.1,0.0,110.9,-19.7,91.2,0.0,0.0,91.2,86.927,-4.373,98.0,0.93,0.93,0.88701,99.3,0.92,0.92,0.875962,
09/30/2019,1161.6,1161.6,,,0.0,-989.7,52.5,52.5,,55.1,,882.1,171.9,-18.1,40.3,40.3,0.0,,-1.2,-21.0,153.8,-34.3,119.5,0.0,0.0,0.0,119.5,-21.9,97.6,0.0,0.0,97.6,85.511,-12.089,97.8,0.99,0.99,0.874346,99.4,0.98,0.98,0.85838,
12/31/2019,1184.4,1184.4,,,0.0,-1021.8,64.0,64.0,,58.4,,899.4,162.6,-45.1,44.5,44.5,0.0,,-1.2,1.8,117.5,-27.3,90.2,0.0,0.0,0.0,90.2,-22.6,67.6,0.0,0.0,67.6,80.341,12.741,97.8,0.69,0.69,0.821483,99.5,0.68,0.68,0.80805,
03/31/2020,1182.0,1182.0,,,0.0,-1001.8,35.6,35.6,,58.8,,907.4,180.2,-44.3,43.2,43.2,0.0,,-0.8,1.9,135.9,-27.1,108.8,0.1,0.1,0.0,108.7,-21.7,87.0,0.0,0.0,87.0,90.679,3.579,98.2,0.88,0.88,0.923411,99.6,0.87,0.87,0.905934,
06/30/2020,1074.1,1074.1,,,0.0,-974.8,43.0,43.0,,60.7,,871.1,99.3,-39.3,45.8,45.8,0.0,,-0.7,-5.8,60.0,-11.8,48.2,-0.1,-0.1,0.0,48.3,-14.8,33.5,0.0,0.0,33.5,33.57,0.17,98.7,0.34,0.34,0.340122,99.9,0.34,0.34,0.340122,
09/30/2020,1179.231,,,,,,,,,,,,166.0,,,,,,,,116.6,,77.2,,,,,,77.2,,,77.2,79.967,,,0.774,0.774,0.794,,0.774,0.774,0.794,
12/31/2020,1249.923,,,,,,,,,,,,178.5,,,,,,,,145.0,,104.425,,,,,,104.425,,,104.425,90.033,,,1.005,1.005,0.967,,1.005,1.005,0.967,
