Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/03/1993,18.997,,-9.71,,9.287,,-3.818,,,,,,,5.469,0.561,,0.052,,,-0.005,-0.608,6.03,-2.389,3.641,0.0,,,3.641,0.0,3.641,0.0,,3.641,3.641,,53.954999,0.066667,0.066667,,53.954999,0.066667,0.066667,0.066667,
07/03/1993,21.643999,,-11.001,,10.642999,,-4.478,,,,,,,6.165,0.563,,0.052,,,-0.101,-0.514,6.728,-2.447,4.281,0.0,,,4.281,0.0,4.281,0.0,,4.281,4.281,,53.954999,0.08,0.08,,53.954999,0.08,0.08,0.08,
10/02/1993,23.070999,,-11.736,,11.334999,,-4.852,,,,,,,6.483,1.738,,0.052,,,-0.012,-1.778,8.221,-3.119,5.102,0.0,,,5.102,0.0,5.102,0.0,,5.102,5.102,,53.959501,0.095556,0.095556,,53.959501,0.095556,0.095556,0.095556,
12/31/1993,23.743999,,-11.442,,12.301999,,-5.522,,,,,,,6.78,0.709,,0.053,,,0.118,-0.88,7.489,-2.258,5.231,0.0,,,5.231,0.0,5.231,0.0,,5.231,5.231,,53.963998,0.097778,0.097778,,53.963998,0.097778,0.097778,0.097778,
04/02/1994,21.975,,-11.543,,10.432,,-4.647,,,,,,,5.785,0.684,,0.05,,,0.011,-0.745,6.469,-2.322,4.147,0.0,,,4.147,0.0,4.147,0.0,,4.147,4.147,,54.013501,0.077778,0.077778,,54.013501,0.077778,0.077778,0.077778,
06/30/1994,25.886999,,-13.473,,12.414,,-5.341,,,,,,,7.073,0.707,,0.061,,,-0.002,-0.766,7.78,-2.727,5.053,0.0,,,5.053,0.0,5.053,0.0,,5.053,5.053,,54.0315,0.093333,0.093333,,54.0315,0.093333,0.093333,0.093333,
10/01/1994,28.247999,,-14.205,,14.042999,,-5.534,,,,,,,8.509,0.559,,0.025,,,-0.064,-0.52,9.068,-3.412,5.656,0.0,,,5.656,0.0,5.656,0.0,,5.656,5.656,,54.0855,0.104444,0.104444,,54.0855,0.104444,0.104444,0.104444,
12/31/1994,30.993,,-15.859,,15.134,,-6.158,,,,,,,8.976,0.583,,0.14,,,0.055,-0.778,9.559,-3.342,6.217,0.0,,,6.217,0.0,6.217,0.0,,6.217,6.217,,54.130501,0.113333,0.113333,,54.130501,0.113333,0.113333,0.113333,
04/01/1995,34.391998,,-17.914,,16.477999,,-6.986,,,,,,,9.492,0.957,,0.003,,,-0.108,-0.852,10.449,-3.836,6.613,0.0,,,6.613,0.0,6.613,0.0,,6.613,6.613,,54.157499,0.122222,0.122222,,54.157499,0.122222,0.122222,0.122222,
07/01/1995,35.487999,,-18.886999,,16.601,,-6.475,,,,,,,10.126,0.957,,0.007,,,-0.032,-0.932,11.083,-3.991,7.092,0.0,,,7.092,0.0,7.092,0.0,,7.092,7.092,,54.18,0.131111,0.131111,0.131111,54.18,0.131111,0.131111,0.131111,
09/30/1995,37.48,,-19.214001,,18.265999,,-14.554,,,,,,,3.712,0.909,,,,,0.0,-0.909,4.621,-3.657,0.964,0.0,,,0.964,0.0,0.964,0.0,,0.964,0.964,,54.301502,0.017778,0.017778,0.017778,54.301502,0.017778,0.017778,0.017778,
12/31/1995,41.233002,,-21.591,,19.642002,,-10.447,,,,,,,9.195,2.625,,,,,0.14,-2.765,11.82,-3.925,7.895,0.0,,,7.895,0.0,7.895,0.0,,7.895,7.895,,54.373501,0.146667,0.146667,,54.373501,0.146667,0.146667,0.146667,
03/30/1996,36.526001,,-18.961,,17.565001,,-9.122,,,,,,,8.443,0.168,,,,,0.0,-0.168,8.611,-2.903,5.708,0.459,,,5.249,0.0,5.249,0.0,,5.249,5.249,,54.425248,0.097778,0.106667,0.106667,54.544501,0.097778,0.102222,0.102222,
06/29/1996,38.919998,,-20.468,,18.451998,,-9.759,,,,,,,8.693,1.529,,,,,0.0,-1.529,10.222,-3.44,6.782,0.522,,,6.26,0.0,6.26,0.0,,6.26,6.26,,54.4455,0.115556,0.124444,0.124444,54.533249,0.115556,0.124444,0.124444,
09/28/1996,41.858002,,-21.763,,20.095001,,-8.342,,,,,,,11.753,1.396,,,,,0.0,-1.396,13.149,-4.526,8.623,-0.092,,,8.715,0.0,8.715,0.0,,8.715,8.715,,54.456748,0.16,0.16,0.16,54.513001,0.16,0.16,0.16,
12/31/1996,46.675999,,-24.110001,,22.565998,,-8.992,,,,,,,13.574,1.833,,,,,0.0,-1.833,15.407,-5.667,9.74,1.049,,,8.691,0.0,8.691,0.0,,8.691,8.691,,54.501749,0.16,0.177778,0.177778,54.57825,0.16,0.177778,0.177778,
03/29/1997,41.008999,,-20.577999,,20.431,,-9.261,,,,,,,11.17,7.122,,,,,0.0,-7.122,18.292,-6.766,11.526,0.291,,,11.235,0.0,11.235,0.0,,11.235,11.235,,54.539999,0.204444,0.213333,0.213333,54.605248,0.204444,0.208889,0.208889,
06/28/1997,47.844002,,-23.546,,24.298002,,-11.768,,,,,,,12.53,2.236,,,,,0.0,-2.236,14.766,-5.121,9.645,2.364,,,7.281,0.0,7.281,0.0,,7.281,7.281,,54.548999,0.133333,0.177778,0.177778,54.659248,0.133333,0.177778,0.177778,
09/27/1997,49.889,,-24.878,,25.011,,-11.36,,,,,,,13.651,1.888,,,,,0.0,-1.888,15.539,-5.594,9.945,0.0,,,9.945,0.0,9.945,0.0,,9.945,9.945,,54.57825,0.182222,0.182222,0.182222,54.760499,0.182222,0.182222,0.182222,
12/31/1997,53.328999,,-24.868999,,28.459999,,-13.036,,,,,,,15.424,2.713,,,,,0.0,-2.713,18.137,-6.443,11.694,0.0,,,11.694,0.0,11.694,0.0,,11.694,11.694,,54.6255,0.213333,0.213333,0.213333,54.839248,0.213333,0.213333,0.213333,
04/04/1998,80.797997,,-41.937,,38.860996,,-20.752001,,,,,,,18.108999,2.629,,0.002,,,0.0,-2.631,20.737999,-7.575,13.163,0.0,,,13.162999,0.0,13.163,0.0,,13.163,13.163,,69.736499,0.191111,0.191111,0.191111,70.472248,0.186667,0.186667,0.186667,
06/28/1998,87.040001,,-45.339001,,41.701,,-20.464001,,,,,,,21.237,0.861,,0.406,,,0.0,-1.267,22.097999,-8.061,14.037,0.0,,,14.037,0.0,14.037,0.0,,14.037,14.037,,69.518249,0.2,0.2,0.2,70.089748,0.2,0.2,0.2,
09/27/1998,88.068001,,-45.687,,42.381001,,-21.009001,,,,,,,21.372,-0.635,,0.0,,,0.0,0.635,20.737,-7.524,13.213,0.0,,,13.213,0.0,13.213,0.0,,13.213,13.213,,69.511498,0.191111,0.191111,0.191111,70.058248,0.186667,0.186667,0.186667,
12/31/1998,80.077003,,-47.209999,,32.867004,,-23.868999,,,,,,,8.998,-7.549959,,0.017,,,0.0,7.532959,1.448041,-1.792,-0.344,0.0,,,-0.343959,0.0,-0.344,0.0,,-0.344,-0.344,,69.549748,-0.004444,-0.004444,0.128889,70.0695,-0.004444,-0.004444,0.128889,
04/03/1999,90.691002,,-48.234001,,42.457001,,-22.634001,,,,,,,19.823,0.427,,0.003,,,0.0,-0.43,20.25,-7.6,12.65,0.0,,,12.65,0.0,12.65,0.0,0.0,12.65,12.65,,69.6555,0.182222,0.182222,0.195556,70.058248,0.182222,0.182222,0.195556,
07/03/1999,98.204002,,-49.500999,,48.703003,,-23.882999,,,,,,,24.82,1.938,,0.015,,,0.0,-1.953,26.758,-9.636,17.122,0.0,,,17.122,0.0,17.122,0.0,0.0,17.122,17.122,,69.846748,0.244444,0.244444,0.253333,70.386752,0.244444,0.244444,0.253333,
10/02/1999,104.903999,,-49.287998,,55.616001,,-22.643999,,,,,,,32.972,-1.916,,0.003,,,0.0,1.913,31.056,-11.124,19.931999,0.0,,,19.932001,0.0,19.931999,0.0,0.0,19.931999,19.931999,,70.305749,0.284444,0.284444,0.297778,71.208002,0.28,0.28,0.293333,
12/31/1999,108.414001,,-51.918999,,56.495003,,-23.985001,,,,,,,32.509998,-1.774,,0.188,,,0.0,1.586,30.735998,-10.808,19.927999,0.0,,,19.927999,0.0,19.927999,0.0,0.0,19.927999,19.927999,,70.557748,0.284444,0.284444,0.297778,71.666998,0.28,0.28,0.293333,
04/01/2000,99.635002,,-50.255001,,49.380001,,-24.094999,,,,,,,25.285,-1.491,,0.018,,,0.0,1.473,23.794,-8.566,15.228,0.0,,,15.228,0.0,15.228,0.0,0.0,15.228,15.228,,70.7895,0.213333,0.213333,0.222222,71.900999,0.213333,0.213333,0.222222,
07/01/2000,129.994995,,-67.682999,,62.311996,,-29.684,,,,,,,32.627998,-6.612,,0.015,,,0.0,6.597,26.015998,-9.366,16.65,0.0,,,16.649998,0.0,16.65,0.0,0.0,16.65,16.65,,69.696,0.24,0.24,0.311111,70.587,0.235556,0.235556,0.306667,
09/30/2000,129.716995,,-65.537003,,64.179993,,-27.674,,,,,,,36.506001,-1.21,,0.022,,,0.0,1.188,35.296001,-12.706,22.59,0.0,,,22.59,0.0,22.59,0.0,0.0,22.59,22.59,,68.607001,0.328889,0.328889,0.346667,69.40575,0.324444,0.324444,0.342222,
12/31/2000,122.222,,-65.666,,56.556,,-31.239,,,,,,,25.316999,1.488,,1.065,,,0.0,-2.553,26.804999,-9.651,17.153999,0.0,,,17.153999,0.0,17.153999,0.0,0.0,17.153999,17.153999,,68.548499,0.248889,0.248889,0.253333,69.176252,0.248889,0.248889,0.253333,
03/31/2001,115.143997,,-61.122002,,54.021996,,-28.507,,,,,,,25.514999,0.939,,0.092,,,0.0,-1.031,26.453999,-9.524,16.93,0.0,,,16.929999,0.0,16.93,0.0,0.0,16.93,16.93,,68.717251,0.244444,0.244444,0.253333,69.277502,0.244444,0.244444,0.253333,
06/30/2001,112.935,,-60.601,,52.334,,-30.537,,,,,,,21.797,0.814,,0.028,,,,-0.842,22.611,-8.14,14.471,,,,14.471,,14.471,,,14.471,14.471,,68.84775,0.208889,0.208889,0.208889,69.36975,0.208889,0.208889,0.208889,
09/29/2001,110.318001,,-58.280998,,52.037003,,-28.011999,,,,,,,24.025,-0.773,,0.012,,,0.0,0.761,23.252,-8.37,14.882,0.0,,,14.882,0.0,14.882,0.0,0.0,14.882,14.882,,68.976,0.217778,0.217778,0.244444,69.482251,0.213333,0.213333,0.24,
12/31/2001,111.611,,-60.111,,51.5,,-28.540001,,,,,,,22.959999,0.862,,0.18,,,0.0,-1.042,23.821999,-8.576,15.246,0.0,,,15.245999,0.0,15.246,0.0,0.0,15.246,15.246,,69.147001,0.222222,0.222222,0.226667,69.689249,0.217778,0.217778,0.222222,
03/30/2002,110.184998,,-58.173,,52.011997,,-29.101,,,,,,,22.910999,0.426,,0.055,,,0.0,-0.481,23.336999,-8.397,14.94,0.0,,,14.939999,0.0,14.94,0.0,0.0,14.94,14.94,,69.29775,0.213333,0.213333,0.226667,69.921,0.213333,0.213333,0.226667,
06/29/2002,115.951,,-60.202,,55.749,,-30.783,,,,,,,24.966,0.743,0.032,0.032,,,,-0.775,25.709,-9.249,16.46,,,,16.46,,16.46,,,16.46,16.46,,69.597,0.235556,0.235556,0.235556,70.26525,0.235556,0.235556,0.235556,
09/28/2002,123.151001,,-62.729,,60.422001,,-31.538,,,,,,,28.884001,1.68,,0.114,,,0.0,-1.794,30.564001,-10.697,19.867001,0.0,,,19.867001,0.0,19.867001,0.0,0.0,19.867001,19.867001,,69.786002,0.284444,0.284444,0.284444,70.339498,0.28,0.28,0.28,
12/31/2002,126.323997,,-63.759998,,62.563999,,-34.146999,,,,,,,28.417,2.856,,0.118,,,0.0,-2.974,31.273,-10.945,20.327999,0.0,,,20.328,0.0,20.327999,0.0,0.0,20.327999,20.327999,,70.004252,0.293333,0.293333,0.293333,70.652248,0.288889,0.288889,0.288889,
03/29/2003,124.684998,,-60.335999,,64.348999,,-32.705002,,,,,,,31.643999,2.264,,0.038,,,0.0,-2.302,33.907999,-11.868,22.040001,0.0,,,22.039999,0.0,22.040001,0.0,0.0,22.040001,22.040001,,70.1955,0.315556,0.315556,0.315556,70.861498,0.311111,0.311111,0.311111,
06/28/2003,129.863007,,-63.305,,66.558006,,-34.932999,,,,,,,31.625,2.624,,0.014,,,0.0,-2.638,34.249,-11.987,22.261999,0.0,,,22.262,0.0,22.261999,0.0,0.0,22.261999,22.261999,,70.5555,0.315556,0.315556,0.315556,71.343,0.311111,0.311111,0.311111,
09/27/2003,134.649002,,-66.875999,,67.773003,,-34.077,,,,,,,33.695999,-1.327,,0.064,,,0.0,1.263,32.368999,-9.37,22.999001,0.0,,,22.998999,0.0,22.999001,0.0,0.0,22.999001,22.999001,,70.879498,0.326667,0.326667,0.326667,71.785498,0.32,0.32,0.32,
12/31/2003,147.199997,,-72.803001,,74.396996,,-40.210999,,,,,,,34.186001,1.28,,0.038,,,0.0,-1.318,35.466001,-11.071,24.395,0.0,,,24.395001,0.0,24.395,0.0,0.0,24.395,24.395,,70.989,0.34,0.34,0.366667,71.992498,0.34,0.34,0.36,
04/03/2004,154.173996,,-73.570999,,80.602997,,-39.498001,,,,,,,41.105,1.69,,0.026,,,,-1.716,42.795,-14.861,27.934,0.0,,,27.934,0.0,27.934,0.0,0.0,27.934,27.934,,71.25,0.393333,0.393333,0.4,72.268501,0.386667,0.386667,0.393333,
07/03/2004,162.830002,,-78.315002,,84.514999,,-40.409,,,,,,,44.105999,1.05,,0.006,,,,-1.056,45.155999,-15.729,29.427,0.0,,,29.426999,0.0,29.427,0.0,0.0,29.427,29.427,,71.559002,0.413333,0.413333,0.42,72.553499,0.406667,0.406667,0.413333,
10/02/2004,171.175995,,-84.029999,,87.145996,,-41.325001,,,,,,,45.820999,2.139,,0.007,,,,-2.146,47.959999,-16.641001,31.319,0.0,,,31.318998,0.0,31.319,0.0,0.0,31.319,31.319,,71.695999,0.44,0.44,0.45,72.672997,0.43,0.43,0.44,
12/31/2004,174.874,,-83.979,,90.895,,-44.589,,,,,,,46.306,2.331,,0.005,,,,-2.336,48.637,-16.674,31.963,0.0,,,31.963,0.0,31.963,0.0,0.0,31.963,31.963,,71.773,0.45,0.45,0.45,72.719,0.44,0.44,0.44,
04/02/2005,170.727,,-83.599,,87.128,,-49.065,,,,,,,38.063,1.506,,0.003,,,-0.053,-1.456,39.569,-13.75,25.819,,,,25.819,,25.819,,,25.819,25.819,,71.873,0.36,0.36,0.37,72.649,0.36,0.36,0.37,
07/02/2005,176.614,,-87.467,,89.147,,-53.623,,,,,,,35.524,3.473,0.027,0.027,,,-0.812,-2.688,38.997,-13.551,25.446,0.0,,,25.446,0.0,25.446,0.0,0.0,25.446,25.446,,72.013,0.35,0.35,0.35,72.679,0.35,0.35,0.35,
10/01/2005,175.636,,-88.103,,87.533,,-49.249,,,,,,,38.284,3.515,0.041,0.041,,,-0.334,-3.222,41.799,-13.724,28.075,0.0,,,28.075,0.0,28.075,0.0,0.0,28.075,28.075,,71.263,0.39,0.39,0.39,71.817,0.39,0.39,0.39,
12/31/2005,179.294,,-89.682,,89.612,,-52.715,,,,,,,36.897,3.021,,0.008,,,-0.087,-2.942,39.918,-13.073,26.845,0.0,,,26.845,0.0,26.845,0.0,0.0,26.845,26.845,,70.385,0.38,0.38,0.38,70.945,0.38,0.38,0.38,
04/01/2006,175.814,,-93.116,,82.698,,-49.54,,,,,,,33.158,4.651,,0.218,,,-0.11,-4.759,37.809,-13.037,24.772,-1.319,,,26.091,,26.091,,,26.091,26.091,,70.566,0.37,0.35,0.35,71.119,0.37,0.35,0.35,
07/01/2006,187.421,,-97.895,,89.526,,-51.696,,,,,,,37.83,4.417,0.013,0.013,,,0.38,-4.81,42.247,-14.575,27.672,0.0,,,27.672,0.0,27.672,0.0,0.0,27.672,27.672,,70.781,0.39,0.39,0.39,71.229,0.39,0.39,0.39,
09/30/2006,186.386,,-98.6,,87.786,,-50.672,,,,,,,37.114,-47.219,0.005,0.005,,,-0.457,47.671,-10.105,5.842,-4.263,0.0,,,-4.263,0.0,-4.263,0.0,0.0,-4.263,-4.263,,70.802,-0.06,-0.06,0.45,70.802,-0.06,-0.06,0.45,
12/31/2006,209.903,,-111.493,,98.41,,-60.148,,,,,,,38.262,-6.571,0.016,0.016,,,0.822,5.733,31.691,-10.245,21.446,0.0,,,21.446,0.0,21.446,0.0,0.0,21.446,21.446,,70.108,0.31,0.31,0.43,70.499,0.3,0.3,0.42,
03/31/2007,208.576,,-108.786,,99.79,,-62.604,,,,,,,37.186,3.702,,0.01,,,-0.175,-3.537,40.888,-14.172,26.716,0.0,,,26.716,0.0,26.716,0.0,0.0,26.716,26.716,,68.908,0.39,0.39,0.42,69.367,0.39,0.39,0.42,
06/30/2007,208.912,,-109.51,,99.402,,-65.433,,,,,,,33.969,5.166,,0.01,,,0.182,-5.358,39.135,-13.502,25.633,0.0,,,25.633,0.0,25.633,0.0,0.0,25.633,25.633,,69.098,0.37,0.37,0.37,69.559,0.37,0.37,0.37,
09/29/2007,217.218,,-112.59,,104.628,0.0,-67.606,50.774,29.08,,,,16.832,37.022,4.14,,0.073,,,0.023,-4.236,41.162,-14.201,26.961,,,,26.961,0.0,26.961,0.0,0.0,26.961,26.961,,68.58,0.39,0.39,0.39,69.005,0.39,0.39,0.39,
12/31/2007,233.573,,-120.275,,113.298,,-76.436,,,,,,,36.862,9.329,-0.049,0.0,-0.049,,-0.553,-8.727,46.191,-15.388,30.803,0.0,,,30.803,0.0,30.803,0.0,0.0,30.803,30.803,,67.472,0.46,0.46,0.46,67.913,0.45,0.45,0.45,
03/29/2008,246.277,,-123.362,,122.915,,-80.327,53.598,28.553,,,,26.729,42.588,-0.383,,,,,-0.7,1.083,42.205,-14.561,27.644,,,,27.644,,27.644,0.0,0.0,27.644,27.644,,66.134,0.42,0.42,0.45,66.518,0.42,0.42,0.45,
06/28/2008,253.782,,-126.067,,127.715,,-86.066,,,,,,,41.649,-2.678,,0.0,,,0.069,2.609,38.971,-13.445,25.526,0.0,,,25.526,0.0,25.526,0.0,0.0,25.526,25.526,,65.128,0.39,0.39,0.44,65.502,0.39,0.39,0.44,
09/27/2008,244.073,,-126.287,,117.786,0.0,-78.104,51.682,33.148,,,,26.422,39.682,-4.08,,0.0,,,-0.247,4.327,35.602,-9.832,25.77,0.0,,,25.77,0.0,25.77,0.0,0.0,25.77,25.77,,64.328,0.4,0.4,0.37,64.653,0.4,0.4,0.37,
12/31/2008,232.568,,-121.679,,110.889,,-77.847,,,,,,,33.042,-161.733,,0.0,,,-2.64,164.373,-128.691,11.33,-117.361,0.0,,,-117.361,0.0,-117.361,0.0,0.0,-117.361,-117.361,,62.561,-1.88,-1.88,-0.16,62.561,-1.88,-1.88,-0.16,
04/04/2009,192.609,192.609,-106.8,106.8,85.809,0.0,-71.635,44.901,22.676,22.225,21.804,2.634,2.296,14.174,-0.423,,,,-1.178,1.284,0.317,13.751,-4.399,9.352,0.0,0.0,0.0,9.352,0.0,9.352,0.0,0.0,9.352,10.8444,1.4924,60.266,0.16,0.16,0.179942,60.332,0.16,0.16,0.179942,
07/04/2009,187.676,187.676,-105.94,105.94,81.736,0.0,-69.351,42.81,23.724,19.086,20.614,2.575,3.352,12.385,0.864,,,,-1.014,0.131,0.019,13.249,-4.238,9.011,0.0,0.0,0.0,9.011,0.0,9.011,0.0,0.0,9.011,11.1898,2.1788,59.271,0.15,0.15,0.18879,59.352,0.15,0.15,0.18671,
10/03/2009,200.778,200.778,-109.08,109.08,91.698,0.0,-76.548,49.141,25.793,23.348,21.155,2.649,3.603,15.15,1.19,,,,-0.901,-0.575,0.286,16.34,-5.229,11.111,0.0,0.0,0.0,11.111,0.0,11.111,0.0,0.0,11.111,13.45295,2.34195,58.954,0.19,0.19,0.228194,59.083,0.19,0.19,0.228194,
12/31/2009,222.522,222.522,-121.044,121.044,101.478,0.0,-75.24,48.379,28.006,20.373,21.516,2.608,2.737,26.238,0.944,,,,-0.695,-0.795,0.546,27.182,-9.552,17.63,0.0,0.0,0.0,17.63,0.0,17.63,0.0,0.0,17.63,18.8533,1.2233,58.583,0.3,0.3,0.321822,58.769,0.3,0.3,0.320815,
04/03/2010,211.975,211.975,-114.212,114.212,97.763,0.0,-64.822,43.991,24.673,19.318,18.324,0.741,1.766,32.941,0.74,,,,-0.842,-0.168,0.27,33.681,-8.134,25.547,0.814,0.814,0.0,24.733,0.0,24.733,0.0,0.0,24.733,26.6949,1.1479,58.016,0.43,0.44,0.46013,58.265,0.42,0.43,0.449701,
07/03/2010,218.558,218.558,-119.149,119.149,99.409,0.0,-67.496,45.637,27.682,17.955,20.653,0.74,0.466,31.913,0.603,,,,-0.634,-0.424,0.455,32.516,-10.331,22.185,-0.492,-0.492,0.0,22.677,0.0,22.677,0.0,0.0,22.677,22.4879,0.3029,57.489,0.39,0.38,0.391169,57.737,0.39,0.38,0.385246,
10/02/2010,229.807,229.807,-120.56,120.56,109.247,0.0,-68.916,46.215,28.068,18.147,21.862,0.839,0.0,40.331,0.327,,,,-0.635,0.148,0.16,40.658,-13.411,27.247,1.096,1.096,0.0,26.151,0.0,26.151,0.0,0.0,26.151,27.247,0.0,56.739,0.46,0.48,0.48,56.998,0.46,0.48,0.48,
12/31/2010,234.019,234.019,-119.663,119.663,114.356,0.0,-71.326,49.751,31.942,17.809,21.736,0.891,-1.052,43.03,-0.278,,,,-0.567,0.613,0.232,42.752,-13.117,29.635,1.418,1.418,0.0,28.217,0.0,28.217,0.0,0.0,28.217,28.9512,-0.6838,56.332,0.5,0.53,0.513939,56.692,0.5,0.53,0.513939,
04/02/2011,237.301,237.301,-117.303,117.303,119.998,0.0,-75.636,51.234,28.528,22.706,21.681,0.835,1.886,44.362,0.012,,,,-0.56,0.294,0.254,44.374,-14.246,30.128,-31.506,-31.506,0.0,61.634,0.0,61.634,0.0,0.0,61.634,31.3539,1.2259,55.353,1.11,0.54,0.566435,55.774,1.1,0.54,0.56198,
07/02/2011,245.541,245.541,-123.843,123.843,121.698,0.0,-75.027,51.638,30.95,20.688,22.487,0.836,0.066,46.671,-0.42,,,,-0.656,0.833,0.243,46.251,-13.082,33.169,0.205,0.205,0.0,32.964,0.0,32.964,0.0,0.0,32.964,33.2119,0.0429,54.546,0.6,0.6,0.608879,54.958,0.6,0.6,0.600781,
10/01/2011,253.338,253.338,-129.785,129.785,123.553,0.0,-74.673,51.108,31.942,19.166,22.584,0.843,0.138,48.88,-0.898,,,,-0.134,0.173,0.859,47.982,-13.795,34.187,-10.814,-10.814,0.0,45.001,0.0,45.001,0.0,0.0,45.001,34.2767,0.0897,53.339,0.84,0.64,0.64262,53.628,0.84,0.64,0.641673,
12/31/2011,247.308,247.308,-125.788,125.788,121.52,0.0,-79.397,55.466,36.377,19.089,23.174,0.806,-0.049,42.123,-1.011,,,,-0.594,0.706,0.899,41.112,-8.253,32.859,-2.185,-2.185,0.0,35.044,0.0,35.044,0.0,0.0,35.044,32.82715,-0.03185,52.108,0.67,0.63,0.629983,52.354,0.67,0.63,0.629392,
03/31/2012,243.875,243.875,-123.992,123.992,119.883,0.0,-77.874,56.434,32.114,24.32,20.416,0.77,0.254,42.009,-0.114,,,,-0.592,0.342,0.364,41.895,-11.731,30.164,0.0,0.0,0.0,30.164,0.0,30.164,0.0,0.0,30.164,30.3291,0.1651,51.998,0.58,0.58,0.583274,52.301,0.58,0.58,0.583157,
