Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2012,197.148,141.408,55.74,-2.926,2.926,194.222,0.0,-110.544,82.495,64.243,18.252,21.574,6.475,0.0,83.678,-6.944,2.405,,,4.539,76.734,-23.569,,,53.165,0.0,0.0,0.0,53.165,-0.146,53.019,0.0,0.0,53.019,53.019,0.0,139.278,0.38,0.38,0.38,141.737,0.37,0.37,0.37,
09/30/2012,212.71,155.835,56.875,-2.876,2.876,209.834,0.0,-117.585,87.703,67.647,20.056,23.535,6.347,0.0,92.249,-1.439,2.806,2.882,-0.076,-1.367,90.81,-31.275,,,59.535,0.0,0.0,0.0,59.535,-0.175,59.36,0.0,0.0,59.36,59.36,0.0,142.342,0.42,0.42,0.42,143.657,0.41,0.41,0.41,
12/31/2012,169.393,129.845,39.548,-3.538,3.538,165.855,0.0,-118.863,88.039,66.96,21.079,23.69,7.134,0.0,46.992,-3.702,,,,3.702,43.29,-9.573,,,33.717,0.0,0.0,0.0,33.717,-0.138,33.579,0.0,0.0,33.579,33.579,0.0,142.474,0.24,0.24,0.24,143.814,0.23,0.23,0.23,
03/31/2013,230.0,230.0,,-4.0,4.0,226.0,0.0,-138.0,102.0,79.0,23.0,29.0,7.0,0.0,88.0,-4.0,,3.0,,1.0,84.0,-22.0,,,62.0,0.0,0.0,0.0,62.0,0.0,62.0,0.0,0.0,62.0,62.0,0.0,143.0,0.44,0.44,0.44,145.0,0.43,0.43,0.43,
06/30/2013,247.0,247.0,,-4.0,4.0,243.0,0.0,-149.0,108.0,83.0,25.0,32.0,9.0,0.0,94.0,-4.0,,2.0,,2.0,90.0,-23.0,,,67.0,0.0,0.0,0.0,67.0,0.0,67.0,0.0,0.0,67.0,67.0,0.0,144.0,0.47,0.47,0.47,146.0,0.46,0.46,0.46,
09/30/2013,255.0,255.0,,-6.0,6.0,249.0,0.0,-165.0,122.0,97.0,25.0,34.0,9.0,0.0,84.0,0.0,,3.0,,-3.0,84.0,-28.0,,,56.0,0.0,0.0,0.0,56.0,0.0,56.0,0.0,0.0,56.0,56.0,0.0,143.0,0.39,0.39,0.39,145.0,0.38,0.38,0.38,
12/31/2013,213.0,213.0,,-6.0,6.0,207.0,0.0,-179.0,132.0,107.0,25.0,36.0,11.0,0.0,28.0,-2.0,,,,2.0,26.0,-6.0,,,20.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,142.0,0.14,0.14,0.14,145.0,0.14,0.14,0.14,
03/31/2014,281.0,281.0,,-8.0,8.0,273.0,0.0,-177.0,127.0,101.0,26.0,38.0,12.0,0.0,96.0,-2.0,,2.0,,0.0,94.0,-26.0,,,68.0,0.0,0.0,0.0,68.0,0.0,68.0,0.0,0.0,68.0,68.0,0.0,142.0,0.48,0.48,0.48,146.0,0.47,0.47,0.47,
06/30/2014,323.0,323.0,,-9.0,9.0,314.0,0.0,-214.0,159.0,127.0,32.0,41.0,14.0,0.0,100.0,-2.0,,2.0,,0.0,98.0,-30.0,,,68.0,0.0,0.0,0.0,68.0,0.0,68.0,0.0,0.0,68.0,68.0,0.0,143.0,0.48,0.48,0.48,146.0,0.47,0.47,0.47,
09/30/2014,354.0,354.0,,-11.0,11.0,343.0,0.0,-259.0,195.0,159.0,36.0,46.0,18.0,0.0,84.0,-9.0,,2.0,,7.0,75.0,-21.0,,,54.0,0.0,0.0,0.0,54.0,0.0,54.0,0.0,0.0,54.0,54.0,0.0,143.0,0.38,0.38,0.38,146.0,0.37,0.37,0.37,
12/31/2014,288.0,288.0,,-12.0,12.0,276.0,0.0,-216.0,149.0,115.0,34.0,46.0,21.0,0.0,60.0,-5.0,3.0,3.0,0.0,2.0,55.0,-19.0,,,36.0,0.0,0.0,0.0,36.0,0.0,36.0,0.0,0.0,36.0,36.0,0.0,143.0,0.25,0.25,0.25,146.0,0.25,0.25,0.25,
03/31/2015,363.0,363.0,,-13.0,13.0,350.0,0.0,-260.0,190.0,157.0,33.0,49.0,21.0,0.0,90.0,-4.0,,2.0,,2.0,86.0,-23.0,,,63.0,0.0,0.0,0.0,63.0,0.0,63.0,0.0,0.0,63.0,63.0,0.0,143.0,0.44,0.44,0.44,146.0,0.43,0.43,0.43,
06/30/2015,405.0,405.0,,-16.0,16.0,389.0,0.0,-310.0,236.0,192.0,44.0,50.0,24.0,0.0,79.0,3.0,,2.0,,-5.0,82.0,-24.0,,,58.0,0.0,0.0,0.0,58.0,0.0,58.0,0.0,0.0,58.0,59.448276,1.448276,144.0,0.4,0.4,0.412835,146.0,0.4,0.4,0.40992,
09/30/2015,415.0,415.0,,-16.0,16.0,399.0,0.0,-311.0,234.0,197.0,37.0,54.0,23.0,0.0,88.0,10.0,3.0,3.0,0.0,-13.0,98.0,-24.0,,,74.0,0.0,0.0,0.0,74.0,0.0,74.0,0.0,0.0,74.0,68.333333,-5.666667,144.0,0.51,0.51,0.474537,146.0,0.51,0.51,0.471187,
12/31/2015,309.0,309.0,,-12.0,12.0,297.0,0.0,-322.0,241.0,145.0,96.0,55.0,26.0,0.0,-25.0,-1.0,3.0,3.0,0.0,-2.0,-26.0,29.0,,,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.967742,-2.032258,144.0,0.02,0.02,0.00672,146.0,0.02,0.02,0.00608,
03/31/2016,352.0,352.0,,-16.0,16.0,336.0,0.0,-294.0,209.0,172.0,37.0,61.0,24.0,0.0,42.0,-4.0,,4.0,,0.0,38.0,-9.0,,,29.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,0.0,29.0,29.0,0.0,145.0,0.2,0.2,0.2,147.0,0.2,0.2,0.2,
06/30/2016,391.0,391.0,,-20.0,20.0,371.0,0.0,-324.0,236.0,202.0,34.0,63.0,25.0,0.0,47.0,-3.0,,3.0,,0.0,44.0,-10.0,,,34.0,0.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0,34.0,34.0,0.0,146.0,0.23,0.23,0.23,147.0,0.23,0.23,0.23,
09/30/2016,421.0,421.0,,-19.0,19.0,402.0,0.0,-336.0,248.0,210.0,38.0,62.0,26.0,0.0,66.0,-3.0,3.0,3.0,0.0,0.0,63.0,-8.0,,,55.0,0.0,0.0,0.0,55.0,0.0,55.0,0.0,0.0,55.0,55.65,0.65,146.0,0.38,0.38,0.381164,147.0,0.37,0.37,0.374422,
12/31/2016,316.0,316.0,,-16.0,16.0,300.0,0.0,-290.0,206.0,172.0,34.0,58.0,26.0,0.0,10.0,-6.0,1.0,2.0,-1.0,5.0,4.0,-3.0,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,145.0,0.01,0.01,0.01,146.0,0.01,0.01,0.01,
03/31/2017,372.0,372.0,,-17.0,17.0,355.0,0.0,-328.0,242.0,207.0,35.0,59.0,27.0,0.0,27.0,-2.0,2.0,3.0,-1.0,0.0,25.0,-12.0,,,13.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,13.0,13.0,0.0,144.0,0.09,0.09,0.09,145.0,0.09,0.09,0.09,
06/30/2017,424.0,424.0,,-20.0,20.0,404.0,0.0,-358.0,267.0,229.0,38.0,64.0,27.0,0.0,46.0,-2.0,4.0,4.0,0.0,-2.0,44.0,-17.0,,,27.0,0.0,0.0,0.0,27.0,0.0,27.0,0.0,0.0,27.0,27.0,0.0,140.0,0.19,0.19,0.19,141.0,0.19,0.19,0.19,
09/30/2017,439.0,439.0,,-20.0,20.0,419.0,0.0,-377.0,289.0,247.0,42.0,61.0,27.0,0.0,42.0,-4.0,4.0,4.0,0.0,0.0,38.0,-13.0,,,25.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,26.388889,1.388889,139.0,0.18,0.18,0.189848,139.0,0.18,0.18,0.189848,
12/31/2017,321.0,321.0,,-16.0,16.0,305.0,0.0,-296.0,209.0,167.0,42.0,58.0,29.0,0.0,9.0,-6.0,4.0,4.0,0.0,2.0,3.0,-87.0,,,-84.0,0.0,0.0,0.0,-84.0,0.0,-84.0,0.0,0.0,-84.0,-11.0,73.0,139.0,-0.6,-0.6,-0.079137,139.0,-0.6,-0.6,-0.079137,
03/31/2018,378.0,378.0,,-20.0,20.0,358.0,0.0,-335.0,240.0,198.0,42.0,67.0,28.0,0.0,23.0,-2.0,2.0,3.0,-1.0,0.0,21.0,-16.0,,,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,10.0,5.0,139.0,0.04,0.04,0.071942,140.0,0.04,0.04,0.071942,
06/30/2018,433.0,433.0,,-24.0,24.0,409.0,0.0,-360.0,263.0,217.0,46.0,68.0,29.0,0.0,49.0,-7.0,3.0,3.0,0.0,4.0,42.0,-10.0,,,32.0,0.0,0.0,0.0,32.0,0.0,32.0,0.0,0.0,32.0,27.0,-5.0,138.0,0.23,0.23,0.195652,140.0,0.23,0.23,0.194286,
09/30/2018,458.0,458.0,,-23.0,23.0,435.0,0.0,-346.0,246.0,206.0,40.0,72.0,28.0,0.0,89.0,-2.0,4.0,4.0,0.0,-2.0,87.0,-18.0,,,69.0,0.0,0.0,0.0,69.0,0.0,69.0,0.0,0.0,69.0,70.166667,1.166667,138.0,0.5,0.5,0.508454,141.0,0.49,0.49,0.498274,
12/31/2018,346.0,346.0,,-19.0,19.0,327.0,0.0,-304.0,205.0,157.0,48.0,68.0,31.0,0.0,23.0,-1.0,0.0,3.0,-3.0,1.0,22.0,-15.0,,,7.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,7.0,8.837209,1.837209,138.0,0.05,0.05,0.064038,141.0,0.05,0.05,0.06303,
03/31/2019,376.0,376.0,,-21.0,21.0,355.0,0.0,-324.0,220.0,178.0,42.0,73.0,31.0,0.0,31.0,2.0,-2.0,2.0,-4.0,0.0,33.0,-7.0,,,26.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,26.0,26.0,0.0,138.0,0.19,0.19,0.19,141.0,0.18,0.18,0.18,
06/30/2019,422.0,422.0,,-27.0,27.0,395.0,0.0,-329.0,225.0,180.0,45.0,74.0,30.0,0.0,66.0,2.0,-2.0,2.0,-4.0,0.0,68.0,-34.0,,,34.0,0.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0,34.0,34.0,0.0,139.0,0.24,0.24,0.24,141.0,0.24,0.24,0.24,
09/30/2019,428.0,428.0,,-25.0,25.0,403.0,0.0,-335.0,227.0,176.0,51.0,76.0,32.0,0.0,68.0,5.0,-5.0,2.0,-7.0,0.0,73.0,-23.0,,,50.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,50.0,50.0,0.0,139.0,0.36,0.36,0.36,140.0,0.36,0.36,0.36,
12/31/2019,335.0,335.0,,-21.0,21.0,314.0,0.0,-291.0,188.0,139.0,49.0,70.0,33.0,0.0,23.0,-3.0,-1.0,2.0,-3.0,4.0,20.0,-5.0,,,15.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,15.0,16.617021,1.617021,139.0,0.11,0.11,0.119547,140.0,0.11,0.11,0.119547,
03/31/2020,278.0,278.0,,-19.0,19.0,259.0,0.0,-286.0,181.0,129.0,52.0,73.0,32.0,0.0,-27.0,0.0,1.0,2.0,-1.0,-1.0,-27.0,11.0,,,-16.0,0.0,0.0,0.0,-16.0,0.0,-16.0,0.0,0.0,-16.0,-22.390244,-6.390244,136.0,-0.12,-0.12,-0.164634,136.0,-0.12,-0.12,-0.166987,
06/30/2020,59.0,59.0,,-10.0,10.0,49.0,0.0,-213.0,97.0,54.0,43.0,51.0,32.0,33.0,-164.0,-15.0,6.0,7.0,-1.0,9.0,-179.0,26.0,,,-153.0,0.0,0.0,0.0,-153.0,0.0,-153.0,0.0,0.0,-153.0,-122.529412,30.470588,134.0,-1.14,-1.14,-0.914399,134.0,-1.14,-1.14,-0.914399,
09/30/2020,143.105,,,,,131.00261015,,,,,,,,,-42.95,,,,,,-44.95,,,,-52.26,,,,,,-52.26,,,-52.26,-36.562,,,-0.415,-0.415,-0.256,,-0.415,-0.415,-0.256,
12/31/2020,180.263,,,,,166.61348564,,,,,,,,,-11.997,,,,,,-19.5,,,,-29.829,,,,,,-29.829,,,-29.829,-12.189,,,-0.244,-0.244,-0.078,,-0.244,-0.244,-0.078,
