Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
10/31/1992,786.624873,-16.235001,0.0,0.0,1.327,771.716872,225.146998,0.589393,0.00172,1.569685,,13.452982,14.176242,,806.872527,791.964526,27.573876,,
01/31/1993,823.662623,-29.313999,0.0,0.0,1.327,795.675624,229.379997,0.578516,0.001668,1.623695,,13.716654,13.87287,,858.777029,830.79003,28.429935,,
04/30/1993,719.084998,-50.445,0.0,0.0,0.0,668.639998,220.469004,0.0,0.0,1.360936,,11.192876,11.839735,,738.5745,688.1295,24.229621,,
07/31/1993,598.180982,-13.542,0.0,0.0,0.0,584.638982,225.632002,0.0,0.0,1.205981,,9.947746,11.784693,,627.9075,614.3655,21.181309,,
10/31/1993,704.363498,-10.017,0.0,0.0,0.0,694.346498,231.982998,0.0,0.0,1.440885,,11.660282,14.454065,,733.775625,723.758625,25.149954,,
01/31/1994,707.05725,-25.292999,0.0,0.0,0.0,681.764251,235.942997,0.0,0.0,1.39953,,11.382087,14.151811,,707.178524,681.885525,24.740794,,
04/30/1994,628.663887,-14.059,0.0,0.0,52.884999,667.489886,287.286997,18.408421,0.07923,1.374182,,13.24411,12.033997,,641.3,680.125999,24.261894,,
07/30/1994,715.5225,-5.463,0.0,0.0,102.874001,812.933501,343.505999,29.94824,0.126547,1.588294,,15.848511,16.440064,,713.734,811.145001,29.452356,,
10/31/1994,692.835024,-6.599,0.0,0.0,123.254001,809.490025,373.832004,32.970425,0.152261,1.432226,,14.833159,23.812319,,692.835024,809.490025,29.360775,,
01/31/1995,674.486875,-10.385,0.0,0.0,83.665003,747.766878,339.083998,24.673828,0.111886,1.23205,,12.983642,10.889755,,674.509977,747.78998,27.126683,,
04/30/1995,606.704886,-11.244,0.0,0.0,67.099998,662.560884,325.092005,20.64031,0.101274,1.054565,,10.601144,15.871098,,626.94,682.795998,24.038144,,
07/31/1995,606.557136,-14.464,0.0,0.0,108.069,700.162136,371.796007,29.066746,0.154349,1.133262,,11.104519,10.991061,,637.9625,731.5675,25.402343,,
10/31/1995,550.155377,-13.419,0.0,0.0,139.362004,676.098381,413.972999,33.664515,0.206127,1.173674,,11.77113,9.901844,,572.206125,698.149129,24.530135,,
01/31/1996,575.713483,-15.661,0.0,0.0,91.188004,651.240487,365.380999,24.956964,0.140022,1.206197,,12.065818,17.461246,,605.21525,680.742254,23.622573,,
04/30/1996,599.649278,-17.646999,0.0,0.0,60.799999,642.802278,337.141008,18.033997,0.094586,1.216102,,11.905069,12.533823,,616.21625,659.36925,23.316492,,
07/31/1996,517.536743,-12.243,0.0,0.0,43.099998,548.393741,322.015995,13.384428,0.078593,1.045938,,10.655664,11.163357,,517.6965,548.553498,19.900862,,
