Date,Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1997,5492.0,,-3596.0,,1896.0,,-1521.0,,,,,375.0,-75.0,31.0,31.0,,0.0,,44.0,300.0,-135.0,,,,240.0,0.0,,,165.0,0.0,240.0,0.0,0.0,240.0,240.0,,657.0,0.365556,0.365556,0.365556,661.5,0.362222,0.362222,0.362222,
03/31/1998,5411.0,,-3333.0,,2078.0,,-1310.0,,,,,768.0,0.0,33.0,33.0,,0.0,,-33.0,768.0,-273.0,,,,495.0,0.0,,,495.0,0.0,495.0,0.0,0.0,495.0,495.0,,646.911,0.766667,0.766667,0.566667,646.911,0.756667,0.756667,0.556667,
06/30/1998,4350.0,,-2930.0,,1420.0,,-1035.0,,,,,385.0,0.0,32.0,32.0,,0.0,,-32.0,385.0,-136.0,,,,249.0,-59.0,,,308.0,0.0,308.0,0.0,0.0,308.0,308.0,,641.493,0.48,0.386667,0.386667,649.638,0.473333,0.383333,0.383333,
09/30/1998,4302.0,,-2879.0,,1423.0,,-1011.0,,,,,412.0,0.0,97.0,97.0,,0.0,,-97.0,412.0,-148.0,,,,264.0,13.0,,,251.0,0.0,251.0,0.0,0.0,251.0,251.0,,627.636,0.4,0.42,0.42,634.536,0.396667,0.416667,0.416667,
12/31/1998,3588.0,,-2472.0,,1116.0,,-823.0,,,,,293.0,-58.0,29.0,29.0,,0.0,,29.0,235.0,-115.0,,,,178.0,-60.0,,,180.0,0.0,238.0,0.0,0.0,238.0,238.0,,615.51,0.386667,0.29,0.29,626.31,0.38,0.283333,0.283333,
03/31/1999,4510.0,,-3025.0,,1485.0,,-1117.0,,,,,368.0,0.0,31.0,31.0,,0.0,,-31.0,368.0,-132.0,,,,236.0,48.0,,,188.0,0.0,188.0,0.0,0.0,188.0,188.0,,614.643,0.306667,0.383333,0.383333,623.124,0.303333,0.38,0.38,
06/30/1999,4690.0,,-3112.0,,1578.0,,-1109.0,,,,,469.0,0.0,,,,0.0,,,469.0,-166.0,,,,303.0,71.0,,,232.0,0.0,232.0,0.0,0.0,232.0,232.0,,605.187,0.383333,0.5,0.5,615.249,0.376667,0.493333,0.493333,
09/30/1999,4689.0,,-3124.0,,1565.0,,-1628.0,,,,,-63.0,0.0,,,,0.0,,,-63.0,-69.0,,,,-132.0,-1194.0,,,1062.0,0.0,1062.0,0.0,0.0,1062.0,1062.0,,585.411,1.813333,-0.226667,-0.226667,585.411,1.813333,-0.226667,-0.226667,
12/31/1999,4837.0,,-3203.0,,1634.0,,-1189.0,,,,,445.0,0.0,,85.0,,0.0,,-85.0,445.0,-153.0,,,,292.0,0.0,,,292.0,0.0,292.0,0.0,0.0,292.0,292.0,,530.067,0.55,0.55,0.55,543.192,0.536667,0.536667,0.536667,
03/31/2000,4891.0,,-3298.0,,1593.0,,-1173.0,,,,,420.0,0.0,27.0,27.0,,0.0,,-27.0,420.0,-149.0,,,,271.0,0.0,,,271.0,0.0,271.0,0.0,0.0,271.0,271.0,,503.823,0.536667,0.536667,0.536667,507.93,0.533333,0.533333,0.533333,
06/30/2000,4971.0,,-3488.0,,1483.0,,-1237.0,,,,,246.0,0.0,,,,0.0,,,246.0,-85.0,,,,161.0,0.0,,,161.0,0.0,161.0,0.0,0.0,161.0,161.0,,482.934,0.333333,0.333333,0.333333,489.531,0.33,0.33,0.33,
09/30/2000,5026.0,,-3334.0,,1692.0,,-1262.0,,,,,430.0,0.0,,,,0.0,,,430.0,-152.0,,,,278.0,0.0,,,278.0,0.0,278.0,0.0,0.0,278.0,278.0,,469.698,0.593333,0.593333,0.593333,478.485,0.58,0.58,0.58,
12/31/2000,5106.0,,-3367.0,,1739.0,,-1338.0,,,,,401.0,-77.0,,77.0,,0.0,,0.0,324.0,-124.0,,,,277.0,0.0,,,200.0,0.0,277.0,0.0,0.0,277.0,277.0,,663.813,0.416667,0.416667,0.416667,696.822,0.396667,0.396667,0.396667,
03/31/2001,4732.0,,-3090.0,,1642.0,0.0,-1222.0,,,,,420.0,0.0,,29.0,,0.0,,-29.0,420.0,-144.0,,,,276.0,0.0,,,276.0,0.0,276.0,0.0,0.0,276.0,276.0,,455.418,0.606667,0.606667,0.59,464.769,0.593333,0.593333,0.576667,
06/30/2001,4663.0,,-3020.0,,1643.0,0.0,-1258.0,,,,,385.0,0.0,,30.0,,0.0,,-30.0,385.0,-133.0,,,,252.0,0.0,,,252.0,0.0,252.0,0.0,0.0,252.0,252.0,,448.35,0.563333,0.563333,0.586667,448.35,0.553333,0.553333,0.576667,
09/30/2001,4778.0,,-3079.0,,1699.0,0.0,-1288.0,,,,,411.0,0.0,,29.0,,0.0,,-29.0,411.0,-141.0,,,,270.0,0.0,,,270.0,0.0,270.0,0.0,0.0,270.0,270.0,,441.888,0.61,0.61,0.51,441.888,0.603333,0.603333,0.503333,
12/31/2001,4434.0,,-2787.0,,1647.0,,-1394.0,,,,,253.0,,,,,,,,,-80.0,,,,173.0,-18.0,,,,0.0,191.0,0.0,0.0,191.0,191.0,,429.048,0.446667,0.403333,0.44,445.425,0.43,0.39,0.426667,
03/31/2002,4780.0,,-3153.0,,1627.0,,-1296.0,,,,,331.0,0.0,30.0,30.0,,0.0,,-30.0,331.0,-113.0,,,,218.0,0.0,,,218.0,0.0,218.0,0.0,0.0,218.0,218.0,,424.656,0.513333,0.513333,0.513333,429.855,0.506667,0.506667,0.506667,
06/30/2002,4737.0,,-3119.0,,1618.0,,-1292.0,,,,,326.0,0.0,61.0,61.0,,0.0,,-61.0,326.0,-111.0,,,,215.0,1.0,,,214.0,0.0,214.0,0.0,0.0,214.0,214.0,,422.643,0.506667,0.51,0.663333,429.174,0.5,0.5,0.65,
09/30/2002,5083.0,,-4987.0,,96.0,,-1375.0,,,,,-1279.0,0.0,29.0,29.0,,0.0,,-29.0,-1279.0,405.0,,,,-874.0,3.0,,,-877.0,0.0,-877.0,0.0,0.0,-877.0,-877.0,,419.301,-2.09,-2.083333,0.483333,419.301,-2.09,-2.083333,0.483333,
12/31/2002,4748.0,,-3055.0,,1693.0,,-1640.0,,,,,53.0,0.0,1.0,1.0,,0.0,,-1.0,53.0,-9.0,,,,44.0,-3.0,,,47.0,0.0,47.0,0.0,0.0,47.0,47.0,,419.604,0.113333,0.106667,0.193333,419.604,0.113333,0.106667,0.193333,
03/31/2003,4900.0,,-3249.0,,1651.0,0.0,-1369.0,,,,,282.0,0.0,,28.0,,0.0,,-28.0,282.0,-94.0,,,,188.0,-48.0,,,236.0,0.0,236.0,0.0,0.0,236.0,236.0,,419.073,0.563333,0.45,0.49,420.18,0.56,0.446667,0.486667,
06/30/2003,4634.0,,-3330.0,,1304.0,0.0,-1381.0,,,,,-77.0,0.0,-28.0,56.0,,0.0,,28.0,-77.0,24.0,,,,-53.0,0.0,,,-53.0,0.0,-53.0,0.0,0.0,-53.0,-53.0,,419.205,-0.126667,-0.126667,0.376667,419.205,-0.126667,-0.126667,0.376667,
09/30/2003,4773.0,,-3020.0,,1753.0,0.0,-1472.0,,,,,281.0,0.0,,27.0,,0.0,,-27.0,281.0,-86.0,,,,195.0,0.0,,,195.0,0.0,195.0,0.0,0.0,195.0,195.0,,419.22,0.466667,0.466667,0.486667,419.22,0.463333,0.463333,0.483333,
12/31/2003,4501.0,,-2621.0,,1880.0,0.0,-1463.0,,,,,417.0,0.0,,,,0.0,,-204.0,621.0,-127.0,,,,290.0,0.0,,,494.0,0.0,290.0,0.0,0.0,290.0,290.0,,419.466,0.691355,0.691355,0.691355,428.667,0.676516,0.676516,0.676516,
03/31/2004,4722.0,,-2964.0,,1758.0,,-1446.0,,,,,312.0,0.0,27.0,27.0,,0.0,,-27.0,312.0,-105.0,,,,207.0,139.0,,,68.0,0.0,68.0,0.0,0.0,68.0,68.0,,419.997,0.163333,0.493333,0.603333,423.345,0.16,0.49,0.6,
06/30/2004,4633.0,,-2485.0,,2148.0,,-1389.0,,,,,759.0,0.0,55.0,55.0,,0.0,,-55.0,759.0,-255.0,,,,504.0,0.0,,,504.0,0.0,504.0,0.0,0.0,504.0,504.0,,416.403,1.21,1.21,0.563333,420.684,1.196667,1.196667,0.556667,
09/30/2004,4479.0,,-2617.0,,1862.0,0.0,-1367.0,,,,,495.0,0.0,,26.0,,0.0,,-26.0,495.0,-187.0,,,,308.0,,,,308.0,0.0,308.0,0.0,0.0,308.0,308.0,,404.73,0.76,0.76,0.566667,404.73,0.753333,0.753333,0.56,
12/31/2004,4342.0,,-2198.0,,2144.0,,-1335.0,,,,,809.0,0.0,26.0,26.0,,0.0,,-26.0,809.0,-251.0,,,,558.0,0.0,,,558.0,0.0,558.0,0.0,0.0,558.0,558.0,,396.786,1.406667,1.406667,1.546667,399.765,1.386667,1.386667,1.523333,
03/31/2005,4345.0,,-2324.0,,2021.0,,-1356.0,,,,,665.0,0.0,26.0,26.0,,0.0,,-26.0,665.0,-229.0,,,,436.0,0.0,,,436.0,0.0,436.0,0.0,0.0,436.0,436.0,,392.166,1.113333,1.113333,0.76,398.178,1.093333,1.093333,0.743333,
06/30/2005,4107.0,,-2425.0,,1682.0,,-1245.0,,,,,437.0,0.0,1.0,27.0,,0.0,,-1.0,437.0,-66.0,,,,371.0,-349.0,,,720.0,0.0,720.0,0.0,0.0,720.0,720.0,,386.958,1.86,0.96,0.68,394.038,1.826667,0.94,0.66,
09/30/2005,4022.0,,-2365.0,,1657.0,0.0,-1274.0,,,,,383.0,0.0,,26.0,,0.0,,-26.0,383.0,-124.0,,,,259.0,0.0,,,259.0,0.0,259.0,0.0,0.0,259.0,259.0,,380.664,0.68,0.68,0.66,380.664,0.68,0.666667,0.646667,
12/31/2005,4210.0,,-2532.0,,1678.0,,-1370.0,,,,,308.0,0.0,26.0,26.0,,0.0,,-26.0,308.0,-98.0,,,,210.0,0.0,,,210.0,0.0,210.0,0.0,0.0,210.0,210.0,,368.388,0.57,0.57,0.57,384.792,0.556667,0.556667,0.556667,
03/31/2006,4107.0,,-2236.0,,1871.0,,-1343.0,,,,,528.0,0.0,,25.0,,0.0,,-25.0,528.0,-176.0,,,,352.0,0.0,,,352.0,0.0,352.0,0.0,0.0,352.0,352.0,,359.838,0.976667,0.976667,0.716667,367.539,0.956667,0.956667,0.7,
06/30/2006,4098.0,,-2318.0,,1780.0,0.0,-1372.0,,,,,408.0,0.0,,24.0,,0.0,,-24.0,408.0,-135.0,,,,273.0,0.0,,,273.0,0.0,273.0,0.0,0.0,273.0,273.0,,346.233,0.79,0.79,0.78,350.934,0.776667,0.776667,0.766667,
09/30/2006,4137.0,,-2338.0,,1799.0,,-1353.0,,,,,446.0,0.0,,27.0,,0.0,,-27.0,446.0,-144.0,,,,302.0,4.0,,,298.0,0.0,298.0,0.0,0.0,298.0,298.0,,319.743,0.933333,0.943333,0.836667,324.705,0.916667,0.93,0.823333,
12/31/2006,4205.0,,-2372.0,,1833.0,,-1484.0,,,,,349.0,0.0,56.0,28.0,,0.0,,-56.0,349.0,-117.0,,,,232.0,0.0,,,232.0,0.0,232.0,0.0,0.0,232.0,232.0,,305.559,0.76,0.76,0.87,305.559,0.76,0.76,0.87,
03/31/2007,4374.0,,-2555.0,,1819.0,,-1406.0,,,,,413.0,0.0,,29.0,,0.0,,-29.0,413.0,-136.0,,,,277.0,-12.0,,,289.0,0.0,289.0,0.0,0.0,289.0,289.0,,290.37,0.996667,0.953333,0.91,296.352,0.976667,0.933333,0.89,
06/30/2007,4381.0,,-2563.0,,1818.0,0.0,-1490.0,,,,,328.0,0.0,,,,0.0,,0.0,328.0,-111.0,,,,217.0,19.0,,,198.0,0.0,198.0,0.0,0.0,198.0,198.0,,284.614,0.7,0.76,0.98,290.001,0.68,0.75,0.96,
09/30/2007,4413.0,,-2496.0,,1917.0,,-1415.0,,,,,502.0,0.0,,30.0,,0.0,,-30.0,502.0,-139.0,,,,363.0,-2.0,,,365.0,0.0,365.0,0.0,0.0,365.0,365.0,,279.883,1.3,1.3,1.16,284.462,1.28,1.28,1.14,
12/31/2007,4455.0,,-3489.0,,966.0,,-578.0,,,,,388.0,0.0,,31.0,,0.0,,-31.0,388.0,-125.0,,,,263.0,0.0,,,263.0,0.0,263.0,0.0,0.0,263.0,263.0,,282.683,0.93,0.93,0.98,282.683,0.93,0.93,0.98,
03/31/2008,4569.0,,-2911.0,,1658.0,0.0,-1584.0,,,,,74.0,0.0,,31.0,,,,-31.0,74.0,-18.0,,,,56.0,-3.0,,,59.0,-1.0,58.0,0.0,0.0,58.0,58.0,136.5,281.566,0.21,0.2,0.680125,284.156,0.2,0.19,0.67037,
06/30/2008,4863.0,,-3044.0,,1819.0,0.0,-1406.0,,,,,413.0,0.0,,37.0,,,,-37.0,413.0,-140.0,,,,273.0,1.0,,,272.0,,272.0,0.0,0.0,272.0,272.0,19.5,277.659,0.98,0.98,1.05,279.938,0.97,0.98,1.04,
09/30/2008,4852.0,,-2057.0,,2795.0,0.0,-2562.0,,,,,233.0,0.0,,38.0,,,,-38.0,233.0,-62.0,,,,171.0,-1.0,,,172.0,-1.0,171.0,0.0,0.0,171.0,171.0,49.4,275.141,0.62,0.62,0.8,276.806,0.62,0.62,0.8,
12/31/2008,4817.0,,-4486.0,,331.0,0.0,-669.0,,,,,-338.0,0.0,,40.0,,,,-40.0,-338.0,128.0,,,,-210.0,-1.0,,,-209.0,0.0,-209.0,0.0,0.0,-209.0,-209.0,,272.567,-0.77,-0.77,0.48,272.567,-0.77,-0.77,0.48,
03/31/2009,4809.0,4809.0,-1360.0,1360.0,3449.0,0.0,-3140.0,,,,3140.0,309.0,-36.0,,38.0,,,,-2.0,273.0,-65.0,-85.0,150.0,,208.0,-1.0,-1.0,0.0,209.0,-1.0,208.0,0.0,0.0,208.0,222.05,15.05,272.591,0.76,0.76,0.81459,272.591,0.76,0.76,0.81459,
06/30/2009,4506.0,4506.0,-3333.0,3333.0,1173.0,0.0,-534.0,,,,534.0,639.0,-9.0,,41.0,,,,-32.0,630.0,-195.0,155.0,40.0,,435.0,0.0,0.0,0.0,435.0,0.0,435.0,,0.0,435.0,455.7,20.7,274.086,1.59,1.59,1.662617,275.055,1.58,1.58,1.655258,
09/30/2009,4503.0,4503.0,-2707.0,2707.0,1796.0,0.0,-1339.0,,,,1339.0,457.0,30.0,,43.0,,,,-73.0,487.0,-157.0,68.0,89.0,,330.0,0.0,0.0,0.0,330.0,-1.0,329.0,,0.0,329.0,338.1161,9.1161,274.398,1.2,1.2,1.232211,276.13,1.19,1.19,1.223014,
12/31/2009,4639.0,4639.0,-4306.0,4306.0,333.0,0.0,0.0,,0.0,,0.0,333.0,-3.0,,44.0,,0.0,0.0,-41.0,330.0,,,,0.0,330.0,0.0,0.0,0.0,330.0,,330.0,0.0,0.0,330.0,333.9,3.9,277.343,1.19,1.19,1.203924,277.343,1.19,1.19,1.203924,
03/31/2010,5211.0,5211.0,-1164.0,1164.0,4047.0,0.0,-3620.0,,,,3620.0,427.0,-5.0,,43.0,,,,-38.0,422.0,-138.0,87.0,51.0,,284.0,0.0,0.0,0.0,284.0,-1.0,283.0,0.0,0.0,283.0,281.65,-1.35,275.688,1.03,1.03,1.021626,278.1,1.02,1.02,1.015146,
06/30/2010,5331.0,5331.0,-3345.0,3345.0,1986.0,0.0,-1569.0,,,,1569.0,417.0,22.0,,45.0,,,,-67.0,439.0,-144.0,68.0,76.0,,295.0,0.0,0.0,0.0,295.0,-1.0,294.0,0.0,0.0,294.0,384.0,90.0,275.107,1.07,1.07,1.395821,277.536,1.06,1.06,1.384282,
09/30/2010,5238.0,5238.0,-3331.0,3331.0,1907.0,0.0,-1471.0,,,,1471.0,436.0,28.0,,47.0,,,,-75.0,464.0,-156.0,101.0,55.0,,308.0,0.0,0.0,0.0,308.0,-1.0,307.0,0.0,0.0,307.0,299.0,-8.0,270.497,1.13,1.13,1.105373,272.84,1.13,1.13,1.100679,
12/31/2010,5398.0,5398.0,-4968.0,4968.0,430.0,0.0,0.0,,,,0.0,430.0,31.0,,47.0,,0.0,0.0,-78.0,461.0,,,,0.0,461.0,0.0,0.0,0.0,461.0,,461.0,0.0,0.0,461.0,414.0,-47.0,272.697,1.69,1.69,1.518169,272.697,1.69,1.69,1.517648,
03/31/2011,5385.0,5385.0,-1270.0,1270.0,4115.0,0.0,-3562.0,,,,3562.0,553.0,26.0,,44.0,,,,-70.0,579.0,-165.0,22.0,143.0,,414.0,0.0,0.0,0.0,414.0,-1.0,413.0,0.0,0.0,413.0,372.0,-41.0,270.377,1.53,1.53,1.375857,273.873,1.51,1.51,1.360296,
06/30/2011,5490.0,5490.0,-1347.0,1347.0,4143.0,0.0,-3570.0,,,,3570.0,573.0,19.0,,48.0,,,,-67.0,592.0,-201.0,138.0,63.0,,391.0,0.0,0.0,0.0,391.0,0.0,391.0,0.0,0.0,391.0,400.3,9.3,268.557,1.46,1.46,1.490559,272.733,1.43,1.43,1.464099,
09/30/2011,5597.0,5597.0,-1581.0,1581.0,4016.0,0.0,-3779.0,,,,3779.0,237.0,36.0,,49.0,,,,-85.0,273.0,-90.0,114.0,-24.0,,183.0,0.0,0.0,0.0,183.0,0.0,183.0,0.0,0.0,183.0,357.7824,174.7824,268.569,0.68,0.68,1.332181,272.06,0.67,0.67,1.312441,
12/31/2011,5419.0,5419.0,-1069.0,1069.0,4350.0,0.0,-3924.0,,,,3924.0,426.0,6.0,,,,,,-6.0,432.0,-159.0,124.0,35.0,,273.0,0.0,0.0,0.0,273.0,0.0,273.0,0.0,0.0,273.0,292.45,19.45,278.29,0.98,0.98,1.050882,278.29,0.98,0.98,1.049891,
03/31/2012,6741.0,6741.0,-2128.0,2128.0,4613.0,0.0,-4077.0,,,,4077.0,536.0,16.0,,66.0,,,,-82.0,552.0,-181.0,135.0,46.0,,371.0,0.0,0.0,0.0,371.0,0.0,371.0,0.0,0.0,371.0,358.49014,-12.50986,285.159,1.3,1.3,1.257159,288.999,1.28,1.28,1.236713,
06/30/2012,7426.0,7426.0,-1242.0,1242.0,6184.0,0.0,-5592.0,,,,5592.0,592.0,-4.0,,67.0,,,,-63.0,588.0,-208.0,211.0,-3.0,,380.0,0.0,0.0,0.0,380.0,0.0,380.0,0.0,0.0,380.0,383.0,3.0,285.69,1.33,1.33,1.340614,290.547,1.31,1.31,1.320325,
