Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Insurance Reserves,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1996,81.464996,110.703003,16.344,-55.271999,9.69,,,,,,,,,,,,,,,,,,
06/30/1996,156.242996,105.983002,14.65,81.800003,-46.189999,,,,,,,,,,,,,,,,,,
09/30/1996,231.959,115.986,15.232,121.989998,-21.249001,,,,,,,,,,,,,,,,,,
12/31/1996,214.666,106.278999,17.834,97.859001,-7.306,,,,,,,,,,,,,,,,214.666,,
03/31/1997,69.978996,111.525002,16.903,-72.945,14.496,,,,,,,,,,,,,,,,,,
06/30/1997,-51.637001,117.211998,17.549999,-150.591003,-35.807999,,,,,,,,,,,,,,,,,,
09/30/1997,474.858002,121.699997,21.347,334.398987,-2.588,,,,,,,,,,,,,,,,,,
12/31/1997,217.699997,79.559998,28.4,114.540001,-4.8,,,,,,,,,,,,,,,,,,
03/31/1998,155.5,111.599998,39.299999,4.6,,,,,,,,,,,,,,,,,,,
06/30/1998,208.6,69.2,38.7,19.4,81.3,-183.6,0.0,0.0,-1487.3,1423.5,-119.8,-90.9,-45.2,-44.8,0.0,-3.4,0.0,-0.5,10.2,-7.2,-65.9,,
09/30/1998,115.0,74.900002,37.299999,2.8,,,,,,,,,,,,,,,,,,,
12/31/1998,210.0,96.199997,41.599998,72.199997,,,,,,,,,,,,,,,,,,,
03/31/1999,76.8,118.5,35.1,74.3,-151.1,-136.0,0.0,0.0,-1568.2,1447.9,-15.7,120.9,-47.7,-119.3,0.0,-132.2,0.0,-1.6,524.5,-102.8,61.7,,
06/30/1999,381.3,73.1,39.3,198.9,,,,,,,,,,,,,,,,,,,
09/30/1999,68.1,16.1,38.7,100.3,,,,,,,,,,,,,,,,,,,
12/31/1999,236.8,44.5,36.8,129.4,26.1,-353.6,0.0,0.0,-2168.2,1838.1,-23.5,142.2,-48.1,-13.6,0.0,-2.1,0.0,-30.1,259.4,-23.3,25.4,,
03/31/2000,103.1,29.8,31.5,77.8,-36.0,-256.1,,,-1524.4,1297.4,-29.1,153.0,-47.7,84.2,300.0,-0.4,,-30.1,149.5,-302.5,0.0,,
06/30/2000,427.5,29.1,27.9,426.0,-19.5,34.6,,,-994.3,1049.1,-20.2,-161.3,-47.2,-21.1,0.0,-2.3,,-0.2,2.4,-92.9,300.8,,
09/30/2000,201.3,45.5,20.2,35.3,100.3,71.1,,,-1107.4,1177.0,1.5,-204.5,-47.2,56.3,0.0,-0.9,,-0.2,-244.5,32.0,67.9,,
12/31/2000,623.3,10.2,44.0,420.6,,,,,,,,,,,,,,,,,,,
03/31/2001,56.3,-882.8,5.0,1017.5,-83.4,667.7,,,-1006.1,1702.1,-28.3,-663.1,-47.2,-75.1,,-1.7,,-0.5,-282.7,-255.9,60.9,,
06/30/2001,53.7,-14.4,41.6,47.6,-21.1,168.2,,,-742.2,927.9,-17.5,-289.7,-23.7,9.9,,-1.1,,-1.2,-140.6,-133.0,-67.8,,
09/30/2001,281.6,-100.6,19.1,28.9,334.2,-1162.5,,,-2038.7,635.8,240.4,853.2,-23.6,-9.2,,-1.5,,-3.0,163.5,727.0,-27.7,,
12/31/2001,674.7,8.6,21.4,672.0,-27.3,-32.4,0.0,0.0,-1303.4,1291.1,-20.1,-468.4,-23.6,27.8,0.0,-1.9,0.0,-3.4,9.8,-477.1,173.9,,
03/31/2002,153.3,63.6,21.1,68.6,-77.3,-122.8,,,-1300.2,1216.0,-38.6,-15.1,-23.6,-4.2,,-8.5,,-1.4,35.4,-12.8,15.4,,
06/30/2002,180.7,105.2,22.8,168.6,-38.6,-420.3,,,-2373.6,1941.1,12.2,81.0,-23.7,1.9,,-0.5,,-1.8,124.7,-19.6,-158.6,,
09/30/2002,254.9,75.2,20.8,136.0,22.9,-320.0,,,-1559.2,1182.3,56.9,120.3,-23.6,-296.7,371.8,-37.2,,-4.3,71.2,39.1,55.2,,
12/31/2002,265.0,57.1,28.9,86.0,-103.6,-573.1,0.0,,-2131.5,1534.1,24.3,315.3,-23.7,0.0,5.8,0.0,329.2,-2.4,5.0,1.4,7.2,,
03/31/2003,217.6,90.0,14.4,113.2,-119.6,-400.2,0.0,0.0,-837.2,727.3,-290.3,209.4,-25.6,0.0,495.9,-307.1,0.0,0.0,0.0,46.2,26.8,,
06/30/2003,285.0,111.9,14.5,271.3,6.9,-56.6,0.0,0.0,-261.5,500.1,-295.2,-137.4,-25.6,0.0,0.0,-200.2,3.7,0.0,0.0,84.7,91.0,,
09/30/2003,-240.7,-28.9,13.1,-224.9,86.9,56.5,,,-1600.4,1643.7,13.2,-84.7,-76.8,,495.9,-510.1,5.9,,,0.4,-268.9,,
12/31/2003,533.9,166.2,27.6,182.0,158.1,-510.4,0.0,0.0,-1899.2,1394.1,-5.3,-93.5,-25.6,0.0,0.0,-3.6,0.0,0.0,-68.3,4.0,-70.0,,
03/31/2004,71.5,236.199997,14.8,-47.400002,-132.100006,6.1,0.0,0.0,-516.099976,511.200012,11.0,-10.6,-25.700001,0.0,0.0,0.0,15.1,0.0,0.0,0.0,67.0,,
06/30/2004,337.0,247.5,13.2,-35.400002,111.699997,-300.299988,0.0,0.0,-1044.900024,751.900024,-7.3,-40.599998,-25.700001,0.0,0.0,0.0,23.1,-38.0,0.0,0.0,-3.9,,
09/30/2004,324.799988,-101.099998,16.200001,25.9,383.799988,966.900024,0.0,0.0,-1110.300049,570.099976,1507.099976,-1346.199951,-25.700001,0.0,0.0,-735.200012,39.700001,-625.0,0.0,0.0,-54.5,,
12/31/2004,661.799988,179.800003,18.9,531.900024,-68.800003,-243.800003,0.0,0.0,-798.400024,513.200012,41.400002,-493.700012,-27.700001,0.0,0.0,0.0,6.2,0.0,0.0,-472.200012,-75.699997,,
03/31/2005,161.100006,212.0,12.8,34.200001,-97.900002,-41.299999,0.0,0.0,-629.799988,590.599976,-2.1,-16.9,-27.9,0.0,0.0,,11.0,0.0,0.0,0.0,102.900002,,
06/30/2005,318.399994,187.300003,12.6,30.299999,88.199997,-262.299988,0.0,0.0,-628.400024,367.5,-1.4,-30.9,-27.9,0.0,0.0,0.0,13.1,-16.1,0.0,0.0,25.200001,,
09/30/2005,259.399994,101.099998,12.5,17.9,127.900002,-26.4,0.0,0.0,-728.700012,713.700012,-11.4,-269.700012,-31.9,0.0,0.0,-29.799999,7.0,-215.0,0.0,0.0,-36.700001,,
12/31/2005,282.200012,190.699997,13.3,32.099998,46.099998,-57.599998,0.0,-28.6,-552.900024,551.799988,-27.9,-11.6,-31.200001,0.0,0.0,0.0,1.7,-24.799999,0.0,42.700001,213.0,,
03/31/2006,84.6,208.2,12.5,47.9,-184.0,178.0,0.0,-17.4,-750.8,791.3,154.9,-442.3,-30.9,0.0,0.0,-16.4,22.9,-270.2,0.0,-147.7,-179.7,,
06/30/2006,198.3,199.7,12.1,-10.6,-2.9,164.9,0.0,-8.1,-669.3,914.9,-72.6,-194.0,-29.8,0.0,0.0,-18.9,34.5,-205.5,0.0,25.7,169.2,,
09/30/2006,206.7,255.7,23.0,-96.3,24.3,79.0,0.0,-18.9,-739.7,720.7,116.9,-207.0,-34.9,0.0,0.0,0.0,24.9,-86.3,0.0,-110.7,78.7,,
12/31/2006,238.9,216.4,12.1,16.8,-6.4,-365.7,0.0,-2.2,-905.2,992.2,-450.5,-210.1,-34.6,0.0,0.0,-25.1,4.5,-603.2,0.0,448.3,-336.9,,
03/31/2007,45.2,182.5,11.1,28.6,-177.0,-9.7,0.0,-30.4,-697.4,705.7,12.4,-30.7,-31.8,0.0,0.0,0.0,8.1,0.0,0.0,-7.0,4.8,,
06/30/2007,221.2,186.4,16.6,-24.2,42.4,579.0,0.0,-38.4,-241.7,651.1,208.0,-397.1,-32.0,0.0,0.0,0.0,1.6,-157.8,0.0,-208.9,403.1,,
09/30/2007,286.0,194.4,3.2,-34.0,122.4,881.4,0.0,-24.6,-683.1,1454.0,135.1,-1197.1,-41.8,0.0,0.0,-558.9,3.9,-465.3,0.0,-135.0,-29.7,,
12/31/2007,210.6,144.5,18.5,6.8,40.8,146.2,0.0,-20.9,-552.0,632.8,86.3,-490.6,-38.6,0.0,0.0,0.0,2.0,-376.9,0.0,-77.1,-133.8,,
03/31/2008,38.1,141.8,12.0,24.8,-140.5,-2.3,0.0,-6.6,-406.2,452.5,-42.0,-193.2,-36.1,0.0,0.0,-200.0,0.7,0.0,0.0,42.2,-157.4,,
06/30/2008,200.2,149.5,12.2,-43.6,82.1,90.9,0.0,-13.2,-485.9,501.9,88.1,-121.4,-36.3,0.0,0.0,0.0,4.0,0.0,0.0,-89.1,169.7,,
