Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2011,842.0,842.0,-405.0,405.0,437.0,0.0,-291.0,256.0,36.0,-1.0,146.0,-18.0,18.0,128.0,-42.0,86,41.0,41.0,0.0,45.0,0.0,45,0.0,0.0,45,94.0,8.0,223.0,0.2,0.39,0.421525,225.6,0.2,0.38,0.415461,
06/30/2011,940.0,940.0,-452.0,452.0,488.0,0.0,-339.0,288.0,38.0,13.0,149.0,-20.0,20.0,129.0,-33.0,96,11.0,11.0,0.0,85.0,0.0,85,0.0,0.0,85,120.285714,24.285714,223.4,0.38,0.43,0.538432,226.5,0.37,0.42,0.527222,
09/30/2011,828.0,828.0,-405.0,405.0,423.0,0.0,-308.0,264.0,37.0,7.0,115.0,-25.0,25.0,90.0,-18.0,72,2.0,2.0,0.0,70.0,0.0,70,0.0,0.0,70,82.043478,10.043478,223.8,0.31,0.32,0.366593,226.3,0.31,0.32,0.364381,
12/31/2011,890.0,890.0,-443.0,443.0,447.0,0.0,-304.0,261.0,36.0,7.0,143.0,-17.0,17.0,126.0,-32.0,94,-1.0,-1.0,0.0,95.0,0.0,95,0.0,0.0,95,99.95,5.95,224.7,0.42,0.42,0.444815,226.6,0.42,0.41,0.436258,
03/31/2012,919.0,919.0,-460.0,460.0,459.0,0.0,-298.0,241.0,45.0,12.0,161.0,-21.0,21.0,140.0,-36.0,104,72.0,72.0,0.0,32.0,0.0,32,0.0,0.0,32,114.56,10.56,224.6,0.14,0.46,0.510062,226.8,0.14,0.46,0.506561,
06/30/2012,961.0,961.0,-486.0,486.0,475.0,0.0,-320.0,267.0,46.0,7.0,155.0,-24.0,24.0,131.0,-40.0,91,-5.0,-5.0,0.0,96.0,0.0,96,0.0,0.0,96,95.55,4.55,221.7,0.43,0.41,0.430988,224.2,0.43,0.41,0.430294,
09/30/2012,837.0,837.0,-401.0,401.0,436.0,0.0,-293.0,244.0,47.0,2.0,143.0,-19.0,19.0,124.0,-37.0,87,3.0,3.0,0.0,84.0,0.0,84,0.0,0.0,84,89.0,2.0,221.9,0.38,0.39,0.401082,224.4,0.37,0.39,0.398913,
12/31/2012,909.0,909.0,-438.0,438.0,471.0,0.0,-300.0,249.0,48.0,3.0,171.0,-19.0,19.0,152.0,-44.0,108,0.0,0.0,0.0,108.0,0.0,108,0.0,0.0,108,111.0,3.0,222.6,0.49,0.49,0.498652,224.9,0.48,0.48,0.493339,
03/31/2013,901.0,901.0,-425.0,425.0,476.0,0.0,-341.0,244.0,47.0,50.0,135.0,-17.0,17.0,118.0,-34.0,84,0.0,0.0,0.0,84.0,0.0,84,0.0,0.0,84,123.0,39.0,222.5,0.38,0.38,0.552809,225.6,0.37,0.37,0.542872,
06/30/2013,903.0,903.0,-436.0,436.0,467.0,0.0,-297.0,243.0,50.0,4.0,170.0,-21.0,21.0,149.0,-39.0,110,1.0,1.0,0.0,109.0,0.0,109,0.0,0.0,109,113.0,3.0,217.8,0.5,0.5,0.518825,221.2,0.49,0.49,0.503562,
09/30/2013,830.0,830.0,-407.0,407.0,423.0,0.0,-307.0,248.0,48.0,11.0,116.0,-20.0,20.0,96.0,-18.0,78,0.0,0.0,0.0,78.0,0.0,78,0.0,0.0,78,86.0,8.0,214.0,0.36,0.36,0.401869,217.4,0.36,0.36,0.396799,
12/31/2013,922.0,922.0,-456.0,456.0,466.0,0.0,-314.0,257.0,47.0,10.0,152.0,-21.0,21.0,131.0,-34.0,97,0.0,0.0,0.0,97.0,0.0,97,0.0,0.0,97,106.0,9.0,210.5,0.46,0.46,0.503563,213.7,0.45,0.45,0.492115,
03/31/2014,968.0,968.0,-496.0,496.0,472.0,0.0,-313.0,258.0,47.0,8.0,159.0,-27.0,27.0,132.0,-30.0,102,0.0,0.0,0.0,102.0,0.0,102,0.0,0.0,102,113.0,11.0,208.0,0.49,0.49,0.543269,211.1,0.48,0.48,0.532108,
06/30/2014,1122.0,1122.0,-575.0,575.0,547.0,0.0,-353.0,298.0,48.0,7.0,194.0,-21.0,21.0,173.0,-33.0,140,0.0,0.0,0.0,140.0,0.0,140,0.0,0.0,140,150.0,10.0,206.4,0.68,0.68,0.726744,209.6,0.67,0.67,0.71771,
09/30/2014,922.0,922.0,-465.0,465.0,457.0,0.0,-331.0,265.0,49.0,17.0,126.0,-28.0,28.0,98.0,-22.0,76,0.0,0.0,0.0,76.0,0.0,76,0.0,0.0,76,92.0,16.0,204.1,0.37,0.37,0.450759,207.0,0.37,0.37,0.447295,
12/31/2014,1069.0,1069.0,-534.0,534.0,535.0,0.0,-357.0,279.0,49.0,29.0,178.0,-26.0,26.0,152.0,21.0,173,0.0,0.0,0.0,173.0,0.0,173,0.0,0.0,173,194.0,21.0,204.1,0.85,0.85,0.950514,207.3,0.83,0.83,0.931302,
03/31/2015,1007.8,,,,514.4819,,,,,,213.333,,,189.0,,123,,,,,,123,,,123,140.75,,,0.555,0.555,0.682,,0.555,0.555,0.682,
06/30/2015,1102.0,,,,566.06434,,,,,,250.667,,,242.5,,161,,,,,,161,,,161,178.0,,,0.69,0.69,0.825,,0.69,0.69,0.825,
