Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,Impairment of Assets,Income from Uncon JVs,Disposal of Con Assets,Abnormal Losses/(Gains),Income Taxes from Sale of Assets,Deficit/Distributions to Partners,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Stock-Based Compensation,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
09/07/2001,848.0,547.0,,,,301.0,-750.0,332.0,7.0,87.0,,,324.0,98.0,-104.0,111.0,1.0,-8.0,-6.0,,,1.0,,,,,-7.0,,,-16.0,-16.0,,268.7748,-0.058599,-0.058599,-0.058599,291.403085,-0.058599,-0.058599,-0.058599,,,,,,,,,,,,79.0,,79.0,,79.0,0.271102,0.271102,0.25393,93.665821,93.665821,86.392405,
12/31/2001,1060.0,626.0,0.0,0.0,0.0,434.0,-938.0,360.0,8.0,112.0,-7.0,,465.0,139.0,-147.0,149.0,0.0,-2.0,-8.0,0.0,,1.0,,,-9.0,,-23.0,,0.0,-32.0,-32.0,,269.286752,-0.117198,-0.117198,-0.117198,294.679559,-0.117198,-0.117198,-0.117198,,,,,,,,,,,,54.0,,54.0,,54.0,0.18325,0.18325,0.0,0.0,0.0,8.666667,
03/22/2002,790.0,490.0,,,,300.0,-678.0,293.0,17.0,83.0,,,285.0,112.0,-115.0,112.0,4.0,-1.0,-3.0,-4.0,,-13.0,,,6.0,,1.0,,,-8.0,-8.0,,269.798704,-0.0293,-0.078132,-0.078132,269.798704,-0.0293,-0.078132,-0.078132,,,,,,,,,,,,62.0,,62.0,,62.0,0.229801,0.229801,,,,0.0,
06/14/2002,921.0,565.0,,,,356.0,-769.0,340.0,12.0,84.0,,,333.0,152.0,-112.0,114.0,-1.0,-1.0,40.0,-11.0,,-1.0,,,30.0,,24.0,,,15.0,15.0,,269.286752,0.058599,0.058599,0.058599,272.665635,0.058599,0.058599,0.058599,,,,,,,,,,,,111.0,,111.0,,111.0,0.407092,0.407092,,,,0.0,
09/06/2002,784.0,493.0,,,,291.0,-717.0,319.0,11.0,85.0,,,302.0,67.0,-116.0,114.0,3.0,-1.0,-49.0,7.0,,-1.0,,,-41.0,,-38.0,,,-47.0,-47.0,,269.593923,-0.175798,-0.175798,-0.175798,269.593923,-0.175798,-0.175798,-0.175798,,,,,,,,,,,,49.0,,49.0,,49.0,0.181755,0.181755,,,,0.0,
12/31/2002,1134.0,681.0,0.0,0.0,0.0,453.0,-987.0,595.0,9.0,113.0,-3.0,,273.0,147.0,-158.0,146.0,3.0,9.0,-11.0,0.0,,-7.0,,,-4.0,,-3.0,,0.0,-11.0,-11.0,,269.901101,-0.039066,-0.068366,-0.068366,269.901101,-0.039066,-0.068366,-0.068366,,,,,,,,,,,,106.0,,106.0,,106.0,0.392736,0.392736,0.0,0.0,0.0,0.0,
03/28/2003,778.0,479.0,,,,299.0,-696.0,308.0,13.0,84.0,,,291.0,82.0,-122.0,117.0,6.0,-1.0,-40.0,4.0,,-1.0,,,-35.0,,-34.0,,,-43.0,-43.0,,270.617827,-0.156265,-0.156265,-0.156265,270.617827,-0.156265,-0.156265,-0.156265,,,,,,,,,,,,41.0,,41.0,,41.0,0.151505,0.151505,,,,0.0,
06/20/2003,830.0,506.0,,,,324.0,-729.0,328.0,12.0,81.0,,,308.0,101.0,-117.0,115.0,3.0,-1.0,-16.0,-6.0,,-7.0,,,-15.0,,-14.0,,,-23.0,-23.0,,271.027389,-0.087899,-0.087899,-0.087899,271.027389,-0.087899,-0.087899,-0.087899,,,,,,,,,,,,59.0,,59.0,,59.0,0.21769,0.21769,,,,0.0,
09/12/2003,729.0,461.0,,,,268.0,-699.0,311.0,14.0,82.0,,,292.0,30.0,-118.0,115.0,4.0,-1.0,-88.0,12.0,,21.0,,,-97.0,,-88.0,,0.0,-97.0,-97.0,,282.187942,-0.341829,-0.263697,-0.263697,282.187942,-0.341829,-0.263697,-0.263697,,,,,,,,,,,,9.0,,9.0,,9.0,0.031894,0.031894,,,,0.0,
12/31/2003,1096.0,651.0,0.0,0.0,0.0,445.0,-982.0,576.0,21.0,114.0,-3.0,,274.0,114.0,-202.0,167.0,9.0,26.0,-88.0,0.0,,-254.0,,,166.0,,150.0,,0.0,142.0,142.0,,318.126985,0.449261,-0.351595,-0.351595,318.126985,0.449261,-0.351595,-0.351595,,,,,,,,,,,,184.0,,184.0,,184.0,0.578385,0.578385,0.0,0.0,0.0,0.0,
03/26/2004,812.0,502.0,,,,310.0,-722.0,317.0,13.0,83.0,,,309.0,90.0,-122.0,118.0,5.0,-1.0,-32.0,3.0,,-1.0,,,-28.0,,-31.0,,,-40.0,-40.0,,328.673184,-0.117198,-0.117198,-0.117198,328.673184,-0.117198,-0.117198,-0.117198,,,,,,,,,,,,43.0,,43.0,,43.0,0.130829,0.130829,,,,0.0,
06/18/2004,929.0,568.0,,,,361.0,-793.0,351.0,12.0,83.0,,,347.0,136.0,-129.0,130.0,3.0,-4.0,7.0,-11.0,,-20.0,,,16.0,,17.0,,0.0,7.0,7.0,,330.823382,0.019533,0.019533,0.019533,330.823382,0.019533,0.019533,0.019533,,,,,,,,,,,,69.0,,69.0,,69.0,0.208571,0.208571,,,,0.0,
09/10/2004,781.0,508.0,0.0,0.0,0.0,273.0,-737.0,326.0,18.0,83.0,0.0,,310.0,44.0,-106.0,108.0,4.0,-6.0,-62.0,10.0,,-1.0,,,-51.0,,-47.0,,-4.0,-60.0,-60.0,,357.035337,-0.166031,-0.166031,-0.166031,357.035337,-0.166031,-0.166031,-0.166031,,,,,,,,,,,,21.0,,21.0,,21.0,0.058818,0.058818,0.048833,83.023814,83.023814,83.023807,
12/31/2004,1060.0,642.0,0.0,0.0,,418.0,-928.0,151.0,24.0,100.0,0.0,,653.0,132.0,-125.0,127.0,4.0,-6.0,7.0,8.0,,-52.0,,,67.0,,61.0,,0.0,52.0,52.0,,361.540502,0.146498,0.019533,0.019533,361.540502,0.146498,0.019533,0.019533,,,,,,,,,,,,145.0,,145.0,,145.0,0.401062,0.401062,0.048833,12.175862,12.175862,11.631034,
03/25/2005,790.0,496.0,0.0,0.0,0.0,294.0,-695.0,420.0,14.0,81.0,0.0,,180.0,95.0,-101.0,109.0,4.0,-12.0,-6.0,0.0,,-16.0,,,10.0,,6.0,,0.0,-2.0,-2.0,,360.414208,-0.009767,-0.048833,-0.048833,360.414208,-0.009767,-0.048833,-0.048833,,,,,,,,,,,,73.0,,73.0,,73.0,0.202545,0.202545,0.078132,38.575342,38.575342,38.575342,
06/17/2005,958.0,597.0,0.0,0.0,0.0,361.0,-795.0,354.0,14.0,83.0,0.0,,344.0,163.0,-32.0,114.0,-3.0,-79.0,131.0,-38.0,,-6.0,,,99.0,,91.0,,-4.0,80.0,80.0,,361.130941,0.22463,0.205097,0.205097,393.383917,0.214864,0.195331,0.195331,,,,,,,,,,,,57.0,,57.0,,57.0,0.144897,0.144897,0.097665,67.403509,67.403509,61.877193,
09/09/2005,811.0,532.0,0.0,0.0,0.0,279.0,-744.0,334.0,16.0,82.0,0.0,,312.0,67.0,-90.0,94.0,0.0,-4.0,-23.0,15.0,,-3.0,,,-5.0,,-5.0,,,-11.0,-11.0,,361.540502,-0.0293,-0.039066,-0.039066,361.540502,-0.0293,-0.039066,-0.039066,,,,,,,,,,,,74.0,,74.0,,74.0,0.20468,0.20468,0.107432,52.487838,52.487838,52.487838,
12/31/2005,1211.0,743.0,0.0,0.0,0.0,468.0,-1035.0,342.0,23.0,109.0,0.0,,561.0,176.0,-113.0,126.0,0.0,-13.0,63.0,-1.0,,-16.0,,,78.0,,74.0,,0.0,68.0,68.0,,362.257235,0.185564,0.136732,0.111925,366.864803,0.175798,0.126965,0.102158,,,,,,,,,,,,271.0,,271.0,,271.0,0.738692,0.738692,0.117198,15.865683,15.865683,15.667528,
03/24/2006,830.0,516.0,0.0,0.0,0.0,314.0,-715.0,299.0,20.0,87.0,0.0,,309.0,115.0,-89.0,91.0,-1.0,-1.0,26.0,-1.0,,-160.0,,,185.0,,172.0,,0.0,166.0,166.0,,387.035712,0.429728,0.019533,0.019533,387.957219,0.429728,0.019533,0.019533,,,,,,,,,,,,111.0,,111.0,,111.0,0.286114,0.286114,0.136732,47.789189,47.789189,47.675674,
06/16/2006,1181.0,740.0,0.0,0.0,0.0,441.0,-850.0,829.0,21.0,104.0,0.0,,,227.0,-103.0,107.0,6.0,-10.0,124.0,-17.0,,-239.0,,,346.0,,330.0,,-6.0,320.0,320.0,,504.579891,0.634825,0.156265,0.156265,537.959162,0.605526,0.156265,0.156265,,,,,,,,,,,,203.0,,203.0,,203.0,0.377352,0.377352,0.332062,87.99803,87.99803,82.537931,
09/08/2006,1118.0,740.0,0.0,0.0,0.0,378.0,-989.0,140.0,21.0,116.0,0.0,,712.0,129.0,-102.0,100.0,3.0,-1.0,27.0,4.0,38.0,-10.0,,,41.0,,40.0,,0.0,38.0,38.0,,532.942032,0.068366,0.048833,0.048833,537.140038,0.068366,0.048833,0.048833,,119.0,-1.0,,,,-5.0,,,,1.0,152.0,,152.0,,152.0,0.26952,0.26952,0.195331,72.473684,72.473684,68.486842,
12/31/2006,1710.0,1058.0,0.0,0.0,0.0,652.0,-884.0,852.0,32.0,145.0,0.0,,389.0,292.0,-128.0,152.0,-2.0,-22.0,164.0,9.0,194.0,-34.0,,,207.0,,196.0,,0.0,194.0,194.0,,533.351594,0.361362,0.302763,0.278444,565.092618,0.351595,0.292996,0.268678,,148.0,2.0,,,,-26.0,,,,4.0,322.0,,322.0,,322.0,0.551821,0.551821,0.244164,44.246894,44.246894,40.442547,
03/23/2007,1035.0,639.0,0.0,0.0,0.0,396.0,-782.0,760.0,22.0,116.0,0.0,,385.0,231.0,-85.0,94.0,-2.0,-7.0,46.0,6.0,185.0,-146.0,,,198.0,,187.0,,0.0,185.0,185.0,,533.965936,0.341829,0.068366,0.068366,536.013744,0.341829,0.068366,0.068366,,117.0,-1.0,,,,-141.0,,,,6.0,166.0,,166.0,,166.0,0.294077,0.294077,0.195331,66.421687,66.421687,62.831325,
06/15/2007,1381.0,864.0,0.0,0.0,0.0,517.0,-982.0,967.0,15.0,118.0,0.0,,,281.0,-120.0,136.0,-3.0,-13.0,161.0,-11.0,,-4.0,,,154.0,,149.0,,0.0,147.0,147.0,,534.580278,0.273463,0.263697,0.263697,566.218912,0.263697,0.25393,0.25393,,,,,,,,,,,,266.0,,266.0,,266.0,0.469783,0.469783,0.195331,41.578947,41.578947,39.255639,
09/07/2007,1197.0,791.0,0.0,0.0,0.0,406.0,-1038.0,455.0,14.0,119.0,0.0,,450.0,159.0,-65.0,82.0,,-17.0,94.0,4.0,95.0,-4.0,,,102.0,,97.0,,0.0,95.0,95.0,,533.249203,0.175798,0.166031,0.156265,565.60457,0.175798,0.166031,0.156265,,120.0,-3.0,,,,-6.0,,,,4.0,210.0,,210.0,,210.0,0.37115,0.37115,0.195331,52.628571,52.628571,49.6,
12/31/2007,1804.0,1120.0,0.0,0.0,0.0,684.0,-675.0,655.0,20.0,164.0,0.0,,617.0,348.0,-67.0,110.0,-6.0,-37.0,278.0,-1.0,291.0,-26.0,,,303.0,,294.0,,0.0,291.0,291.0,,534.98984,0.546926,0.498094,0.410195,568.16433,0.527393,0.47856,0.400428,,164.0,-1.0,,,,-41.0,,,,2.0,415.0,,415.0,,415.0,0.732005,0.732005,0.390662,53.368675,53.368675,50.361446,
03/21/2008,1053.0,651.0,,0.0,0.0,402.0,-804.0,787.0,17.0,123.0,,,397.0,216.0,-71.0,83.0,0.0,-12.0,55.0,7.0,52.0,-1.0,,,63.0,,54.0,,0.0,52.0,52.0,-1.0,535.09223,0.097665,0.097665,0.087899,535.297011,0.097665,0.097665,0.087899,,124.0,-1.0,,,,,,,,5.0,180.0,,180.0,,180.0,0.317726,0.317726,0.195331,61.477778,61.477778,58.066667,
06/13/2008,1388.0,864.0,,0.0,0.0,524.0,-670.0,656.0,14.0,128.0,,,809.0,360.0,-82.0,88.0,-1.0,-5.0,190.0,-13.0,193.0,-16.0,,,193.0,-10.0,183.0,-2.0,0.0,181.0,181.0,-1.0,532.942032,0.341829,0.312529,0.312529,564.887837,0.332062,0.302763,0.302763,,130.0,-1.0,,,,-10.0,,,,6.0,306.0,,306.0,,306.0,0.5417,0.5417,0.195331,36.058824,36.058824,34.019608,
09/05/2008,1139.0,758.0,,0.0,0.0,381.0,-586.0,572.0,14.0,130.0,,,740.0,208.0,-85.0,90.0,-1.0,-4.0,33.0,-4.0,47.0,-18.0,,,47.0,,47.0,-2.0,0.0,45.0,45.0,,531.713347,0.087899,0.048833,0.048833,532.020518,0.087899,0.048833,0.048833,,133.0,-1.0,,,,-13.0,,,,6.0,170.0,,170.0,,170.0,0.301436,0.301436,0.195331,64.8,64.8,61.094118,
12/31/2008,1600.0,989.0,0.0,0.0,0.0,611.0,-809.0,796.0,13.0,181.0,,,993.0,331.0,-119.0,114.0,13.0,-8.0,98.0,14.0,119.0,1.0,,,111.0,,109.0,,0.0,107.0,107.0,0.0,535.808963,0.195331,0.195331,0.195331,539.699798,0.175798,0.175798,0.175798,,191.0,-1.0,,,,,,,,-16.0,293.0,,293.0,,293.0,0.51803,0.51803,0.048833,9.426621,9.426621,8.930034,
03/27/2009,864.0,529.0,0.0,0.0,0.0,335.0,-844.0,478.0,16.0,155.0,,0.0,195.0,20.0,-88.0,87.0,3.0,-2.0,-68.0,14.0,-60.0,6.0,6.0,0.0,-60.0,-1.0,-59.0,-2.0,0.0,-61.0,-56.0,-1.0,538.675894,-0.117198,-0.107432,-0.103959,542.66912,-0.117198,-0.107432,-0.109275,,139.0,,-1.0,,,-18.0,,,,-2.0,55.0,,55.0,,55.0,0.101313,0.101313,0.0,0.0,0.0,0.0,
06/19/2009,1051.0,647.0,0.0,0.0,0.0,404.0,-947.0,565.0,17.0,137.0,,0.0,228.0,104.0,-105.0,82.0,32.0,-9.0,-1.0,-10.0,-69.0,58.0,58.0,0.0,-69.0,-1.0,-68.0,-2.0,0.0,-70.0,-13.0,-1.0,588.7448,-0.117198,-0.020383,-0.022081,588.7448,-0.117198,-0.020383,-0.022081,,140.0,,-1.0,,,1.0,,,,,68.0,,68.0,,68.0,0.115339,0.115339,0.0,0.0,0.0,0.0,
09/11/2009,903.0,596.0,0.0,0.0,0.0,307.0,-911.0,552.0,19.0,137.0,,0.0,203.0,-8.0,-84.0,95.0,2.0,-13.0,-92.0,25.0,-58.0,-9.0,-9.0,0.0,-58.0,2.0,-55.0,-2.0,0.0,-57.0,-89.0,-23.0,620.588214,-0.087899,-0.106351,-0.143412,620.588214,-0.087899,-0.106351,-0.143412,,138.0,,-1.0,,,-14.0,,,1.0,,66.0,,66.0,,66.0,0.106106,0.106106,0.0,0.0,0.0,0.0,
12/31/2009,1326.0,795.0,0.0,0.0,0.0,531.0,-1293.0,735.0,64.0,185.0,,0.0,309.0,33.0,-108.0,115.0,-5.0,-2.0,-75.0,10.0,-72.0,7.0,7.0,0.0,-72.0,-1.0,-71.0,-2.0,0.0,-73.0,-67.0,-1.0,626.5,-0.12,-0.11,-0.106943,626.5,-0.12,-0.11,-0.111596,,188.0,,-1.0,,,0.0,,,1.0,0.0,113.0,,113.0,,113.0,0.179679,0.179679,0.25,139.137168,139.137168,138.606195,
03/26/2010,823.0,514.0,0.0,0.0,0.0,309.0,-825.0,477.0,25.0,136.0,,0.0,187.0,-2.0,-102.0,96.0,5.0,1.0,-104.0,22.0,-84.0,2.0,2.0,0.0,-84.0,-1.0,-84.0,-2.0,0.0,-86.0,-84.0,0.0,648.1,-0.13,-0.13,-0.13,648.1,-0.13,-0.13,-0.13,,137.0,,,,,,,,-1.0,,49.0,,49.0,,49.0,0.075536,0.075536,0.01,13.238776,13.238776,13.226531,
06/18/2010,1112.0,671.0,0.0,0.0,0.0,441.0,-1002.0,599.0,24.0,139.0,,0.0,240.0,110.0,-84.0,82.0,0.0,2.0,26.0,-6.0,20.0,0.0,0.0,0.0,20.0,-4.0,19.0,-6.0,0.0,13.0,13.0,0.0,652.5,0.02,0.02,0.02,654.1,0.02,0.02,0.02,,138.0,,,,,1.0,,,2.0,,151.0,,159.0,,159.0,0.225949,0.225949,0.01,4.425786,4.425786,4.321192,
09/10/2010,1003.0,627.0,0.0,0.0,0.0,376.0,-980.0,614.0,20.0,134.0,,0.0,212.0,23.0,-89.0,89.0,1.0,-1.0,-66.0,5.0,-61.0,0.0,0.0,0.0,-61.0,2.0,-58.0,,0.0,-58.0,-58.0,0.0,654.5,-0.09,-0.09,-0.09,654.5,-0.09,-0.09,-0.09,,133.0,,,,,,,,1.0,,75.0,,77.0,,77.0,0.113603,0.113603,0.01,8.802597,8.802597,8.726667,
12/31/2010,1491.0,880.0,0.0,0.0,0.0,611.0,-1400.0,856.0,40.0,182.0,,0.0,322.0,91.0,-105.0,116.0,-5.0,-6.0,-14.0,10.0,-6.0,2.0,2.0,0.0,-6.0,-3.0,-6.0,,0.0,-6.0,-8.0,-4.0,666.1,-0.01,-0.01,-0.01201,666.1,-0.01,-0.01,-0.016005,,182.0,,,,,1.0,,,3.0,,177.0,-8.0,179.0,,179.0,0.249061,0.249061,0.01,4.015084,4.015084,3.763277,
03/25/2011,893.0,516.0,0.0,0.0,0.0,377.0,-896.0,532.0,25.0,140.0,,0.0,199.0,-3.0,-77.0,82.0,2.0,-7.0,-80.0,20.0,-60.0,0.0,0.0,0.0,-60.0,-1.0,-60.0,,0.0,-60.0,-62.0,-2.0,677.3,-0.09,-0.09,-0.09154,677.3,-0.09,-0.09,-0.092953,,141.0,,-1.0,,,,,,-2.0,,77.0,3.0,80.0,,80.0,0.11782,0.11782,0.02,16.975,16.975,17.592208,
06/17/2011,1284.0,773.0,0.0,0.0,0.0,511.0,-1132.0,697.0,22.0,148.0,,0.0,265.0,152.0,-77.0,89.0,-4.0,-8.0,75.0,-8.0,64.0,3.0,3.0,0.0,64.0,-5.0,62.0,,0.0,62.0,63.0,-2.0,685.7,0.09,0.1,0.091877,687.1,0.09,0.1,0.091877,,149.0,,-2.0,3.0,,,,,4.0,,213.0,6.0,227.0,,227.0,0.330374,0.330374,0.03,9.080617,9.080617,9.657746,
09/09/2011,1131.0,724.0,0.0,0.0,0.0,407.0,-1077.0,684.0,12.0,147.0,,0.0,234.0,54.0,-86.0,87.0,5.0,-6.0,-32.0,-3.0,-35.0,0.0,0.0,0.0,-35.0,,-33.0,,0.0,-33.0,-36.0,-3.0,702.1,-0.05,-0.05,-0.041275,702.1,-0.05,-0.05,-0.044273,,149.0,,-3.0,0.0,,,,,1.0,,112.0,5.0,118.0,,118.0,0.165012,0.165012,0.04,24.240678,24.240678,25.075,
12/31/2011,1634.0,973.0,0.0,0.0,0.0,661.0,-1512.0,905.0,53.0,205.0,,0.0,349.0,122.0,-95.0,112.0,-7.0,-10.0,27.0,-8.0,16.0,3.0,3.0,0.0,16.0,-2.0,17.0,0.0,0.0,17.0,17.0,-3.0,703.2,0.02,0.03,0.024175,705.1,0.02,0.03,0.024175,,207.0,,-1.0,5.0,,0.0,,,-1.0,,224.0,4.0,237.0,,237.0,0.318164,0.318164,0.05,15.71519,15.71519,15.696429,
03/23/2012,952.0,553.0,0.0,0.0,0.0,399.0,-936.0,557.0,22.0,149.0,,0.0,208.0,16.0,-84.0,86.0,2.0,-4.0,-68.0,13.0,55.0,-55.0,-55.0,0.0,0.0,-2.0,-2.0,,0.0,-2.0,-58.0,-1.0,707.5,-0.002827,-0.08,-0.081979,707.5,-0.002827,-0.08,-0.081979,,165.0,,-1.0,,,-48.0,,,4.0,,173.0,1.0,181.0,5.0,186.0,0.241559,0.248232,0.06,24.838674,24.170968,24.537572,
06/15/2012,1326.0,798.0,0.0,0.0,0.0,528.0,-1149.0,707.0,21.0,153.0,,0.0,268.0,177.0,-85.0,94.0,-5.0,-4.0,92.0,-12.0,63.0,-3.0,-3.0,0.0,83.0,-5.0,82.0,,0.0,82.0,78.0,-1.0,718.1,0.11,0.11,0.10862,730.6,0.11,0.11,0.10862,,171.0,,-1.0,,,,,,2.0,,230.0,14.0,252.0,3.0,255.0,0.331623,0.33557,0.07,21.108333,20.86,21.855217,
09/07/2012,1158.0,745.0,0.0,0.0,0.0,413.0,-1097.0,678.0,31.0,155.0,,0.0,233.0,61.0,-90.0,93.0,1.0,-4.0,-29.0,-11.0,-36.0,-4.0,-4.0,0.0,-36.0,,-34.0,,0.0,-34.0,-39.0,-1.0,721.3,-0.05,-0.05,-0.054069,721.3,-0.05,-0.05,-0.054069,,160.0,,-1.0,,,,,,3.0,,126.0,18.0,145.0,6.0,151.0,0.197521,0.205694,0.08,40.502069,38.892715,45.796825,
