Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/1996,65.030998,38.820999,63.571999,,76.792,,,,76.792,-114.153999,,,,,-18.945,,-18.945,,,,,,,,,,,,,,,,,,18.945,,,,,,,,,,,,,,,,,
12/31/1996,76.158997,40.25,73.714996,,-94.259003,,,,-94.259003,56.452999,,,,-22.139999,-22.139999,,-22.139999,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,54.018998,,,
03/31/1997,350.269989,42.481998,60.292,,3.21,,,,3.21,244.285995,,,,,-18.555,,-18.555,,,,,,,,,,,,,,,,,,18.555,,,,,,,,,,,,,,,,,
06/30/1997,-316.639008,39.352001,59.599998,,33.058998,,,,33.058998,-448.649994,,,,,-12.666,,-12.666,,,,,,,,,,,,,,,,,,12.666,,,,,,,,,,,,,,,,,
09/30/1997,417.537994,49.330002,75.777,,-51.597,,,,-51.597,344.028015,,,,,-14.408,,-14.408,,,,,,,,,,,,,,,,,,14.408,,,,,,,,,,,,,,,,,
12/31/1997,57.453999,58.216999,113.718002,,96.651001,,,,96.651001,-211.132004,,,,,-5.973,,-5.973,,,,,,,,,,,,,,,,,,5.973,,,,,,,,,,,,,,,,,
03/31/1998,228.343994,65.703003,102.143997,,161.548996,,,,161.548996,-101.052002,,,,,-18.761,,-18.761,,,,,,,,,,,,,,,,,,18.761,,,,,,,,,,,,,,,0.0,94.124001,
06/30/1998,-80.072,66.853,93.669,,-114.889,,,,-114.889,-125.705,,,,,-42.754,,-42.754,,,,,,,,,,,,,,,,,,42.754,,,,,,,,,,,,,,,136.275,86.091,
09/30/1998,250.360001,70.005997,101.791,,113.445999,,,,113.445999,-34.882999,,,,,-57.029999,,-57.029999,,,,,,,,,,,,,,,,,,57.029999,,,,,,,,,,,,,,,34.530998,108.848999,
12/31/1998,391.657013,72.668999,92.978996,,75.613998,,,,75.613998,150.395004,,,,,-34.479,,-34.479,,,,,,,,,,,,,,,,,,34.479,,,,,,,,,,,,,,,31.306,104.500999,
03/31/1999,364.514,82.379,110.46,,36.564,,,,36.564,135.111,,,,-1202.243,-65.614,0.0,-65.614,12.155,362.073,,,,-349.918,,,,-1173.929,,,,,,,,25.145,584.879,-5.166,397.661,,,,,-11.799,12.467,-24.266,204.183,0.0,,-252.85,11.008,124.41,
06/30/1999,-52.296,87.478,114.721,,-18.899,,,,-18.899,-235.596,,,,-202.882,-92.118,0.0,-92.118,135.551,241.205,,,,-105.654,,,,-277.137,,,,,,,,30.822,306.059,-5.162,114.493,,,,,-14.043,15.101,-29.144,210.771,0.0,,50.881,125.502,112.927,
09/30/1999,573.214,95.362,160.285,,131.887,,,,131.887,185.68,,,,-1151.412,-115.8,0.0,-115.8,-96.328,97.963,,,,-194.291,,,,-970.993,,,,,,,,31.709,593.427,-5.164,-551.285,,,,,-11.591,15.003,-26.594,1161.467,0.0,,15.229,69.005,147.475,
12/31/1999,386.857,97.872,170.105,,125.819,,,,125.819,-6.939,,,,-1956.039,-77.455,0.0,-77.455,-160.577,60.915,,,,-221.492,,,,-1755.004,,,,,,,,36.997,1702.252,-5.161,1517.561,,,,,-17.557,9.543,-27.1,207.409,0.0,,133.07,10.923,131.302,
03/31/2000,277.722,106.709,179.959,,36.245,,,,36.245,-45.191,,,,621.713,-69.64,0.0,-69.64,330.772,467.237,,,,-136.465,,,,266.394,,,,,,,,94.187,-947.357,-5.182,-1186.255,,,,,-68.352,3.792,-72.144,312.432,0.0,,-47.922,0.022,189.917,
06/30/2000,-280.077,112.525,153.419,,58.835,,,,58.835,-604.856,,,,-2077.496,-45.439,0.0,-45.439,17.635,31.232,,,,-13.597,,,,-2062.316,,,,,,,,12.624,2348.223,-5.155,1174.377,,,,,-13.685,13.657,-27.342,1192.686,0.0,,-9.35,152.478,164.494,
09/30/2000,360.071,122.123,312.139,,52.747,,,,52.747,-126.938,,,,-1339.873,-103.375,0.0,-103.375,-129.898,364.165,,,,-494.063,,,,-1174.94,,,,,,,,68.34,1013.045,-5.235,-10.459,,,,,-6.258,30.603,-36.861,1034.997,0.0,,33.243,29.6,205.494,
12/31/2000,1038.36,128.277,317.476,,295.612,,,,295.612,296.995,,,,-3143.407,-155.564,0.0,-155.564,-20.989,0.0,,,,-20.989,,,,-3031.484,,,,,,,,64.63,2119.286,-5.252,36.435,,,,,33.002,33.002,0.0,2055.101,0.0,,14.239,55.117,234.859,
03/31/2001,338.427,143.613,326.733,,230.278,,,,230.278,-362.197,,,,-1140.226,-99.528,0.0,-99.528,-392.283,610.5,,,,-1002.783,,,,-730.49,,,,,,,,82.075,1355.0,-5.458,-90.985,,,,,439.944,439.944,0.0,1011.499,0.0,,553.201,0.041,260.949,
06/30/2001,-45.815,155.327,208.247,,-252.758,,,,-252.758,-156.631,,,,-1388.931,-22.213,0.0,-22.213,-458.445,412.666,,,,-871.111,,,,-990.261,,,,,,,,81.988,881.576,-5.499,191.981,,,,,55.882,55.882,0.0,639.212,0.0,,-553.17,70.233,271.58,
09/30/2001,587.247,165.344,390.582,,298.276,,,,298.276,-266.955,,,,-1536.692,-125.114,0.0,-125.114,-89.883,591.811,,,,-681.694,,,,-1401.748,,,,,,,,80.053,1245.337,-5.557,193.901,,,,,11.23,11.23,0.0,1045.763,0.0,,295.892,0.058,297.367,
12/31/2001,387.89,177.681,401.836,,253.885,,,,253.885,-445.512,,,,-3505.736,-79.739,0.0,-79.739,-489.555,1223.384,,,,-1712.939,,,,-3019.04,,,,,,,,82.598,3292.454,-5.796,1501.141,,,,,33.64,33.64,0.0,1763.469,0.0,,174.608,0.422,275.609,
03/31/2002,728.569,188.015,440.651,,-72.136,,,,-72.136,172.039,,,,-3896.34,-93.155,0.0,-93.155,-89.21,1330.982,,,,-1420.192,,,,-3814.548,,,,,,,,100.573,2929.594,-5.727,970.583,,,,,169.835,169.835,0.0,1794.903,0.0,,-238.177,,,
06/30/2002,1053.778,213.117,601.118,,380.619,,,,380.619,-141.076,,,,-2165.573,-86.225,0.0,-86.225,-1194.374,571.458,,,,-1765.832,,,,-899.317,,,,,,,,14.343,1768.078,-5.803,369.947,,,,,23.413,23.413,0.0,1380.521,0.0,,656.283,,,
09/30/2002,464.836,258.835,852.364,,-430.395,,,,-430.395,-215.968,,,,-3294.362,-50.37,0.0,-50.37,245.374,1025.999,,,,-780.625,,,,-3548.549,,,,,,,,59.183,2437.222,-5.967,1561.327,,,,,10.701,10.701,0.0,871.161,0.0,,-392.304,,,
12/31/2002,199.271,239.677,503.852,,-19.356,,,,-19.356,-524.902,,,,-236.456,-45.686,0.0,-45.686,-12.618,1768.806,,,,-1781.424,,,,-119.51,,,,,,,,-58.642,222.923,-5.96,-273.55,,,,,62.021,62.021,0.0,440.412,0.0,,185.738,,,
03/31/2003,824.506,308.463,468.767,,-150.573,,,,-150.573,197.849,,,,-1221.093,-61.41,0.0,-61.41,-403.941,787.979,,,,-1191.92,,,,-849.836,,,,,,,,94.094,918.196,-6.023,-241.303,,,,,2.099,5.813,-3.714,1163.423,0.0,,521.609,,,
06/30/2003,118.382,286.166,480.346,,17.224,,,,17.224,-665.354,,,,-237.923,-56.712,0.0,-56.712,-562.851,466.231,,,,-1029.082,,,,297.198,,,,,,,,84.442,1874.842,-6.038,526.973,,,,,21.414,21.414,0.0,1332.493,0.0,,1755.301,,,
09/30/2003,-254.345,275.532,461.106,,122.173,,,,122.173,-1113.156,,,,-4253.139,-75.393,0.0,-75.393,-31.444,691.45,,,,-722.894,,,,-4237.106,,,,,,,,90.804,2614.441,-6.057,1451.295,,,,,54.567,54.567,0.0,1114.636,0.0,,-1893.043,,,
12/31/2003,1242.078,263.682,491.294,,82.356,,,,82.356,404.746,,,,-3045.237,-69.135,0.0,-69.135,-488.806,1176.947,,,,-1665.753,,,,-2575.924,,,,,,,,88.628,2480.796,-6.164,945.998,,,,,61.147,61.502,-0.355,1479.815,0.0,,677.637,,,
03/31/2004,1685.778,450.806,339.951,,187.52,,,,187.52,707.501,,,,-3957.872,-58.298,0.0,-58.298,-3236.703,490.274,,,,-3726.977,,,,-777.931,,,,,,,,115.06,2061.061,-6.338,662.196,,,,,210.684,210.684,0.0,1194.519,0.0,,-211.033,,,
06/30/2004,1044.393,407.387,343.374,,246.742,,,,246.742,46.89,,,,-1838.817,-60.832,0.0,-60.832,-84.332,1199.945,,,,-1284.277,,,,-1809.209,,,,,,,,115.556,745.334,-6.34,129.593,,,,,54.176,54.176,0.0,567.905,0.0,,-49.09,,,
09/30/2004,1.15,490.161,360.773,,138.496,,,,138.496,-988.28,,,,-1342.505,-14.438,0.0,-14.438,-418.902,474.586,,,,-893.488,,,,-1022.703,,,,,,,,113.538,1064.063,-6.301,-159.825,,,,,54.622,54.804,-0.182,1175.567,0.0,,-277.292,,,
12/31/2004,1782.989,195.128,558.606,,188.512,,,,188.512,840.743,,,,-3333.864,-75.407,0.0,-75.407,163.802,823.43,,,,-659.628,,,,-3531.81,,,,,,,,109.551,1519.219,-6.639,1045.735,,,,,184.199,201.249,-17.05,295.924,0.0,,-31.656,,,
03/31/2005,-167.317,506.562,349.486,,144.802,,,,144.802,-1168.167,,,,-296.235,-0.995,0.0,-0.995,-307.068,657.72,,,,-964.788,,,,367.25,,,,,,,,-355.422,272.651,-6.606,-16.373,,,,,78.407,78.767,-0.36,217.223,0.0,,-190.901,,,
06/30/2005,1610.938,531.118,398.261,,-28.073,,,,-28.073,709.632,,,,-982.103,-30.408,0.0,-30.408,49.663,495.004,,,,-445.341,,,,-1115.247,,,,,,,,113.889,736.943,-6.717,-748.39,,,,,794.377,796.96,-2.583,697.673,0.0,,1365.778,,,
09/30/2005,350.352,491.149,484.188,,606.698,,,,606.698,-1231.683,,,,-652.333,-37.652,0.0,-37.652,-15.026,548.817,,,,-563.843,,,,-709.576,,,,,,,,109.921,2318.495,-7.082,1920.174,,,,,143.034,143.218,-0.184,262.369,0.0,,2016.514,,,
12/31/2005,1796.546,280.318,684.777,,-112.001,,,,-112.001,943.452,,,,-4955.706,-90.768,0.0,-90.768,-464.72,1249.488,,,,-1714.208,,,,-5769.825,,,,,,,,1369.607,2627.825,-7.099,1504.487,,,,,26.62,63.542,-36.922,1103.817,0.0,,-531.335,,,
03/31/2006,590.195,883.339,295.264,,-233.65,,,,-233.65,-354.758,,,,718.262,-255.592,0.0,-255.592,-420.033,2276.783,,,,-2696.816,,,,1286.807,,,,,,,,107.08,-82.149,-8.02,-6.398,,,,,93.913,98.175,-4.262,-161.644,0.0,,1226.308,,,
06/30/2006,2005.874,1435.926,786.935,,-323.28,,,,-323.28,106.293,,,,-2906.611,-398.864,,-398.864,-1142.107,3320.628,,,,-4462.735,,,,-1617.646,,,,,,,,252.006,-572.484,-16.105,48.261,,,,,149.676,158.21,-8.534,-754.316,,,-1473.221,,,
09/30/2006,540.931,587.839,559.314,,279.335,,,,279.335,-885.557,,,,-1973.466,-132.131,0.0,-132.131,1535.765,2107.915,,,,-572.15,,,,-3543.675,,,,,,,,166.575,4434.138,-8.105,3969.96,,,,,38.084,38.125,-0.041,434.199,0.0,,3001.603,,,
12/31/2006,818.049,390.728,672.279,,184.38,,,,184.38,-429.338,,,,-2246.624,-181.195,0.0,-181.195,3009.586,5751.783,,,,-2742.197,,,,-1568.382,,,,,,,,-3506.633,477.538,-8.114,-85.026,,,,,65.731,78.771,-13.04,504.947,0.0,,-951.037,,,
03/31/2007,6240.559,675.05,164.504,350.045,544.339,,,113.005,431.334,4506.621,,,,2927.635,-127.909,0.0,-127.909,-2124.154,1755.133,,,,-3879.287,,,,5031.125,,,,,,,,148.573,-2403.532,-10.903,-3805.753,,,,,25.917,30.985,-5.068,1908.664,-521.457,,6764.662,,,
06/30/2007,3206.382,750.372,555.512,,1709.1,,,,1709.1,191.398,,,,-4221.093,-75.471,0.0,-75.471,-2988.031,2461.855,,,,-5449.886,,,,-626.974,,,,,,,,-530.617,-3362.625,-10.488,1191.453,,,,,-1660.687,91.975,-1752.662,-1999.124,-883.779,,-4377.336,,,
09/30/2007,-2000.891,-81.658,754.826,992.247,-1419.596,,,,-1419.596,-1254.463,,,,-2263.972,-110.683,0.0,-110.683,456.031,2006.889,,,,-1550.858,,,,-3450.292,,,,,,,,840.972,736.359,-10.494,4162.633,,,,,-451.619,43.316,-494.935,-2337.618,-626.543,,-3528.504,,,
12/31/2007,11989.043,1570.332,678.757,2636.502,2424.946,,,338.778,2086.168,4678.506,,,,-10465.173,-437.545,,-437.545,-4382.699,8334.505,,,,-12717.204,,,,-6254.143,,,,,,,,609.214,-2384.344,-42.055,7507.292,,,,,-2789.115,235.854,-3024.969,-2780.43,-4280.036,,-860.474,1500.0,4500.0,
03/31/2008,1158.071,548.504,185.507,1079.072,-76.94,,,23.757,-100.697,-578.072,,,,139.582,-101.254,0.0,-101.254,-2404.407,3140.615,,,,-5545.022,,,,2475.136,,,,,,,,170.107,-1289.058,-139.929,-6072.944,,,,,22.741,32.559,-9.818,4933.766,-32.692,,8.595,,,
06/30/2008,1345.699,452.905,175.626,829.13,-351.678,,,21.097,-372.775,239.716,,,,-2667.637,-101.793,0.0,-101.793,-3047.108,2685.213,,,,-5732.321,,,,306.516,,,,,,,,174.748,1016.549,-140.742,-3628.779,,,,,34.598,36.442,-1.844,4712.118,39.354,,-305.389,,,
09/30/2008,1707.026,374.139,175.303,1093.917,-164.463,,,36.385,-200.848,228.13,,,,-4004.228,-67.017,0.0,-67.017,-2121.367,1867.467,,,,-3988.834,,,,-1984.618,,,,,,,,168.774,3522.987,-140.847,-3572.567,,,,,754.839,755.202,-0.363,6505.914,-24.352,,1225.785,,,
12/31/2008,-858.336,-1421.546,154.994,2098.921,-457.176,,,30.407,-487.583,-1233.529,,,,-9077.118,-86.263,0.0,-86.263,-4819.974,1611.478,,,,-6431.452,,,,-4338.832,,,,,,,,167.951,11545.882,-146.737,-1578.843,,,,,3561.82,3562.296,-0.476,9707.815,1.827,,1610.428,,,
03/31/2009,1479.567,-108.062,151.278,1279.137,35.593,-2.768,,24.715,13.646,121.621,9.227,112.394,-3.274,1762.28,-107.218,0.0,-107.218,-3445.659,2534.956,0.0,2534.956,0.0,-5980.615,0.0,-5980.615,0.0,1632.708,1632.708,0.0,0.0,778.166,0.0,778.166,0.0,2904.28,-2978.865,-193.343,-1725.82,0.0,0.0,0.0,-1725.82,4.676,7.631,-2.955,-1061.104,0.0,0.0,262.982,,,
06/30/2009,1376.433,223.0,229.722,933.863,-15.885,-49.232,,33.285,0.062,28.379,-30.227,58.606,0.274,1422.72,-70.782,0.0,-70.782,-1013.341,4936.044,0.0,4936.044,0.0,-5949.385,0.0,-5949.385,0.0,-1795.708,-1795.708,0.0,0.0,-0.166,0.0,-0.166,0.0,4302.717,-5782.135,-79.657,729.82,0.0,0.0,2500.0,-1770.18,-2040.676,1514.369,-3555.045,-4391.896,0.0,0.0,-2982.982,,,
09/30/2009,25.0,394.0,204.0,1173.0,-122.0,-165.0,,44.0,-1.0,-1673.0,179.0,-1852.0,0.0,3734.0,-36.0,0.0,-36.0,779.0,11218.0,0.0,11218.0,0.0,-10439.0,0.0,-10439.0,0.0,1201.0,1201.0,0.0,0.0,0.0,0.0,0.0,0.0,1789.0,-4404.0,-23.0,-2165.0,0.0,0.0,1000.0,-3165.0,6.0,9.0,-3.0,-2222.0,0.0,0.0,-645.0,,,
12/31/2009,-799.0,376.0,98.0,844.0,43.0,-1.0,,44.0,0.0,-2103.0,-124.0,-1979.0,4.0,4243.0,-29.0,0.0,-29.0,-1196.0,4262.0,0.0,4262.0,0.0,-5458.0,0.0,-5458.0,0.0,1670.0,1670.0,0.0,0.0,0.0,0.0,0.0,0.0,3798.0,1115.0,-23.0,-163.0,0.0,0.0,1000.0,-1163.0,-9.0,0.0,-9.0,1306.0,0.0,0.0,4559.0,,,
03/31/2010,2024.0,636.0,147.0,1478.0,-221.0,-90.0,,47.0,-178.0,-35.0,24.0,-59.0,-19.0,6141.0,-74.0,0.0,-74.0,877.0,10280.0,0.0,10280.0,0.0,-9403.0,0.0,-9403.0,0.0,4569.0,4569.0,0.0,0.0,0.0,0.0,0.0,0.0,769.0,-9352.0,-23.0,-11276.0,0.0,0.0,0.0,-11276.0,-11.0,7.0,-18.0,1977.0,0.0,0.0,-1187.0,,,
06/30/2010,2787.032,608.0,168.484,722.8,23.908,-16.805,,40.45,0.263,1263.676,14.197,1249.479,-0.068,330.548,-76.527,0.0,-76.527,-712.84,4866.355,0.0,4866.355,0.0,-5579.195,0.0,-5579.195,0.0,1280.449,1280.449,0.0,0.0,0.0,0.0,0.0,0.0,-160.384,-5417.322,-23.176,-4948.734,0.0,0.0,0.0,-4948.734,10.119,12.321,-2.202,-455.463,0.0,0.0,-2299.742,,,
09/30/2010,3209.0,803.0,106.0,868.0,-23.0,-52.0,,30.0,-1.0,1456.0,78.0,1378.0,0.0,-522.0,-75.0,,-75.0,-532.0,5047.0,0.0,5047.0,0.0,-5579.0,0.0,-5579.0,0.0,-674.0,-674.0,,,0.0,0.0,0.0,0.0,760.0,-2944.0,-23.0,-4809.0,0.0,0.0,0.0,-4809.0,7.0,9.0,-2.0,1881.0,0.0,,-257.0,,,
12/31/2010,122.0,697.0,160.0,838.0,49.0,17.0,,32.0,0.0,-1957.0,-55.0,-1902.0,1.0,-1487.0,-115.0,0.0,-115.0,-1977.0,3840.0,0.0,3840.0,0.0,-5817.0,0.0,-5817.0,0.0,-981.0,-981.0,0.0,0.0,0.0,0.0,0.0,0.0,1586.0,1672.0,-22.0,-1310.0,0.0,0.0,0.0,-1310.0,5.0,5.0,0.0,2998.0,0.0,0.0,307.0,,,
03/31/2011,1869.0,1016.0,167.0,534.0,104.0,2.0,,75.0,27.0,48.0,106.0,-58.0,,-456.0,-67.0,,-67.0,-139.0,3443.0,0.0,3443.0,0.0,-3582.0,0.0,-3582.0,0.0,2148.0,2148.0,,,-1444.0,0.0,-1444.0,0.0,-954.0,1309.0,-23.0,-1897.0,512.0,0.0,0.0,-2409.0,-7.0,31.0,-38.0,3236.0,0.0,,2722.0,,,
06/30/2011,2492.0,911.0,132.0,343.0,74.0,10.0,,42.0,22.0,1032.0,19.0,1013.0,,-2321.0,-92.0,0.0,-92.0,2339.0,3842.0,0.0,3842.0,0.0,-1503.0,0.0,-1503.0,0.0,-5796.0,-5796.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,-1499.0,-23.0,-2175.0,2471.0,0.0,0.0,-4646.0,28.0,29.0,-1.0,671.0,0.0,0.0,-1328.0,,,
09/30/2011,1555.0,813.0,125.0,622.0,-216.0,-247.0,,18.0,13.0,180.0,-225.0,405.0,,-372.0,-110.0,0.0,-110.0,1156.0,8760.0,0.0,8760.0,0.0,-7604.0,0.0,-7604.0,0.0,-1762.0,-1762.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,-1468.0,-23.0,-3667.0,-2983.0,0.0,2992.0,-3676.0,25.0,27.0,-2.0,2197.0,0.0,0.0,-285.0,,,
12/31/2011,1539.0,407.0,176.0,861.0,-11.0,-52.0,,54.0,-13.0,91.0,155.0,-64.0,0.0,-7214.0,-46.0,0.0,-46.0,-537.0,2834.0,0.0,2834.0,0.0,-3371.0,0.0,-3371.0,0.0,-6824.0,-6824.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,5155.0,-22.0,5262.0,0.0,0.0,5774.0,-512.0,9.0,10.0,-1.0,-94.0,0.0,0.0,-520.0,,,
03/31/2012,1837.0,1403.0,220.0,573.0,-544.0,-13.0,,63.0,-594.0,33.0,-39.0,72.0,,22764.0,-156.0,0.0,-156.0,8169.0,12176.0,0.0,12176.0,0.0,-4007.0,0.0,-4007.0,0.0,1310.0,1310.0,0.0,0.0,13740.0,0.0,13740.0,0.0,-299.0,217.0,-24.0,-6798.0,0.0,0.0,1250.0,-8048.0,3162.0,3204.0,-42.0,3877.0,0.0,0.0,24818.0,,,
06/30/2012,2192.0,93.0,451.0,1677.0,-108.0,-30.0,,53.0,-131.0,79.0,101.0,-22.0,,-27143.0,-106.0,0.0,-106.0,5645.0,10733.0,0.0,10733.0,0.0,-5088.0,0.0,-5088.0,0.0,-2059.0,-2059.0,0.0,0.0,-31343.0,0.0,-31343.0,0.0,720.0,-1717.0,-29.0,869.0,0.0,0.0,869.0,0.0,41.0,41.0,0.0,-2598.0,0.0,,-26668.0,,,
09/30/2012,4990.0,1178.0,586.0,1014.0,-12.0,-6.0,,37.0,-43.0,2224.0,885.0,1339.0,,-7679.0,-97.0,0.0,-97.0,-5726.0,4310.0,0.0,4310.0,0.0,-10036.0,0.0,-10036.0,0.0,-1435.0,-1435.0,0.0,0.0,0.0,0.0,0.0,0.0,-421.0,4670.0,-29.0,4465.0,0.0,0.0,4465.0,0.0,881.0,882.0,-1.0,-678.0,31.0,,1981.0,,,
12/31/2012,1099.0,843.0,605.0,1151.0,613.0,-2.0,,46.0,569.0,-2095.0,46.0,-2141.0,,-6756.0,-201.0,0.0,-201.0,-2672.0,7454.0,0.0,7454.0,0.0,-10126.0,0.0,-10126.0,0.0,-3883.0,-3883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11340.0,-44.0,11770.0,0.0,0.0,13058.0,-1288.0,39.0,39.0,0.0,-757.0,332.0,0.0,5683.0,,,
03/31/2013,2370.0,1056.0,341.0,885.0,-41.0,13.0,,54.0,-108.0,129.0,113.0,16.0,,6156.0,-236.0,0.0,-236.0,-324.0,5597.0,0.0,5597.0,0.0,-5921.0,0.0,-5921.0,0.0,6716.0,6716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12838.0,-43.0,-12729.0,0.0,0.0,1598.0,-14327.0,10.0,38.0,-28.0,-76.0,0.0,0.0,-4312.0,67.0,621.0,
06/30/2013,2554.0,1108.0,811.0,762.0,-127.0,-6.0,,58.0,-179.0,,-40.0,40.0,,-1770.0,-214.0,0.0,-214.0,-372.0,4209.0,0.0,4209.0,0.0,-4581.0,0.0,-4581.0,0.0,-1184.0,-1184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2877.0,-189.0,-236.0,0.0,0.0,786.0,-1022.0,49.0,50.0,-1.0,-2552.0,51.0,,-2093.0,579.0,443.0,
09/30/2013,3515.0,1105.0,495.0,849.0,63.0,7.0,,60.0,-4.0,1003.0,-50.0,1053.0,,5371.0,-172.0,0.0,-172.0,752.0,3334.0,0.0,3334.0,0.0,-2582.0,0.0,-2582.0,0.0,4791.0,4791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7821.0,-190.0,-4375.0,0.0,0.0,0.0,-4375.0,-209.0,49.0,-258.0,-3034.0,-13.0,,1065.0,604.0,486.0,
12/31/2013,1545.0,859.0,418.0,957.0,49.0,-12.0,,68.0,-7.0,-774.0,170.0,-944.0,,-6036.0,-196.0,0.0,-196.0,351.0,3329.0,266.0,3063.0,0.0,-2978.0,-1111.0,-1867.0,0.0,-6443.0,-6443.0,0.0,0.0,-204.0,0.0,-204.0,0.0,456.0,5064.0,-186.0,8732.0,,,,,-688.0,58.0,-746.0,-2310.0,-484.0,0.0,573.0,471.0,386.0,
03/31/2014,3159.0,1154.0,514.0,735.0,20.0,-15.0,,84.0,-49.0,736.0,-28.0,764.0,,3386.0,-129.0,,-129.0,294.0,5006.0,0.0,5006.0,0.0,-4712.0,0.0,-4712.0,0.0,3221.0,3221.0,,,0.0,0.0,0.0,0.0,0.0,-6654.0,-187.0,-10266.0,0.0,0.0,3266.0,-13532.0,0.0,39.0,-39.0,3799.0,0.0,,-109.0,-19.0,451.0,
