Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
06/30/1993,70.580002,-63.403999,7.176003,-10.074,-2.898,-0.428,-34.0,-37.326,9.039,-28.287001,0.0,,-28.287001,-1.278,,-29.565001,,,-29.565,,-0.89,-0.89,33.287998,-0.89,-0.89,-0.89,33.287998,
09/30/1993,72.778,-63.738998,9.039001,-9.96,-0.921,-0.45,13.006,11.635,-0.155,11.48,0.0,0.0,11.48,-1.278,,10.202,,,10.202,,0.305,0.305,33.287998,0.305,0.305,0.305,33.287998,
12/31/1993,64.236,-57.91,6.326,-11.038,-4.711998,-0.285,0.776,-4.220998,-0.655,-4.875998,0.143,0.0,-4.732998,-1.278,0.0,-6.010998,,,-6.153998,-0.19,-0.19,-0.185,33.287998,-0.19,-0.19,-0.185,33.287998,
03/31/1994,33.709,-36.382,-2.673,-9.836,-12.509,-0.233,-137.740997,-150.482997,-0.155,-150.638,127.519997,0.0,-23.118,-1.278,,-24.396,,,-151.915997,,0.0,0.0,,0.0,0.0,0.0,,
06/30/1994,86.995003,-67.382004,19.612999,-7.487,12.126,-2.219,2.092,11.999,-4.085,7.914,0.0,,7.914,0.0,,7.914,,,7.914,,0.31,0.31,24.0,0.31,0.31,0.31,24.0,
09/30/1994,95.969002,-67.893997,28.075005,-7.367,20.708,-2.313,2.474,20.869,-7.428,13.441,0.0,,13.441,0.0,,13.441,,,13.441,,0.495,0.495,24.0,0.495,0.495,0.495,24.0,
12/31/1994,78.681,-58.918999,19.762001,-8.895,10.867,-2.28,3.678,12.265,-4.287,7.978,0.0,0.0,7.978,0.0,0.0,7.978,,,7.978,0.33,0.33,0.33,24.0,0.33,0.33,0.33,24.0,
03/31/1995,52.710999,-52.404999,0.306,-7.624,-7.318,-2.341,1.84,-7.819,2.737,-5.082,0.0,,-5.082,0.0,,-5.082,,,-5.082,-0.2,-0.21,-0.21,24.134001,-0.2,-0.21,-0.21,24.134001,
06/30/1995,87.553001,-61.115002,26.438,-7.629,18.809,-2.336,2.194,18.667,-6.534,12.133,0.0,,12.133,0.0,,12.133,,,12.133,0.445,0.445,0.445,24.142,0.445,0.445,0.445,24.142,
09/30/1995,100.611,-69.279999,31.331001,-6.521,24.809999,-2.22,4.133,26.722999,-8.601,18.122,0.0,,18.122,0.0,,18.122,,,18.122,0.65,0.65,0.65,24.136,0.65,0.65,0.65,24.136,
12/31/1995,82.133003,-58.77,23.363003,-7.96,15.403,-2.199,2.601,15.805,-5.216,10.589,0.0,,10.589,0.0,,10.589,,,10.589,0.45,0.45,0.45,23.512,0.45,0.45,0.45,23.512,
03/31/1996,52.987,-50.884998,2.102001,-7.211,-5.109,-1.874,2.093,-4.89,1.614,-3.276,0.0,,-3.276,0.0,,-3.276,,,-3.276,-0.145,-0.145,-0.145,22.594,-0.145,-0.145,-0.145,22.594,
06/30/1996,102.306999,-70.427002,31.879997,-7.049,24.830999,-1.672,2.607,25.765999,-8.503,17.263,0.0,,17.263,0.0,,17.263,,,17.262999,0.755,0.755,0.755,22.854,0.64,0.64,0.64,26.974001,
09/30/1996,118.348999,-75.475998,42.873001,-6.606,36.266998,-1.664,3.668,38.270998,-12.925,25.346001,0.0,,25.346001,0.0,,25.346001,,,25.345998,1.115,1.115,1.115,22.732,0.955,0.955,0.955,26.540001,
12/31/1996,94.029999,-64.386002,29.643997,-7.642,22.002001,-1.396,2.017,22.623001,-7.796,14.827,0.0,,14.827,0.0,,14.827,0.0,0.0,14.827001,0.68,0.68,0.68,21.804,0.565,0.565,0.565,26.242,
03/31/1997,60.835999,-52.436001,8.399998,-7.704,0.696,-1.714,1.416,0.398,-0.134,0.264,0.0,,0.264,0.0,,0.264,0.0,0.0,0.264,0.01,0.01,0.01,21.705999,0.01,0.01,0.01,26.188,
06/30/1997,104.617996,-68.487,36.130997,-7.473,28.658001,-0.804,2.726,30.580001,-10.399,20.181,0.0,,20.181,0.0,,20.181,0.0,0.0,20.181001,0.92,0.92,0.92,21.988001,0.76,0.76,0.76,26.440001,
09/30/1997,111.775002,-70.015999,41.759003,-6.752,35.007,-0.617,7.612,42.002,-14.28,27.722,0.0,,27.722,0.0,,27.722,0.0,0.0,27.722,1.26,1.26,1.26,21.993999,1.02,1.02,1.02,27.242001,
12/31/1997,80.335999,-51.942001,28.393998,-6.928,21.466,-0.45,4.74,25.756,-8.51,17.246,0.0,0.0,17.246,0.0,,17.246,0.0,0.0,17.246,0.79,0.79,0.79,21.838,0.63,0.63,0.63,27.244,
03/31/1998,57.793999,-44.249001,13.544998,-6.732,6.813,-0.747,4.592,10.658,-3.597,7.061,0.0,,7.061,0.0,,7.061,0.0,0.0,7.061,0.33,0.33,0.33,21.431999,0.26,0.26,0.26,27.08,
06/30/1998,97.702003,-61.306,36.396004,-6.328,30.068001,-0.405,4.167,33.830001,-11.418,22.412001,0.0,,22.412001,0.0,,22.412001,0.0,0.0,22.412,1.05,1.05,1.05,21.422001,0.81,0.81,0.81,27.572001,
09/30/1998,104.010002,-55.040001,48.970001,-11.379,37.591,-0.578,6.383,43.395999,-14.646,28.75,0.0,,28.75,0.0,,28.75,0.0,0.0,28.75,1.39,1.39,1.39,20.747999,1.08,1.08,1.08,26.566,
12/31/1998,87.558998,-39.969002,47.589996,-23.333,24.257,-0.649,3.65,27.258,-9.199,18.059,0.0,,18.059,0.0,,18.059,0.0,0.0,18.059,0.93,0.93,0.93,19.379999,0.73,0.73,0.73,24.773001,
03/31/1999,66.663002,-41.632999,25.030003,-12.84,12.19,-0.727,3.097,14.559999,-4.914,9.646,0.0,,9.646,0.0,,9.646,0.0,0.0,9.645999,0.48,0.48,0.48,20.167,0.39,0.39,0.39,24.684999,
06/30/1999,102.066002,-58.528999,43.537003,-12.325,31.212,-0.542,3.864,34.534,-11.655,22.879,0.0,,22.879,0.0,,22.879,0.0,0.0,22.879,1.17,1.17,1.17,19.563,0.95,0.95,0.95,24.013,
