company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2009.0,Q1,2009-01-01,2009-03-31,2010-04-28 16:32:56+00:00,3221000.0,0.34,0.34,,0.34,23200000.0,38189000.0,65515000.0,47317000.0,18198000.0,65020000.0,495000.0,62879000.0,253557000.0,,-4340000.0,21783000.0,3998000.0,48630000.0,62879000.0,190678000.0,,115821000.0,74857000.0,-4340000.0,70517000.0,253557000.0,191200000.0,192311000.0,192804000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2010.0,Q4,2010-10-01,2010-12-31,,,-0.31,-0.31,3.0,-0.31,-14990000.0,20529000.0,-40505000.0,-31667000.0,-8838000.0,-40505000.0,,38265000.0,178829000.0,,7420000.0,13181000.0,2819000.0,36549000.0,38265000.0,140564000.0,121563000.0,73078000.0,67486000.0,-114143000.0,-46657000.0,178829000.0,177600000.0,177534000.0,178965000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 17:01:41+00:00,,4.68,4.68,3.0,4.64,25322000.0,83390000.0,833854000.0,70032000.0,763822000.0,830967000.0,2887000.0,156676000.0,680578000.0,,20738000.0,53664000.0,16861000.0,137704000.0,156676000.0,523902000.0,157667000.0,291619000.0,232283000.0,-136929000.0,95354000.0,680578000.0,177600000.0,177534000.0,178965000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2010.0,Q3YTD,2010-01-01,2010-09-30,,,4.99,4.99,,4.95,40312000.0,62861000.0,874359000.0,101699000.0,772660000.0,871472000.0,2887000.0,118411000.0,501749000.0,,13318000.0,40483000.0,14042000.0,101155000.0,118411000.0,383338000.0,36104000.0,218541000.0,164797000.0,-22786000.0,142011000.0,501749000.0,173700000.0,173572000.0,175034000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2010.0,Q3TTM,2009-10-01,2010-09-30,,-3221000.0,5.47,5.47,,5.43,30322000.0,61359000.0,967712000.0,108195000.0,859517000.0,963520000.0,4192000.0,137101000.0,552994000.0,,49144000.0,44834000.0,13691000.0,126402000.0,137101000.0,415893000.0,83455000.0,243065000.0,172828000.0,-34311000.0,138517000.0,552994000.0,173700000.0,173572000.0,175034000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2010.0,Q3,2010-07-01,2010-09-30,2011-10-28 14:03:52+00:00,,4.52,4.52,,4.48,7267000.0,18412000.0,785545000.0,45105000.0,740440000.0,784903000.0,642000.0,39751000.0,172286000.0,,4640000.0,14468000.0,6269000.0,33514000.0,39751000.0,132535000.0,12140000.0,72663000.0,59872000.0,-7500000.0,52372000.0,172286000.0,173700000.0,173572000.0,175034000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2010.0,Q2YTD,2010-01-01,2010-06-30,,,0.47,0.47,,0.47,33045000.0,44449000.0,88814000.0,56594000.0,32220000.0,86569000.0,2245000.0,78660000.0,329463000.0,,8678000.0,26015000.0,7773000.0,67641000.0,78660000.0,250803000.0,23964000.0,145878000.0,104925000.0,-15286000.0,89639000.0,329463000.0,185300000.0,181120000.0,182753000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2010.0,Q2TTM,2009-07-01,2010-06-30,,-3221000.0,1.23,1.23,,1.23,27187000.0,63492000.0,236766000.0,83990000.0,152776000.0,232228000.0,4538000.0,139509000.0,537515000.0,,35448000.0,43611000.0,18877000.0,128203000.0,139509000.0,398006000.0,71315000.0,250962000.0,147044000.0,-35867000.0,111177000.0,537515000.0,185300000.0,181120000.0,182753000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2010.0,Q2,2010-04-01,2010-06-30,2011-07-29 15:54:18+00:00,,0.19,0.19,,0.19,16121000.0,23139000.0,36374000.0,26585000.0,9789000.0,35213000.0,1161000.0,39846000.0,167881000.0,,3850000.0,13738000.0,7539000.0,32797000.0,39846000.0,128035000.0,11966000.0,77213000.0,50822000.0,-8116000.0,42706000.0,167881000.0,185300000.0,181120000.0,182753000.0
Verisign Inc,VRSN,LMPL4N8ZOJRMF0KOF759,1014473,2010.0,Q1TTM,2009-04-01,2010-03-31,,-3221000.0,1.22,1.22,,1.22,26659000.0,58469000.0,236164000.0,74309000.0,161855000.0,231889000.0,4275000.0,142640000.0,523972000.0,,21113000.0,42858000.0,11277000.0,132745000.0,142640000.0,381332000.0,59349000.0,242128000.0,139204000.0,-38236000.0,100968000.0,523972000.0,183400000.0,183174000.0,184259000.0
