company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2011.0,Q3,2011-07-01,2011-09-30,,,1403000.0,-52690000.0,62736000.0,2504000.0,-20601000.0,773496000.0,,488048000.0,-176454000.0,89133000.0,488048000.0,-176454000.0,89133000.0,400727000.0,44677000.0,44677000.0,918000.0,-5811000.0,,-79052000.0,-204305000.0,-7073000.0,-200585000.0,,,32420000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-02 13:31:57+00:00,,4888000.0,-129005000.0,186955000.0,13421000.0,-13120000.0,1037630000.0,,558875000.0,-469482000.0,295012000.0,558875000.0,-469482000.0,295012000.0,384405000.0,118405000.0,118405000.0,-2116000.0,-12760000.0,,-233447000.0,-525314000.0,-14838000.0,-232548000.0,,,57249000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2011.0,Q2TTM,2010-07-01,2011-06-30,,,7300000.0,158708000.0,243587000.0,32022000.0,-8374000.0,338682000.0,250000000.0,108108000.0,-557986000.0,366261000.0,108108000.0,-557986000.0,366261000.0,-83617000.0,124375000.0,124375000.0,-627000.0,-11377000.0,,-306261000.0,-604993000.0,-13485000.0,-162936000.0,,,28470000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2011.0,Q2,2011-04-01,2011-06-30,,7572000.0,1667000.0,-28853000.0,62920000.0,10917000.0,29425000.0,113977000.0,,33985000.0,-168345000.0,132664000.0,33985000.0,-168345000.0,132664000.0,-1696000.0,43191000.0,43191000.0,-4539000.0,-317000.0,,-77831000.0,-205647000.0,-4791000.0,-1844000.0,,,23604000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2011.0,Q2YTD,2011-01-01,2011-06-30,2012-08-03 10:12:20+00:00,,3485000.0,-76315000.0,124219000.0,10917000.0,7481000.0,264134000.0,,70827000.0,-293028000.0,205879000.0,70827000.0,-293028000.0,205879000.0,-16322000.0,73728000.0,73728000.0,-3034000.0,-6949000.0,,-154395000.0,-321009000.0,-7765000.0,-31963000.0,,,24829000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2011.0,Q1TTM,2010-04-01,2011-03-31,,-7572000.0,7295000.0,159104000.0,238146000.0,39258000.0,-24313000.0,447626000.0,250000000.0,219641000.0,-387576000.0,336438000.0,219641000.0,-387576000.0,336438000.0,168503000.0,132250000.0,132250000.0,-16940000.0,-13330000.0,,-302098000.0,-514901000.0,-17016000.0,-162557000.0,,,112655000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2011.0,Q1,2011-01-01,2011-03-31,2012-05-04 12:32:26+00:00,-7572000.0,1818000.0,-47462000.0,61299000.0,,-21944000.0,150157000.0,,36842000.0,-124683000.0,73215000.0,36842000.0,-124683000.0,73215000.0,-14626000.0,30537000.0,30537000.0,1505000.0,-6632000.0,,-76564000.0,-115362000.0,-2974000.0,-30119000.0,,,1225000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2012.0,Q4,2012-10-01,2012-12-31,,,2305000.0,-18147000.0,65765000.0,-120000.0,27576000.0,2103537000.0,250000000.0,2044493000.0,-140654000.0,165646000.0,2044493000.0,-140654000.0,165646000.0,2069485000.0,122384000.0,122384000.0,-52384000.0,-8972000.0,2413000.0,-94713000.0,-251437000.0,-10003000.0,-205359000.0,,,118493000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2012.0,FY,2012-01-01,2012-12-31,2015-02-19 16:40:02+00:00,,6427000.0,-119268000.0,260094000.0,16824000.0,9798000.0,2430190000.0,700000000.0,2199332000.0,-623386000.0,540819000.0,2199332000.0,-623386000.0,540819000.0,2116765000.0,423562000.0,423562000.0,-159062000.0,-74243000.0,16832000.0,-365601000.0,-934308000.0,-23452000.0,-491014000.0,,0.0,300718000.0
AvalonBay Communities Inc,AVB,K9G90K85RBWD2LAGQX17,915912,2012.0,Q3TTM,2011-10-01,2012-09-30,,,5068000.0,-129014000.0,257643000.0,17632000.0,-7333000.0,338858000.0,450000000.0,-77803000.0,-456391000.0,509515000.0,-77803000.0,-456391000.0,509515000.0,-24679000.0,624143000.0,624143000.0,-370006000.0,-67796000.0,16761000.0,-355692000.0,-885526000.0,-40462000.0,-443173000.0,,,435204000.0
