company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,goodwill,grossppe,longtermdebt,longterminvestments,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2012.0,Q3,,2012-09-30,2012-11-01 15:01:56+00:00,346700000.0,853200000.0,2460600000.0,16100000.0,159800000.0,0.0,5375500000.0,3274000000.0,15580600000.0,4822900000.0,,13120000000.0,6800000.0,327000000.0,397600000.0,520700000.0,,429700000.0,475600000.0,6302300000.0,47500000.0,,18234300000.0,11724600000.0,1410600000.0,914900000.0,11687100000.0,11693900000.0,6540400000.0,18234300000.0,3703700000.0,5625500000.0,30700000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2012.0,Q2,,2012-06-30,2012-07-26 16:56:00+00:00,541900000.0,856300000.0,2327800000.0,12400000.0,226700000.0,0.0,5354100000.0,3274000000.0,15311800000.0,4838000000.0,,12984000000.0,6900000.0,334300000.0,377500000.0,539800000.0,,439700000.0,419300000.0,6045900000.0,69500000.0,,18158200000.0,11440200000.0,1460500000.0,1151200000.0,11408500000.0,11415400000.0,6742800000.0,18158200000.0,3713700000.0,5591600000.0,27800000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2012.0,Q1,,2012-03-31,2012-05-03 17:26:41+00:00,553500000.0,760400000.0,2193600000.0,12900000.0,208900000.0,0.0,5274600000.0,3263000000.0,15083500000.0,4862600000.0,,12889900000.0,6800000.0,341400000.0,327700000.0,438000000.0,,498100000.0,417400000.0,5791700000.0,247500000.0,,17948000000.0,11101300000.0,1297000000.0,1239000000.0,11080800000.0,11087600000.0,6860400000.0,17948000000.0,3761100000.0,5621400000.0,22100000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2013.0,FY,,2013-12-31,2015-03-02 13:05:02+00:00,341100000.0,855700000.0,3187500000.0,18200000.0,165600000.0,,5467200000.0,3274000000.0,17498500000.0,4718900000.0,,14311000000.0,7300000.0,362100000.0,463900000.0,658700000.0,,352700000.0,545700000.0,7327300000.0,47500000.0,50000000.0,19472900000.0,12767500000.0,1535200000.0,1047300000.0,12791600000.0,12798900000.0,6674000000.0,19472900000.0,3626700000.0,5626700000.0,-45200000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2013.0,Q3,,2013-09-30,2013-10-24 15:59:10+00:00,374600000.0,775500000.0,3036000000.0,17500000.0,325400000.0,0.0,5454900000.0,3274000000.0,17033400000.0,4743600000.0,,13997400000.0,9500000.0,340800000.0,416200000.0,518400000.0,,354400000.0,515400000.0,7141300000.0,47500000.0,,19142900000.0,12569000000.0,1517100000.0,940500000.0,12593100000.0,12602600000.0,6540300000.0,19142900000.0,3628400000.0,5599800000.0,-44700000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2013.0,Q2,,2013-06-30,2013-07-30 15:38:55+00:00,300900000.0,902100000.0,2885900000.0,6400000.0,489800000.0,0.0,5443400000.0,3274000000.0,16276400000.0,4758700000.0,,13390500000.0,7700000.0,338500000.0,391600000.0,512900000.0,,358600000.0,530300000.0,6879400000.0,47500000.0,,18806600000.0,12286000000.0,1783500000.0,861300000.0,12310100000.0,12317800000.0,6488800000.0,18806600000.0,3632600000.0,5627500000.0,-43200000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2013.0,Q1,,2013-03-31,2013-04-30 16:41:06+00:00,308900000.0,809100000.0,2738400000.0,15000000.0,561800000.0,0.0,5422500000.0,3274000000.0,15893600000.0,4783300000.0,,13155200000.0,6500000.0,346800000.0,414000000.0,489000000.0,,378400000.0,548400000.0,6635300000.0,47500000.0,,18592500000.0,12107400000.0,1784900000.0,845400000.0,12062100000.0,12068600000.0,6523900000.0,18592500000.0,3652400000.0,5678500000.0,34600000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2014.0,FY,,2014-12-31,2015-10-29 10:33:41+00:00,373200000.0,883300000.0,2440700000.0,11900000.0,664800000.0,0.0,5517500000.0,276100000.0,14975500000.0,5885600000.0,,12534800000.0,7900000.0,179500000.0,629400000.0,696600000.0,-93800000.0,314200000.0,667300000.0,2720400000.0,34800000.0,757300000.0,16059900000.0,8215000000.0,2934800000.0,1104600000.0,8215000000.0,8222900000.0,7837000000.0,16059900000.0,590300000.0,6732400000.0,59000000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2014.0,Q3,,2014-09-30,2014-10-30 16:53:21+00:00,423800000.0,869800000.0,2858100000.0,16300000.0,1173700000.0,0.0,5505700000.0,3274000000.0,15985700000.0,5903900000.0,,13127600000.0,12600000.0,258600000.0,986900000.0,653900000.0,,340500000.0,629500000.0,6348400000.0,53800000.0,,19772500000.0,11812200000.0,3030400000.0,1131500000.0,11836400000.0,11849000000.0,7923500000.0,19772500000.0,3614500000.0,6792000000.0,-58200000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2014.0,Q2,,2014-06-30,2014-08-01 17:30:41+00:00,494300000.0,843600000.0,2920000000.0,26700000.0,145000000.0,0.0,5493300000.0,3274000000.0,15801200000.0,4679100000.0,,12881200000.0,10200000.0,317000000.0,787200000.0,548200000.0,,340200000.0,592300000.0,6095400000.0,47500000.0,,18271200000.0,11558400000.0,1775800000.0,1090000000.0,11582600000.0,11592800000.0,6678400000.0,18271200000.0,3614200000.0,5588400000.0,-57000000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2014.0,Q1,,2014-03-31,2014-04-29 15:08:24+00:00,411900000.0,779600000.0,3282400000.0,23600000.0,122500000.0,0.0,5479100000.0,3274000000.0,17700700000.0,4703700000.0,,14418300000.0,9200000.0,364700000.0,570300000.0,493500000.0,,356500000.0,569100000.0,7444100000.0,47500000.0,,19521200000.0,12897500000.0,1472400000.0,952900000.0,12921600000.0,12930800000.0,6590400000.0,19521200000.0,3630500000.0,5637500000.0,-49300000.0
Ensco PLC,ESV,7N0UJMJLXD0MDT5D5086,314808,2015.0,FY,,2015-12-31,2017-02-28 10:47:18+00:00,224600000.0,582000000.0,1631600000.0,12500000.0,121300000.0,,5554500000.0,,12719400000.0,5868600000.0,,11087800000.0,4300000.0,,401800000.0,550900000.0,,237600000.0,449200000.0,985300000.0,0.0,1180000000.0,13610500000.0,6488500000.0,2285100000.0,775500000.0,6512900000.0,6517200000.0,7093300000.0,13610500000.0,237600000.0,6317800000.0,-63800000.0
