company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2009.0,Q3TTM,2008-10-01,2009-09-30,,4.06,4.06,0.77,4.06,362711000.0,768986000.0,768986000.0,,725672000.0,43314000.0,21272671000.0,22582456000.0,,,,200412000.0,21272671000.0,1309785000.0,10953000.0,33277000.0,200412000.0,1109373000.0,22324000.0,1131697000.0,22582456000.0,180100000.0,178859000.0,181124000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2009.0,Q3YTD,2009-01-01,2009-09-30,,3.0,3.0,0.62,3.0,300982000.0,571630000.0,571630000.0,,536165000.0,35465000.0,15532409000.0,16510931000.0,,,,117040000.0,15532409000.0,978522000.0,7656000.0,18786000.0,117040000.0,861482000.0,11130000.0,872612000.0,16510931000.0,180100000.0,178859000.0,181124000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2009.0,Q3,2009-07-01,2009-09-30,2010-11-04 16:16:24+00:00,0.9,0.9,0.125,0.89,91858000.0,174004000.0,174004000.0,,162096000.0,11908000.0,5108144000.0,5420488000.0,,,,49622000.0,5108144000.0,312344000.0,2585000.0,5725000.0,49622000.0,262722000.0,3140000.0,265862000.0,5420488000.0,180100000.0,178859000.0,181124000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2009.0,Q2TTM,2008-07-01,2009-06-30,,4.16,4.16,0.67,4.16,383019000.0,784313000.0,784313000.0,,745467000.0,38846000.0,21506472000.0,22835786000.0,,,,195879000.0,21506472000.0,1329314000.0,12825000.0,46722000.0,195879000.0,1133435000.0,33897000.0,1167332000.0,22835786000.0,180100000.0,179054000.0,181198000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2009.0,Q2YTD,2009-01-01,2009-06-30,,2.09,2.09,0.33,2.09,209124000.0,397626000.0,397626000.0,,374069000.0,23557000.0,10424265000.0,11090443000.0,,,,67418000.0,10424265000.0,666178000.0,5071000.0,13061000.0,67418000.0,598760000.0,7990000.0,606750000.0,11090443000.0,180100000.0,179054000.0,181198000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2009.0,Q2,2009-04-01,2009-06-30,2010-07-27 14:20:52+00:00,0.94,0.94,0.125,0.93,101911000.0,176339000.0,176339000.0,,169270000.0,7069000.0,4975649000.0,5292554000.0,,,,42003000.0,4975649000.0,316905000.0,2488000.0,5836000.0,42003000.0,274902000.0,3348000.0,278250000.0,5292554000.0,180100000.0,179054000.0,181198000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2009.0,Q1TTM,2008-04-01,2009-03-31,,4.35,4.35,0.66,4.35,416567000.0,825851000.0,825851000.0,,784154000.0,41697000.0,21980786000.0,23316802000.0,,,,215587000.0,21980786000.0,1336016000.0,15826000.0,137815000.0,215587000.0,1120429000.0,121989000.0,1242418000.0,23316802000.0,181200000.0,180317000.0,181204000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2009.0,Q1,2009-01-01,2009-03-31,2010-05-10 16:21:35+00:00,1.13,1.13,0.125,1.12,107213000.0,221287000.0,221287000.0,,204799000.0,16488000.0,5448616000.0,5797889000.0,,,,25415000.0,5448616000.0,349273000.0,2583000.0,7225000.0,25415000.0,323858000.0,4642000.0,328500000.0,5797889000.0,181200000.0,180317000.0,181204000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2010.0,Q4,2010-10-01,2010-12-31,,0.66,0.66,0.13,0.65,-96593000.0,139081000.0,139081000.0,,117122000.0,21959000.0,5167767000.0,5266885000.0,,,,57970000.0,5167767000.0,99118000.0,2957000.0,4297000.0,57970000.0,41148000.0,1340000.0,42488000.0,5266885000.0,177900000.0,178047000.0,180988000.0
Fluor Corp,FLR,CQ7WZ4NOFWT7FAE6Q943,1124198,2010.0,FY,2010-01-01,2010-12-31,2013-02-20 16:26:17+00:00,2.01,2.01,0.5,1.98,118514000.0,441082000.0,441082000.0,,357496000.0,83586000.0,20144099000.0,20849349000.0,,,,156268000.0,20144099000.0,705250000.0,10616000.0,21230000.0,156268000.0,548982000.0,10614000.0,559596000.0,20849349000.0,177900000.0,178047000.0,180988000.0
