company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationofdeferredpolicyacquisitioncosts,basicdilutedeps,basiceps,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,netrealizedcapitalgains,otheradjustmentstoconsolidatednetincome,otheroperatingexpenses,otherservicechargeincome,preferreddividends,premiumsearned,propertyliabilityinsuranceclaims,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Brighthouse Financial Inc,BHF,,1685040,2017.0,Q1,2017-01-01,2017-03-31,2018-05-09 17:30:10+00:00,-148000000.0,,,,,-241000000.0,-349000000.0,-349000000.0,-349000000.0,0.0,-238000000.0,,564000000.0,1027000000.0,,176000000.0,1139000000.0,1555000000.0,965000000.0,-590000000.0,965000000.0,,,
Brighthouse Financial Inc,BHF,,1685040,2018.0,FY,2018-01-01,2018-12-31,2020-02-26 17:24:17+00:00,1050000000.0,7.24,7.24,7.21,,119000000.0,870000000.0,870000000.0,865000000.0,5000000.0,3833000000.0,,2575000000.0,4232000000.0,0.0,900000000.0,4351000000.0,7976000000.0,8965000000.0,989000000.0,8965000000.0,119500000.0,119500000.0,120000000.0
Brighthouse Financial Inc,BHF,,1685040,2018.0,Q4,2018-10-01,2018-12-31,,469000000.0,12.07,12.07,12.04,,345000000.0,1681000000.0,1442000000.0,1681000000.0,,2815000000.0,239000000.0,601000000.0,988000000.0,,223000000.0,1169000000.0,2239000000.0,4026000000.0,1787000000.0,4026000000.0,119500000.0,119500000.0,120000000.0
Brighthouse Financial Inc,BHF,,1685040,2018.0,Q3,2018-07-01,2018-09-30,2019-11-05 16:33:58+00:00,30000000.0,-2.26,-2.26,-2.26,,-99000000.0,-269000000.0,-269000000.0,-271000000.0,2000000.0,120000000.0,,665000000.0,1077000000.0,0.0,225000000.0,1095000000.0,1790000000.0,1422000000.0,-368000000.0,1422000000.0,119900000.0,119900000.0,119900000.0
Brighthouse Financial Inc,BHF,,1685040,2018.0,Q3YTD,2018-01-01,2018-09-30,,581000000.0,-4.83,-4.83,-4.83,,-226000000.0,-811000000.0,-572000000.0,-816000000.0,5000000.0,1018000000.0,-239000000.0,1974000000.0,3244000000.0,,677000000.0,3182000000.0,5737000000.0,4939000000.0,-798000000.0,4939000000.0,119900000.0,119900000.0,119900000.0
Brighthouse Financial Inc,BHF,,1685040,2018.0,Q3TTM,2017-10-01,2018-09-30,,812000000.0,-0.12,-2.17,-0.12,,-1116000000.0,-143000000.0,96000000.0,-148000000.0,5000000.0,1380000000.0,-239000000.0,2668000000.0,4529000000.0,,910000000.0,4359000000.0,7839000000.0,6819000000.0,-1020000000.0,6819000000.0,119900000.0,119900000.0,119900000.0
Brighthouse Financial Inc,BHF,,1685040,2018.0,Q2,2018-04-01,2018-06-30,2019-08-06 16:24:07+00:00,246000000.0,-2.01,-2.01,-2.01,,-79000000.0,-477000000.0,-238000000.0,-478000000.0,1000000.0,419000000.0,-239000000.0,691000000.0,1060000000.0,0.0,223000000.0,1082000000.0,2019000000.0,1702000000.0,-317000000.0,1702000000.0,237800000.0,237800000.0,237800000.0
Brighthouse Financial Inc,BHF,,1685040,2018.0,Q2YTD,2018-01-01,2018-06-30,,551000000.0,-2.57,-2.57,-2.57,,-127000000.0,-542000000.0,-303000000.0,-545000000.0,3000000.0,898000000.0,-239000000.0,1309000000.0,2167000000.0,,452000000.0,2087000000.0,3947000000.0,3517000000.0,-430000000.0,3517000000.0,237800000.0,237800000.0,237800000.0
Brighthouse Financial Inc,BHF,,1685040,2018.0,Q2TTM,2017-07-01,2018-06-30,,905000000.0,-5.73,-7.78,-5.73,,-198000000.0,-817000000.0,-578000000.0,-820000000.0,3000000.0,1878000000.0,-239000000.0,2614000000.0,4570000000.0,,921000000.0,4626000000.0,8145000000.0,7369000000.0,-776000000.0,7369000000.0,237800000.0,237800000.0,237800000.0
Brighthouse Financial Inc,BHF,,1685040,2018.0,Q1,2018-01-01,2018-03-31,2019-05-07 16:26:41+00:00,305000000.0,-0.56,-0.56,-0.56,,-48000000.0,-65000000.0,-65000000.0,-67000000.0,2000000.0,479000000.0,,618000000.0,1107000000.0,,229000000.0,1005000000.0,1928000000.0,1815000000.0,-113000000.0,1815000000.0,119600000.0,119600000.0,119600000.0
Brighthouse Financial Inc,BHF,,1685040,2018.0,Q1TTM,2017-04-01,2018-03-31,,680000000.0,-3.72,-3.72,-3.72,,-44000000.0,-94000000.0,-94000000.0,-96000000.0,2000000.0,2147000000.0,,2537000000.0,4629000000.0,,916000000.0,4613000000.0,7830000000.0,7692000000.0,-138000000.0,7692000000.0,119600000.0,119600000.0,119600000.0
Brighthouse Financial Inc,BHF,,1685040,2019.0,Q4,2019-10-01,2019-12-31,,9000000.0,-9.82,-9.82,-9.78,,-303000000.0,-1069000000.0,-1069000000.0,-1077000000.0,1000000.0,-960000000.0,,667000000.0,1057000000.0,7000000.0,209000000.0,1002000000.0,1678000000.0,306000000.0,-1372000000.0,306000000.0,112600000.0,112600000.0,112600000.0
Brighthouse Financial Inc,BHF,,1685040,2019.0,FY,2019-01-01,2019-12-31,2020-02-26 17:24:17+00:00,382000000.0,-6.76,-6.76,-6.76,,-317000000.0,-735000000.0,-735000000.0,-761000000.0,5000000.0,1703000000.0,,2491000000.0,3969000000.0,21000000.0,882000000.0,4733000000.0,7606000000.0,6554000000.0,-1052000000.0,6554000000.0,112600000.0,112600000.0,112600000.0
Brighthouse Financial Inc,BHF,,1685040,2019.0,Q3YTD,2019-01-01,2019-09-30,,373000000.0,3.06,3.06,3.02,,-14000000.0,334000000.0,334000000.0,316000000.0,4000000.0,2663000000.0,,1824000000.0,2912000000.0,14000000.0,673000000.0,3731000000.0,5928000000.0,6248000000.0,320000000.0,6248000000.0,111000000.0,111000000.0,111600000.0
Brighthouse Financial Inc,BHF,,1685040,2019.0,Q3TTM,2018-10-01,2019-09-30,,842000000.0,15.13,15.13,15.06,,331000000.0,2015000000.0,1776000000.0,1997000000.0,4000000.0,5478000000.0,239000000.0,2425000000.0,3900000000.0,14000000.0,896000000.0,4900000000.0,8167000000.0,10274000000.0,2107000000.0,10274000000.0,111000000.0,111000000.0,111600000.0
Brighthouse Financial Inc,BHF,,1685040,2019.0,Q3,2019-07-01,2019-09-30,2019-11-05 16:33:58+00:00,181000000.0,6.09,6.09,6.06,,119000000.0,685000000.0,685000000.0,676000000.0,2000000.0,2012000000.0,,611000000.0,961000000.0,7000000.0,214000000.0,1591000000.0,2383000000.0,3187000000.0,804000000.0,3187000000.0,111000000.0,111000000.0,111600000.0
Brighthouse Financial Inc,BHF,,1685040,2019.0,Q2YTD,2019-01-01,2019-06-30,,192000000.0,-3.03,-3.03,-3.04,,-133000000.0,-351000000.0,-351000000.0,-360000000.0,2000000.0,651000000.0,,1213000000.0,1951000000.0,7000000.0,459000000.0,2140000000.0,3545000000.0,3061000000.0,-484000000.0,3061000000.0,114900000.0,114900000.0,115300000.0
Brighthouse Financial Inc,BHF,,1685040,2019.0,Q2TTM,2018-07-01,2019-06-30,,691000000.0,6.78,6.78,6.74,,113000000.0,1061000000.0,822000000.0,1050000000.0,4000000.0,3586000000.0,239000000.0,2479000000.0,4016000000.0,7000000.0,907000000.0,4404000000.0,7574000000.0,8509000000.0,935000000.0,8509000000.0,114900000.0,114900000.0,115300000.0
Brighthouse Financial Inc,BHF,,1685040,2019.0,Q2,2019-04-01,2019-06-30,2019-08-06 16:24:07+00:00,170000000.0,3.28,3.28,3.27,,85000000.0,384000000.0,384000000.0,377000000.0,0.0,1154000000.0,,621000000.0,984000000.0,7000000.0,232000000.0,1110000000.0,1901000000.0,2370000000.0,469000000.0,2370000000.0,114900000.0,114900000.0,115300000.0
Brighthouse Financial Inc,BHF,,1685040,2019.0,Q1,2019-01-01,2019-03-31,2020-05-11 16:20:52+00:00,22000000.0,-6.31,-6.31,-6.31,,-218000000.0,-735000000.0,-735000000.0,-737000000.0,2000000.0,-503000000.0,,592000000.0,967000000.0,0.0,227000000.0,1030000000.0,1644000000.0,691000000.0,-953000000.0,691000000.0,116800000.0,116800000.0,116800000.0
Brighthouse Financial Inc,BHF,,1685040,2019.0,Q1TTM,2018-04-01,2019-03-31,,767000000.0,1.49,1.49,1.46,,-51000000.0,200000000.0,200000000.0,195000000.0,5000000.0,2851000000.0,,2549000000.0,4092000000.0,,898000000.0,4376000000.0,7692000000.0,7841000000.0,149000000.0,7841000000.0,116800000.0,116800000.0,116800000.0
Brighthouse Financial Inc,BHF,,1685040,2020.0,Q1TTM,2019-04-01,2020-03-31,,1130000000.0,46.81,46.81,46.66,,1194000000.0,4959000000.0,4959000000.0,4926000000.0,5000000.0,10005000000.0,,2416000000.0,3990000000.0,28000000.0,853000000.0,5149000000.0,8695000000.0,14848000000.0,6153000000.0,14848000000.0,104700000.0,104700000.0,105100000.0
Brighthouse Financial Inc,BHF,,1685040,2020.0,Q1,2020-01-01,2020-03-31,2020-05-11 16:20:52+00:00,770000000.0,47.26,47.26,47.11,,1293000000.0,4959000000.0,4959000000.0,4950000000.0,2000000.0,7799000000.0,,517000000.0,988000000.0,7000000.0,198000000.0,1446000000.0,2733000000.0,8985000000.0,6252000000.0,8985000000.0,104700000.0,104700000.0,105100000.0
