company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2014.0,Q3TTM,2013-04-01,2014-03-31,,-38000000.0,571000000.0,233000000.0,-65000000.0,,1014000000.0,-168000000.0,884000000.0,,,,1014000000.0,-168000000.0,884000000.0,1730000000.0,-848000000.0,-848000000.0,,1226000000.0,-1927000000.0,,2944000000.0,-14000000.0,-349000000.0,-3000000.0,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2014.0,Q3,2014-01-01,2014-03-31,,-13000000.0,142000000.0,9000000.0,216000000.0,,-13000000.0,-111000000.0,396000000.0,,,,-13000000.0,-111000000.0,396000000.0,272000000.0,61000000.0,61000000.0,,-23000000.0,,,-10000000.0,-10000000.0,-97000000.0,-3000000.0,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2014.0,Q3YTD,2013-07-01,2014-03-31,2015-05-06 07:22:01+00:00,-39000000.0,421000000.0,109000000.0,111000000.0,,191000000.0,-186000000.0,803000000.0,,,,191000000.0,-186000000.0,803000000.0,808000000.0,265000000.0,265000000.0,,6000000.0,,0.0,194000000.0,-12000000.0,-244000000.0,-3000000.0,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2014.0,Q2TTM,2013-01-01,2013-12-31,,-28000000.0,573000000.0,900000000.0,-316000000.0,,829000000.0,523000000.0,903000000.0,,,,829000000.0,523000000.0,903000000.0,2255000000.0,-577000000.0,-577000000.0,,1223000000.0,-2115000000.0,,2944000000.0,-11000000.0,-338000000.0,,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2014.0,Q2,2013-10-01,2013-12-31,,-24000000.0,138000000.0,4000000.0,2000000.0,,-1000000.0,-102000000.0,348000000.0,,,,-1000000.0,-102000000.0,348000000.0,245000000.0,166000000.0,166000000.0,,42000000.0,,,-1000000.0,-2000000.0,-80000000.0,,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2014.0,Q2YTD,2013-07-01,2013-12-31,2015-02-06 07:34:26+00:00,-26000000.0,279000000.0,100000000.0,-105000000.0,,204000000.0,-75000000.0,407000000.0,,,,204000000.0,-75000000.0,407000000.0,536000000.0,204000000.0,204000000.0,,29000000.0,,,204000000.0,-2000000.0,-147000000.0,0.0,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2014.0,Q1TTM,2012-10-01,2013-09-30,,-1928000000.0,564000000.0,922000000.0,-1840000000.0,,2447000000.0,-1353000000.0,647000000.0,,,,2447000000.0,-1353000000.0,647000000.0,1741000000.0,668000000.0,668000000.0,,1255000000.0,-255000000.0,,2937000000.0,-12000000.0,-335000000.0,-235000000.0,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2014.0,Q1,2013-07-01,2013-09-30,2014-11-06 07:14:24+00:00,-2000000.0,141000000.0,96000000.0,-107000000.0,,205000000.0,27000000.0,59000000.0,,,,205000000.0,27000000.0,59000000.0,291000000.0,38000000.0,38000000.0,,-13000000.0,,,205000000.0,0.0,-67000000.0,0.0,,,
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2015.0,FY,2014-07-01,2015-06-30,2017-08-14 16:10:24+00:00,-1190000000.0,498000000.0,0.0,43000000.0,,-190000000.0,-1671000000.0,988000000.0,0.0,-70000000.0,-157000000.0,-190000000.0,-1741000000.0,831000000.0,-1100000000.0,-78000000.0,367000000.0,-445000000.0,80000000.0,,15000000.0,-30000000.0,-370000000.0,-308000000.0,-130000000.0,-30000000.0,,182000000.0
News Corp,NWSA,549300ITS31QK8VRBQ14,1564708,2015.0,Q4,2015-04-01,2015-06-30,,-2000000.0,123000000.0,-134000000.0,-40000000.0,,-30000000.0,-158000000.0,162000000.0,,-70000000.0,-157000000.0,-30000000.0,-228000000.0,5000000.0,-253000000.0,-363000000.0,20000000.0,-383000000.0,59000000.0,,-1000000.0,-1000000.0,-113000000.0,-90000000.0,1000000.0,-30000000.0,,182000000.0
