date,intraperiod,frequency,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume
2009-05-22,False,daily,6.95,7.07,6.95,7.07,3600.0,6.95,7.07,6.95,7.07,3600.0
2009-05-21,False,daily,7.11,7.21,6.81,7.21,22100.0,7.11,7.21,6.81,7.21,22100.0
2009-05-20,False,daily,7.56,7.56,7.4,7.4613,5625.0,7.56,7.56,7.4,7.4613,5625.0
2009-05-19,False,daily,7.35,7.62,7.35,7.62,2600.0,7.35,7.62,7.35,7.62,2600.0
2009-05-18,False,daily,7.23,7.37,7.23,7.37,6500.0,7.23,7.37,7.23,7.37,6500.0
2009-05-15,False,daily,7.25,7.26,7.22,7.22,3491.0,7.25,7.26,7.22,7.22,3491.0
2009-05-14,False,daily,7.16,7.18,7.12,7.18,5000.0,7.16,7.18,7.12,7.18,5000.0
2009-05-13,False,daily,7.12,7.138,7.07,7.138,1976.0,7.12,7.138,7.07,7.138,1976.0
2009-05-12,False,daily,7.07,7.96,7.07,7.33,10810.0,7.07,7.96,7.07,7.33,10810.0
2009-05-11,False,daily,6.9,7.0,6.9,6.97,6650.0,6.9,7.0,6.9,6.97,6650.0
2009-05-08,False,daily,6.91,6.93,6.91,6.93,5200.0,6.91,6.93,6.91,6.93,5200.0
2009-05-07,False,daily,6.9,6.9,6.83,6.87,4300.0,6.9,6.9,6.83,6.87,4300.0
2009-05-06,False,daily,6.69,6.98,6.69,6.98,5100.0,6.69,6.98,6.69,6.98,5100.0
2009-05-05,False,daily,6.84,7.13,6.66,6.99,23200.0,6.84,7.13,6.66,6.99,23200.0
2009-04-30,False,daily,7.33,7.45,7.05,7.41,9000.0,7.33,7.45,7.05,7.41,9000.0
2009-04-29,False,daily,7.2,7.2,7.14,7.18,6500.0,7.2,7.2,7.14,7.18,6500.0
2009-04-27,False,daily,7.35,7.35,7.2,7.2,2000.0,7.35,7.35,7.2,7.2,2000.0
2009-04-24,False,daily,7.31,7.31,7.31,7.31,100.0,7.31,7.31,7.31,7.31,100.0
2009-04-23,False,daily,6.49,6.49,6.49,6.49,3200.0,6.49,6.49,6.49,6.49,3200.0
2009-04-22,False,daily,6.61,6.61,6.61,6.61,2000.0,6.61,6.61,6.61,6.61,2000.0
2009-04-21,False,daily,6.09,6.58,5.96,6.5,2800.0,6.09,6.58,5.96,6.5,2800.0
2009-04-20,False,daily,6.47,6.47,6.47,6.47,1544.0,6.47,6.47,6.47,6.47,1544.0
2009-04-17,False,daily,6.78,6.78,6.75,6.7523,4900.0,6.78,6.78,6.75,6.7523,4900.0
2009-04-16,False,daily,6.75,7.19,6.7,7.19,2800.0,6.75,7.19,6.7,7.19,2800.0
2009-04-15,False,daily,6.75,6.75,6.75,6.75,2000.0,6.75,6.75,6.75,6.75,2000.0
2009-04-14,False,daily,6.9,6.9,6.9,6.9,3500.0,6.9,6.9,6.9,6.9,3500.0
2009-04-09,False,daily,7.0,7.0,6.71,6.75,9400.0,7.0,7.0,6.71,6.75,9400.0
2009-04-08,False,daily,6.97,7.05,6.57,6.71,4700.0,6.97,7.05,6.57,6.71,4700.0
2009-04-07,False,daily,6.48,6.48,6.48,6.48,1800.0,6.48,6.48,6.48,6.48,1800.0
2009-04-06,False,daily,6.19,6.5,6.19,6.45,5800.0,6.19,6.5,6.19,6.45,5800.0
2009-04-03,False,daily,6.64,6.64,6.52,6.6,15500.0,6.64,6.64,6.52,6.6,15500.0
2009-04-02,False,daily,6.8,7.0,6.75,6.793,10800.0,6.8,7.0,6.75,6.793,10800.0
2009-04-01,False,daily,6.73,6.73,6.6,6.6,1400.0,6.73,6.73,6.6,6.6,1400.0
2009-03-31,False,daily,6.3,6.49,6.3,6.49,1200.0,6.3,6.49,6.3,6.49,1200.0
2009-03-26,False,daily,6.3,6.3,6.3,6.3,1000.0,6.3,6.3,6.3,6.3,1000.0
2009-03-24,False,daily,6.32,6.32,6.3,6.3,2300.0,6.32,6.32,6.3,6.3,2300.0
2009-03-23,False,daily,6.21,6.21,6.21,6.21,1000.0,6.21,6.21,6.21,6.21,1000.0
2009-03-20,False,daily,6.15,6.15,6.15,6.15,3000.0,6.15,6.15,6.15,6.15,3000.0
2009-03-19,False,daily,5.59,5.82,5.59,5.72,5600.0,5.59,5.82,5.59,5.72,5600.0
2009-03-18,False,daily,5.51,5.68,4.87,5.68,4700.0,5.51,5.68,4.87,5.68,4700.0
2009-03-17,False,daily,5.55,5.89,5.44,5.89,9300.0,5.55,5.89,5.44,5.89,9300.0
2009-03-16,False,daily,5.67,5.67,5.67,5.67,1000.0,5.67,5.67,5.67,5.67,1000.0
2009-03-13,False,daily,6.05,6.05,5.55,5.59,4640.0,6.05,6.05,5.55,5.59,4640.0
2009-03-12,False,daily,5.91,6.05,5.91,6.05,5250.0,5.91,6.05,5.91,6.05,5250.0
2009-03-11,False,daily,6.07,6.07,5.88,6.06,4800.0,6.07,6.07,5.88,6.06,4800.0
2009-03-10,False,daily,5.14,6.03,5.14,6.03,25400.0,5.14,6.03,5.14,6.03,25400.0
2009-03-09,False,daily,4.66,5.39,4.66,4.99,19219.0,4.66,5.39,4.66,4.99,19219.0
2009-03-06,False,daily,5.31,5.35,4.73,5.1,25850.0,5.31,5.35,4.73,5.1,25850.0
2009-03-05,False,daily,5.39,5.63,5.39,5.63,5700.0,5.39,5.63,5.39,5.63,5700.0
2009-03-04,False,daily,5.49,5.548,5.42,5.54,9336.0,5.49,5.548,5.42,5.54,9336.0
2009-03-03,False,daily,5.49,5.49,5.38,5.49,8450.0,5.49,5.49,5.38,5.49,8450.0
2009-03-02,False,daily,5.4,5.4,5.37,5.37,11830.0,5.4,5.4,5.37,5.37,11830.0
2009-02-27,False,daily,5.57,5.94,5.02,5.56,9150.0,5.57,5.94,5.02,5.56,9150.0
2009-02-26,False,daily,5.92,6.13,5.8,5.81,6126.0,5.92,6.13,5.8,5.81,6126.0
2009-02-25,False,daily,5.94,6.33,5.91,6.33,5300.0,5.94,6.33,5.91,6.33,5300.0
2009-02-24,False,daily,5.53,6.68,5.53,6.28,8600.0,5.53,6.68,5.53,6.28,8600.0
2009-02-23,False,daily,6.41,6.72,5.77,6.47,9630.0,6.41,6.72,5.77,6.47,9630.0
2009-02-20,False,daily,6.0,6.67,6.0,6.59,24799.0,6.0,6.67,6.0,6.59,24799.0
2009-02-19,False,daily,5.53,7.05,5.53,6.94,10598.0,5.53,7.05,5.53,6.94,10598.0
2009-02-18,False,daily,6.62,6.69,6.62,6.64,13200.0,6.62,6.69,6.62,6.64,13200.0
2009-02-17,False,daily,6.99,6.99,6.19,6.72,8050.0,6.99,6.99,6.19,6.72,8050.0
2009-02-12,False,daily,7.05,7.14,7.05,7.14,1300.0,7.05,7.14,7.05,7.14,1300.0
2009-02-11,False,daily,7.52,7.59,6.9516,7.39,12447.0,7.52,7.59,6.9516,7.39,12447.0
2009-02-10,False,daily,7.42,7.42,7.06,7.06,5500.0,7.42,7.42,7.06,7.06,5500.0
2009-02-06,False,daily,7.25,7.43,7.05,7.35,17027.0,7.25,7.43,7.05,7.35,17027.0
2009-02-05,False,daily,6.72,7.1,6.72,7.0401,3100.0,6.72,7.1,6.72,7.0401,3100.0
2009-02-04,False,daily,7.01,7.01,6.77,6.77,2200.0,7.01,7.01,6.77,6.77,2200.0
2009-02-02,False,daily,6.75,6.8,6.4,6.8,15100.0,6.75,6.8,6.4,6.8,15100.0
2009-01-30,False,daily,6.5,6.57,6.5,6.57,900.0,6.5,6.57,6.5,6.57,900.0
2009-01-29,False,daily,6.5,6.65,6.5,6.65,550.0,6.5,6.65,6.5,6.65,550.0
2009-01-28,False,daily,6.57,7.04,6.49,6.77,6700.0,6.57,7.04,6.49,6.77,6700.0
2009-01-27,False,daily,6.63,6.63,6.41,6.41,3000.0,6.63,6.63,6.41,6.41,3000.0
2009-01-26,False,daily,6.6,6.6,6.6,6.6,2050.0,6.6,6.6,6.6,6.6,2050.0
2009-01-22,False,daily,6.91,6.93,6.4001,6.75,4980.0,6.91,6.93,6.4001,6.75,4980.0
