date,intraperiod,frequency,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume
1990-08-29,False,daily,11.88,11.88,11.88,11.88,2000.0,6.01099585147,6.01099585147,6.01099585147,6.01099585147,3000.0
1990-08-28,False,daily,11.75,12.12,11.75,11.88,5067.0,5.9452189608394,6.1324301110957,5.9452189608394,6.01099585147,7600.5
1990-08-27,False,daily,11.25,12.0,11.25,11.75,9200.0,5.6922309199527,6.0717129812828,5.6922309199527,5.9452189608394,13800.0
1990-08-24,False,daily,10.62,11.0,10.25,11.0,27600.0,5.3734659884353,5.5657368995093,5.1862548381791,5.5657368995093,41400.0
1990-08-23,False,daily,11.0,11.0,9.5,10.62,32467.0,5.5657368995093,5.5657368995093,4.8067727768489,5.3734659884353,48700.5
1990-08-22,False,daily,11.37,11.75,11.13,11.37,5467.0,5.7529480497655,5.9452189608394,5.6315137901398,5.7529480497655,8200.5
1990-08-21,False,daily,11.75,11.75,11.0,11.37,16800.0,5.9452189608394,5.9452189608394,5.5657368995093,5.7529480497655,25200.0
1990-08-20,False,daily,12.87,12.87,11.13,11.75,23400.0,6.5119121724258,6.5119121724258,5.6315137901398,5.9452189608394,35100.0
1990-08-17,False,daily,13.0,13.0,12.38,13.0,10400.0,6.5776890630564,6.5776890630564,6.2639838923568,6.5776890630564,15600.0
1990-08-16,False,daily,13.12,13.12,13.0,13.0,467.0,6.6384061928692,6.6384061928692,6.5776890630564,6.5776890630564,700.5
1990-08-15,False,daily,13.12,13.25,13.0,13.25,1200.0,6.6384061928692,6.7041830834998,6.5776890630564,6.7041830834998,1800.0
1990-08-14,False,daily,13.12,13.12,13.0,13.12,9467.0,6.6384061928692,6.6384061928692,6.5776890630564,6.6384061928692,14200.5
1990-08-13,False,daily,13.75,13.75,13.0,13.12,4600.0,6.9571711243866,6.9571711243866,6.5776890630564,6.6384061928692,6900.0
1990-08-10,False,daily,13.88,14.13,13.88,13.88,5267.0,7.0229480150172,7.1494420354605,7.0229480150172,7.0229480150172,7900.5
1990-08-09,False,daily,13.38,13.75,13.38,13.75,3400.0,6.7699599741304,6.9571711243866,6.7699599741304,6.9571711243866,5100.0
1990-08-08,False,daily,13.0,13.25,13.0,13.25,3800.0,6.5776890630564,6.7041830834998,6.5776890630564,6.7041830834998,5700.0
1990-08-07,False,daily,13.12,13.12,12.87,13.0,6867.0,6.6384061928692,6.6384061928692,6.5119121724258,6.5776890630564,10300.5
1990-08-06,False,daily,13.12,13.12,12.87,13.12,6400.0,6.6384061928692,6.6384061928692,6.5119121724258,6.6384061928692,9600.0
1990-08-03,False,daily,13.62,13.62,13.12,13.38,36267.0,6.891394233756,6.891394233756,6.6384061928692,6.7699599741304,54400.5
