company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Plum Creek Timber Company Inc ,PCL,,849213,2010.0,Q1TTM,2009-04-01,2010-03-31,,-13000000.0,244000000.0,24000000.0,9000000.0,,568000000.0,-122000000.0,-2000000.0,365000000.0,-122000000.0,-2000000.0,365000000.0,241000000.0,323000000.0,323000000.0,9000000.0,,,-68000000.0,,,-621000000.0,-1000000.0,,11000000.0
Plum Creek Timber Company Inc ,PCL,,849213,2010.0,Q1,2010-01-01,2010-03-31,2011-05-04 16:20:31+00:00,-13000000.0,,24000000.0,9000000.0,,568000000.0,-122000000.0,-2000000.0,129000000.0,-122000000.0,-2000000.0,129000000.0,5000000.0,87000000.0,87000000.0,9000000.0,,,-68000000.0,,,-621000000.0,-1000000.0,,11000000.0
Plum Creek Timber Company Inc ,PCL,,849213,2011.0,Q4,2011-10-01,2011-12-31,,,210000000.0,,,,,,,61000000.0,,,61000000.0,61000000.0,61000000.0,61000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2011.0,FY,2011-01-01,2011-12-31,2014-02-28 16:26:13+00:00,,210000000.0,,,,,,,193000000.0,,,193000000.0,193000000.0,193000000.0,193000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2011.0,Q3TTM,2010-10-01,2011-09-30,,,218000000.0,,,,,,,191000000.0,,,191000000.0,191000000.0,191000000.0,191000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2011.0,Q3,2011-07-01,2011-09-30,,,,,,,,,,50000000.0,,,50000000.0,50000000.0,50000000.0,50000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-06 16:35:20+00:00,,,,,,,,,132000000.0,,,132000000.0,132000000.0,132000000.0,132000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2011.0,Q2TTM,2010-07-01,2011-06-30,,,218000000.0,,,,,,,173000000.0,,,173000000.0,173000000.0,173000000.0,173000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2011.0,Q2,2011-04-01,2011-06-30,,12000000.0,,-22000000.0,-10000000.0,-7000000.0,-245000000.0,62000000.0,12000000.0,6000000.0,62000000.0,12000000.0,6000000.0,80000000.0,44000000.0,44000000.0,-6000000.0,,,68000000.0,,,245000000.0,1000000.0,,
Plum Creek Timber Company Inc ,PCL,,849213,2011.0,Q2YTD,2011-01-01,2011-06-30,2012-08-07 16:27:31+00:00,,,,,,,,,82000000.0,,,82000000.0,82000000.0,82000000.0,82000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2011.0,Q1TTM,2010-04-01,2011-03-31,,1000000.0,218000000.0,-2000000.0,1000000.0,7000000.0,-323000000.0,60000000.0,-10000000.0,160000000.0,60000000.0,-10000000.0,160000000.0,210000000.0,164000000.0,164000000.0,-3000000.0,,,,,,376000000.0,,,-11000000.0
Plum Creek Timber Company Inc ,PCL,,849213,2011.0,Q1,2011-01-01,2011-03-31,2011-05-04 16:20:31+00:00,-12000000.0,,22000000.0,10000000.0,7000000.0,245000000.0,-62000000.0,-12000000.0,76000000.0,-62000000.0,-12000000.0,76000000.0,2000000.0,38000000.0,38000000.0,6000000.0,,,-68000000.0,,,-245000000.0,-1000000.0,,
Plum Creek Timber Company Inc ,PCL,,849213,2012.0,Q4,2012-10-01,2012-12-31,,,216000000.0,,,,,,,79000000.0,,,79000000.0,79000000.0,79000000.0,79000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2012.0,FY,2012-01-01,2012-12-31,2015-02-26 16:28:41+00:00,,216000000.0,,,,,,,203000000.0,,,203000000.0,203000000.0,203000000.0,203000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2012.0,Q3TTM,2011-10-01,2012-09-30,,,210000000.0,,,,,,,185000000.0,,,185000000.0,185000000.0,185000000.0,185000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2012.0,Q3,2012-07-01,2012-09-30,,,,,,,,,,59000000.0,,,59000000.0,59000000.0,59000000.0,59000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2012.0,Q3YTD,2012-01-01,2012-09-30,2013-11-07 18:46:29+00:00,,,,,,,,,124000000.0,,,124000000.0,124000000.0,124000000.0,124000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2012.0,Q2TTM,2011-07-01,2012-06-30,,,210000000.0,,,,,,,176000000.0,,,176000000.0,176000000.0,176000000.0,176000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2012.0,Q2,2012-04-01,2012-06-30,,,,,,,,,,36000000.0,,,36000000.0,36000000.0,36000000.0,36000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2012.0,Q2YTD,2012-01-01,2012-06-30,2013-08-06 16:49:26+00:00,,,,,,,,,65000000.0,,,65000000.0,65000000.0,65000000.0,65000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2012.0,Q1TTM,2011-04-01,2012-03-31,,12000000.0,210000000.0,-22000000.0,-10000000.0,-7000000.0,-245000000.0,62000000.0,12000000.0,146000000.0,62000000.0,12000000.0,146000000.0,220000000.0,184000000.0,184000000.0,-6000000.0,,,68000000.0,,,245000000.0,1000000.0,,
Plum Creek Timber Company Inc ,PCL,,849213,2012.0,Q1,2012-01-01,2012-03-31,2013-05-07 18:54:40+00:00,,,,,,,,,29000000.0,,,29000000.0,29000000.0,29000000.0,29000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2013.0,FY,2013-01-01,2013-12-31,2016-02-18 16:26:41+00:00,,226000000.0,,,,,,,214000000.0,,,214000000.0,214000000.0,214000000.0,214000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2013.0,Q4,2013-10-01,2013-12-31,,,226000000.0,,,,,,,40000000.0,,,40000000.0,40000000.0,40000000.0,40000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2013.0,Q3TTM,2012-10-01,2013-09-30,,,216000000.0,,,,,,,253000000.0,,,253000000.0,253000000.0,253000000.0,253000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2013.0,Q3,2013-07-01,2013-09-30,,,,,,,,,,72000000.0,,,72000000.0,72000000.0,72000000.0,72000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2013.0,Q3YTD,2013-01-01,2013-09-30,2014-11-04 16:19:19+00:00,,,,,,,,,174000000.0,,,174000000.0,174000000.0,174000000.0,174000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2013.0,Q2TTM,2012-07-01,2013-06-30,,,216000000.0,,,,,,,240000000.0,,,240000000.0,240000000.0,240000000.0,240000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2013.0,Q2,2013-04-01,2013-06-30,,,,,,,,,,46000000.0,,,46000000.0,46000000.0,46000000.0,46000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2013.0,Q2YTD,2013-01-01,2013-06-30,2014-08-05 16:39:25+00:00,,,,,,,,,102000000.0,,,102000000.0,102000000.0,102000000.0,102000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2013.0,Q1TTM,2012-04-01,2013-03-31,,,216000000.0,,,,,,,230000000.0,,,230000000.0,230000000.0,230000000.0,230000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2013.0,Q1,2013-01-01,2013-03-31,2014-05-06 18:48:13+00:00,,,,,,,,,56000000.0,,,56000000.0,56000000.0,56000000.0,56000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2014.0,FY,2014-01-01,2014-12-31,2016-02-18 16:26:41+00:00,,276000000.0,,,,,,,214000000.0,,,214000000.0,214000000.0,214000000.0,214000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2014.0,Q4,2014-10-01,2014-12-31,,,276000000.0,,,,,,,68000000.0,,,68000000.0,68000000.0,68000000.0,68000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2014.0,Q3YTD,2014-01-01,2014-09-30,2015-11-03 16:27:11+00:00,,,,,,,,,146000000.0,,,146000000.0,146000000.0,146000000.0,146000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2014.0,Q3TTM,2013-10-01,2014-09-30,,,226000000.0,,,,,,,186000000.0,,,186000000.0,186000000.0,186000000.0,186000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2014.0,Q3,2014-07-01,2014-09-30,,,,,,,,,,61000000.0,,,61000000.0,61000000.0,61000000.0,61000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2014.0,Q2YTD,2014-01-01,2014-06-30,2015-08-04 16:14:16+00:00,,,,,,,,,85000000.0,,,85000000.0,85000000.0,85000000.0,85000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2014.0,Q2TTM,2013-07-01,2014-06-30,,,226000000.0,,,,,,,197000000.0,,,197000000.0,197000000.0,197000000.0,197000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2014.0,Q2,2014-04-01,2014-06-30,,,,-64000000.0,50000000.0,,-566000000.0,746000000.0,40000000.0,-43000000.0,746000000.0,40000000.0,-43000000.0,743000000.0,-5000000.0,-5000000.0,-24000000.0,-1000000.0,,171000000.0,8000000.0,32000000.0,1140000000.0,2000000.0,,
Plum Creek Timber Company Inc ,PCL,,849213,2014.0,Q1,2014-01-01,2014-03-31,2015-05-05 19:06:16+00:00,,,64000000.0,-50000000.0,,566000000.0,-746000000.0,-40000000.0,128000000.0,-746000000.0,-40000000.0,128000000.0,-658000000.0,90000000.0,90000000.0,24000000.0,1000000.0,0.0,-171000000.0,-8000000.0,-32000000.0,-1140000000.0,-2000000.0,0.0,
Plum Creek Timber Company Inc ,PCL,,849213,2014.0,Q1TTM,2013-04-01,2014-03-31,,,226000000.0,64000000.0,-50000000.0,,566000000.0,-746000000.0,-40000000.0,286000000.0,-746000000.0,-40000000.0,286000000.0,-500000000.0,248000000.0,248000000.0,24000000.0,1000000.0,,-171000000.0,-8000000.0,-32000000.0,-1140000000.0,-2000000.0,,
Plum Creek Timber Company Inc ,PCL,,849213,2015.0,Q4,2015-10-01,2015-12-31,,,284000000.0,,,,,,,34000000.0,,,34000000.0,34000000.0,34000000.0,34000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2015.0,FY,2015-01-01,2015-12-31,2016-02-18 16:26:41+00:00,,284000000.0,,,,,,,197000000.0,,,197000000.0,197000000.0,197000000.0,197000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2015.0,Q3TTM,2014-10-01,2015-09-30,,,276000000.0,,,,,,,231000000.0,,,231000000.0,231000000.0,231000000.0,231000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2015.0,Q3,2015-07-01,2015-09-30,,,,,,,,,,100000000.0,,,100000000.0,100000000.0,100000000.0,100000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2015.0,Q3YTD,2015-01-01,2015-09-30,2015-11-03 16:27:11+00:00,,,,,,,,,163000000.0,,,163000000.0,163000000.0,163000000.0,163000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2015.0,Q2TTM,2014-07-01,2015-06-30,,,276000000.0,,,,,,,192000000.0,,,192000000.0,192000000.0,192000000.0,192000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2015.0,Q2,2015-04-01,2015-06-30,,,,-66000000.0,32000000.0,,-116000000.0,286000000.0,26000000.0,-253000000.0,286000000.0,26000000.0,-253000000.0,59000000.0,21000000.0,21000000.0,-240000000.0,-1000000.0,,188000000.0,4000000.0,28000000.0,194000000.0,21000000.0,-6000000.0,
Plum Creek Timber Company Inc ,PCL,,849213,2015.0,Q2YTD,2015-01-01,2015-06-30,2015-08-04 16:14:16+00:00,,,,,,,,,63000000.0,,,63000000.0,63000000.0,63000000.0,63000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2015.0,Q1,2015-01-01,2015-03-31,2015-05-05 19:06:16+00:00,,,66000000.0,-32000000.0,,116000000.0,-286000000.0,-26000000.0,316000000.0,-286000000.0,-26000000.0,316000000.0,4000000.0,42000000.0,42000000.0,240000000.0,1000000.0,0.0,-188000000.0,-4000000.0,-28000000.0,-194000000.0,-21000000.0,6000000.0,
Plum Creek Timber Company Inc ,PCL,,849213,2015.0,Q1TTM,2014-04-01,2015-03-31,,,276000000.0,2000000.0,18000000.0,,-450000000.0,460000000.0,14000000.0,402000000.0,460000000.0,14000000.0,402000000.0,876000000.0,166000000.0,166000000.0,216000000.0,,,-17000000.0,4000000.0,4000000.0,946000000.0,-19000000.0,6000000.0,
