company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Lorillard Inc ,LO,,1424847,2010.0,Q1,2010-01-01,2010-03-31,2011-05-03 13:13:51+00:00,1.5,1.5,,1.5,141000000.0,232000000.0,232000000.0,232000000.0,882000000.0,1360000000.0,96000000.0,882000000.0,478000000.0,10000000.0,1000000.0,96000000.0,382000000.0,-9000000.0,373000000.0,1360000000.0,154700000.0,154550000.0,154720000.0
Lorillard Inc ,LO,,1424847,2011.0,Q4,2011-10-01,2011-12-31,,0.74,0.74,0.41,0.74,185000000.0,310000000.0,310000000.0,310000000.0,979000000.0,1617000000.0,109000000.0,979000000.0,638000000.0,35000000.0,1000000.0,109000000.0,529000000.0,-34000000.0,495000000.0,1617000000.0,418000000.0,417320000.0,418060000.0
Lorillard Inc ,LO,,1424847,2011.0,FY,2011-01-01,2011-12-31,2014-02-21 16:06:25+00:00,2.67,2.67,1.73,2.66,654000000.0,1116000000.0,1116000000.0,1116000000.0,4123000000.0,6466000000.0,451000000.0,4123000000.0,2343000000.0,125000000.0,3000000.0,451000000.0,1892000000.0,-122000000.0,1770000000.0,6466000000.0,418000000.0,417320000.0,418060000.0
Lorillard Inc ,LO,,1424847,2011.0,Q3YTD,2011-01-01,2011-09-30,,5.89,5.89,4.02,5.89,469000000.0,806000000.0,806000000.0,806000000.0,3144000000.0,4849000000.0,342000000.0,3144000000.0,1705000000.0,90000000.0,2000000.0,342000000.0,1363000000.0,-88000000.0,1275000000.0,4849000000.0,137600000.0,136740000.0,137020000.0
Lorillard Inc ,LO,,1424847,2011.0,Q3TTM,2010-10-01,2011-09-30,,7.8,7.8,5.24,7.8,616000000.0,1066000000.0,1066000000.0,1066000000.0,4092000000.0,6334000000.0,446000000.0,4092000000.0,2242000000.0,117000000.0,3000000.0,446000000.0,1796000000.0,-114000000.0,1682000000.0,6334000000.0,137600000.0,136740000.0,137020000.0
Lorillard Inc ,LO,,1424847,2011.0,Q3,2011-07-01,2011-09-30,2012-10-26 14:43:03+00:00,1.94,1.94,,1.94,154000000.0,267000000.0,267000000.0,267000000.0,1059000000.0,1622000000.0,108000000.0,1059000000.0,563000000.0,34000000.0,0.0,108000000.0,455000000.0,-34000000.0,421000000.0,1622000000.0,137600000.0,136740000.0,137020000.0
Lorillard Inc ,LO,,1424847,2011.0,Q2YTD,2011-01-01,2011-06-30,,3.8,3.8,2.63,3.8,315000000.0,539000000.0,539000000.0,539000000.0,2085000000.0,3227000000.0,234000000.0,2085000000.0,1142000000.0,56000000.0,2000000.0,234000000.0,908000000.0,-54000000.0,854000000.0,3227000000.0,142000000.0,141790000.0,141960000.0
Lorillard Inc ,LO,,1424847,2011.0,Q2TTM,2010-07-01,2011-06-30,,7.57,7.57,5.01,7.57,625000000.0,1073000000.0,1073000000.0,1073000000.0,4034000000.0,6279000000.0,439000000.0,4034000000.0,2245000000.0,112000000.0,4000000.0,439000000.0,1806000000.0,-108000000.0,1698000000.0,6279000000.0,142000000.0,141790000.0,141960000.0
Lorillard Inc ,LO,,1424847,2011.0,Q2,2011-04-01,2011-06-30,2012-07-27 16:56:01+00:00,2.05,2.05,,2.05,169000000.0,291000000.0,291000000.0,291000000.0,1093000000.0,1692000000.0,112000000.0,1093000000.0,599000000.0,28000000.0,1000000.0,112000000.0,487000000.0,-27000000.0,460000000.0,1692000000.0,142000000.0,141790000.0,141960000.0
Lorillard Inc ,LO,,1424847,2011.0,Q1TTM,2010-04-01,2011-03-31,,7.22,7.22,4.68,7.22,611000000.0,1045000000.0,1045000000.0,1045000000.0,3919000000.0,6107000000.0,424000000.0,3919000000.0,2188000000.0,112000000.0,4000000.0,424000000.0,1764000000.0,-108000000.0,1656000000.0,6107000000.0,145000000.0,144800000.0,144940000.0
