company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2011.0,Q3,2011-07-01,2011-09-30,2012-10-31 15:08:44+00:00,0.1,0.1,0.075,0.1,,4000000.0,49000000.0,69000000.0,-20000000.0,36000000.0,13000000.0,1483000000.0,1978000000.0,22000000.0,,1000000.0,380000000.0,1483000000.0,495000000.0,63000000.0,381000000.0,114000000.0,-41000000.0,73000000.0,1978000000.0,348000000.0,348000000.0,348000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2011.0,Q2YTD,2011-01-01,2011-06-30,,-0.11,-0.11,0.15,-0.11,,51000000.0,-14000000.0,-3000000.0,-11000000.0,-38000000.0,24000000.0,2794000000.0,3751000000.0,53000000.0,,5000000.0,830000000.0,2794000000.0,957000000.0,127000000.0,835000000.0,122000000.0,-74000000.0,48000000.0,3751000000.0,400000000.0,400000000.0,400000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2011.0,Q2TTM,2010-07-01,2011-06-30,,-3.1,-3.1,0.6,-3.1,698000000.0,269000000.0,-1032000000.0,-1000000000.0,-32000000.0,-1077000000.0,45000000.0,5585000000.0,7337000000.0,60000000.0,,5000000.0,1587000000.0,5585000000.0,1752000000.0,253000000.0,2290000000.0,-538000000.0,-193000000.0,-731000000.0,7337000000.0,400000000.0,400000000.0,400000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2011.0,Q2,2011-04-01,2011-06-30,2012-07-31 16:08:18+00:00,0.02,0.02,0.075,0.02,,38000000.0,20000000.0,26000000.0,-6000000.0,8000000.0,12000000.0,1466000000.0,1998000000.0,32000000.0,,5000000.0,431000000.0,1466000000.0,532000000.0,64000000.0,436000000.0,96000000.0,-32000000.0,64000000.0,1998000000.0,400000000.0,400000000.0,400000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2011.0,Q1TTM,2010-04-01,2011-03-31,,-3.11,-3.11,0.45,-3.11,698000000.0,235000000.0,-1040000000.0,-1014000000.0,-26000000.0,-1082000000.0,42000000.0,5621000000.0,7387000000.0,-8000000.0,,,1583000000.0,5621000000.0,1766000000.0,256000000.0,2281000000.0,-515000000.0,-264000000.0,-779000000.0,7387000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2011.0,Q1,2011-01-01,2011-03-31,2012-05-02 15:00:03+00:00,-0.13,-0.13,0.075,-0.13,,13000000.0,-34000000.0,-29000000.0,-5000000.0,-46000000.0,12000000.0,1328000000.0,1753000000.0,21000000.0,,,399000000.0,1328000000.0,425000000.0,63000000.0,399000000.0,26000000.0,-42000000.0,-16000000.0,1753000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2012.0,FY,2012-01-01,2012-12-31,2015-02-13 13:45:45+00:00,-0.33,-0.33,0.3,-0.33,42000000.0,91000000.0,-79000000.0,-18000000.0,-61000000.0,-114000000.0,35000000.0,5539000000.0,7495000000.0,25000000.0,,77000000.0,1535000000.0,5539000000.0,1956000000.0,254000000.0,1654000000.0,302000000.0,-229000000.0,73000000.0,7495000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2012.0,Q4,2012-10-01,2012-12-31,,-0.24,-0.24,0.07,-0.24,42000000.0,37000000.0,-80000000.0,-63000000.0,-17000000.0,-87000000.0,7000000.0,1380000000.0,1831000000.0,3000000.0,,3000000.0,375000000.0,1380000000.0,451000000.0,60000000.0,420000000.0,31000000.0,-57000000.0,-26000000.0,1831000000.0,349000000.0,349000000.0,349000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2012.0,Q3YTD,2012-01-01,2012-09-30,,-0.09,-0.09,0.22,-0.09,,54000000.0,1000000.0,45000000.0,-44000000.0,-27000000.0,28000000.0,4159000000.0,5664000000.0,22000000.0,,74000000.0,1160000000.0,4159000000.0,1505000000.0,194000000.0,1234000000.0,271000000.0,-172000000.0,99000000.0,5664000000.0,375000000.0,375000000.0,375000000.0
Masco Corp,MAS,5GCSNMQXHEYA1JO8QN11,62996,2012.0,Q3TTM,2011-10-01,2012-09-30,,-1.74,-1.74,0.3,-1.74,450000000.0,-41000000.0,-567000000.0,-373000000.0,-194000000.0,-600000000.0,33000000.0,5265000000.0,7105000000.0,24000000.0,,77000000.0,1493000000.0,5265000000.0,1840000000.0,258000000.0,2020000000.0,-180000000.0,-234000000.0,-414000000.0,7105000000.0,375000000.0,375000000.0,375000000.0
