company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Alpha Natural Resources Inc ,ANR,,1301063,2010.0,FY,2010-01-01,2010-12-31,2012-02-29 16:43:12+00:00,226793000.0,0.8,0.8,370895000.0,0.79,0.0,4218000.0,95551000.0,97218000.0,-1667000.0,95551000.0,,2899384000.0,3830406000.0,,,-821000.0,0.0,86750000.0,0.0,,246473000.0,2899384000.0,1017772000.0,74812000.0,3458000.0,844161000.0,173611000.0,-72175000.0,101436000.0,3917156000.0,119400000.0,119808514.0,121757949.0
Alpha Natural Resources Inc ,ANR,,1301063,2010.0,Q4,2010-10-01,2010-12-31,,52805000.0,0.08,0.08,90667000.0,0.08,,-13792000.0,10839000.0,11005000.0,-166000.0,10839000.0,,826797000.0,968215000.0,,,-821000.0,-100882000.0,24900000.0,,,110869000.0,826797000.0,166318000.0,15005000.0,180000.0,153459000.0,12859000.0,-15646000.0,-2787000.0,993115000.0,119400000.0,119808514.0,121757949.0
Alpha Natural Resources Inc ,ANR,,1301063,2010.0,Q3YTD,2010-01-01,2010-09-30,,173988000.0,0.72,0.72,280228000.0,0.71,,18010000.0,84712000.0,86213000.0,-1501000.0,84712000.0,,2072587000.0,2862191000.0,,,,100882000.0,61850000.0,,,135604000.0,2072587000.0,851454000.0,59807000.0,3278000.0,690702000.0,160752000.0,-56529000.0,104223000.0,2924041000.0,118100000.0,119623075.0,121498825.0
Alpha Natural Resources Inc ,ANR,,1301063,2010.0,Q3TTM,2009-10-01,2010-09-30,,243613000.0,0.74,0.74,377820000.0,0.73,,12209000.0,163898000.0,109695000.0,-12604000.0,163898000.0,,2792284000.0,3710434000.0,66807000.0,,3186000.0,24750000.0,106895000.0,,,183101000.0,2792284000.0,1025045000.0,79778000.0,2735000.0,829284000.0,195761000.0,-73857000.0,121904000.0,3817329000.0,118100000.0,119623075.0,121498825.0
Alpha Natural Resources Inc ,ANR,,1301063,2010.0,Q3,2010-07-01,2010-09-30,2010-11-05 16:52:00+00:00,52398000.0,0.27,0.27,94003000.0,0.27,,1660000.0,31874000.0,32361000.0,-487000.0,31874000.0,,750053000.0,981765000.0,,,,11967000.0,19867000.0,,,43584000.0,750053000.0,251579000.0,17834000.0,2228000.0,201952000.0,49627000.0,-15606000.0,34021000.0,1001632000.0,118100000.0,119623075.0,121498825.0
Alpha Natural Resources Inc ,ANR,,1301063,2010.0,Q2YTD,2010-01-01,2010-06-30,,121590000.0,0.45,0.45,186225000.0,0.44,,16350000.0,52838000.0,53852000.0,-1014000.0,52838000.0,,1322534000.0,1880426000.0,,,,88915000.0,41983000.0,,,92020000.0,1322534000.0,599875000.0,41973000.0,1050000.0,488750000.0,111125000.0,-40923000.0,70202000.0,1922409000.0,117600000.0,120124707.0,121861913.0
Alpha Natural Resources Inc ,ANR,,1301063,2010.0,Q2TTM,2009-07-01,2010-06-30,,249198000.0,0.28,0.28,362063000.0,0.27,,-35623000.0,112525000.0,57360000.0,-11642000.0,112525000.0,,2559274000.0,3438657000.0,66807000.0,,3186000.0,24034000.0,106286000.0,,,223061000.0,2559274000.0,985669000.0,110420000.0,1658000.0,858356000.0,127313000.0,-105576000.0,21737000.0,3544943000.0,117600000.0,120124707.0,121861913.0
Alpha Natural Resources Inc ,ANR,,1301063,2010.0,Q2,2010-04-01,2010-06-30,2010-08-09 11:43:10+00:00,55633000.0,0.33,0.33,91098000.0,0.32,,-4928000.0,38797000.0,39182000.0,-385000.0,38797000.0,,747467000.0,984372000.0,,,,8443000.0,16033000.0,,,44231000.0,747467000.0,252938000.0,19853000.0,574000.0,199405000.0,53533000.0,-19279000.0,34254000.0,1000405000.0,117600000.0,120124707.0,121861913.0
Alpha Natural Resources Inc ,ANR,,1301063,2010.0,Q1TTM,2009-04-01,2010-03-31,,193565000.0,0.17,0.17,307317000.0,0.17,,-25372000.0,89087000.0,34856000.0,-12576000.0,89087000.0,,2078821000.0,2824700000.0,66807000.0,,3186000.0,44585000.0,106852000.0,,,201737000.0,2078821000.0,852731000.0,100733000.0,1504000.0,747204000.0,105527000.0,-96043000.0,9484000.0,2931552000.0,117000000.0,119892529.0,121876328.0
Alpha Natural Resources Inc ,ANR,,1301063,2010.0,Q1,2010-01-01,2010-03-31,2011-05-10 17:14:09+00:00,65957000.0,0.12,0.12,95127000.0,0.12,,21278000.0,14041000.0,14670000.0,-629000.0,14041000.0,,575067000.0,896054000.0,,,,80472000.0,25950000.0,,,47789000.0,575067000.0,346937000.0,22120000.0,476000.0,289345000.0,57592000.0,-21644000.0,35948000.0,922004000.0,117000000.0,119892529.0,121876328.0
Alpha Natural Resources Inc ,ANR,,1301063,2011.0,FY,2011-01-01,2011-12-31,2014-02-28 14:42:32+00:00,-114422000.0,-4.06,-4.06,770769000.0,-4.06,802337000.0,-35906000.0,-730542000.0,-730542000.0,,-730542000.0,,5743159000.0,6851672000.0,,,635000.0,,256009000.0,,0.0,524959000.0,5743159000.0,1364522000.0,151940000.0,3978000.0,1983643000.0,-619121000.0,-147327000.0,-766448000.0,7107681000.0,179900000.0,180126226.0,180126226.0
Alpha Natural Resources Inc ,ANR,,1301063,2011.0,Q4,2011-10-01,2011-12-31,,-58203000.0,-4.46,-4.46,292321000.0,-4.44,802337000.0,-37373000.0,-796750000.0,-796750000.0,,-796750000.0,,1745206000.0,1975108000.0,,,-533000.0,-18579000.0,99019000.0,,,99013000.0,1745206000.0,328921000.0,47446000.0,1824000.0,1116889000.0,-787968000.0,-46155000.0,-834123000.0,2074127000.0,179900000.0,180126226.0,180126226.0
Alpha Natural Resources Inc ,ANR,,1301063,2011.0,Q3,2011-07-01,2011-09-30,2011-11-09 13:50:35+00:00,-73274000.0,0.3,0.3,242699000.0,0.29,,-4002000.0,66428000.0,66428000.0,0.0,66428000.0,,1889043000.0,2211768000.0,,,309000.0,,93010000.0,,,130764000.0,1889043000.0,415735000.0,54360000.0,931000.0,300189000.0,115546000.0,-53120000.0,62426000.0,2304778000.0,221400000.0,224394487.0,226281985.0
Alpha Natural Resources Inc ,ANR,,1301063,2011.0,Q3YTD,2011-01-01,2011-09-30,,-56219000.0,0.4,0.4,478448000.0,0.38,,1467000.0,66208000.0,66208000.0,,66208000.0,,3997953000.0,4876564000.0,,,1168000.0,18579000.0,156990000.0,,,425946000.0,3997953000.0,1035601000.0,104494000.0,2154000.0,866754000.0,168847000.0,-101172000.0,67675000.0,5033554000.0,221400000.0,224394487.0,226281985.0
Alpha Natural Resources Inc ,ANR,,1301063,2011.0,Q3TTM,2010-10-01,2011-09-30,,-3414000.0,0.48,0.48,569115000.0,0.46,,-12325000.0,77047000.0,77213000.0,-166000.0,77047000.0,,4824750000.0,5844779000.0,,,347000.0,-82303000.0,181890000.0,,,536815000.0,4824750000.0,1201919000.0,119499000.0,2334000.0,1020213000.0,181706000.0,-116818000.0,64888000.0,6026669000.0,221400000.0,224394487.0,226281985.0
Alpha Natural Resources Inc ,ANR,,1301063,2011.0,Q2,2011-04-01,2011-06-30,2012-08-09 15:22:01+00:00,-8928000.0,-0.32,-0.32,147111000.0,-0.32,0.0,-8498000.0,-50068000.0,-50068000.0,,-50068000.0,,1257870000.0,1561763000.0,,,859000.0,,36275000.0,,0.0,227898000.0,1257870000.0,340168000.0,34524000.0,1012000.0,366081000.0,-25913000.0,-32653000.0,-58566000.0,1598038000.0,156500000.0,155238304.0,155238304.0
Alpha Natural Resources Inc ,ANR,,1301063,2011.0,Q2YTD,2011-01-01,2011-06-30,,17055000.0,0.1,0.1,235749000.0,0.09,,5469000.0,-220000.0,-220000.0,,-220000.0,,2108910000.0,2664796000.0,,,859000.0,18579000.0,63980000.0,,,295182000.0,2108910000.0,619866000.0,50134000.0,1223000.0,566565000.0,53301000.0,-48052000.0,5249000.0,2728776000.0,156500000.0,155238304.0,155238304.0
Alpha Natural Resources Inc ,ANR,,1301063,2011.0,Q2TTM,2010-07-01,2011-06-30,,122258000.0,0.45,0.45,420419000.0,0.44,,-6663000.0,42493000.0,43146000.0,-653000.0,42493000.0,,3685760000.0,4614776000.0,,,38000.0,-70336000.0,108747000.0,,,449635000.0,3685760000.0,1037763000.0,82973000.0,3631000.0,921976000.0,115787000.0,-79304000.0,36483000.0,4723523000.0,156500000.0,155238304.0,155238304.0
Alpha Natural Resources Inc ,ANR,,1301063,2011.0,Q1TTM,2010-04-01,2011-03-31,,186819000.0,1.1,1.1,364406000.0,1.08,,-3093000.0,131358000.0,132396000.0,-1038000.0,131358000.0,,3175357000.0,4037385000.0,,,-821000.0,-61893000.0,88505000.0,,,265968000.0,3175357000.0,950533000.0,68302000.0,3193000.0,755300000.0,195233000.0,-65930000.0,129303000.0,4125890000.0,118700000.0,120014520.0,122035780.0
Alpha Natural Resources Inc ,ANR,,1301063,2011.0,Q1,2011-01-01,2011-03-31,2011-05-06 13:12:04+00:00,25983000.0,0.42,0.42,88638000.0,0.41,,13967000.0,49848000.0,49848000.0,0.0,49848000.0,,851040000.0,1103033000.0,,,,18579000.0,27705000.0,,,67284000.0,851040000.0,279698000.0,15610000.0,211000.0,200484000.0,79214000.0,-15399000.0,63815000.0,1130738000.0,118700000.0,120014520.0,122035780.0
Alpha Natural Resources Inc ,ANR,,1301063,2012.0,FY,2012-01-01,2012-12-31,2015-02-26 10:14:20+00:00,-70338000.0,-11.06,-11.06,1037575000.0,-11.06,1713526000.0,-549996000.0,-2437148000.0,-2437148000.0,,-2437148000.0,,5766444000.0,6777624000.0,0.0,,3306000.0,,197260000.0,,1068906000.0,255220000.0,5766444000.0,1208440000.0,197374000.0,3373000.0,4004889000.0,-2796449000.0,-190695000.0,-2987144000.0,6974884000.0,220400000.0,220261555.0,220261555.0
Alpha Natural Resources Inc ,ANR,,1301063,2012.0,Q4,2012-10-01,2012-12-31,,-6103000.0,-0.58,-0.58,239936000.0,-0.58,188194000.0,26769000.0,-127229000.0,-127229000.0,,-127229000.0,,1084299000.0,1519926000.0,,,1684000.0,,38392000.0,,44352000.0,51347000.0,1084299000.0,474019000.0,58061000.0,-376000.0,517726000.0,-43707000.0,-56753000.0,-100460000.0,1558318000.0,220400000.0,220261555.0,220261555.0
Alpha Natural Resources Inc ,ANR,,1301063,2012.0,Q3,2012-07-01,2012-09-30,2013-11-08 11:59:26+00:00,-11682000.0,-0.21,-0.21,238894000.0,-0.21,0.0,-83182000.0,-46146000.0,-46146000.0,,-46146000.0,,1413624000.0,1610152000.0,,,353000.0,,23657000.0,,13676000.0,62961000.0,1413624000.0,220185000.0,47345000.0,1328000.0,303849000.0,-83664000.0,-45664000.0,-129328000.0,1633809000.0,219700000.0,220417448.0,220417448.0
Alpha Natural Resources Inc ,ANR,,1301063,2012.0,Q3YTD,2012-01-01,2012-09-30,,-64235000.0,-10.48,-10.48,797639000.0,-10.48,1525332000.0,-576765000.0,-2309919000.0,-2309919000.0,,-2309919000.0,,4682145000.0,5257698000.0,,,1622000.0,,158868000.0,,1024554000.0,203873000.0,4682145000.0,734421000.0,139313000.0,3749000.0,3487163000.0,-2752742000.0,-133942000.0,-2886684000.0,5416566000.0,219700000.0,220417448.0,220417448.0
Alpha Natural Resources Inc ,ANR,,1301063,2012.0,Q3TTM,2011-10-01,2012-09-30,,-122438000.0,-14.94,-14.94,1089960000.0,-14.92,2327669000.0,-614138000.0,-3106669000.0,-3106669000.0,,-3106669000.0,,6427351000.0,7232806000.0,,,1089000.0,-18579000.0,257887000.0,,1024554000.0,302886000.0,6427351000.0,1063342000.0,186759000.0,5573000.0,4604052000.0,-3540710000.0,-180097000.0,-3720807000.0,7490693000.0,219700000.0,220417448.0,220417448.0
Alpha Natural Resources Inc ,ANR,,1301063,2012.0,Q2,2012-04-01,2012-06-30,2013-08-08 14:09:50+00:00,-17286000.0,-10.14,-10.14,272850000.0,-10.14,1525332000.0,-449798000.0,-2234656000.0,-2234656000.0,,-2234656000.0,,1639751000.0,1798638000.0,,,627000.0,,49471000.0,,1010878000.0,56455000.0,1639751000.0,208358000.0,46534000.0,1324000.0,2848229000.0,-2639871000.0,-44583000.0,-2684454000.0,1848109000.0,220400000.0,220295415.0,220295415.0
Alpha Natural Resources Inc ,ANR,,1301063,2012.0,Q2YTD,2012-01-01,2012-06-30,,-52553000.0,-10.27,-10.27,558745000.0,-10.27,1525332000.0,-493583000.0,-2263773000.0,-2263773000.0,,-2263773000.0,,3268521000.0,3647546000.0,,,1269000.0,,135211000.0,,1010878000.0,140912000.0,3268521000.0,514236000.0,91968000.0,2421000.0,3183314000.0,-2669078000.0,-88278000.0,-2757356000.0,3782757000.0,220400000.0,220295415.0,220295415.0
Alpha Natural Resources Inc ,ANR,,1301063,2012.0,Q2TTM,2011-07-01,2012-06-30,,-184030000.0,-14.43,-14.43,1093765000.0,-14.42,2327669000.0,-534958000.0,-2994095000.0,-2994095000.0,,-2994095000.0,,6902770000.0,7834422000.0,,,1045000.0,-18579000.0,327240000.0,,1010878000.0,370689000.0,6902770000.0,1258892000.0,193774000.0,5176000.0,4600392000.0,-3341500000.0,-187553000.0,-3529053000.0,8161662000.0,220400000.0,220295415.0,220295415.0
Alpha Natural Resources Inc ,ANR,,1301063,2012.0,Q1,2012-01-01,2012-03-31,2012-05-10 15:01:25+00:00,-35267000.0,-0.13,-0.13,285895000.0,-0.13,,-43785000.0,-29117000.0,-29117000.0,0.0,-29117000.0,,1628770000.0,1848908000.0,,,642000.0,0.0,85740000.0,0.0,,84457000.0,1628770000.0,305878000.0,45434000.0,1097000.0,335085000.0,-29207000.0,-43695000.0,-72902000.0,1934648000.0,224000000.0,219785981.0,219785981.0
Alpha Natural Resources Inc ,ANR,,1301063,2012.0,Q1TTM,2011-04-01,2012-03-31,,-175672000.0,-4.61,-4.61,968026000.0,-4.6,802337000.0,-93658000.0,-809507000.0,-809507000.0,,-809507000.0,,6520889000.0,7597547000.0,,,1277000.0,-18579000.0,314044000.0,,,542132000.0,6520889000.0,1390702000.0,181764000.0,4864000.0,2118244000.0,-727542000.0,-175623000.0,-903165000.0,7911591000.0,224000000.0,219785981.0,219785981.0
Alpha Natural Resources Inc ,ANR,,1301063,2013.0,FY,2013-01-01,2013-12-31,2015-02-26 10:14:20+00:00,5056000.0,-5.04,-5.04,865021000.0,-5.04,253102000.0,-216550000.0,-1113498000.0,-1113498000.0,,-1113498000.0,,4538590000.0,4815827000.0,0.0,,23493000.0,,137681000.0,,37273000.0,324472000.0,4538590000.0,414918000.0,287052000.0,3517000.0,1484924000.0,-1070006000.0,-260042000.0,-1330048000.0,4953508000.0,220900000.0,220883103.0,220883103.0
Alpha Natural Resources Inc ,ANR,,1301063,2013.0,Q4,2013-10-01,2013-12-31,,4148000.0,-1.63,-1.63,215000000.0,-1.63,,92472000.0,-358788000.0,-358788000.0,,-358788000.0,,1007944000.0,1075099000.0,,,-638000.0,,18601000.0,,12915000.0,48329000.0,1007944000.0,85756000.0,71426000.0,384000.0,280392000.0,-194636000.0,-71680000.0,-266316000.0,1093700000.0,220900000.0,220883103.0,220883103.0
Alpha Natural Resources Inc ,ANR,,1301063,2013.0,Q3,2013-07-01,2013-09-30,2014-11-06 08:23:50+00:00,2748000.0,-2.07,-2.07,196292000.0,-2.07,253102000.0,-143137000.0,-458241000.0,-458241000.0,,-458241000.0,,1124926000.0,1164778000.0,0.0,,7277000.0,,26316000.0,,2017000.0,159597000.0,1124926000.0,66168000.0,62075000.0,1008000.0,613756000.0,-547588000.0,-53790000.0,-601378000.0,1191094000.0,221400000.0,220960449.0,220960449.0
Alpha Natural Resources Inc ,ANR,,1301063,2013.0,Q3YTD,2013-01-01,2013-09-30,,908000.0,-3.41,-3.41,650021000.0,-3.41,253102000.0,-309022000.0,-754710000.0,-754710000.0,,-754710000.0,,3530646000.0,3740728000.0,,,24131000.0,,119080000.0,,24358000.0,276143000.0,3530646000.0,329162000.0,215626000.0,3133000.0,1204532000.0,-875370000.0,-188362000.0,-1063732000.0,3859808000.0,221400000.0,220960449.0,220960449.0
Alpha Natural Resources Inc ,ANR,,1301063,2013.0,Q3TTM,2012-10-01,2013-09-30,,-5195000.0,-3.99,-3.99,889957000.0,-3.99,441296000.0,-282253000.0,-881939000.0,-881939000.0,,-881939000.0,,4614945000.0,5260654000.0,,,25815000.0,,157472000.0,,68710000.0,327490000.0,4614945000.0,803181000.0,273687000.0,2757000.0,1722258000.0,-919077000.0,-245115000.0,-1164192000.0,5418126000.0,221400000.0,220960449.0,220960449.0
Alpha Natural Resources Inc ,ANR,,1301063,2013.0,Q2,2013-04-01,2013-06-30,2014-08-07 17:44:22+00:00,3591000.0,-0.84,-0.84,214716000.0,-0.84,0.0,-89527000.0,-185681000.0,-185681000.0,,-185681000.0,,1236712000.0,1278394000.0,0.0,,14925000.0,,56729000.0,,11265000.0,65921000.0,1236712000.0,98411000.0,94150000.0,1099000.0,295493000.0,-197082000.0,-78126000.0,-275208000.0,1335123000.0,221000000.0,220840989.0,220840989.0
Alpha Natural Resources Inc ,ANR,,1301063,2013.0,Q2YTD,2013-01-01,2013-06-30,,-1840000.0,-1.34,-1.34,453729000.0,-1.34,,-165885000.0,-296469000.0,-296469000.0,,-296469000.0,,2405720000.0,2575950000.0,,,16854000.0,,92764000.0,,22341000.0,116546000.0,2405720000.0,262994000.0,153551000.0,2125000.0,590776000.0,-327782000.0,-134572000.0,-462354000.0,2668714000.0,221000000.0,220840989.0,220840989.0
Alpha Natural Resources Inc ,ANR,,1301063,2013.0,Q2TTM,2012-07-01,2013-06-30,,-19625000.0,-2.13,-2.13,932559000.0,-2.13,188194000.0,-222298000.0,-469844000.0,-469844000.0,,-469844000.0,,4903643000.0,5706028000.0,,,18891000.0,,154813000.0,,80369000.0,230854000.0,4903643000.0,957198000.0,258957000.0,3077000.0,1412351000.0,-455153000.0,-236989000.0,-692142000.0,5860841000.0,221000000.0,220840989.0,220840989.0
Alpha Natural Resources Inc ,ANR,,1301063,2013.0,Q1,2013-01-01,2013-03-31,2014-05-07 17:54:55+00:00,-5431000.0,-0.5,-0.5,239013000.0,-0.5,0.0,-76358000.0,-110788000.0,-110788000.0,,-110788000.0,,1169008000.0,1297556000.0,0.0,,1929000.0,,36035000.0,,11076000.0,50625000.0,1169008000.0,164583000.0,59401000.0,1026000.0,295283000.0,-130700000.0,-56446000.0,-187146000.0,1333591000.0,221600000.0,220741805.0,220741805.0
Alpha Natural Resources Inc ,ANR,,1301063,2013.0,Q1TTM,2012-04-01,2013-03-31,,-40502000.0,-11.43,-11.43,990693000.0,-11.43,1713526000.0,-582569000.0,-2518819000.0,-2518819000.0,,-2518819000.0,,5306682000.0,6226272000.0,,,4593000.0,,147555000.0,,1079982000.0,221388000.0,5306682000.0,1067145000.0,211341000.0,3302000.0,3965087000.0,-2897942000.0,-203446000.0,-3101388000.0,6373827000.0,221600000.0,220741805.0,220741805.0
Alpha Natural Resources Inc ,ANR,,1301063,2014.0,FY,2014-01-01,2014-12-31,2015-02-26 10:14:20+00:00,39206000.0,-3.95,-3.95,750776000.0,-3.95,308651000.0,-55291000.0,-874961000.0,-874961000.0,,-874961000.0,,3861916000.0,4205282000.0,,,257949000.0,,81796000.0,,24872000.0,219518000.0,3861916000.0,425162000.0,290488000.0,20148000.0,1343023000.0,-917861000.0,-12391000.0,-930252000.0,4287078000.0,221500000.0,221400658.0,221400658.0
Alpha Natural Resources Inc ,ANR,,1301063,2014.0,Q4,2014-10-01,2014-12-31,,11297000.0,-0.54,-0.54,188514000.0,-0.54,,-48393000.0,-371992000.0,-121661000.0,,-121661000.0,,910030000.0,1050020000.0,-250331000.0,-250331000.0,5125000.0,,20595000.0,,1239000.0,59893000.0,910030000.0,160585000.0,76804000.0,1983000.0,260943000.0,-100358000.0,-69696000.0,-170054000.0,1070615000.0,221500000.0,221400658.0,221400658.0
Alpha Natural Resources Inc ,ANR,,1301063,2014.0,Q3,2014-07-01,2014-09-30,2014-11-06 08:23:50+00:00,9166000.0,-0.84,-0.84,170895000.0,-0.84,0.0,-43938000.0,-184975000.0,-184975000.0,,-184975000.0,,976814000.0,1032649000.0,0.0,,379000.0,,17943000.0,,11544000.0,52786000.0,976814000.0,73778000.0,75688000.0,17009000.0,244391000.0,-170613000.0,-58300000.0,-228913000.0,1050592000.0,220200000.0,221491811.0,221491811.0
Alpha Natural Resources Inc ,ANR,,1301063,2014.0,Q3YTD,2014-01-01,2014-09-30,,27909000.0,-3.41,-3.41,562262000.0,-3.41,308651000.0,-6898000.0,-502969000.0,-753300000.0,,-753300000.0,,2951886000.0,3155262000.0,250331000.0,250331000.0,252824000.0,,61201000.0,,23633000.0,159625000.0,2951886000.0,264577000.0,213684000.0,18165000.0,1082080000.0,-817503000.0,57305000.0,-760198000.0,3216463000.0,220200000.0,221491811.0,221491811.0
Alpha Natural Resources Inc ,ANR,,1301063,2014.0,Q3TTM,2013-10-01,2014-09-30,,32057000.0,-5.04,-5.04,777262000.0,-5.04,308651000.0,85574000.0,-861757000.0,-1112088000.0,,-1112088000.0,,3959830000.0,4230361000.0,250331000.0,250331000.0,252186000.0,,79802000.0,,36548000.0,207954000.0,3959830000.0,350333000.0,285110000.0,18549000.0,1362472000.0,-1012139000.0,-14375000.0,-1026514000.0,4310163000.0,220200000.0,221491811.0,221491811.0
