company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2011.0,Q3TTM,2010-10-01,2011-09-30,,-272568000.0,509000.0,155700000.0,8800000.0,168920000.0,,,250450000.0,534370000.0,991556000.0,866516000.0,-719066000.0,1114121000.0,866516000.0,-719066000.0,1114121000.0,1261571000.0,518959000.0,518959000.0,175283000.0,60092000.0,-1112000.0,,,-2152658000.0,-235705000.0,5790000.0,-725292000.0,1942977000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2011.0,Q3,2011-07-01,2011-09-30,,-28000.0,236000.0,,,43337000.0,,,-16412000.0,37189000.0,-15064000.0,-177717000.0,-123064000.0,185164000.0,-177717000.0,-123064000.0,185164000.0,-115617000.0,83671000.0,83671000.0,74332000.0,1193000.0,92000.0,,,-626895000.0,-71945000.0,-7616000.0,-193419000.0,575712000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-08 16:59:23+00:00,-31101000.0,509000.0,,,125986000.0,,,150533000.0,341063000.0,991556000.0,820937000.0,-653496000.0,743121000.0,820937000.0,-653496000.0,743121000.0,910562000.0,328849000.0,328849000.0,137244000.0,44524000.0,-1144000.0,,,-1932594000.0,-187886000.0,-7616000.0,-548590000.0,1499229000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2011.0,Q2TTM,2010-07-01,2011-06-30,,-341658000.0,273000.0,155700000.0,8800000.0,165201000.0,,,184572000.0,578212000.0,1006620000.0,998944000.0,-881296000.0,1060368000.0,998944000.0,-881296000.0,1060368000.0,1178016000.0,569625000.0,569625000.0,140697000.0,63544000.0,-1340000.0,,,-1960478000.0,-218084000.0,17467000.0,-666899000.0,1640264000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2011.0,Q2,2011-04-01,2011-06-30,,-2500000.0,273000.0,,,41891000.0,,,106258000.0,39761000.0,2533000.0,-103416000.0,-321208000.0,318307000.0,-103416000.0,-321208000.0,318307000.0,-106317000.0,115518000.0,115518000.0,54367000.0,4290000.0,-1236000.0,,,-859459000.0,-61969000.0,,-150000000.0,603956000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2011.0,Q2YTD,2011-01-01,2011-06-30,2012-08-08 16:13:35+00:00,-31073000.0,273000.0,,,82649000.0,,,166945000.0,303874000.0,1006620000.0,998654000.0,-530432000.0,557957000.0,998654000.0,-530432000.0,557957000.0,1026179000.0,245178000.0,245178000.0,62912000.0,43331000.0,-1236000.0,,,-1305699000.0,-115941000.0,0.0,-355171000.0,923517000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2011.0,Q1TTM,2010-04-01,2011-03-31,,-403373000.0,,155700000.0,8800000.0,160789000.0,,,98231000.0,596193000.0,1002005000.0,966373000.0,-709307000.0,963404000.0,966373000.0,-709307000.0,963404000.0,1220470000.0,584450000.0,584450000.0,119934000.0,67021000.0,-10850000.0,,-1000000.0,-1581706000.0,-201465000.0,-3500000.0,-694346000.0,1488087000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2011.0,Q1,2011-01-01,2011-03-31,2012-05-09 17:16:54+00:00,-28573000.0,0.0,,,40758000.0,,,60687000.0,264113000.0,1004087000.0,1102070000.0,-209224000.0,239650000.0,1102070000.0,-209224000.0,239650000.0,1132496000.0,129660000.0,129660000.0,8545000.0,39041000.0,0.0,,,-446240000.0,-53972000.0,,-205171000.0,319561000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2012.0,Q4,2012-10-01,2012-12-31,,-48900000.0,,118700000.0,50100000.0,50000000.0,,3600000.0,-44500000.0,10900000.0,,-226000000.0,-227800000.0,150100000.0,-226000000.0,-227800000.0,150100000.0,-300100000.0,95700000.0,95700000.0,48900000.0,,3800000.0,,,-492600000.0,-90900000.0,13600000.0,-250500000.0,400800000.0
Juniper Networks Inc,JNPR,AUHIXNGG7U2U7JEHM527,1043604,2012.0,FY,2012-01-01,2012-12-31,2015-02-20 17:06:56+00:00,-204700000.0,,118700000.0,50100000.0,187900000.0,0.0,3600000.0,-45800000.0,99100000.0,0.0,-548300000.0,-595600000.0,637700000.0,-548300000.0,-595600000.0,637700000.0,-502600000.0,186500000.0,186500000.0,309100000.0,7200000.0,-20800000.0,,0.0,-1512800000.0,-347700000.0,-4000000.0,-650600000.0,1490400000.0
