company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,othergains,otherincome,otheroperatingexpenses,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2011.0,Q3,2011-07-01,2011-09-30,2012-11-08 11:09:08+00:00,58000000.0,0.52,0.52,0.29,0.52,346000000.0,927000000.0,927000000.0,,922000000.0,5000000.0,8611000000.0,13226000000.0,,,,,,-7000000.0,2866000000.0,8611000000.0,4615000000.0,425000000.0,,2917000000.0,1698000000.0,-425000000.0,1273000000.0,13226000000.0,1770000000.0,1770000000.0,1770000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2011.0,Q2YTD,2011-01-01,2011-06-30,,114000000.0,1.01,1.01,0.58,1.0,787000000.0,1778000000.0,1778000000.0,,1775000000.0,3000000.0,16944000000.0,26451000000.0,,,,,,,5941000000.0,16944000000.0,9507000000.0,887000000.0,,6055000000.0,3452000000.0,-887000000.0,2565000000.0,26451000000.0,1764000000.0,1764000000.0,1764000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2011.0,Q2TTM,2010-07-01,2011-06-30,,231000000.0,1.7,1.7,1.16,1.7,185000000.0,3085000000.0,1262000000.0,1823000000.0,3069000000.0,16000000.0,21773000000.0,34369000000.0,,,,,,26000000.0,9298000000.0,21773000000.0,12596000000.0,1594000000.0,,9555000000.0,3041000000.0,-1594000000.0,1447000000.0,34369000000.0,1764000000.0,1764000000.0,1764000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2011.0,Q2,2011-04-01,2011-06-30,2012-08-03 11:21:51+00:00,57000000.0,0.55,0.55,0.29,0.55,389000000.0,976000000.0,976000000.0,,976000000.0,,9007000000.0,13878000000.0,,,,,,,3008000000.0,9007000000.0,4871000000.0,441000000.0,,3065000000.0,1806000000.0,-441000000.0,1365000000.0,13878000000.0,1764000000.0,1764000000.0,1764000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2011.0,Q1TTM,2010-04-01,2011-03-31,,234000000.0,1.69,1.69,1.16,1.68,119000000.0,3048000000.0,1225000000.0,1823000000.0,3030000000.0,18000000.0,20325000000.0,32744000000.0,,,,,,26000000.0,9223000000.0,20325000000.0,12419000000.0,1592000000.0,,9483000000.0,2936000000.0,-1592000000.0,1344000000.0,32744000000.0,1754000000.0,1754000000.0,1754000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2011.0,Q1,2011-01-01,2011-03-31,2012-05-04 11:08:59+00:00,57000000.0,0.46,0.46,0.29,0.45,398000000.0,802000000.0,802000000.0,,799000000.0,3000000.0,7937000000.0,12573000000.0,,,,,,,2933000000.0,7937000000.0,4636000000.0,446000000.0,,2990000000.0,1646000000.0,-446000000.0,1200000000.0,12573000000.0,1754000000.0,1754000000.0,1754000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2012.0,Q4,2012-10-01,2012-12-31,,54000000.0,0.32,0.32,0.13,0.31,64000000.0,582000000.0,600000000.0,-18000000.0,573000000.0,9000000.0,5945000000.0,9495000000.0,,,-1863000000.0,,-107000000.0,69000000.0,2575000000.0,5945000000.0,3550000000.0,-1568000000.0,,2591000000.0,959000000.0,-295000000.0,664000000.0,9495000000.0,1777000000.0,1777000000.0,1777000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2012.0,FY,2012-01-01,2012-12-31,2015-02-20 10:47:09+00:00,217000000.0,1.73,1.73,1.0,1.71,168000000.0,3094000000.0,1606000000.0,1488000000.0,3067000000.0,27000000.0,21939000000.0,35015000000.0,,,-1863000000.0,,-107000000.0,153000000.0,9176000000.0,21939000000.0,13076000000.0,,,9439000000.0,3637000000.0,-1863000000.0,1774000000.0,35015000000.0,1777000000.0,1777000000.0,1777000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2012.0,Q3YTD,2012-01-01,2012-09-30,,163000000.0,1.41,1.41,0.87,1.4,104000000.0,2512000000.0,1006000000.0,1506000000.0,2494000000.0,18000000.0,15994000000.0,25520000000.0,,,,,,84000000.0,6601000000.0,15994000000.0,9526000000.0,1568000000.0,,6848000000.0,2678000000.0,-1568000000.0,1110000000.0,25520000000.0,1779000000.0,1779000000.0,1779000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2012.0,Q3TTM,2011-10-01,2012-09-30,,216000000.0,-0.11,1.89,1.16,1.89,-913000000.0,3381000000.0,65000000.0,3316000000.0,3351000000.0,30000000.0,13149000000.0,21653000000.0,,,-1618000000.0,,,86000000.0,7176000000.0,13149000000.0,8504000000.0,256000000.0,,7478000000.0,1026000000.0,-1874000000.0,-848000000.0,21653000000.0,1779000000.0,1779000000.0,1779000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2012.0,Q3,2012-07-01,2012-09-30,2013-11-07 10:40:33+00:00,54000000.0,0.37,0.37,0.29,0.36,-76000000.0,659000000.0,177000000.0,482000000.0,652000000.0,7000000.0,5206000000.0,8326000000.0,,,,,,13000000.0,2215000000.0,5206000000.0,3120000000.0,737000000.0,,2282000000.0,838000000.0,-737000000.0,101000000.0,8326000000.0,1779000000.0,1779000000.0,1779000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2012.0,Q2YTD,2012-01-01,2012-06-30,,109000000.0,1.04,1.04,0.58,1.04,180000000.0,1853000000.0,829000000.0,1024000000.0,1842000000.0,11000000.0,10788000000.0,17194000000.0,,,,,,71000000.0,4386000000.0,10788000000.0,6406000000.0,831000000.0,,4566000000.0,1840000000.0,-831000000.0,1009000000.0,17194000000.0,1777000000.0,1777000000.0,1777000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2012.0,Q2TTM,2011-07-01,2012-06-30,,220000000.0,0.04,2.04,1.16,2.05,-491000000.0,3649000000.0,815000000.0,2834000000.0,3621000000.0,28000000.0,16554000000.0,26553000000.0,,,-1618000000.0,,,66000000.0,7827000000.0,16554000000.0,9999000000.0,-56000000.0,,8113000000.0,1886000000.0,-1562000000.0,324000000.0,26553000000.0,1777000000.0,1777000000.0,1777000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2012.0,Q2,2012-04-01,2012-06-30,2013-08-08 10:47:09+00:00,53000000.0,0.58,0.58,0.29,0.58,103000000.0,1034000000.0,490000000.0,544000000.0,1029000000.0,5000000.0,5316000000.0,8527000000.0,,,,,,27000000.0,2194000000.0,5316000000.0,3211000000.0,344000000.0,,2274000000.0,937000000.0,-344000000.0,593000000.0,8527000000.0,1777000000.0,1777000000.0,1777000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2012.0,Q1TTM,2011-04-01,2012-03-31,,224000000.0,0.01,2.01,1.16,2.02,-205000000.0,3591000000.0,1301000000.0,2290000000.0,3568000000.0,23000000.0,20245000000.0,31904000000.0,,,-1618000000.0,,,39000000.0,8641000000.0,20245000000.0,11659000000.0,41000000.0,,8904000000.0,2755000000.0,-1659000000.0,1096000000.0,31904000000.0,1773000000.0,1773000000.0,1773000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2012.0,Q1,2012-01-01,2012-03-31,2013-05-08 16:48:28+00:00,56000000.0,0.46,0.46,0.29,0.46,77000000.0,819000000.0,339000000.0,480000000.0,813000000.0,6000000.0,5472000000.0,8667000000.0,,,,,,44000000.0,2192000000.0,5472000000.0,3195000000.0,487000000.0,,2292000000.0,903000000.0,-487000000.0,416000000.0,8667000000.0,1773000000.0,1773000000.0,1773000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2013.0,Q4,2013-10-01,2013-12-31,,53000000.0,1.9,1.0,0.14,1.0,-7000000.0,1773000000.0,170000000.0,1603000000.0,1766000000.0,7000000.0,5995000000.0,9488000000.0,,,-817000000.0,,28000000.0,138000000.0,2294000000.0,5995000000.0,3493000000.0,,,2513000000.0,980000000.0,-817000000.0,163000000.0,9488000000.0,1774000000.0,1774000000.0,1774000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2013.0,FY,2013-01-01,2013-12-31,2016-02-19 11:41:16+00:00,217000000.0,2.21,2.21,0.54,2.19,60000000.0,3935000000.0,2332000000.0,1603000000.0,3915000000.0,20000000.0,22189000000.0,35299000000.0,,,-1549000000.0,,,273000000.0,8679000000.0,22189000000.0,13110000000.0,,,9169000000.0,3941000000.0,-1549000000.0,2392000000.0,35299000000.0,1774000000.0,1774000000.0,1774000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2013.0,Q3YTD,2013-01-01,2013-09-30,,164000000.0,0.31,1.21,0.4,1.19,67000000.0,2162000000.0,2162000000.0,,2149000000.0,13000000.0,16194000000.0,25811000000.0,,,-732000000.0,,-28000000.0,135000000.0,6385000000.0,16194000000.0,9617000000.0,,,6656000000.0,2961000000.0,-732000000.0,2229000000.0,25811000000.0,-101200000000.0,1779000000.0,1779000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2013.0,Q3TTM,2012-10-01,2013-09-30,,218000000.0,0.63,1.53,0.53,1.5,131000000.0,2744000000.0,2762000000.0,-18000000.0,2722000000.0,22000000.0,22139000000.0,35306000000.0,,,-2595000000.0,,-135000000.0,204000000.0,8960000000.0,22139000000.0,13167000000.0,-1568000000.0,,9247000000.0,3920000000.0,-1027000000.0,2893000000.0,35306000000.0,-101200000000.0,1779000000.0,1779000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2013.0,Q3,2013-07-01,2013-09-30,2014-11-06 12:08:12+00:00,55000000.0,-0.01,0.57,0.14,0.56,26000000.0,1018000000.0,1018000000.0,,1012000000.0,6000000.0,5328000000.0,8472000000.0,,,-218000000.0,,,43000000.0,1784000000.0,5328000000.0,3144000000.0,,,1882000000.0,1262000000.0,-218000000.0,1044000000.0,8472000000.0,-101200000000.0,1779000000.0,1779000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2013.0,Q2YTD,2013-01-01,2013-06-30,,109000000.0,0.32,0.64,0.26,0.63,41000000.0,1144000000.0,1144000000.0,,1137000000.0,7000000.0,10866000000.0,17339000000.0,,,-514000000.0,,-28000000.0,92000000.0,4601000000.0,10866000000.0,6473000000.0,,,4774000000.0,1699000000.0,-514000000.0,1185000000.0,17339000000.0,1788000000.0,1788000000.0,1788000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2013.0,Q2TTM,2012-07-01,2013-06-30,,217000000.0,1.01,1.33,0.68,1.3,29000000.0,2385000000.0,1921000000.0,464000000.0,2362000000.0,23000000.0,22017000000.0,35160000000.0,,,-2377000000.0,,-135000000.0,174000000.0,9391000000.0,22017000000.0,13143000000.0,-831000000.0,,9647000000.0,3496000000.0,-1546000000.0,1950000000.0,35160000000.0,1788000000.0,1788000000.0,1788000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2013.0,Q2,2013-04-01,2013-06-30,2014-08-08 10:40:14+00:00,55000000.0,0.34,0.34,0.13,0.33,28000000.0,602000000.0,602000000.0,,601000000.0,1000000.0,5364000000.0,8595000000.0,,,-235000000.0,,-6000000.0,48000000.0,2269000000.0,5364000000.0,3231000000.0,,,2366000000.0,865000000.0,-235000000.0,630000000.0,8595000000.0,1788000000.0,1788000000.0,1788000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2013.0,Q1TTM,2012-04-01,2013-03-31,,215000000.0,1.25,1.57,0.84,1.55,104000000.0,2817000000.0,1809000000.0,1008000000.0,2790000000.0,27000000.0,21969000000.0,35092000000.0,,,-2142000000.0,,-129000000.0,153000000.0,9316000000.0,21969000000.0,13123000000.0,-487000000.0,,9555000000.0,3568000000.0,-1655000000.0,1913000000.0,35092000000.0,-26800000000.0,1784000000.0,1784000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2013.0,Q1,2013-01-01,2013-03-31,2014-05-08 10:27:02+00:00,54000000.0,-0.02,0.3,0.13,0.3,13000000.0,542000000.0,542000000.0,,536000000.0,6000000.0,5502000000.0,8744000000.0,,,-279000000.0,,-22000000.0,44000000.0,2332000000.0,5502000000.0,3242000000.0,,,2408000000.0,834000000.0,-279000000.0,555000000.0,8744000000.0,-26800000000.0,1784000000.0,1784000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2014.0,Q4,2014-10-01,2014-12-31,,49000000.0,0.29,0.29,0.15,0.3,111000000.0,507000000.0,507000000.0,,500000000.0,7000000.0,5684000000.0,8830000000.0,,,29000000.0,,,407000000.0,2101000000.0,5684000000.0,3146000000.0,,,2557000000.0,589000000.0,29000000.0,618000000.0,8830000000.0,1691000000.0,1691000000.0,1691000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2014.0,FY,2014-01-01,2014-12-31,2017-02-24 13:04:38+00:00,206000000.0,1.29,1.29,0.58,1.28,353000000.0,2201000000.0,2201000000.0,,2184000000.0,17000000.0,21647000000.0,34244000000.0,,,-688000000.0,,,692000000.0,8457000000.0,21647000000.0,12597000000.0,,,9355000000.0,3242000000.0,-688000000.0,2554000000.0,34244000000.0,1691000000.0,1691000000.0,1691000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2014.0,Q3YTD,2014-01-01,2014-09-30,,157000000.0,1.0,1.0,0.43,0.98,242000000.0,1694000000.0,1694000000.0,,1684000000.0,10000000.0,15963000000.0,25414000000.0,,,-717000000.0,,,285000000.0,6356000000.0,15963000000.0,9451000000.0,,,6798000000.0,2653000000.0,-717000000.0,1936000000.0,25414000000.0,1696200000.0,1696200000.0,1696200000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2014.0,Q3TTM,2013-10-01,2014-09-30,,210000000.0,2.9,2.0,0.57,1.98,235000000.0,3467000000.0,1864000000.0,1603000000.0,3450000000.0,17000000.0,21958000000.0,34902000000.0,,,-1534000000.0,,28000000.0,423000000.0,8650000000.0,21958000000.0,12944000000.0,,,9311000000.0,3633000000.0,-1534000000.0,2099000000.0,34902000000.0,1696200000.0,1696200000.0,1696200000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2014.0,Q3,2014-07-01,2014-09-30,2015-10-29 11:27:05+00:00,48000000.0,0.53,0.53,0.15,0.53,178000000.0,902000000.0,902000000.0,,899000000.0,3000000.0,5195000000.0,8337000000.0,,,227000000.0,,,188000000.0,2053000000.0,5195000000.0,3142000000.0,,,2289000000.0,853000000.0,227000000.0,1080000000.0,8337000000.0,1696200000.0,1696200000.0,1696200000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2014.0,Q2YTD,2014-01-01,2014-06-30,,109000000.0,0.47,0.47,0.28,0.45,64000000.0,792000000.0,792000000.0,,785000000.0,7000000.0,10768000000.0,17077000000.0,,,-944000000.0,,,97000000.0,4303000000.0,10768000000.0,6309000000.0,,,4509000000.0,1800000000.0,-944000000.0,856000000.0,17077000000.0,1694000000.0,1694000000.0,1694000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2014.0,Q2TTM,2013-07-01,2014-06-30,,217000000.0,2.36,2.04,0.56,2.01,83000000.0,3583000000.0,1980000000.0,1603000000.0,3563000000.0,20000000.0,22091000000.0,35037000000.0,,,-1979000000.0,,28000000.0,278000000.0,8381000000.0,22091000000.0,12946000000.0,,,8904000000.0,4042000000.0,-1979000000.0,2063000000.0,35037000000.0,1694000000.0,1694000000.0,1694000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2014.0,Q2,2014-04-01,2014-06-30,2015-07-31 11:28:20+00:00,55000000.0,0.37,0.37,0.14,0.36,91000000.0,642000000.0,642000000.0,,622000000.0,20000000.0,5331000000.0,8436000000.0,,,-224000000.0,,,55000000.0,2038000000.0,5331000000.0,3105000000.0,,,2148000000.0,957000000.0,-224000000.0,733000000.0,8436000000.0,1694000000.0,1694000000.0,1694000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2014.0,Q1TTM,2013-04-01,2014-03-31,,217000000.0,2.33,2.01,0.55,1.98,20000000.0,3543000000.0,1940000000.0,1603000000.0,3542000000.0,1000000.0,22124000000.0,35196000000.0,,,-1990000000.0,,22000000.0,271000000.0,8612000000.0,22124000000.0,13072000000.0,,,9122000000.0,3950000000.0,-1990000000.0,1960000000.0,35196000000.0,1704000000.0,1704000000.0,1811100000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2014.0,Q1,2014-01-01,2014-03-31,2015-04-30 11:44:11+00:00,54000000.0,0.1,0.1,0.14,0.09,-27000000.0,150000000.0,150000000.0,,163000000.0,-13000000.0,5437000000.0,8641000000.0,,,-720000000.0,,,42000000.0,2265000000.0,5437000000.0,3204000000.0,,,2361000000.0,843000000.0,-720000000.0,123000000.0,8641000000.0,1704000000.0,1704000000.0,1811100000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2015.0,FY,2015-01-01,2015-12-31,2018-02-09 10:33:19+00:00,181000000.0,4.49,4.49,0.64,4.44,593000000.0,7291000000.0,7291000000.0,,7267000000.0,24000000.0,18124000000.0,29636000000.0,0.0,0.0,5809000000.0,,,901000000.0,7577000000.0,18124000000.0,11512000000.0,,-778000000.0,8659000000.0,2853000000.0,5031000000.0,7884000000.0,29636000000.0,1618000000.0,1618000000.0,1618000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2015.0,Q4,2015-10-01,2015-12-31,,44000000.0,-0.48,-0.48,0.17,-0.46,32000000.0,-716000000.0,-716000000.0,,-729000000.0,13000000.0,4529000000.0,7364000000.0,,72000000.0,-512000000.0,,,355000000.0,1902000000.0,4529000000.0,2835000000.0,,-778000000.0,2301000000.0,534000000.0,-1290000000.0,-756000000.0,7364000000.0,1618000000.0,1618000000.0,1618000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2015.0,Q3YTD,2015-01-01,2015-09-30,,137000000.0,4.97,4.97,0.47,4.9,561000000.0,8007000000.0,8007000000.0,,7996000000.0,11000000.0,13595000000.0,22272000000.0,,-72000000.0,6321000000.0,,,546000000.0,5675000000.0,13595000000.0,8677000000.0,,,6358000000.0,2319000000.0,6321000000.0,8640000000.0,22272000000.0,1609000000.0,1609000000.0,1609000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2015.0,Q3TTM,2014-10-01,2015-09-30,,186000000.0,5.26,5.26,0.62,5.2,672000000.0,8514000000.0,8514000000.0,,8496000000.0,18000000.0,19279000000.0,31102000000.0,,-72000000.0,6350000000.0,,,953000000.0,7776000000.0,19279000000.0,11823000000.0,,,8915000000.0,2908000000.0,6350000000.0,9258000000.0,31102000000.0,1609000000.0,1609000000.0,1609000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2015.0,Q3,2015-07-01,2015-09-30,2016-10-26 14:42:49+00:00,45000000.0,4.52,4.52,0.17,4.46,348000000.0,7268000000.0,7268000000.0,,7266000000.0,2000000.0,4179000000.0,6849000000.0,,-72000000.0,7008000000.0,,,155000000.0,1790000000.0,4179000000.0,2670000000.0,,,1990000000.0,680000000.0,7008000000.0,7688000000.0,6849000000.0,1609000000.0,1609000000.0,1609000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2015.0,Q2YTD,2015-01-01,2015-06-30,,92000000.0,0.45,0.45,0.3,0.44,213000000.0,739000000.0,739000000.0,,730000000.0,9000000.0,9416000000.0,15423000000.0,,,-687000000.0,,,391000000.0,3885000000.0,9416000000.0,6007000000.0,,,4368000000.0,1639000000.0,-687000000.0,952000000.0,15423000000.0,1625000000.0,1625000000.0,1625000000.0
Mondelez International Inc,MDLZ,549300DV9GIB88LZ5P30,1103982,2015.0,Q2TTM,2014-07-01,2015-06-30,,189000000.0,1.27,1.27,0.6,1.27,502000000.0,2148000000.0,2148000000.0,,2129000000.0,19000000.0,20295000000.0,32590000000.0,,,-431000000.0,,,986000000.0,8039000000.0,20295000000.0,12295000000.0,,,9214000000.0,3081000000.0,-431000000.0,2650000000.0,32590000000.0,1625000000.0,1625000000.0,1625000000.0
