company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt
Fortive Corp,FTV,,1659166,2016.0,Q3,2016-07-02,2016-09-30,,-177800000.0,22500000.0,22600000.0,,900000.0,44100000.0,138500000.0,,111600000.0,-206500000.0,331600000.0,,,,111600000.0,-206500000.0,331600000.0,237600000.0,226900000.0,226900000.0,15500000.0,-500000.0,-100000.0,,-24200000.0,-28600000.0,-2200000.0
Fortive Corp,FTV,,1659166,2016.0,Q2YTD,2016-01-01,2016-07-01,2017-07-27 16:14:50+00:00,-12800000.0,44700000.0,44100000.0,,0.0,-44300000.0,3370100000.0,,69200000.0,-69800000.0,487800000.0,,,,69200000.0,-69800000.0,487800000.0,487200000.0,420900000.0,420900000.0,22400000.0,-300900000.0,4400000.0,,-3000000000.0,-61400000.0,0.0
Fortive Corp,FTV,,1659166,2016.0,Q2,2016-04-02,2016-07-01,,,22300000.0,22600000.0,,,15900000.0,3370100000.0,,207200000.0,-30600000.0,310600000.0,,,,207200000.0,-30600000.0,310600000.0,487200000.0,238900000.0,238900000.0,10900000.0,-162900000.0,2400000.0,,-3000000000.0,-33000000.0,
Fortive Corp,FTV,,1659166,2016.0,Q2TTM,2015-07-04,2016-07-01,,-49900000.0,88900000.0,88100000.0,2300000.0,,27500000.0,3370100000.0,,-430600000.0,-194200000.0,1111900000.0,,,,-430600000.0,-194200000.0,1112000000.0,487200000.0,853600000.0,853600000.0,53800000.0,-800700000.0,-17500000.0,,-3000000000.0,-129100000.0,
Fortive Corp,FTV,,1659166,2016.0,Q1,2016-01-01,2016-04-01,2017-04-27 16:17:45+00:00,-12800000.0,22400000.0,21500000.0,,0.0,-60200000.0,,,-138000000.0,-39200000.0,177200000.0,,,,-138000000.0,-39200000.0,177200000.0,0.0,182000000.0,182000000.0,11500000.0,-138000000.0,2000000.0,,0.0,-28400000.0,0.0
Fortive Corp,FTV,,1659166,2017.0,FY,2017-01-01,2017-12-31,2020-02-27 17:09:00+00:00,-1556600000.0,65000000.0,93300000.0,21500000.0,,-45700000.0,695500000.0,0.0,598300000.0,-1644700000.0,1020100000.0,1400000.0,-25000000.0,156300000.0,599700000.0,-1669700000.0,1176400000.0,158900000.0,884300000.0,884300000.0,23200000.0,,1500000.0,52500000.0,-97200000.0,-111100000.0,0.0
Fortive Corp,FTV,,1659166,2017.0,Q4,2017-09-30,2017-12-31,,-754500000.0,23700000.0,20900000.0,21500000.0,-42200000.0,84500000.0,381900000.0,,357500000.0,-756400000.0,307100000.0,1400000.0,-25000000.0,156300000.0,358900000.0,-781400000.0,463400000.0,51200000.0,176700000.0,176700000.0,1300000.0,,,52500000.0,-24400000.0,-23400000.0,
Fortive Corp,FTV,,1659166,2017.0,Q3YTD,2017-01-01,2017-09-29,2018-10-25 16:16:36+00:00,-802100000.0,41300000.0,72400000.0,,42200000.0,-130200000.0,313600000.0,0.0,240800000.0,-888300000.0,713000000.0,,,,240800000.0,-888300000.0,713000000.0,107700000.0,707600000.0,707600000.0,21900000.0,,1500000.0,,-72800000.0,-87700000.0,0.0
Fortive Corp,FTV,,1659166,2017.0,Q3TTM,2016-10-01,2017-09-29,,-801600000.0,59400000.0,81300000.0,9000000.0,14600000.0,-94200000.0,157200000.0,,62400000.0,-903200000.0,876000000.0,1400000.0,-19600000.0,154500000.0,63800000.0,-922800000.0,1030500000.0,186100000.0,800000000.0,800000000.0,29700000.0,,-2800000.0,,-97000000.0,-107800000.0,2200000.0
Fortive Corp,FTV,,1659166,2017.0,Q3,2017-07-01,2017-09-29,,-802100000.0,14700000.0,25200000.0,,12300000.0,14700000.0,306300000.0,,440900000.0,-829700000.0,319000000.0,,,,440900000.0,-829700000.0,319000000.0,-57500000.0,267800000.0,267800000.0,-3400000.0,,4500000.0,,-24200000.0,-32100000.0,158800000.0
Fortive Corp,FTV,,1659166,2017.0,Q2YTD,2017-01-01,2017-06-30,2018-07-26 16:15:32+00:00,0.0,26600000.0,47200000.0,,29900000.0,-144900000.0,7300000.0,0.0,-200100000.0,-58600000.0,394000000.0,,,,-200100000.0,-58600000.0,394000000.0,165200000.0,439800000.0,439800000.0,25300000.0,,-3000000.0,,-48600000.0,-55600000.0,-158800000.0
Fortive Corp,FTV,,1659166,2017.0,Q2TTM,2016-07-02,2017-06-30,,-177300000.0,67200000.0,78700000.0,9000000.0,3200000.0,-64800000.0,-10600000.0,,-266900000.0,-280000000.0,888600000.0,1400000.0,-19600000.0,154500000.0,-265500000.0,-299600000.0,1043100000.0,481200000.0,759100000.0,759100000.0,48600000.0,-500000.0,-7400000.0,,-97000000.0,-104300000.0,-158800000.0
Fortive Corp,FTV,,1659166,2017.0,Q2,2017-04-01,2017-06-30,,,13300000.0,23800000.0,,17000000.0,-44800000.0,7000000.0,,-80700000.0,-31200000.0,245700000.0,,,,-80700000.0,-31200000.0,245700000.0,150800000.0,240100000.0,240100000.0,13300000.0,,-2400000.0,,-24400000.0,-28800000.0,-63300000.0
Fortive Corp,FTV,,1659166,2017.0,Q1,2017-01-01,2017-03-31,2018-04-26 16:22:38+00:00,0.0,13300000.0,23400000.0,,12900000.0,-100100000.0,300000.0,,-119400000.0,-27400000.0,148300000.0,,,,-119400000.0,-27400000.0,148300000.0,14400000.0,199700000.0,199700000.0,12000000.0,,-600000.0,,-24200000.0,-26800000.0,-95500000.0
Fortive Corp,FTV,,1659166,2017.0,Q1TTM,2016-04-02,2017-03-31,,-177300000.0,76200000.0,77500000.0,9000000.0,-13800000.0,-4100000.0,3352500000.0,,21000000.0,-279400000.0,953500000.0,1400000.0,-19600000.0,154500000.0,22400000.0,-299000000.0,1108000000.0,817600000.0,757900000.0,757900000.0,46200000.0,-163400000.0,-2600000.0,,-3072600000.0,-108500000.0,-95500000.0
Fortive Corp,FTV,,1659166,2018.0,FY,2018-01-01,2018-12-31,2020-02-27 17:09:00+00:00,-2815100000.0,135100000.0,125700000.0,0.0,,-29700000.0,1789300000.0,1337400000.0,879100000.0,-2969500000.0,1201300000.0,0.0,1002900000.0,143100000.0,879100000.0,-1966600000.0,1344400000.0,216300000.0,918300000.0,918300000.0,51900000.0,,-42100000.0,-40600000.0,-131500000.0,-112300000.0,-2116100000.0
Fortive Corp,FTV,,1659166,2018.0,Q4,2018-09-29,2018-12-31,,10100000.0,53800000.0,34500000.0,,,79500000.0,12100000.0,,-1355400000.0,-71500000.0,422400000.0,,1019700000.0,22400000.0,-1355400000.0,948200000.0,444800000.0,33300000.0,240100000.0,240100000.0,14500000.0,,-46100000.0,-4300000.0,-40700000.0,-35500000.0,-1326800000.0
Fortive Corp,FTV,,1659166,2018.0,Q3YTD,2018-01-01,2018-09-28,2019-10-24 19:01:38+00:00,-2825200000.0,81300000.0,91200000.0,,,-109200000.0,1777200000.0,1337400000.0,2234500000.0,-2898000000.0,778900000.0,,-16800000.0,120700000.0,2234500000.0,-2914800000.0,899600000.0,183000000.0,678200000.0,678200000.0,37400000.0,,4000000.0,-36300000.0,-90800000.0,-76800000.0,-789300000.0
Fortive Corp,FTV,,1659166,2018.0,Q3TTM,2017-09-30,2018-09-28,,-3579700000.0,105000000.0,112100000.0,21500000.0,-42200000.0,-24700000.0,2159100000.0,1337400000.0,2592000000.0,-3654400000.0,1086000000.0,1400000.0,-41800000.0,277000000.0,2593400000.0,-3696200000.0,1363000000.0,234200000.0,854900000.0,854900000.0,38700000.0,,4000000.0,16200000.0,-115200000.0,-100200000.0,-789300000.0
Fortive Corp,FTV,,1659166,2018.0,Q3,2018-06-30,2018-09-28,,-2815900000.0,32300000.0,30100000.0,,,66400000.0,1761900000.0,-800000.0,1255600000.0,-2844800000.0,355800000.0,100000.0,-5800000.0,30900000.0,1255700000.0,-2850600000.0,386700000.0,-1223100000.0,214000000.0,214000000.0,13000000.0,,200000.0,-14900000.0,-42100000.0,-29100000.0,-463400000.0
Fortive Corp,FTV,,1659166,2018.0,Q2YTD,2018-01-01,2018-06-29,2019-07-25 16:16:30+00:00,-9300000.0,49000000.0,61100000.0,,,-175600000.0,15300000.0,1338200000.0,978900000.0,-53200000.0,423100000.0,-100000.0,-11000000.0,89800000.0,978800000.0,-64200000.0,512900000.0,1406100000.0,464200000.0,464200000.0,24400000.0,,3800000.0,-21400000.0,-48700000.0,-47700000.0,-325900000.0
Fortive Corp,FTV,,1659166,2018.0,Q2TTM,2017-07-01,2018-06-29,,-1565900000.0,87400000.0,107200000.0,21500000.0,-29900000.0,-76400000.0,703500000.0,1338200000.0,1777300000.0,-1639300000.0,1049200000.0,1300000.0,-36000000.0,246100000.0,1778600000.0,-1675300000.0,1295300000.0,1399800000.0,908700000.0,908700000.0,22300000.0,,8300000.0,31100000.0,-97300000.0,-103200000.0,-167100000.0
Fortive Corp,FTV,,1659166,2018.0,Q2,2018-03-31,2018-06-29,,-1600000.0,24100000.0,30100000.0,,,-25500000.0,10900000.0,1338200000.0,1073000000.0,-19700000.0,292300000.0,,-5500000.0,49600000.0,1073000000.0,-25200000.0,341900000.0,1352500000.0,250200000.0,250200000.0,13400000.0,,3700000.0,-37200000.0,-24400000.0,-21800000.0,-251700000.0
Fortive Corp,FTV,,1659166,2018.0,Q1,2018-01-01,2018-03-30,2019-04-25 16:12:13+00:00,-7700000.0,24900000.0,31000000.0,,,-150100000.0,4400000.0,,-94100000.0,-33500000.0,130800000.0,-100000.0,-5500000.0,40200000.0,-94200000.0,-39000000.0,171000000.0,53600000.0,214000000.0,214000000.0,11000000.0,,100000.0,15800000.0,-24300000.0,-25900000.0,-74200000.0
Fortive Corp,FTV,,1659166,2018.0,Q1TTM,2017-04-01,2018-03-30,,-1564300000.0,76600000.0,100900000.0,21500000.0,-12900000.0,-95700000.0,699600000.0,,623600000.0,-1650800000.0,1002600000.0,1300000.0,-30500000.0,196500000.0,624900000.0,-1681300000.0,1199100000.0,198100000.0,898600000.0,898600000.0,22200000.0,,2200000.0,68300000.0,-97300000.0,-110200000.0,21300000.0
Fortive Corp,FTV,,1659166,2019.0,Q4,2019-09-28,2019-12-31,,-556200000.0,81500000.0,35600000.0,,,172300000.0,295900000.0,,237900000.0,-587300000.0,484500000.0,,,-9100000.0,237900000.0,-587300000.0,475400000.0,144700000.0,178800000.0,178800000.0,16300000.0,,1800000.0,18700000.0,-58000000.0,-32900000.0,
Fortive Corp,FTV,,1659166,2019.0,FY,2019-01-01,2019-12-31,2020-02-27 17:09:00+00:00,-3943900000.0,292900000.0,133300000.0,0.0,,112700000.0,3421000000.0,0.0,2802900000.0,-4054600000.0,1284900000.0,0.0,0.0,-13500000.0,2802900000.0,-4054600000.0,1271400000.0,26800000.0,725400000.0,725400000.0,20600000.0,,1800000.0,7100000.0,-162800000.0,-112500000.0,-455300000.0
