company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,netincreaseinfedfundssold,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,provisionforloanlosses,purchaseofinvestments,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2011.0,Q4,2011-10-01,2011-12-31,,17000000.0,352000000.0,290000000.0,-414000000.0,37000000.0,5216000000.0,,1498000000.0,-2823000000.0,1448000000.0,1498000000.0,-2823000000.0,1448000000.0,123000000.0,18000000.0,493000000.0,493000000.0,-405000000.0,889000000.0,-117000000.0,,,-207000000.0,190000000.0,-9438000000.0,-3442000000.0,-7000000.0,,7020000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2011.0,FY,2011-01-01,2011-12-31,2014-02-28 17:45:46+00:00,883000000.0,1517000000.0,1140000000.0,-733000000.0,72000000.0,13496000000.0,988000000.0,1324000000.0,-6549000000.0,6033000000.0,1324000000.0,-6549000000.0,6033000000.0,808000000.0,4046000000.0,3071000000.0,3071000000.0,1487000000.0,1403000000.0,-1149000000.0,,,-660000000.0,1152000000.0,-40143000000.0,-15396000000.0,-73000000.0,,32107000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-08 14:52:39+00:00,866000000.0,1165000000.0,850000000.0,-319000000.0,35000000.0,8280000000.0,988000000.0,-174000000.0,-3726000000.0,4585000000.0,-174000000.0,-3726000000.0,4585000000.0,685000000.0,4028000000.0,2578000000.0,2578000000.0,1892000000.0,514000000.0,-1032000000.0,0.0,,-453000000.0,962000000.0,-30705000000.0,-11954000000.0,-66000000.0,0.0,25087000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2011.0,Q3TTM,2010-10-01,2011-09-30,,1093000000.0,1617000000.0,1156000000.0,-1976000000.0,55000000.0,11899000000.0,988000000.0,3740000000.0,-8441000000.0,4959000000.0,3740000000.0,-8441000000.0,4959000000.0,258000000.0,8241000000.0,3398000000.0,3398000000.0,269000000.0,977000000.0,-1268000000.0,1198000000.0,,-530000000.0,1404000000.0,-40525000000.0,-15547000000.0,-98000000.0,,30617000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2011.0,Q3,2011-07-01,2011-09-30,,142000000.0,346000000.0,281000000.0,-1085000000.0,11000000.0,3646000000.0,988000000.0,6194000000.0,-6957000000.0,880000000.0,6194000000.0,-6957000000.0,880000000.0,117000000.0,5795000000.0,834000000.0,834000000.0,552000000.0,589000000.0,-705000000.0,,,-189000000.0,261000000.0,-12263000000.0,-3338000000.0,-14000000.0,,4754000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2011.0,Q2YTD,2011-01-01,2011-06-30,2012-08-08 12:39:02+00:00,724000000.0,819000000.0,569000000.0,766000000.0,24000000.0,4634000000.0,0.0,-6368000000.0,3231000000.0,3705000000.0,-6368000000.0,3231000000.0,3705000000.0,568000000.0,-1767000000.0,1744000000.0,1744000000.0,1340000000.0,-75000000.0,-327000000.0,0.0,,-264000000.0,701000000.0,-18442000000.0,-8616000000.0,-52000000.0,0.0,20333000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2011.0,Q2TTM,2010-07-01,2011-06-30,,1187000000.0,1769000000.0,1186000000.0,-1992000000.0,69000000.0,9838000000.0,,-3905000000.0,-316000000.0,4248000000.0,-3905000000.0,-316000000.0,4248000000.0,307000000.0,2079000000.0,3667000000.0,3667000000.0,-162000000.0,-242000000.0,30000000.0,1198000000.0,280000000.0,-398000000.0,1629000000.0,-44183000000.0,-15383000000.0,-140000000.0,,42831000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2011.0,Q2,2011-04-01,2011-06-30,,433000000.0,374000000.0,290000000.0,1605000000.0,10000000.0,2433000000.0,,-620000000.0,-1882000000.0,2978000000.0,-620000000.0,-1882000000.0,2978000000.0,476000000.0,-413000000.0,912000000.0,912000000.0,-116000000.0,-109000000.0,-264000000.0,,,-208000000.0,280000000.0,-10686000000.0,-2159000000.0,-19000000.0,,8920000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2011.0,Q1,2011-01-01,2011-03-31,2012-05-09 17:15:18+00:00,291000000.0,445000000.0,279000000.0,-839000000.0,14000000.0,2201000000.0,0.0,-5748000000.0,5113000000.0,727000000.0,-5748000000.0,5113000000.0,727000000.0,92000000.0,-1354000000.0,832000000.0,832000000.0,1456000000.0,34000000.0,-63000000.0,0.0,,-56000000.0,421000000.0,-7756000000.0,-6457000000.0,-33000000.0,0.0,11413000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2011.0,Q1TTM,2010-04-01,2011-03-31,,788000000.0,1801000000.0,1112000000.0,-3648000000.0,91000000.0,8857000000.0,,-8666000000.0,5225000000.0,3267000000.0,-8666000000.0,5225000000.0,3267000000.0,-174000000.0,-1240000000.0,3558000000.0,3558000000.0,-881000000.0,73000000.0,-1245000000.0,1198000000.0,,-268000000.0,2172000000.0,-39567000000.0,-14691000000.0,-170000000.0,,44475000000.0
