date,intraperiod,frequency,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume
2008-12-01,False,daily,3.6,3.6,3.6,3.6,100.0,3.6,3.6,3.6,3.6,100.0
2008-11-25,False,daily,3.7001,3.7001,3.7,3.7,1500.0,3.7001,3.7001,3.7,3.7,1500.0
2008-11-24,False,daily,3.85,3.85,3.85,3.85,2200.0,3.85,3.85,3.85,3.85,2200.0
2008-11-21,False,daily,3.8,3.8,3.8,3.8,5300.0,3.8,3.8,3.8,3.8,5300.0
2008-11-20,False,daily,3.8,3.8,3.8,3.8,1000.0,3.8,3.8,3.8,3.8,1000.0
2008-11-12,False,daily,4.18,4.18,4.0,4.0,1500.0,4.18,4.18,4.0,4.0,1500.0
2008-11-07,False,daily,4.18,4.18,4.18,4.18,1500.0,4.18,4.18,4.18,4.18,1500.0
2008-11-06,False,daily,4.01,4.01,4.01,4.01,500.0,4.01,4.01,4.01,4.01,500.0
2008-11-05,False,daily,4.4,4.4,4.4,4.4,500.0,4.4,4.4,4.4,4.4,500.0
2008-11-03,False,daily,4.4,4.4,4.4,4.4,5000.0,4.4,4.4,4.4,4.4,5000.0
2008-10-23,False,daily,4.2,4.36,4.2,4.36,2600.0,4.2,4.36,4.2,4.36,2600.0
2008-10-16,False,daily,5.0,5.04,4.72,4.77,1550.0,5.0,5.04,4.72,4.77,1550.0
2008-10-14,False,daily,4.66,5.5,4.66,5.5,3000.0,4.66,5.5,4.66,5.5,3000.0
2008-10-13,False,daily,4.42,4.44,4.26,4.26,300.0,4.42,4.44,4.26,4.26,300.0
2009-05-28,False,daily,5.29,5.29,5.29,5.29,450.0,5.29,5.29,5.29,5.29,450.0
2009-05-22,False,daily,5.47,5.49,5.47,5.49,4500.0,5.47,5.49,5.47,5.49,4500.0
2009-05-18,False,daily,5.2,5.2,5.2,5.2,2500.0,5.2,5.2,5.2,5.2,2500.0
2009-05-13,False,daily,4.88,4.8801,4.88,4.8801,2000.0,4.88,4.8801,4.88,4.8801,2000.0
2009-05-06,False,daily,5.2,5.25,4.75,5.25,5000.0,5.2,5.25,4.75,5.25,5000.0
2009-05-05,False,daily,5.13,5.25,5.13,5.25,3500.0,5.13,5.25,5.13,5.25,3500.0
2009-05-01,False,daily,4.96,4.96,4.96,4.96,500.0,4.96,4.96,4.96,4.96,500.0
2009-04-30,False,daily,5.18,5.18,5.11,5.11,2500.0,5.18,5.18,5.11,5.11,2500.0
2009-04-29,False,daily,5.1,5.1,5.08,5.08,1000.0,5.1,5.1,5.08,5.08,1000.0
2009-04-28,False,daily,4.86,4.86,4.86,4.86,5000.0,4.86,4.86,4.86,4.86,5000.0
2009-04-23,False,daily,4.86,4.88,4.75,4.86,4000.0,4.86,4.88,4.75,4.86,4000.0
2009-04-20,False,daily,4.35,4.35,4.35,4.35,500.0,4.35,4.35,4.35,4.35,500.0
2009-04-17,False,daily,4.45,4.45,4.45,4.45,400.0,4.45,4.45,4.45,4.45,400.0
2009-04-13,False,daily,4.76,4.76,4.76,4.76,100.0,4.76,4.76,4.76,4.76,100.0
2009-04-08,False,daily,4.26,4.26,4.26,4.26,100.0,4.26,4.26,4.26,4.26,100.0
2009-04-03,False,daily,4.14,4.3,4.14,4.3,1100.0,4.14,4.3,4.14,4.3,1100.0
2009-03-26,False,daily,3.89,3.89,3.89,3.89,1000.0,3.89,3.89,3.89,3.89,1000.0
