company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,othergains,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Transocean Ltd,RIG,,1451505,2009.0,Q1,2009-01-01,2009-03-31,2010-05-05 17:12:47+00:00,2.94,2.94,355000000.0,2.93,221000000.0,251000000.0,939000000.0,939000000.0,,942000000.0,-3000000.0,,2938000000.0,,,6000000.0,1171000000.0,180000000.0,-4000000.0,56000000.0,,3118000000.0,136000000.0,1000000.0,1799000000.0,1319000000.0,-129000000.0,1190000000.0,3118000000.0,320400000.0,319000000.0,320000000.0
Transocean Ltd,RIG,,1451505,2010.0,Q4,2010-10-01,2010-12-31,,-5.59,-2.6,-146000000.0,-2.58,,-76000000.0,-814000000.0,105000000.0,-919000000.0,-834000000.0,20000000.0,4219000000.0,984000000.0,,,3000000.0,-3735000000.0,-374000000.0,1000000.0,66000000.0,4219000000.0,-3609000000.0,185000000.0,6000000.0,-3814000000.0,205000000.0,-176000000.0,29000000.0,610000000.0,-8418200000.0,320000000.0,320000000.0
Transocean Ltd,RIG,,1451505,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 16:35:41+00:00,-0.11,2.88,1009000000.0,2.88,,292000000.0,969000000.0,1863000000.0,-894000000.0,926000000.0,43000000.0,4219000000.0,7949000000.0,,,2000000.0,,,-255000000.0,246000000.0,4219000000.0,3730000000.0,600000000.0,23000000.0,1000000000.0,2730000000.0,-575000000.0,2155000000.0,7949000000.0,-8418200000.0,320000000.0,320000000.0
Transocean Ltd,RIG,,1451505,2010.0,Q3YTD,2010-01-01,2010-09-30,,5.48,5.48,1155000000.0,5.46,,368000000.0,1783000000.0,1758000000.0,25000000.0,1760000000.0,23000000.0,,6965000000.0,,,-1000000.0,3735000000.0,374000000.0,-256000000.0,180000000.0,,7339000000.0,415000000.0,17000000.0,4814000000.0,2525000000.0,-399000000.0,2126000000.0,7339000000.0,320000000.0,319000000.0,319000000.0
Transocean Ltd,RIG,,1451505,2010.0,Q3TTM,2009-10-01,2010-09-30,,7.78,7.78,1506000000.0,7.78,,518000000.0,2500000000.0,2501000000.0,-1000000.0,2483000000.0,17000000.0,3789000000.0,10108000000.0,,,29000000.0,1168000000.0,-151000000.0,-250000000.0,226000000.0,3789000000.0,6168000000.0,548000000.0,20000000.0,2650000000.0,3518000000.0,-499000000.0,3019000000.0,9957000000.0,320000000.0,319000000.0,319000000.0
Transocean Ltd,RIG,,1451505,2010.0,Q3,2010-07-01,2010-09-30,2011-11-02 18:11:11+00:00,1.15,1.15,388000000.0,1.15,,123000000.0,378000000.0,363000000.0,15000000.0,368000000.0,10000000.0,,2206000000.0,,,-13000000.0,1202000000.0,75000000.0,-2000000.0,59000000.0,,2281000000.0,142000000.0,7000000.0,1647000000.0,634000000.0,-148000000.0,486000000.0,2281000000.0,320000000.0,319000000.0,319000000.0
Transocean Ltd,RIG,,1451505,2010.0,Q2YTD,2010-01-01,2010-06-30,,4.33,4.33,767000000.0,4.31,,245000000.0,1405000000.0,1395000000.0,10000000.0,1392000000.0,13000000.0,,4759000000.0,,,12000000.0,2533000000.0,299000000.0,-254000000.0,121000000.0,,5058000000.0,273000000.0,10000000.0,3167000000.0,1891000000.0,-251000000.0,1640000000.0,5058000000.0,320600000.0,319000000.0,320000000.0
Transocean Ltd,RIG,,1451505,2010.0,Q2TTM,2009-07-01,2010-06-30,,8.86,8.86,1485000000.0,8.86,46000000.0,533000000.0,2828000000.0,2844000000.0,-16000000.0,2825000000.0,3000000.0,3789000000.0,10562000000.0,,,51000000.0,1362000000.0,-63000000.0,-245000000.0,221000000.0,3789000000.0,6710000000.0,528000000.0,13000000.0,2869000000.0,3841000000.0,-464000000.0,3377000000.0,10499000000.0,320600000.0,319000000.0,320000000.0
Transocean Ltd,RIG,,1451505,2010.0,Q2,2010-04-01,2010-06-30,2011-08-03 17:14:20+00:00,2.23,2.23,393000000.0,2.22,,98000000.0,720000000.0,712000000.0,8000000.0,715000000.0,5000000.0,,2301000000.0,,,-3000000.0,1347000000.0,178000000.0,-268000000.0,58000000.0,,2479000000.0,141000000.0,5000000.0,1530000000.0,949000000.0,-139000000.0,810000000.0,2479000000.0,320600000.0,319000000.0,320000000.0
Transocean Ltd,RIG,,1451505,2010.0,Q1TTM,2009-04-01,2010-03-31,,9.08,9.08,1452000000.0,9.08,113000000.0,619000000.0,2916000000.0,2940000000.0,-24000000.0,2916000000.0,,5066000000.0,10961000000.0,,,46000000.0,15000000.0,-59000000.0,27000000.0,216000000.0,5066000000.0,5836000000.0,509000000.0,9000000.0,1823000000.0,4013000000.0,-454000000.0,3559000000.0,10902000000.0,322400000.0,321000000.0,322000000.0
Transocean Ltd,RIG,,1451505,2010.0,Q1,2010-01-01,2010-03-31,2011-05-04 16:45:34+00:00,2.1,2.1,374000000.0,2.09,,147000000.0,685000000.0,683000000.0,2000000.0,677000000.0,8000000.0,,2458000000.0,,,15000000.0,1186000000.0,121000000.0,14000000.0,63000000.0,,2579000000.0,132000000.0,5000000.0,1637000000.0,942000000.0,-112000000.0,830000000.0,2579000000.0,322400000.0,321000000.0,322000000.0
Transocean Ltd,RIG,,1451505,2011.0,FY,2011-01-01,2011-12-31,2014-02-26 17:42:17+00:00,-17.88,-17.88,1109000000.0,-17.88,5201000000.0,324000000.0,-5677000000.0,-5762000000.0,85000000.0,-5754000000.0,77000000.0,6179000000.0,8027000000.0,,,-99000000.0,,,12000000.0,288000000.0,6179000000.0,1848000000.0,621000000.0,44000000.0,6610000000.0,-4762000000.0,-676000000.0,-5438000000.0,8027000000.0,321800000.0,322000000.0,322000000.0
Transocean Ltd,RIG,,1451505,2011.0,Q2YTD,2011-01-01,2011-06-30,,0.87,1.74,1072000000.0,1.74,50000000.0,235000000.0,606000000.0,426000000.0,180000000.0,558000000.0,48000000.0,,6152000000.0,,,-7000000.0,4416000000.0,660000000.0,-7000000.0,199000000.0,,6812000000.0,439000000.0,25000000.0,5730000000.0,1082000000.0,-421000000.0,661000000.0,6812000000.0,-2755600000.0,320000000.0,320000000.0
